Energy	efficiency
eV	
	bGR 6000l/mm, BA = 3.36deg, k=1, cff = 25
30	2.780811E-4
30.64641	2.9417948E-4
31.30676	3.0839717E-4
31.98133	3.1660395E-4
32.67044	3.1709878E-4
33.37439	3.1986748E-4
34.09351	3.2300805E-4
34.82813	3.2585496E-4
35.57858	3.2831068E-4
36.3452	3.3021744E-4
37.12833	3.319376E-4
37.92834	3.3516131E-4
38.74559	3.390231E-4
39.58045	3.4291288E-4
40.4333	3.4697083E-4
41.30452	3.5200597E-4
42.19451	3.5740281E-4
43.10368	3.631922E-4
44.03245	3.6982782E-4
44.98122	3.753998E-4
45.95044	3.7894284E-4
46.94054	3.8186309E-4
47.95197	3.8395371E-4
48.9852	3.8491059E-4
50.0407	3.8440881E-4
51.11893	3.858135E-4
52.2204	3.9023769E-4
53.3456	3.9538837E-4
54.49504	4.00636E-4
55.66926	4.0902637E-4
56.86877	4.204959E-4
58.09413	4.340887E-4
59.3459	4.5029083E-4
60.62463	4.6404792E-4
61.93092	4.7901916E-4
63.26535	4.9620471E-4
64.62855	5.0490571E-4
66.0211	5.1030848E-4
67.44367	5.1232794E-4
68.8969	5.1169092E-4
70.38142	5.0956517E-4
71.89794	5.0994602E-4
73.44714	5.1175297E-4
75.02972	5.1445182E-4
76.64639	5.1939045E-4
78.2979	5.25615E-4
79.98501	5.2840851E-4
81.70846	5.2882917E-4
83.46904	5.3110288E-4
85.26756	5.5218232E-4
87.10484	5.6350289E-4
88.9817	5.6729245E-4
90.89899	5.6788034E-4
92.85761	5.6604686E-4
94.85843	5.605389E-4
96.90236	5.538988E-4
98.99033	5.4885197E-4
101.1233	5.4447184E-4
103.3022	5.3947617E-4
105.5281	5.3301681E-4
107.8019	5.2531628E-4
110.1247	5.175629E-4
112.4976	5.1065616E-4
114.9216	5.0399185E-4
117.3979	4.9719441E-4
119.9274	4.9038965E-4
122.5115	4.8378602E-4
125.1513	4.7727037E-4
127.848	4.7124317E-4
130.6027	4.6364689E-4
133.4168	4.5314763E-4
136.2916	4.4181946E-4
139.2283	4.3178175E-4
142.2283	4.2169116E-4
145.2929	4.1022652E-4
148.4235	3.9945851E-4
151.6216	3.8965617E-4
154.8887	3.7939614E-4
158.2261	3.6769648E-4
161.6354	3.5712568E-4
165.1182	3.47211E-4
168.676	3.370863E-4
172.3105	3.2626063E-4
176.0233	3.1806124E-4
179.8161	3.1159271E-4
183.6906	3.0670915E-4
187.6486	3.0321805E-4
191.6919	3.013669E-4
195.8223	3.0153315E-4
200.0417	3.0379742E-4
204.3521	3.0769088E-4
208.7553	3.1353338E-4
213.2534	3.223235E-4
217.8484	3.3116512E-4
222.5424	3.3953832E-4
227.3375	3.4881721E-4
232.236	3.5957954E-4
237.24	3.7060829E-4
242.3519	3.8145483E-4
247.5739	3.9301603E-4
252.9084	4.0587111E-4
258.3578	4.1791837E-4
263.9247	4.3018381E-4
269.6116	4.4345175E-4
275.4209	4.575474E-4
281.3555	4.700248E-4
287.4179	4.8133853E-4
293.6109	4.9271312E-4
299.9374	5.0431798E-4
306.4002	5.1650946E-4
313.0023	5.2892265E-4
319.7466	5.4054667E-4
326.6362	5.5195909E-4
333.6743	5.6360097E-4
340.864	5.756449E-4
348.2086	5.8869197E-4
355.7115	6.0156942E-4
363.3761	6.1218592E-4
371.2058	6.2214711E-4
379.2043	6.3196209E-4
387.3751	6.4180139E-4
395.7219	6.5206893E-4
404.2486	6.6257367E-4
412.959	6.7151658E-4
421.8571	6.792582E-4
430.9469	6.866465E-4
440.2326	6.9382903E-4
449.7183	7.0118281E-4
459.4085	7.0791476E-4
469.3074	7.1367517E-4
479.4197	7.1905216E-4
489.7498	7.241657E-4
500.3025	7.2902115E-4
511.0826	7.3380925E-4
522.095	7.3830941E-4
533.3447	7.4247981E-4
544.8367	7.4652222E-4
556.5764	7.5050362E-4
568.569	7.5445441E-4
580.8201	7.5808784E-4
593.3351	7.6151278E-4
606.1198	7.6477823E-4
619.18	7.6807808E-4
632.5215	7.716039E-4
646.1506	7.7563646E-4
660.0733	7.798617E-4
674.296	7.8200351E-4
688.8251	7.8292046E-4
703.6674	7.8325131E-4
718.8294	7.831431E-4
734.3181	7.8262156E-4
750.1406	7.8198413E-4
766.304	7.8132458E-4
782.8157	7.8052637E-4
799.6831	7.802067E-4
816.914	7.7916071E-4
834.5162	7.7740522E-4
852.4977	7.7541516E-4
870.8666	7.738758E-4
889.6313	7.724429E-4
908.8003	7.6923409E-4
928.3823	7.6526409E-4
948.3864	7.6095556E-4
968.8214	7.5635995E-4
989.6967	7.5107638E-4
1011.022	7.4521941E-4
1032.807	7.3983608E-4
1055.061	7.3398865E-4
1077.794	7.2622485E-4
1101.018	7.1730174E-4
1124.741	7.0768996E-4
1148.976	6.9737894E-4
1173.734	6.8641576E-4
1199.024	6.7499751E-4
1224.86	6.6270807E-4
1251.252	6.5005408E-4
1278.213	6.3789368E-4
1305.755	6.2583841E-4
1333.89	6.1372505E-4
1362.632	6.0114783E-4
1391.992	5.8801734E-4
1421.986	5.7420501E-4
1452.626	5.6042371E-4
1483.926	5.4746564E-4
1515.9	5.3473428E-4
1548.563	5.2031141E-4
1581.93	5.0454959E-4
1616.016	4.8893405E-4
1650.837	4.7380119E-4
1686.408	4.5793672E-4
1722.745	4.4170266E-4
1759.865	4.2537358E-4
1797.786	4.0879633E-4
1836.523	3.9261871E-4
1876.095	3.7577961E-4
1916.519	3.5934011E-4
1957.815	3.423304E-4
2000	3.2423035E-4
