,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,500,2,100000.0,1.191432847537555,7528820000000.0,1906.0,1.906,143499309200.0,0.16896520952627725,0.11807855088654393,0.04718508038018207
1,1,0.1,1000,2,100000.0,1.4245703315395712,7519730000000.0,5326.0,5.3260000000000005,400500819800.00006,0.19665940535105617,0.1175357910833874,0.04411756875290293
2,2,0.1,1500,2,100000.0,1.7093389082243329,6934960000000.0,6526.0,6.526,452575489600.0,0.306561511703876,0.12093511730880152,0.04321777120248833
3,3,0.1,2000,2,100000.0,2.064163904469712,6194530000000.0,4905.0,4.905,303841696500.0,0.43663295157534776,0.1158842883740742,0.04290699823094767
4,4,0.1,2500,2,100000.0,2.5118137811320644,5437420000000.0,3072.0,3.072,167037542400.0,0.4497854072610608,0.1160252327254236,0.043737543060805184
5,5,0.1,3000,2,100000.0,3.0668427013872974,4720160000000.0,1674.0,1.674,79015478400.0,0.6128405284957807,0.11659445352379467,0.04281524219622816
6,6,0.1,3500,2,100000.0,3.797208992452417,4065910000000.0,576.0,0.5760000000000001,23419641600.000004,0.6846830951353695,0.1140728130761736,0.041132869420088335
7,7,0.1,4000,2,100000.0,4.645923194002247,3482280000000.0,115.0,0.115,4004622000.0,1.1924281120909654,0.10300759131979285,0.03338757319741846
8,8,0.1,4500,2,100000.0,5.546693824604396,2969180000000.0,33.0,0.033,979829400.0,0.9010297029273184,0.17175313048819263,0.029831228527663768
9,9,0.1,5000,2,100000.0,6.092590039420309,2522670000000.0,2.0,0.002,50453400.0,0.8629154302898084,0.09005462294423369,0.02181314246841145
