,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,7.599999999999999,0.0076,269081040.0,50.0,0.0027887118593272545,0.0900407385262543,0.017734608451555074,19.733080194438024,0.14593644587226287,5166938240.685818
1,1,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,3748020000000.0,12.2,0.0122,457258440.0,60.0,0.0028489340946634646,0.11651086375446588,0.02031855815850963,21.726896531818134,0.2676729513158625,10032435749.908792
2,2,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,3931350000000.0,19.6,0.0196,770544600.0,70.0,0.0037997654701183584,0.1258894253400186,0.02280165594844554,18.87235968638406,0.3770201717668757,14821982522.75707
3,3,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,4096050000000.0,24.6,0.0246,1007628300.0,80.0,0.004610412883265294,0.1274498765959453,0.021954514024837172,17.600466152707476,0.4338835231435413,17772086049.721024
4,4,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,4245860000000.0,43.8,0.043800000000000006,1859686680.0,90.0,0.005322799628930776,0.12847198999119908,0.02190491851982129,17.06778541146113,0.7464685612112609,31694010053.044445
5,5,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,4383450000000.0,47.0,0.047,2060221500.0,100.0,0.006539430189807065,0.13294041203524437,0.021622937689062528,15.36807032622265,0.7241658092037697,31743446163.542645
6,6,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,4510800000000.0,56.6,0.0566,2553112800.0,110.0,0.007458651834185166,0.13137979307599087,0.0208426972482602,14.846941907188436,0.8369106158561361,37751364060.03858
7,7,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,4629430000000.0,69.6,0.0696,3222083280.0,120.0,0.008379320440848773,0.1307067362621331,0.02059457948046072,14.365722975914313,1.0027890485010702,46423417048.02309
8,8,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,4740500000000.0,78.0,0.078,3697590000.0,130.0,0.009590027887124535,0.1263503944776317,0.021015670991959015,13.645529575377868,1.0615515565252358,50322851537.07881
9,9,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,4844980000000.0,78.2,0.07819999999999998,3788774360.0,140.0,0.009811165869704467,0.1273731444812553,0.021313448943422887,14.364143936411386,1.1235331621238076,54434956998.26605
