,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
22,22,0.1,270,2.25,1,100000.0,0.01715,0.00243,5.72,5831360000000.0,100000.0,100.0,5831360000000.0,270.0,0.26981832615661006,0.037257681594548536,0.0056050361555217325,1.0006733191402444,100.06733191402444,5835286366301.655
23,23,0.1,280,2.25,1,100000.0,0.01715,0.00243,5.72,5888550000000.0,100000.0,100.0,5888550000000.0,280.0,0.27947048574935707,0.0394328405099835,0.0048018639668784635,1.001894705443486,100.1894705443486,5899707067739.239
24,24,0.1,290,2.25,1,100000.0,0.01715,0.00243,5.72,5943910000000.0,100000.0,100.0,5943910000000.0,290.0,0.2899025265669479,0.03800880331880989,0.005518443021902005,1.0003362282978567,100.03362282978568,5945908510741.915
25,25,0.1,300,2.25,1,100000.0,0.01715,0.00243,5.72,5997540000000.0,100000.0,100.0,5997540000000.0,300.0,0.2996511064686729,0.034771636730349775,0.005297847382439531,1.0011643325313855,100.11643325313852,6004523130930.286
26,26,0.1,310,2.25,1,100000.0,0.01715,0.00243,5.72,6049540000000.0,100000.0,100.0,6049540000000.0,310.0,0.3095907894302172,0.0372503542314168,0.004645474439379056,1.0013217788892748,100.13217788892749,6057536154261.823
27,27,0.1,320,2.25,1,100000.0,0.01715,0.00243,5.72,6100000000000.0,100000.0,100.0,6100000000000.0,320.0,0.3194497503315006,0.034225644767176294,0.00494828044325391,1.001722492091255,100.17224920912552,6110507201756.656
28,28,0.1,330,2.25,1,100000.0,0.01715,0.00243,5.72,6149000000000.0,100000.0,100.0,6149000000000.0,330.0,0.3293363040887129,0.033530202342972035,0.004903951324176706,1.0020152528070767,100.20152528070768,6161391789510.716
29,29,0.1,340,2.25,1,100000.0,0.01715,0.00243,5.72,6196610000000.0,100000.0,100.0,6196610000000.0,340.0,0.3396799385523081,0.03397401542135219,0.004696778849351447,1.0009422441874427,100.09422441874428,6202448719754.352
30,30,0.1,350,2.25,1,100000.0,0.01715,0.00243,5.72,6242890000000.0,100000.0,100.0,6242890000000.0,350.0,0.34544919572431354,0.036405348881200256,0.0053396740390495336,1.01317358480498,101.317358480498,6325131240843.161
31,31,0.1,360,2.25,1,100000.0,0.01715,0.00243,5.72,6287920000000.0,100000.0,100.0,6287920000000.0,360.0,0.3593394536185883,0.035597805403047356,0.004769012301159704,1.001838223926596,100.1838223926596,6299478604992.521
32,32,0.1,370,2.25,1,100000.0,0.01715,0.00243,5.72,6331740000000.0,100000.0,100.0,6331740000000.0,370.0,0.36913244197739914,0.037674479618376215,0.0055015004172129225,1.0023502621930311,100.23502621930317,6346621249138.104
33,33,0.1,380,2.25,1,100000.0,0.01715,0.00243,5.72,6374420000000.0,100000.0,100.0,6374420000000.0,380.0,0.37947988038763464,0.03503262999998291,0.0047770899599517995,1.0013706118275203,100.13706118275203,6383156855445.582
34,34,0.1,390,2.25,1,100000.0,0.01715,0.00243,5.72,6416000000000.0,100000.0,100.0,6416000000000.0,390.0,0.3899669344150425,0.03297278987146074,0.004968996941296291,1.0000847907400332,100.0084790740033,6416544017388.053
