,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
49,49,0.1,540,2.25,1,100000.0,0.01715,0.00243,5.72,69339700000.0,2.0048,0.00133545,92599702.365,0.0005327444087510799,0.00094755439265885,0.0002463542293143172
50,50,0.1,550,2.25,1,100000.0,0.01715,0.00243,5.72,69627700000.0,1.8268,0.0012153999999999995,84625506.58,0.0005320319438780661,0.0009315474279066034,0.00024086280095411236
51,51,0.1,560,2.25,1,100000.0,0.01715,0.00243,5.72,69909900000.0,1.4783,0.0009827000000000004,68700458.73,0.0005742741305830767,0.0010013871684517767,0.00023241410631693227
52,52,0.1,570,2.25,1,100000.0,0.01715,0.00243,5.72,70186300000.0,0.6857,0.00045389999999999987,31857561.57,0.0006248509889337843,0.0011983964876351185,0.00020996101908199173
53,53,0.1,580,2.25,1,100000.0,0.01715,0.00243,5.72,70457200000.0,0.1931,0.00013059999999999992,9201710.32,0.0006495967737990122,0.0012167516349211095,0.00020068600436819493
54,54,0.1,590,2.25,1,100000.0,0.01715,0.00243,5.72,70722700000.0,0.4291,0.0002871999999999999,20311559.44,0.0006618492870111327,0.001248844153312094,0.00020397497268953248
55,55,0.1,600,2.25,1,100000.0,0.01715,0.00243,5.72,70983000000.0,0.5997,0.00039734999999999993,28205095.05,0.0006806165398063449,0.0012313623615496016,0.00020363878819212292
56,56,0.1,610,2.25,1,100000.0,0.01715,0.00243,5.72,71238200000.0,0.7356999999999998,0.0004907999999999999,34963708.56,0.0006849584390602166,0.001148182114798005,0.00021136139266874772
57,57,0.1,620,2.25,1,100000.0,0.01715,0.00243,5.72,71488400000.0,0.8431999999999998,0.0005616000000000002,40147885.44,0.0006618270134582824,0.0011116181042968507,0.00021323126888366135
58,58,0.1,630,2.25,1,100000.0,0.01715,0.00243,5.72,71733900000.0,0.9289,0.0006206999999999996,44525231.73,0.0006642696729522933,0.0010889529971013228,0.00021731582244387688
59,59,0.1,640,2.25,1,100000.0,0.01715,0.00243,5.72,71974700000.0,1.0090999999999999,0.00066925,48169067.975,0.0007161047755000352,0.001067210708226255,0.00021877649039689503
60,60,0.1,650,2.25,1,100000.0,0.01715,0.00243,5.72,72210900000.0,1.0746,0.0007155499999999999,51670509.495,0.0006989066640163763,0.0010788155923310131,0.00021527685104000903
61,61,0.1,660,2.25,1,100000.0,0.01715,0.00243,5.72,72442700000.0,1.1308,0.0007544999999999996,54658017.15,0.0007328945878965566,0.0010876991279293576,0.00022427468258210849
62,62,0.1,670,2.25,1,100000.0,0.01715,0.00243,5.72,72670200000.0,1.2013,0.0008033999999999998,58383238.68,0.0007434721188757685,0.0010987806795220703,0.0002252167931409887
63,63,0.1,680,2.25,1,100000.0,0.01715,0.00243,5.72,72893500000.0,1.2153,0.0008122000000000004,59204100.7,0.0007717405659562892,0.0010929940417868716,0.00021404733941136133
