,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,50,2.25,1,100000.0,4558810000000.0,4.0,0.004,182352400.0,0.0030032561821628743,0.11302047514947935,0.03740304366486039
1,1,0.1,150,2.25,1,100000.0,6109030000000.0,101.0,0.101,6170120300.0,0.017946131737062387,0.1177942526943024,0.03536669144638713
2,2,0.1,250,2.25,1,100000.0,6817320000000.0,91.0,0.091,6203761200.0,0.04132288297201226,0.13826756324560374,0.03309400442153011
3,3,0.1,350,2.25,1,100000.0,7218160000000.0,121.0,0.121,8733973600.0,0.06390214486935974,0.07942042458120843,0.041877931168944005
4,4,0.1,450,2.25,1,100000.0,7453040000000.0,181.0,0.181,13490002400.0,0.0960476860167887,0.0926834328398238,0.04055222237288222
5,5,0.1,550,2.25,1,100000.0,7583430000000.0,159.0,0.159,12057653700.0,0.10973671352678592,0.07937475059817427,0.04302018897311781
6,6,0.1,650,2.25,1,100000.0,7642310000000.0,115.0,0.115,8788656500.0,0.103634250651794,0.14699725471088465,0.041182183705834194
7,7,0.1,750,2.25,1,100000.0,7649700000000.0,133.0,0.133,10174101000.0,0.16205195057568744,0.08103569189989758,0.039801172532138336
8,8,0.1,850,2.25,1,100000.0,7618740000000.0,204.0,0.204,15542229600.0,0.23201909219301345,0.0769719502446965,0.040755814428028864
9,9,0.1,950,2.25,1,100000.0,7558600000000.0,240.0,0.24,18140640000.0,0.25211111230385086,0.15171289819282935,0.03838741400333248
10,10,0.1,1050,2.25,1,100000.0,7475920000000.0,304.0,0.304,22726796800.0,0.26593064809981115,0.0634251045931578,0.04371315124472856
11,11,0.1,1150,2.25,1,100000.0,7375670000000.0,309.0,0.309,22790820300.0,0.32398365912263216,0.10553790686861877,0.04323729334741029
12,12,0.1,1250,2.25,1,100000.0,7261700000000.0,294.0,0.294,21349398000.0,0.31887408283864715,0.09780409052299138,0.041734949584456435
13,13,0.1,1350,2.25,1,100000.0,7137010000000.0,293.0,0.293,20911439300.0,0.41373466296499833,0.106730334956881,0.03989677541322392
14,14,0.1,1450,2.25,1,100000.0,7003980000000.0,303.0,0.303,21222059400.0,0.31706381863796196,0.05537899292470665,0.04259488300703415
15,15,0.1,1550,2.25,1,100000.0,6864560000000.0,278.0,0.278,19083476800.0,0.5075765465117001,0.0680314229128382,0.03909941555282308
16,16,0.1,1650,2.25,1,100000.0,6720320000000.0,213.0,0.213,14314281600.0,0.2902021379015878,0.1067839145888913,0.03255530258080331
17,17,0.1,1750,2.25,1,100000.0,6572580000000.0,208.0,0.208,13670966400.0,0.6106172309598605,0.13138492993887776,0.04066790974276732
18,18,0.1,1850,2.25,1,100000.0,6422410000000.0,156.0,0.156,10018959600.0,0.73951307936386,0.07409939582656844,0.0395704897370685
19,19,0.1,1950,2.25,1,100000.0,6270710000000.0,92.0,0.092,5769053200.0,0.7134276216564709,0.13901254850361372,0.02965566899566458
20,20,0.1,2050,2.25,1,100000.0,6118240000000.0,48.0,0.048,2936755200.0,0.6732072788231699,0.16597780998196135,0.02945902539187615
21,21,0.1,2150,2.25,1,100000.0,5965630000000.0,68.0,0.068,4056628400.0,0.8259506542358698,0.137437094459773,0.030397006800176315
22,22,0.1,2250,2.25,1,100000.0,5813420000000.0,47.0,0.047,2732307400.0,0.9785648219528084,0.14182053108566056,0.03144583965952418
23,23,0.1,2350,2.25,1,100000.0,5662060000000.0,28.0,0.028,1585376799.9999995,0.9641946595166666,0.1543748939829505,0.02959084220316242
24,24,0.1,2450,2.25,1,100000.0,5511930000000.0,37.0,0.037,2039414100.0,1.0757584625108707,0.12500937139303772,0.031060681205755017
25,25,0.1,2550,2.25,1,100000.0,5363350000000.0,21.0,0.021,1126303500.0,0.8661006375166669,0.1741644111845153,0.030046184932705246
