,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,100000.0,17.15,2.43,0.81,,,,100.0,,,,,,,,,,,,,,,,,,,
1,1,2.25,0.02,105,100000.0,17.15,2.43,0.81,,,,105.0,,,,,,,,,,,,,,,,,,,
2,2,2.25,0.02,110,100000.0,17.15,2.43,0.81,,,,110.0,,,,,,,,,,,,,,,,,,,
3,3,2.25,0.02,115,100000.0,17.15,2.43,0.81,,,,115.0,,,,,,,,,,,,,,,,,,,
4,4,2.25,0.02,120,100000.0,17.15,2.43,0.81,,,,120.0,,,,,,,,,,,,,,,,,,,
5,5,2.25,0.02,125,100000.0,17.15,2.43,0.81,,,,125.0,,,,,,,,,,,,,,,,,,,
6,6,2.25,0.02,130,100000.0,17.15,2.43,0.81,,,,130.0,,,,,,,,,,,,,,,,,,,
7,7,2.25,0.02,135,100000.0,17.15,2.43,0.81,,,,135.0,,,,,,,,,,,,,,,,,,,
8,8,2.25,0.02,140,100000.0,17.15,2.43,0.81,,,,140.0,,,,,,,,,,,,,,,,,,,
9,9,2.25,0.02,145,100000.0,17.15,2.43,0.81,,,,145.0,,,,,,,,,,,,,,,,,,,
10,10,2.25,0.02,150,100000.0,17.15,2.43,0.81,,,,150.0,,,,,,,,,,,,,,,,,,,
11,11,2.25,0.02,155,100000.0,17.15,2.43,0.81,,,,155.0,,,,,,,,,,,,,,,,,,,
12,12,2.25,0.02,160,100000.0,17.15,2.43,0.81,,3.5,0.0035,160.0,0.007576891587681,0.0038025872811659,0.4059324438882559,-0.0003931768076191,0.0349077609450832,84350000000.0,54600000000.0,44100000000.0,26.82168129455958,0.101913540688201,2456116330585.6475,1589851234735.9375,1284110612671.3342,5.509110604866368e-07,3.566063296096073e-07,2.8802818930006736e-07,3.532599591248702e-07,2.2866619760779978e-07,1.846919288370691e-07
13,13,2.25,0.02,165,100000.0,17.15,2.43,0.81,,,,165.0,,,,,,,,,,,,,,,,,,,
14,14,2.25,0.02,170,100000.0,17.15,2.43,0.81,,,,170.0,,,,,,,,,,,,,,,,,,,
15,15,2.25,0.02,175,100000.0,17.15,2.43,0.81,,,,175.0,,,,,,,,,,,,,,,,,,,
16,16,2.25,0.02,180,100000.0,17.15,2.43,0.81,,3.8,0.0038,180.0,0.0078900893695517,0.0031185488402981,0.3797887100755164,-0.0005990450022526,-0.0011115493657127,91200000000.0,59280000000.0,47880000000.0,34.302809740645245,0.1193378961990562,2864109508777.3525,1861671180705.2783,1503657492108.1096,6.77155167752594e-07,4.401508590391861e-07,3.5550646307011185e-07,4.182431038040861e-07,2.7185801747265604e-07,2.1957762949714522e-07
17,17,2.25,0.02,185,100000.0,17.15,2.43,0.81,,,,185.0,,,,,,,,,,,,,,,,,,,
18,18,2.25,0.02,190,100000.0,17.15,2.43,0.81,,,,190.0,,,,,,,,,,,,,,,,,,,
19,19,2.25,0.02,195,100000.0,17.15,2.43,0.81,,,,195.0,,,,,,,,,,,,,,,,,,,
20,20,2.25,0.02,200,100000.0,17.15,2.43,0.81,,,,200.0,,,,,,,,,,,,,,,,,,,
