sep=	
IntermediateFocus_RN	IntermediateFocus_RS	IntermediateFocus_RO	IntermediateFocus_OX	IntermediateFocus_OY	IntermediateFocus_OZ	IntermediateFocus_DX	IntermediateFocus_DY	IntermediateFocus_DZ	IntermediateFocus_EN	IntermediateFocus_PL	IntermediateFocus_S0	IntermediateFocus_S1	IntermediateFocus_S2	IntermediateFocus_S3
372	2	1	-0.000171307414732756	1.07781131125084e-05	0	-1.57654133309347e-05	-0.000469294909610757	0.999999889756864	1000.02418467007	999.952305364538	1	1	-3.31289e-21	1.754e-18
389	2	1	0.000378953123769565	-4.30031768855477e-05	0	0.00014989781488854	0.000568487100146179	0.999999827176516	999.993778258329	1000.02013233044	1	1	-3.6171e-21	1.75522e-18
406	2	1	-0.000109943726058381	-0.000178436449587815	0	-0.000206744553055962	0.00111907120944319	0.999999352467949	999.966615307555	999.528146898278	1	1	-3.65102e-21	1.75261e-18
423	2	1	0.000357622060469409	-2.75760068040309e-05	0	0.000279220468096192	-0.000570034360151014	0.999999798548359	1000.01362664118	1000.12266056256	1	1	-3.36526e-21	1.75605e-18
451	2	1	-0.000271749656195752	-0.000232652706211089	0	-0.000238239058018735	-0.000742603468690543	0.999999695891074	999.995281075668	999.875562208496	1	1	-3.17977e-21	1.75206e-18
476	2	1	5.43032448135916e-05	9.83316097595832e-05	0	0.000496966518538401	0.0013735013560507	0.999998933258583	999.965777571573	1079.74313978512	1	1	-3.89094e-21	1.75712e-18
481	2	1	0.000346806939285113	-7.61904173330885e-05	0	6.58713061581686e-05	0.000753806071594705	0.999999713718648	1000.01926893334	1000.37850862598	1	1	-3.63775e-21	1.75446e-18
500	2	1	-0.000247655117136397	0.000421041761372143	0	-6.29203774419103e-05	0.00135079555264686	0.999999085695783	1000.02066197327	1000.35938760481	1	1	-3.73881e-21	1.75344e-18
534	2	1	-4.50399790108968e-05	-0.000382048405666247	0	-0.00024864093013496	-0.000663886619798876	0.99999974871609	1000.00764058624	999.892307055418	1	1	-3.19972e-21	1.7523e-18
543	2	1	8.22843755464153e-05	-0.000197114213229987	0	0.000346980456042369	0.000364814488916673	0.999999873257468	999.983737772097	999.997222906305	1	1	-3.62073e-21	1.75652e-18
566	2	1	6.06023041066495e-05	-0.000228748632935205	0	0.000581131936932065	-0.000544690330454393	0.999999682799007	999.986071091141	999.96027767618	1	1	-3.45497e-21	1.75812e-18
594	2	1	0.000298032626049327	-0.00015149041284146	0	-5.44093182404809e-05	0.000642385179517589	0.999999792190432	999.982569737534	1000.04774613692	1	1	-3.58046e-21	1.75367e-18
603	2	1	-5.24881102445529e-06	0.000105315984933796	0	0.00012639843087112	0.00150898114806926	0.999998853499008	999.989351172172	1002.72662561069	1	1	-3.82358e-21	1.75502e-18
610	2	1	-0.000233057379238621	0.000152273836423578	0	-0.000469898664035981	-0.00091182223774007	0.999999473887587	999.985977624696	1000.00140997421	1	1	-3.07537e-21	1.75081e-18
706	2	1	0.000219601329660863	-0.000239532798544911	0	-1.48949144442821e-05	8.11206123496853e-05	0.999999996598794	999.994670985138	1000.06420198332	1	1	-3.45413e-21	1.75387e-18
732	2	1	-0.000441474642022585	0.000328115595568772	0	0.000107116469204561	-5.62346264535059e-05	0.999999992681865	1000.02437410383	999.505781427653	1	1	-3.4517e-21	1.7547e-18
759	2	1	0.000201718842460785	0.000469976116122983	0	0.000320964736709322	0.000146254913562294	0.999999937795567	1000.0084785121	1000.23692283398	1	1	-3.56093e-21	1.75645e-18
800	2	1	0.000128398371756901	0.000251899566636515	0	2.89609165431693e-05	0.000276711746966675	0.999999961295936	999.994202006692	1000.19522036315	1	1	-3.51448e-21	1.75428e-18
871	2	1	-0.00031957321138959	-0.00013482236751039	0	0.000292050678197419	0.000816085152026193	0.999999624355642	999.979331305663	999.801396177327	1	1	-3.7113e-21	1.75585e-18
891	2	1	0.00015371422478444	0.000479827624955909	0	0.000279783748035507	0.000559862267796959	0.999999804137628	999.995022609163	1000.47090626677	1	1	-3.64927e-21	1.75599e-18
899	2	1	0.000117939942276518	-0.000474411509000849	0	0.000167166326456678	0.000656410415860283	0.999999770590367	999.975804079011	999.563609195026	1	1	-3.64304e-21	1.75549e-18
901	2	1	-0.000472465678999189	-0.000418396105867313	0	1.79117692533995e-05	-2.23702800982127e-05	0.99999999958937	999.986636034476	1000.2164807561	1	1	-3.43697e-21	1.75422e-18
911	2	1	-0.000126591842957158	-0.000358057126070455	0	-0.00014174490746925	0.000174499657770997	0.999999974729125	999.986299142106	1000.3717581089	1	1	-3.44529e-21	1.75325e-18
924	2	1	-0.000221675712387737	0.000370222357538058	0	0.000622706381534463	-0.000155789019676353	0.999999793983251	1000.00616153195	999.69545071641	1	1	-3.56751e-21	1.7584e-18
934	2	1	0.00043113398841188	3.05351638993923e-05	0	-7.74763600498388e-05	0.00121566434144804	0.999999258078536	999.971486955712	1000.40379788742	1	1	-3.70667e-21	1.75367e-18
960	2	1	-0.000349320988910988	0.000400344949531117	0	-1.62910867670534e-05	0.00163433563751127	0.99999866433992	1000.02472966035	999.972440695724	1	1	-3.81149e-21	1.7536e-18
971	2	1	-0.000356159842411941	4.62128565658082e-05	0	-0.00048133391862467	0.000368901125476445	0.999999816114792	1000.00855169774	999.840532733191	1	1	-3.40759e-21	1.75112e-18
1000	2	1	0.000277841007286894	-0.000359574873997071	0	-0.000178906795122844	-0.000670658723204076	0.999999759104588	1000.00415390796	1000.42988904739	1	1	-3.21647e-21	1.75289e-18
1015	2	1	-0.000471667022412026	0.000145608619832427	0	-0.000215457161998058	-0.000344773347484043	0.999999917354772	999.988152977035	999.674235010259	1	1	-3.29282e-21	1.75245e-18
1043	2	1	0.000471839839313815	-0.000236085451884804	0	0.000447614358122479	0.000550930968152211	0.999999748058196	999.996949912855	1000.35523607916	1	1	-3.69258e-21	1.75718e-18
1066	2	1	0.000194790249415003	2.64765340962647e-05	0	-0.000107333418840687	0.000334739768938126	0.99999993821441	999.994803621191	999.896440890249	1	1	-3.49138e-21	1.75289e-18
1069	2	1	-0.000222131388413552	-0.000201305660695983	0	9.83490357245026e-05	0.00121983357657892	0.999999251166475	999.996478660719	999.473682638464	1	1	-3.75145e-21	1.75451e-18
1103	2	1	-0.000466299680803361	-0.000163584812894024	0	-0.000622882441633802	0.00120018582109968	0.999999085785312	999.996391799546	1000.38853092989	1	1	-3.5653e-21	1.74971e-18
1108	2	1	-0.000438889159087963	0.000150687587674003	0	0.000299534221776631	0.00106614542014748	0.999999386806409	1000.02335712215	1000.45589477778	1	1	-3.77051e-21	1.75594e-18
1111	2	1	-0.000168681417281991	0.000287057288252179	0	0.000390479686179836	-0.000659977009627687	0.999999705977938	1000.01507655283	1000.27295796199	1	1	-3.37093e-21	1.75666e-18
1166	2	1	-6.77388361489673e-05	-0.000273016550736971	0	-0.000321139449774752	0.00111059684015227	0.999999331721833	1000.00329591143	1000.40259274538	1	1	-3.61745e-21	1.75114e-18
1175	2	1	-0.000111748799112077	0.000119378625343058	0	-0.000421034698895968	5.99014120916553e-05	0.999999909570797	999.998324395538	999.714169717432	1	1	-3.34518e-21	1.75127e-18
1176	2	1	0.000115352731042573	-0.000296938298699811	0	-0.000203477259978333	-0.000690934724381235	0.999999740603072	999.973273775571	999.572632655826	1	1	-3.20441e-21	1.75269e-18
1224	2	1	0.000142820939856111	-3.30589598456221e-05	0	-0.000119363274601591	-0.00038519339021097	0.999999918689227	999.963633295564	1000.01003082887	1	1	-3.30797e-21	1.75331e-18
1271	2	1	0.000408418490645213	0.000110201148185662	0	-0.000822204126494355	-0.000273639443323311	0.999999624550844	1000.02543060349	1000.50040364752	1	1	-3.16198e-21	1.74887e-18
1296	2	1	-0.000151858762776722	-0.000426269992712669	0	3.04855113716485e-05	0.00171743226347963	0.999998524747439	999.990169608273	1029.9715250638	1	1	-3.84169e-21	1.75409e-18
1302	2	1	-0.0004277223841401	-0.000450690656555341	0	0.000171312329716081	-0.000631746037821701	0.999999785774491	999.992806964675	1000.26048010782	1	1	-3.31751e-21	1.75484e-18
1335	2	1	0.000172756227956608	0.000336675999848657	0	-0.000113215918853691	-0.00113005397971695	0.999999355079871	1000.00138683648	1000.11191746982	1	1	-3.10577e-21	1.75308e-18
1377	2	1	0.000180341740695589	0.000492925442733827	0	-0.000517677757027135	-0.000771613567790234	0.999999568311028	1000.01478273991	1000.33770294407	1	1	-3.10481e-21	1.75119e-18
1380	2	1	0.000456734007756865	0.000120513212793716	0	-0.00020980229666794	0.000887105787948239	0.999999584513072	999.997647263772	999.590375938605	1	1	-3.59816e-21	1.75272e-18
1431	2	1	3.61896113169457e-05	0.00030051856687513	0	-3.12036977259328e-06	0.000370948823016854	0.999999931193615	1000.00000366363	1000.46519627733	1	1	-3.53007e-21	1.75431e-18
1432	2	1	7.77105068442419e-05	-0.000360257456118451	0	0.000136285051589345	-0.000692757702522502	0.999999750756544	1000.00127417284	1000.05021728014	1	1	-3.29309e-21	1.75492e-18
1450	2	1	0.00032936200760722	0.000242583969997989	0	-0.000124293205330818	-0.000698806637778439	0.999999748110209	1000.00980784345	999.991551287205	1	1	-3.2232e-21	1.75327e-18
1458	2	1	0.000497447619781544	0.000297125981402635	0	0.000189473901269162	-0.000288398902430194	0.999999940462855	999.983532098094	1000.29349314787	1	1	-3.41478e-21	1.75537e-18
1464	2	1	-0.000301577960738486	3.46697878040869e-05	0	-0.000153043567001118	0.00015254309600583	0.999999976654135	1000.00554285331	1000.4830080044	1	1	-3.43648e-21	1.75305e-18
1479	2	1	0.000405603078044089	-0.000169679300671022	0	-8.8286402870983e-05	0.000430013038882616	0.999999903647144	999.978463569083	1000.32402601231	1	1	-3.52165e-21	1.7536e-18
1480	2	1	0.000444151827133588	-0.000346149134839879	0	0.000233653097751892	-0.000825080956629214	0.999999632323755	999.992593605638	1000.24100844847	1	1	-3.28388e-21	1.75569e-18
1533	2	1	-0.000245322074651111	-3.58549491968341e-05	0	0.000427048105896733	-0.000238335823948308	0.999999880412968	999.998603040716	1000.28237233663	1	1	-3.49202e-21	1.75705e-18
1552	2	1	0.000162848379428815	0.000127521614057213	0	-0.000383106383259783	0.000336431129007853	0.999999870021788	999.99488878885	1000.44855405376	1	1	-3.4232e-21	1.75147e-18
1557	2	1	-0.000387334743954082	-0.000209897330914588	0	0.000334153320012916	0.00158139186191706	0.999998693769815	999.982331941336	1084.43543928637	1	1	-3.89152e-21	1.75595e-18
1652	2	1	-3.10758875752201e-05	-0.000443254630826396	0	-4.32110766394461e-05	-2.40383767199925e-06	0.999999999063513	999.970148476025	999.822796940951	1	1	-3.42654e-21	1.75391e-18
1686	2	1	-0.000262351102943065	-0.000323514402150782	0	-6.55476535333359e-05	0.000441713342220295	0.999999900296409	999.963916049664	1000.23928151955	1	1	-3.52942e-21	1.75358e-18
1694	2	1	-0.000264972331336821	-0.000193882335503048	0	-7.55712112972921e-05	0.000193469822785033	0.99999997842921	1000.00161978554	999.868420627369	1	1	-3.46577e-21	1.75338e-18
1706	2	1	-0.000291392092817616	-0.000147044624545067	0	-6.9798605290619e-05	0.00110961865423374	0.999999381937107	999.986656071295	999.620002918833	1	1	-3.68291e-21	1.7533e-18
1732	2	1	0.000357121538141505	-0.000461869957140981	0	9.93065031484486e-05	-0.000151456115897099	0.999999983599631	999.989345016679	999.957845736671	1	1	-3.42557e-21	1.7547e-18
1758	2	1	0.000159748584587893	-4.5398549600506e-05	0	-0.000627707695877194	-0.00121049572517588	0.999999070341142	1000.01768269121	999.654424973925	1	1	-2.95177e-21	1.74981e-18
1802	2	1	0.000289648941701914	-0.000160014827016164	0	0.000374227844993228	0.000290469365518629	0.999999887790527	999.975522262722	999.860295190246	1	1	-3.61099e-21	1.75691e-18
1810	2	1	0.000410602532622373	-3.43142273240976e-05	0	8.11870283266153e-05	-8.45952891500214e-05	0.999999993126152	1000.02384723606	1000.30288107365	1	1	-3.43818e-21	1.75466e-18
1813	2	1	-9.9324162319947e-05	0.000334860975825801	0	0.000285284998274763	-0.000184532988152989	0.999999942280021	1000.00637878674	999.781290756827	1	1	-3.46691e-21	1.75595e-18
1830	2	1	5.05182223958234e-05	0.000220486931153285	0	0.000396956032435038	0.000478919373073922	0.999999806531053	999.981158855777	1000.29015354584	1	1	-3.66122e-21	1.75675e-18
1838	2	1	-0.000181866796039612	-0.000115364703742404	0	-9.56604600563324e-05	0.00113203784540316	0.999999354669488	1000.00260891173	999.936799295493	1	1	-3.68242e-21	1.75338e-18
1903	2	1	0.000168111463267819	-0.000174335713453821	0	-5.72641562490167e-05	0.00154267484975816	0.999998808436852	999.994612272108	999.901360572729	1	1	-3.78297e-21	1.75371e-18
1924	2	1	-4.16085999062066e-05	0.000142080764264918	0	-0.000137728580385134	0.00118301215389505	0.999999290756289	1000.01976538815	999.533519476558	1	1	-3.68374e-21	1.75322e-18
1959	2	1	0.00023175574528056	-0.000260603317106103	0	-0.000582023660137224	9.81533859510022e-05	0.999999825807171	999.977095172206	1000.37633244461	1	1	-3.31584e-21	1.75048e-18
1994	2	1	-0.000495959167539695	-0.000301971280406099	0	-0.000139916714672575	-0.000338923161566293	0.999999932777199	999.978988973051	999.607093237747	1	1	-3.31442e-21	1.75313e-18
2028	2	1	0.000124795294916769	0.000388752319855579	0	-0.000338508500057544	0.000148657250062649	0.999999931656507	1000.01874172437	1000.13489600452	1	1	-3.38875e-21	1.75192e-18
2034	2	1	-0.000254936062167921	0.000321735761810382	0	-0.000289249128915516	-0.000915681606874465	0.999999538930962	1000.02067009159	999.834202822838	1	1	-3.12001e-21	1.7519e-18
2068	2	1	0.000195502588781201	0.000197204378042548	0	1.9886185627668e-05	0.000364537997836893	0.999999933358291	1000.01019755297	999.891955408693	1	1	-3.53344e-21	1.75419e-18
2076	2	1	0.000132114153918395	0.000421964636967476	0	0.000294777173495452	9.81030703652366e-05	0.999999951741101	1000.01926971689	999.544870646928	1	1	-3.54103e-21	1.75606e-18
2083	2	1	0.000203629748547707	-0.00040065871039241	0	-0.000591613229127021	-0.000567215359715675	0.999999664130205	999.99500360871	999.887395644116	1	1	-3.14005e-21	1.75028e-18
2086	2	1	0.000133769433640379	-0.00037937495302115	0	0.000194476798366681	7.00126136872186e-05	0.999999978638504	999.979574776539	999.798148487193	1	1	-3.50727e-21	1.75546e-18
2097	2	1	0.000152871450232017	-0.000405290093834082	0	0.000210243639376806	6.23214406192483e-05	0.999999975956825	999.995712326551	1000.12617727205	1	1	-3.50947e-21	1.75556e-18
2138	2	1	0.000132608778257992	-6.95235357023316e-05	0	-0.00029481989103023	0.000695206519323843	0.999999714884523	1000.01554899379	1000.4601922272	1	1	-3.53132e-21	1.75202e-18
2192	2	1	-0.000164408551713034	0.000181481171653286	0	4.6092122045224e-05	0.000956935625908236	0.999999541074757	1000.00855234976	1000.31750740207	1	1	-3.67953e-21	1.75436e-18
2208	2	1	-0.000280393475697027	-6.31646825102194e-05	0	0.000309971230170708	0.00177409309889607	0.999998378254441	1000.01323659463	1126.87221622986	1	1	-3.92693e-21	1.756e-18
2211	2	1	-6.71261142125013e-05	0.000172082086037362	0	-0.000280496746322276	-0.000668770632873222	0.999999737033673	1000.00882830452	999.993737326967	1	1	-3.18868e-21	1.75164e-18
2214	2	1	-0.000143657203884512	-3.94668936090081e-05	0	-0.000143735137019785	0.00108880245562767	0.999999396924529	999.990103473854	999.772914756341	1	1	-3.66013e-21	1.75299e-18
2235	2	1	0.000483780108205212	-0.000400073579629345	0	-0.000175020853018827	0.000733195087390425	0.999999715896292	999.997464349572	1000.15613814588	1	1	-3.57143e-21	1.75302e-18
2242	2	1	-0.000327153183189655	0.000331800397512662	0	-0.000500428918946002	-2.44565945900343e-05	0.999999874486378	1000.00260712268	1000.28741987146	1	1	-3.30373e-21	1.75066e-18
2256	2	1	-0.000241807796181603	-8.29803151740638e-05	0	-0.000179738146496569	0.00127874739697269	0.9999991662493	1000.00218162598	1000.00941060132	1	1	-3.69314e-21	1.75269e-18
2272	2	1	-0.000416509187928515	-0.000440016247885977	0	-0.000344237010398657	-0.000464486963069518	0.999999832876357	1000.00003441376	999.945770756433	1	1	-3.22751e-21	1.75143e-18
2288	2	1	-0.000415563617150616	4.50430694056703e-05	0	-0.000477303228463649	-0.000548113945388073	0.999999735876331	999.970485044385	999.814810269728	1	1	-3.17306e-21	1.75086e-18
2291	2	1	5.57013808660245e-05	6.36644297911104e-05	0	0.000157826999908456	0.00174123363776844	0.99999847159686	999.990119101941	1072.49274702319	1	1	-3.87998e-21	1.75495e-18
2329	2	1	0.000447310538858867	-0.000428801484839147	0	0.000123149936492367	-0.00035474530066712	0.99999992949493	999.974278232734	999.512011682991	1	1	-3.38055e-21	1.75512e-18
2335	2	1	4.30249084076989e-05	-0.000459224367413746	0	9.30404115431389e-05	-0.000278950428576025	0.999999956765069	1000.00908971862	1000.46650446477	1	1	-3.39122e-21	1.75469e-18
2368	2	1	0.000392734760493618	0.000145466715853693	0	-0.000480283866164293	-0.00047181403925701	0.999999773359434	999.992101960918	1000.33530766388	1	1	-3.19304e-21	1.75089e-18
2393	2	1	-0.000308309192604633	-2.66168822554702e-05	0	0.000141144976024361	0.00050664975934313	0.999999861692049	1000.00637910245	1000.4396755522	1	1	-3.5996e-21	1.75508e-18
2397	2	1	3.04902295417964e-05	0.00032474964129714	0	-0.000196858669242022	0.00073212638437746	0.99999971261877	1000.00078855447	999.57842266177	1	1	-3.56451e-21	1.75258e-18
2430	2	1	0.00015420033745589	5.60158824350343e-05	0	-0.000171594448417857	0.000365174741078335	0.999999918601373	999.995768754547	999.599380768696	1	1	-3.48389e-21	1.75289e-18
2474	2	1	0.000249494850982135	-0.000307560038204979	0	0.000278563442257879	0.00132300443388634	0.999999086030421	999.989158742167	999.494424703562	1	1	-3.82293e-21	1.75601e-18
2517	2	1	4.00510884197014e-05	6.43081761264597e-05	0	-7.1670211053405e-05	0.000373745949530404	0.99999992758867	1000.01008448192	1000.28896000386	1	1	-3.5123e-21	1.7537e-18
2549	2	1	-0.000384708151775603	0.000198318939113706	0	-0.000684377672881332	0.000880566997327036	0.999999378114289	1000.01329085413	1000.25016112732	1	1	-3.47761e-21	1.74931e-18
2558	2	1	0.000136549584147244	-9.43191740517824e-05	0	2.69962010382309e-05	0.000773718652252281	0.999999700315281	999.984785953207	999.634414133658	1	1	-3.6328e-21	1.75433e-18
2561	2	1	-0.00028143992090679	0.000208100718067539	0	0.000429223543382866	-0.000595278650705165	0.999999730705203	999.990811985812	1000.30503345206	1	1	-3.39891e-21	1.75694e-18
2585	2	1	0.00041244679013952	-0.00040832989679096	0	-0.000133752762328207	0.00104270989946051	0.999999447432979	999.976397793495	999.686853584882	1	1	-3.65262e-21	1.75316e-18
2620	2	1	-0.000290742872445682	5.18833980309719e-05	0	0.000494156139636185	-0.000844277493738074	0.999999521502497	999.974763259847	1000.35874288775	1	1	-3.34899e-21	1.75723e-18
2635	2	1	-0.000233600782943946	0.000138395857156581	0	-4.55430042365211e-05	0.00198421824662024	0.999998030399953	1000.01723553513	1074.52343375078	1	1	-3.87953e-21	1.75394e-18
2661	2	1	-1.70293364385454e-05	0.000372578751318076	0	-0.000263374618658387	0.000265046774425232	0.999999930192006	1000.01672295965	999.634697628582	1	1	-3.43634e-21	1.75235e-18
2700	2	1	0.000295972382312909	-0.000413465691075032	0	-0.000232799258085564	-0.00105038497430572	0.999999421247788	999.983924157971	999.482647798988	1	1	-3.09792e-21	1.75254e-18
2758	2	1	9.72514685935733e-05	-0.000343432602534804	0	0.000450340368524508	-0.000230253950424289	0.999999872088327	1000.0101955679	999.95083407369	1	1	-3.50039e-21	1.75718e-18
2795	2	1	0.000344715362036341	0.000445173366649593	0	0.000212948098333311	0.000157636368298558	0.999999964901941	1000.02272644833	1000.3597909644	1	1	-3.53333e-21	1.75536e-18
2834	2	1	-0.0004968751335672	-0.00025683471031912	0	1.45788373774066e-05	0.00192080027083845	0.999998155155187	999.978062736749	1076.26072863366	1	1	-3.87919e-21	1.75376e-18
2839	2	1	0.000224449172240349	-0.000287403135576292	0	-0.000466817977261927	-0.000935801983965272	0.999999453177662	1000.0009932937	1000.44146153052	1	1	-3.07076e-21	1.75114e-18
2842	2	1	-0.000137856513504842	0.000157194320145854	0	-0.000666289777388673	-0.000249421991456316	0.999999746923269	999.985497273774	1000.09802555505	1	1	-3.20587e-21	1.74982e-18
2847	2	1	0.000127262332198147	0.000106821502560805	0	0.000195322740283173	0.000520594329136106	0.999999845415274	1000.01212358234	999.811387580747	1	1	-3.61685e-21	1.75532e-18
2851	2	1	-0.000280459103789377	3.35690824329049e-05	0	-0.000228006664914305	-0.000821528677579441	0.99999963655173	999.988940664314	999.991902093754	1	1	-3.1608e-21	1.75211e-18
2884	2	1	0.000496917073681657	0.000250186442303568	0	0.000417839367706131	0.000700179985746159	0.99999966757907	1000.01104423557	1000.23637392105	1	1	-3.72051e-21	1.75717e-18
2921	2	1	0.000190530617723828	-0.000104415650727142	0	-2.66695500091268e-05	6.69039498629211e-06	0.999999999621987	999.9879096214	1000.26408004843	1	1	-3.43281e-21	1.75391e-18
2927	2	1	0.000408875591815128	-0.000136526309686413	0	0.000346924276820794	0.00109952119187337	0.999999335348126	1000.00273244842	999.471679006633	1	1	-3.79102e-21	1.75632e-18
2931	2	1	-0.000149132639647276	0.000284729137701278	0	-0.000363105171010111	0.00113741170790342	0.999999287224367	1000.00066697782	999.59312691317	1	1	-3.6158e-21	1.75153e-18
2947	2	1	0.000307019234462302	-0.00042614921981371	0	-0.000302570898479126	-0.000285267878761814	0.999999913536541	1000.00136451835	1000.40057908161	1	1	-3.28681e-21	1.75204e-18
2949	2	1	0.000239770268824824	1.21267354544763e-05	0	0.000307994151995136	0.00115783304811791	0.99999928228086	1000.00556057182	999.893088039306	1	1	-3.79362e-21	1.75604e-18
2997	2	1	-0.000279617862936343	0.000287635557413513	0	0.000451869462771487	0.000835832975115381	0.999999548598511	1000.01743252365	999.861512651007	1	1	-3.75936e-21	1.75702e-18
3010	2	1	0.000355680737855524	6.48863803758282e-05	0	0.000171030081975792	-0.000166115386984547	0.999999971577194	1000.02013450165	1000.2518616672	1	1	-3.44153e-21	1.7553e-18
3021	2	1	2.31090447261328e-06	-0.000330559866206837	0	0.000260419896480053	0.000462019197719049	0.999999859359859	999.998717039754	999.6083399593	1	1	-3.61997e-21	1.75573e-18
3022	2	1	-0.000348805703456356	0.000353740238286937	0	0.000304303510175137	0.0011019831432304	0.999999346516049	1000.02904994908	999.704288655727	1	1	-3.78095e-21	1.75624e-18
3034	2	1	0.000118010844539634	-7.55093008957264e-05	0	0.000196897065365199	0.00149276751947105	0.999998866437697	1000.00089713166	1019.86766286785	1	1	-3.83733e-21	1.75522e-18
3038	2	1	-0.000399069940291763	0.00040845302165643	0	-0.000472947823377508	-0.000416388014398925	0.999999801470669	999.993734775334	999.94578145475	1	1	-3.20769e-21	1.75046e-18
3057	2	1	-0.000145179333479822	0.000488089376636081	0	0.000160470333446227	-0.000140661040188917	0.999999977231871	1000.0021232949	999.625084851803	1	1	-3.44775e-21	1.75589e-18
3063	2	1	-5.18248014980544e-05	-0.000120661813671152	0	-6.59004197090807e-05	-0.00027370094362048	0.999999960372464	999.976609706416	1000.02872823343	1	1	-3.34971e-21	1.75334e-18
3067	2	1	1.71438141088609e-05	-0.000453328513389639	0	-0.000133106971548998	-0.000824573347984716	0.999999651180603	1000.00536993794	999.648533777594	1	1	-3.18713e-21	1.75339e-18
3078	2	1	3.10931717537044e-05	0.000492166586401721	0	-0.000279173787000791	0.000748383744413579	0.999999680991833	1000.02262794688	1000.39916303618	1	1	-3.54871e-21	1.75234e-18
3103	2	1	0.000138230853713284	0.000105630761945641	0	-0.000332174820206969	0.000418232010247786	0.999999857370927	1000.00571668514	1000.32939109247	1	1	-3.45675e-21	1.75201e-18
3119	2	1	-0.000412480620248058	-0.00011664874586681	0	-1.75079696223406e-05	0.00175471057567615	0.999998460340948	1000.01950387043	1025.08290694474	1	1	-3.83605e-21	1.75349e-18
3131	2	1	0.000159667328826829	0.000261502683384859	0	0.00015225670417009	8.07195603619599e-05	0.999999985151125	1000.00249788609	999.721465497175	1	1	-3.49922e-21	1.75525e-18
3169	2	1	0.000101671488052707	-0.000233587425778614	0	-8.8674989582392e-05	0.00105565589451485	0.999999438863532	999.998069520903	999.804211739215	1	1	-3.66698e-21	1.75342e-18
3229	2	1	0.000104188518427084	0.000237366033985276	0	-0.000493510034541117	-0.000547979074748125	0.999999728083353	1000.03246470843	999.927300634908	1	1	-3.16859e-21	1.75059e-18
3246	2	1	0.000111714261929463	-0.000258411600823821	0	-0.000196729863938401	0.000239068355215508	0.99999995207184	999.97534817311	999.603694476591	1	1	-3.44787e-21	1.75305e-18
