sep=	
IntermediateFocus_RN	IntermediateFocus_RS	IntermediateFocus_RO	IntermediateFocus_OX	IntermediateFocus_OY	IntermediateFocus_OZ	IntermediateFocus_DX	IntermediateFocus_DY	IntermediateFocus_DZ	IntermediateFocus_EN	IntermediateFocus_PL	IntermediateFocus_S0	IntermediateFocus_S1	IntermediateFocus_S2	IntermediateFocus_S3
17	2	1	-0.000263364857530007	0.000314639865410249	0	0.000145905486419969	-0.000413951299894071	0.99999990367795	1000.01265005487	1000.52175900025	1	1	-3.37028e-21	1.75507e-18
24	2	1	-0.000261411676087397	2.08120878043005e-05	0	-0.000539525271212135	-5.58267950813117e-05	0.999999852897915	1000.00749345771	1000.17154062666	1	1	-3.28663e-21	1.75057e-18
104	2	1	-0.00014863484086447	0.000314315658893616	0	-0.000860427605053893	0.00178899925773135	0.999998029571055	1000.00245323573	1000.11266443	1	1	-3.63827e-21	1.74848e-18
107	2	1	6.02371330675269e-05	0.000389207457416108	0	-4.80783556721357e-05	0.00183640686561618	0.999998312647724	1000.04318870509	1036.71318467952	1	1	-3.84723e-21	1.75365e-18
111	2	1	-4.13620613676224e-07	0.000423086736802136	0	0.000142989152592884	-0.000589704521940338	0.999999815901323	999.995175117908	999.547987879237	1	1	-3.32256e-21	1.75493e-18
202	2	1	-0.000391197762292739	0.000417889493490531	0	0.000239108302676101	-0.000448239866052953	0.999999870954113	1000.01256809032	1000.01046637749	1	1	-3.38705e-21	1.7559e-18
231	2	1	-0.000137920984307788	0.000380763902273373	0	-3.92054869470353e-05	-0.000518420497054544	0.999999864851549	1000.00647965892	1000.24415947533	1	1	-3.29319e-21	1.75369e-18
263	2	1	-0.000413338117845635	-0.000262325412395015	0	-0.000189282428364445	0.000614078990653277	0.999999793539557	999.965572981111	1000.24644836055	1	1	-3.53866e-21	1.75271e-18
294	2	1	-0.000129799969916494	0.000302741034675313	0	-0.000175402468935942	-0.000694674018117011	0.999999743330958	1000.02159482772	999.803464929631	1	1	-3.2113e-21	1.753e-18
306	2	1	0.000230851899262113	-0.000387828279921495	0	0.000173896999385807	9.66901292577607e-05	0.999999980205426	1000.00569046455	999.624320207151	1	1	-3.50838e-21	1.75531e-18
318	2	1	0.000382040033224423	0.000411126687096419	0	-6.66822300923707e-05	0.000181578229880977	0.999999981291413	999.98899458287	999.679383118214	1	1	-3.46592e-21	1.75354e-18
334	2	1	0.000370093212904959	-0.00046026443831404	0	9.21769555277952e-05	0.00133223613932931	0.999999108324741	1000.0015604828	999.617587677939	1	1	-3.77498e-21	1.75453e-18
369	2	1	0.000187084564727824	-6.44281732888885e-05	0	-0.000322989337845902	-0.00103744738764715	0.999999409690229	1000.0033389808	1000.25902014606	1	1	-3.07763e-21	1.75175e-18
371	2	1	-0.000243869177875417	-0.000372098366493878	0	-0.000135963009929215	-0.00103273562394941	0.999999457485448	999.981739396239	999.82699099663	1	1	-3.12722e-21	1.75301e-18
