,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,2,100000.0,1.17577026432641,,2277.2,0.0003696145611685,500.0,0.031770500530132,0.0231017181477533,0.0071570936225717,5322449680.828292,2347052463.420809,1234512634.3032289,680090792.5502816,380702998.0036903,215115674.60014343,15.814689733327574,0.0058455981775213,84176613756.30814,37119548427.26089,19524297912.92147,10755900646.639372,6020966122.847041,3402138139.3174543,1.1549244223131721e-07,5.0928958900615575e-08,2.678783035087496e-08,1.4757367618446089e-08,8.260917742934494e-09,4.667819540182404e-09,6.458154983629428e-08,2.8478669545865877e-08,1.4979331698140478e-08,8.252086923526492e-09,4.619374745234938e-09,2.6101709725502275e-09
1,1,0.02,520,2,100000.0,1.18413280440169,,2295.5,3.5242697100409826e-05,520.0,0.0326446728065263,0.0222892994720544,0.0071893035695399,507494838.2459015,223791126.5876024,117710608.31536882,64846562.66475407,36299978.01342212,20511249.71243852,16.1063604466395,0.0005677720233089,8175917135.649557,3605352348.0121303,1896358557.85205,1044700522.8885545,584805184.0082667,330443317.56583625,1.146197770577283e-08,5.054413779976213e-09,2.658542051200086e-09,1.4645860401820835e-09,8.198497942323621e-10,4.6325493227498503e-10,6.443511581246225e-09,2.841409620896772e-09,1.494536713983499e-09,8.233375909370178e-10,4.608900644919175e-10,2.60425259742035e-10
2,2,0.02,540,2,100000.0,1.19462031821519,,2310.25,1.7709437999127753e-05,540.0,0.0331788067776187,0.0224415983074412,0.0072204638153431,255015907.18743956,112454931.2944612,59149522.91708668,32585365.91839506,18240721.13910158,10306892.915492352,16.41935855058389,0.0002906458474582,4185300203.399907,1845601131.360376,970757130.510812,534788359.3233216,299365222.8820767,169155883.2207463,5.985796028385187e-09,2.6395697764059677e-09,1.388372134361564e-09,7.648517147381071e-10,4.2815068814144044e-10,2.419259228139013e-10,3.38681386020157e-09,1.493490834186109e-09,7.855526592411976e-10,4.327595488035339e-10,2.4225126916719563e-10,1.3688372684981348e-10
3,3,0.02,560,2,100000.0,1.20514112000624,,2329.35,0.0088067813266585,560.0,0.0335607282483749,0.0216345884256434,0.0071042230934164,126817651103.88322,55923061424.28184,29414649631.03959,16204477641.051744,9070984766.458317,5125546732.11528,16.795872386577305,0.148025490363877,2131567061239.8296,939961863810.6188,494405137815.3493,272366902269.5337,152466255074.79333,86150835391.77643,3.0757922589154354e-06,1.3563389475078483e-06,7.134129267206634e-07,3.930178997503056e-07,2.200045851863124e-07,1.2431327046449885e-07,1.758150083304796e-06,7.752953492351007e-07,4.0779314432208454e-07,2.246525106445017e-07,1.2575656845860693e-07,7.105856586690218e-08
4,4,0.02,580,2,100000.0,1.21534946177801,,2303.95,0.0207579558980778,580.0,0.034149495811556,0.0213035034845306,0.0072327407927368,298914564932.321,131813019952.79433,69331572699.58002,38194638852.463234,21380694575.02018,12081130332.681309,17.101713805035367,0.3550615752566724,5112886683696.083,2254641002879.8696,1185905661357.286,653313298472.2772,365713422514.3726,206645836799.38333,7.514248237756085e-06,3.3135747437327173e-06,1.7428881329239812e-06,9.60153941491055e-07,5.374774781172755e-07,3.037008662759751e-07,4.30284824788497e-06,1.897436553754831e-06,9.98021746384431e-07,5.498083872297463e-07,3.0777317328621665e-07,1.739067833520176e-07
5,5,0.02,600,2,100000.0,1.21985929056978,,2339.35,0.0078791430525134,600.0,0.0365991070658082,0.0205573420564901,0.0071023765673635,113459659956.19373,50032558383.460434,26316337795.394936,14497623216.624756,8115517344.088858,4585661256.562831,16.521662190474864,0.1301925350881358,1874772505269.156,826722597809.663,434843067194.3739,239554264562.1701,134098311140.77995,75772055421.29507,2.9536054236849467e-06,1.3024579472499597e-06,6.850723691047031e-07,3.774051374708544e-07,2.112648323885761e-07,1.193748858739333e-07,1.68571623775109e-06,7.433540353971821e-07,3.909925162561557e-07,2.153970748237504e-07,1.2057553645025158e-07,6.813103127577325e-08
6,6,0.02,620,2,100000.0,1.22668718395639,,2349.5,0.0082945937749294,620.0,0.0378563702154792,0.0198866853449653,0.0070683571931658,119442150358.98495,52670670470.80238,27703943208.264565,15262052545.8703,8543431588.177397,4827453577.008975,16.484188438537142,0.1366654370592451,1967982293653.1304,867825525326.2065,456462559777.8788,251464404189.01108,140765400171.02252,79539284368.48067,3.2148859856252524e-06,1.4176754172722464e-06,7.456749438880793e-07,4.1079098705211547e-07,2.2995365036069519e-07,1.2993497525235398e-07,1.828717736726724e-06,8.064137241815763e-07,4.241609194907818e-07,2.336694885817481e-07,1.3080411589086985e-07,7.391067519270508e-08
7,7,0.02,640,2,100000.0,1.23422873606346,,2368.45,0.0093185085121299,640.0,0.0382450177925931,0.0205357202668014,0.0069849043521858,132322820872.24615,59172529052.02559,31123818430.514244,17146055662.319223,9598063767.493916,5423371954.059668,16.794408038592714,0.1564715857489363,2221896517634.8955,993594569505.7456,522615096401.44727,287907717778.04285,161165733321.4044,91066462905.88092,3.679726145914852e-06,1.6455113398985426e-06,8.65513051222226e-07,4.768095851044598e-07,2.669097134008661e-07,1.5081694485369322e-07,2.086439392880622e-06,9.330204327318272e-07,4.9075405438178e-07,2.703555269648129e-07,1.5134032215965076e-07,8.551462863778323e-08
8,8,0.02,660,2,100000.0,1.24231942993718,,2380.55,0.0106236029056494,660.0,0.0397771057519605,0.0211991500379484,0.0070958070361728,149792800969.65833,67459878450.87449,35482833704.86942,19547429346.39513,10942310992.819012,6182936891.088025,16.665928404346502,0.1770363402100462,2496212396961.6533,1124180760333.7944,591301376301.5548,325746865986.4852,182347430416.3477,103035150002.247,4.297617648462551e-06,1.935451919697673e-06,1.0180172302031857e-06,5.608238633454676e-07,3.139394452422997e-07,1.773910263407947e-07,2.4426097876989336e-06,1.100040578148101e-06,5.786040206322298e-07,3.1875191555787504e-07,1.784317788177235e-07,1.008226167688496e-07
9,9,0.02,680,2,100000.0,1.25043238280315,,2396.35,0.0121332825638314,680.0,0.0406568303410721,0.0205180673815074,0.0072715311663929,168652627637.2578,77046344280.33,40525163763.1972,22325239917.44996,12497281040.746445,7061570452.14993,16.90516881921611,0.205103037488417,2850932221088.997,1302404288051.448,685044145211.3127,377389588978.6874,211256128613.06952,119369967818.25874,4.987730271299304e-06,2.278567426097164e-06,1.198490583175516e-06,6.602463092942961e-07,3.695944013984376e-07,2.0883877826591329e-07,2.838357155144689e-06,1.296659563681207e-06,6.820225106606663e-07,3.757249759328222e-07,2.1032430717978642e-07,1.1884344347440357e-07
10,10,0.02,700,2,100000.0,1.25848494585637,,2390.75,0.0140580536585933,700.0,0.039548172276801,0.0200667999679365,0.0073122073198036,192595335122.72992,89268640732.06824,46953899219.70205,25866818731.811916,14479795268.351229,8181787229.301374,17.847128253713134,0.2508323537369507,3436403246196.224,1592785446229.6367,837780061481.4153,461531530875.98926,258357324349.0592,145984429874.90524,5.866575419506629e-06,2.7191791178005174e-06,1.4302453942446814e-06,7.879196183862914e-07,4.410636994227611e-07,2.4922240103305533e-07,3.3390835696592004e-06,1.5476774209734243e-06,8.140539505592502e-07,4.4846085899072486e-07,2.510405895437209e-07,1.4185011952858794e-07
11,11,0.02,720,2,100000.0,1.266694990595,,2433.3,0.016714858421981,720.0,0.0404403045077344,0.0199744791455494,0.0071529627110129,225650588696.7443,106139350979.57974,55827627129.41673,30755339496.445152,17216304174.64049,9728047601.592978,17.94059674923973,0.2998752774168177,4048316245127.038,1904208011596.793,1001583426572.1711,551770510446.9446,308871535739.32227,174527411456.58795,7.072446885168361e-06,3.3266694608014143e-06,1.749775747886098e-06,9.639483162007247e-07,5.39601503090623e-07,3.0490104349392493e-07,4.018001967538125e-06,1.8899490736197843e-06,9.94083449746469e-07,5.476387866866777e-07,3.065586686343902e-07,1.7322052926719916e-07
