,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
12,12,0.02,740,2,100000.0,1.27448555561608,,2430.15,0.0201860895025767,740.0,0.0432192661258056,0.019921583117609,0.0071562069396062,268474990384.2713,128181668341.36258,67421538938.60646,37142404684.74129,20791672187.65409,11748304090.499687,17.253099009348297,0.3484238736833752,4634037519988.892,2212491597889.433,1163735738102.474,641099927577.4108,358876589893.8766,202782694483.7245,8.651275008583386e-06,4.130495962744699e-06,2.172575829223196e-06,1.196868121488228e-06,6.699859593113449e-07,3.785745906011677e-07,4.9003143134316015e-06,2.339623751149675e-06,1.230605248636207e-06,6.77938220805575e-07,3.794980257770339e-07,2.144348067982852e-07
13,13,0.02,760,2,100000.0,1.28257035434233,,2440.75,0.0237723686577242,760.0,0.043239539516378,0.0198970619834983,0.007374902192827,313795266281.96014,150954540976.54904,79399711316.79903,43741158330.21263,24485539717.455982,13835518558.795515,17.796627099322137,0.4229973996128602,5583565674889.756,2686033487541.662,1412811314706.9526,778315215287.6627,435687321601.24585,246184486574.68457,1.0389538308893602e-05,4.997997595566239e-06,2.62886802664429e-06,1.4482386733609264e-06,8.1069882258791e-07,4.580841890739453e-07,5.863074522370082e-06,2.8204941831098493e-06,1.483535523084551e-06,8.172770546334053e-07,4.5749748166978657e-07,2.5850828575904457e-07
14,14,0.02,780,2,100000.0,1.29084637328192,,2463.05,0.0276251614358428,780.0,0.0442864868652179,0.0198043020449123,0.007228571909535,359127098665.95764,175419775117.60236,92268039195.7153,50830297041.95093,28453916278.91819,16077843955.660564,17.765264383648255,0.4911005490840009,6384307138092.013,3118488486683.4062,1640275833940.563,903625010314.5616,505833565556.521,285820519566.8885,1.2206491073928173e-05,5.962401409187992e-06,3.1361292451477e-06,1.7276879673867568e-06,9.671296773958475e-07,5.46475215771246e-07,6.863354795212978e-06,3.3524848422771085e-06,1.763354232000873e-06,9.714286787070675e-07,5.437888799284129e-07,3.0726711467799644e-07
15,15,0.02,800,2,100000.0,1.29941365924252,,2444.7,0.0316381859950926,800.0,0.046107996210361,0.0192910223846881,0.0070863483985213,404968780737.187,200902481068.8388,105671541223.60973,58214262230.97062,32587331574.945507,18413424249.143967,17.406149459500377,0.5506714225264324,7048594208338.336,3496763533042.846,1839242551238.2844,1013235417448.636,567191565202.2253,320490767910.38367,1.412274895638096e-05,7.006207490079618e-06,3.685154805805658e-06,2.0301451624797637e-06,1.136439955083781e-06,6.42143741610447e-07,7.919368371655999e-06,3.928749153126217e-06,2.0664601844789866e-06,1.1384092034255496e-06,6.372616736566934e-07,3.600837806487337e-07
16,16,0.02,820,2,100000.0,1.30778091275259,,2463.9,0.0363477733827608,820.0,0.045123470163412,0.0187664530830452,0.0073013812951669,457981944622.7868,230808360980.5315,121401563098.4213,66879903024.27998,37438206584.24369,21154404108.766823,18.35458859390524,0.6665717027216239,8398803454292.461,4232730312282.31,2226349487090.2227,1226491933007.7876,686568853803.2723,387944730983.985,1.6375012367110243e-05,8.252486391361117e-06,4.340677881440335e-06,2.391271647260544e-06,1.3385922808034564e-06,7.563696188617589e-07,9.151219770267092e-06,4.611924249301273e-06,2.4257995264041333e-06,1.336368601372337e-06,7.48075901855167e-07,4.226991989123371e-07
17,17,0.02,840,2,100000.0,1.31630553599908,,2481.25,0.04184519790942,840.0,0.0473958598582498,0.0197189828459395,0.0075082117123914,518880454076.80896,265717006724.81747,139762961017.46307,76995164153.33293,43100553846.70268,24353905183.28249,17.881161794720462,0.748058771206763,9275928762963.86,4750173197162.944,2498516295830.5884,1376428139020.444,770500534342.966,435370204842.33606,1.9011204011907517e-05,9.735576248033285e-06,5.1207597903041215e-06,2.8210173695088567e-06,1.5791564622794145e-06,8.923000592685624e-07,1.058006928742025e-05,5.418019352832146e-06,2.849792856450294e-06,1.569945765230102e-06,8.788283359711983e-07,4.965806713934345e-07
18,18,0.02,860,2,100000.0,1.32489377407417,,2498.3,0.0482168414558157,860.0,0.0481620346555814,0.0192143454097244,0.0072776543054248,583423781615.3716,306176943244.4306,161044250462.4249,88718988278.70114,49663346699.49031,28062201727.28482,17.957177567102804,0.8663245920819787,10482527564191.938,5501161159720.564,2893524137553.8086,1594037249430.8403,892314329844.4379,504200912591.7116,2.1888971707566374e-05,1.1487187631656736e-05,6.042079793658819e-06,3.3285709042910864e-06,1.8632761040325103e-06,1.0528414490746802e-06,1.2123847338335304e-05,6.362514925490015e-06,3.346582653722308e-06,1.8436263721104929e-06,1.0320299800401129e-06,5.831470372653842e-07
19,19,0.02,880,2,100000.0,1.33329262758449,,2503.35,0.0543455880198567,880.0,0.0472027201219816,0.0187114050645153,0.0072147810247042,646712497436.2965,345094483926.0909,181514263986.32184,99995881956.5366,55975955660.45254,31629132227.556683,18.81095407093108,1.021302209314335,12153496290840.578,6485269029146.025,3411149379109.8774,1879196065138.376,1051941275593.7646,594397885820.9427,2.4835006920934307e-05,1.325229360906999e-05,6.9704977408336645e-06,3.840034683573036e-06,2.1495846326522974e-06,1.2146196662171235e-06,1.3679654312197575e-05,7.299647469113829e-06,3.839499613675623e-06,2.115173439869205e-06,1.1840373060137391e-06,6.690385554368899e-07
20,20,0.02,900,2,100000.0,1.3422067252821,,2509.5,0.0605073264091267,900.0,0.0489253918312499,0.0188072293283159,0.0071878937958585,707935718986.7843,384221522697.9555,202094470206.48373,111333480592.79344,62322546201.40068,35215263970.11183,18.48901706893608,1.118556177821141,13087107280507.348,7102831729164.244,3735977633922.6094,2058143367190.899,1152112863155.775,650999695491.904,2.7808045779026226e-05,1.509240091425782e-05,7.938365205294665e-06,4.373231131060534e-06,2.448058730974104e-06,1.383272020802843e-06,1.5225275369951528e-05,8.263290478563434e-06,4.34636066116565e-06,2.394402280402633e-06,1.3403447547906047e-06,7.573598517360504e-07
21,21,0.02,920,2,100000.0,1.35104631264484,,2496.4,0.0665977927295785,920.0,0.0504087399537069,0.0191491357988193,0.0070977038229525,765874616390.1537,422895983832.824,222436627716.79248,122539938622.4246,68595726511.46594,38759915368.61473,18.376699370477628,1.2248372297442307,14085628142058.66,7777716408875.867,4090956347345.731,2253700502729.3853,1261582346636.558,712855267711.1425,3.076034645175755e-05,1.6985060866840042e-05,8.933874534684366e-06,4.92165543228121e-06,2.755057116983503e-06,1.556741011732426e-06,1.672891050730434e-05,9.237267975772396e-06,4.858657486469262e-06,2.6766256811686945e-06,1.4983285063063887e-06,8.466283404566198e-07
22,22,0.02,940,2,100000.0,1.36010248136541,,2539.6,0.0743576981544993,940.0,0.0517583531496654,0.018482063244072,0.0073198779531974,832806219330.3936,472171383281.0712,248354711836.028,136818164604.2789,76588429099.13437,43276180325.918655,18.247924105362728,1.3569028793686706,15197312248929.11,8616333283991.057,4532055617091.359,2496701298038.354,1397609965749.7305,789717475792.5663,3.4180725964956526e-05,1.9379250881917317e-05,1.019318077883525e-05,5.615404979957143e-06,3.1434060485629654e-06,1.776177009964705e-06,1.8456316594613248e-05,1.0464072354981622e-05,5.503937270179309e-06,3.03210915482932e-06,1.6973219725403258e-06,9.59069308755796e-07
23,23,0.02,960,2,100000.0,1.36926953155921,,2528.05,0.081437539612152,960.0,0.0510562093459838,0.0182355858710526,0.0072071527429672,895812935733.6732,517128376537.1658,272001382304.58804,149845072886.35992,83880665800.5167,47396648054.27252,18.958350881026025,1.543788274264184,16981671016906.02,9803055541577.57,5156252836042.375,2840570424646.0986,1590101922492.1096,898484775621.7551,3.7558615170691726e-05,2.168156421217204e-05,1.1404161333646391e-05,6.282531992188432e-06,3.5168521478011334e-06,1.987192184485689e-06,2.012289515115929e-05,1.1616398564532866e-05,6.11004270953382e-06,3.366011552557555e-06,1.88423472779037e-06,1.0646840889067916e-06
24,24,0.02,980,2,100000.0,1.37836355581004,,2556.9,0.0900662273320296,980.0,0.0538168791424083,0.0181829881194553,0.0072934358152742,963708632452.7178,571920543558.3887,300821199288.9792,165721858290.9347,92768214151.99055,52418544307.2413,18.309440821450004,1.650195905976587,17657096193949.48,10478744002951.324,5511654325961.802,3036360466996.9204,1699701783155.884,960414017278.3737,4.125158378156849e-05,2.448108009466915e-05,1.2876662600975584e-05,7.093730295148225e-06,3.970946850001452e-06,2.2437777346610147e-06,2.1922448241527345e-05,1.3010051059224171e-05,6.8430819744580684e-06,3.7698415667673184e-06,2.110291746614314e-06,1.1924172781840107e-06
25,25,0.02,1000,2,100000.0,1.38719560853008,,2536.2,0.09779404580619,1000.0,0.0533930974599229,0.0184811512146251,0.0073304335524579,1026837480964.9958,620992190869.307,326632112992.6749,179941044283.38974,100727867180.3758,56916134659.20264,18.83001751619471,1.8410547776497237,19331075165322.09,11690697838075.74,6149122957350.076,3387540790875.49,1896286420979.2144,1071493880592.1388,4.485083314821882e-05,2.712407528487519e-05,1.426683644905246e-05,7.85957457073549e-06,4.399653156444323e-06,2.486017608786986e-06,2.3632786439607088e-05,1.4292208942048094e-05,7.5174768293607295e-06,4.141364480845432e-06,2.3182638126471708e-06,1.3099315912239363e-06
26,26,0.02,1020,2,100000.0,1.39664356222928,,2541.7,0.1063889158189337,1020.0,0.0535026499586023,0.0183492148468873,0.0073460151251579,1085166941353.1244,675569615450.2292,355338978835.2387,195755605106.83807,109580583293.50174,61918349006.61943,19.26179859744192,2.047991273277707,20889510987432.613,13004744585313.436,6840290852747.541,3768303942830.981,2109431011476.0376,1191930921047.6252,4.8360741752828e-05,3.010693236573116e-05,1.583577229945544e-05,8.723898512274855e-06,4.8834866671973374e-06,2.7594070294260675e-06,2.5255528977788423e-05,1.5722804804799656e-05,8.269947724099348e-06,4.555899345012813e-06,2.5503132203060864e-06,1.4410507710855752e-06
27,27,0.02,1040,2,100000.0,1.40604835471862,,2578.0,0.1161484500248238,1040.0,0.0557606473638201,0.0185872718489427,0.0073705887977123,1158000046747.494,737542657657.6318,387935823082.9119,213713148045.676,119632903525.56863,67598397914.44751,18.743061905887256,2.175899569400497,21693718706922.945,13816962265693.152,7267504561797.656,4003655207696.914,2241176556482.5107,1266373549391.0886,5.26184611709494e-05,3.351326263144721e-05,1.762744837622577e-05,9.710929644387851e-06,5.4360095291953735e-06,3.0716092679531147e-06,2.7242893363309006e-05,1.7351291159178754e-05,9.126505901048354e-06,5.0277757059667575e-06,2.814461400622696e-06,1.5903073156916594e-06
28,28,0.02,1060,2,100000.0,1.4155721082738,,2602.3,0.1268564752615162,1060.0,0.057144824585407,0.0181919630733565,0.0072511015130258,1231776374789.3235,805538617910.6287,423700627373.4645,233415914481.19,130662169519.36176,73830468602.20248,18.615949486715184,2.36170934018192,22932197693166.44,14996854310155.191,7888109196207.611,4345545185934.733,2432560620387.378,1374514835985.8774,5.705342708261272e-05,3.731094356071997e-05,1.962496873902436e-05,1.081136002389366e-05,6.05201131772308e-06,3.4196801814707107e-06,2.9274130583220016e-05,1.914425635462895e-05,1.0069577358182784e-05,5.547312077561775e-06,3.105288826026428e-06,1.7546389288809522e-06
29,29,0.02,1080,2,100000.0,1.42522230999383,,2581.8,0.1356158873245052,1080.0,0.0574855003982406,0.0174347246393061,0.0073923909078922,1278857817470.0847,861160884510.6086,452957063663.84766,249533232677.08984,139684363944.24042,78928446422.86208,18.950709225340702,2.5708042913902576,24242684467810.133,16324607250328.137,8586486333243.459,4730279896158.075,2647928420131.966,1496208097589.13,6.03606225818832e-05,4.064580629851096e-05,2.1379054021578992e-05,1.17776824550016e-05,6.592941809049808e-06,3.725332167832028e-06,3.0680560839432984e-05,2.0659762601314887e-05,1.0866709777699486e-05,5.986450895499118e-06,3.35111109911092e-06,1.8935404462937425e-06
30,30,0.02,1100,2,100000.0,1.43421228863291,,2578.05,0.144950196948675,1100.0,0.0575848872043024,0.0172354864981759,0.0071070656024491,1324844800110.89,920433750624.0868,484133657808.5747,266708362385.56207,149298702857.1353,84361014624.12888,19.269402637929776,2.793546512348552,25533015122865.77,17739020353413.3,9330445351244.164,5140125582721.334,2877352907719.0083,1625844070186.8574,6.369614449935768e-05,4.425279185677477e-05,2.327627162230358e-05,1.2822856223065442e-05,7.178011907476851e-06,4.055925174904396e-06,3.206311728999562e-05,2.22757981172289e-05,1.1716719009692052e-05,6.454719454441132e-06,3.6132396946056343e-06,2.041655827437358e-06
31,31,0.02,1120,2,100000.0,1.44409865044327,,2614.1,0.1565274999371926,1120.0,0.0584610285527218,0.0183386910793177,0.0073853342378044,1385268374444.1558,993949624601.1738,522801849790.2236,288010599884.4347,161223324935.3085,91099004963.44617,19.32598959344253,3.023073593549858,26754201302916.246,19196517319041.6,10097065802456.527,5562455412131.739,3113765801356.3545,1759428831446.0176,6.78171032782951e-05,4.865972947086709e-05,2.5594251406723797e-05,1.4099827122267004e-05,7.892838008660333e-06,4.459836622369236e-06,4.243717985112049e-05,3.0449275938374573e-05,1.601583962742852e-05,8.82309727978098e-06,4.93901641205131e-06,2.7907840308872453e-06
32,32,0.02,1140,2,100000.0,1.45381420065885,,2617.05,0.1655214609785263,1140.0,0.0592651720706043,0.0172618005824799,0.0070867136091757,1416863705976.1863,1051061277213.6428,552841679668.2782,304559488200.48865,170487104807.88217,96333490289.5024,19.313702916700624,3.1954648874083067,27353179436215.1,20291202035042.742,10672852723943.746,5879655392831.284,3291328834030.556,1859760564471.6345,7.061028654672525e-05,5.238029434248895e-05,2.7551209937624103e-05,1.5177912061445612e-05,8.49633120830923e-06,4.800839575957256e-06,4.411857754426095e-05,3.2728150397903864e-05,1.721449170535416e-05,9.483432556243003e-06,5.308660615722989e-06,2.9996509498551256e-06
33,33,0.02,1160,2,100000.0,1.46375114566509,,2606.85,0.1759913633277142,1160.0,0.0591177800577497,0.0179163236316337,0.0073014907889325,1453688661086.9194,1117545157130.985,587811153514.5656,323824108522.9942,181271104227.5456,102426973456.72968,19.68803205953163,3.4636149005752785,28609459078751.8,21993954618653.016,11568473767921.428,6373051417058.513,3567523347592.5366,2015823872134.812,7.37164545075708e-05,5.667063996647391e-05,2.980786417134219e-05,1.642109882493102e-05,9.192245537868996e-06,5.19406495440753e-06,4.699733477373792e-05,3.61299123260576e-05,1.900376490850903e-05,1.0469139949597791e-05,5.86044247178572e-06,3.311434484057563e-06
34,34,0.02,1180,2,100000.0,1.47374179461199,,2646.4,0.1894734850157912,1180.0,0.0639300379371888,0.0175927742056002,0.0072393903966875,1519577349826.6458,1203156629850.2742,632841439952.7426,348631212429.056,195157689566.26492,110273568279.1905,18.54971435394232,3.512946787935319,28173833239241.258,22307212103389.277,11733242271703.965,6463822089800.986,3618335191573.378,2044535030578.3557,7.83977374123321e-05,6.207302151724548e-05,3.2649431790173216e-05,1.7986513321532545e-05,1.0068537348466588e-05,5.689212365832579e-06,4.995602482146096e-05,3.9553710425969706e-05,2.0804628790982487e-05,1.14612326273676e-05,6.415798699015558e-06,3.625237711482579e-06
35,35,0.02,1200,2,100000.0,1.48319437300648,,2644.7,0.2003175614187021,1200.0,0.0635045000267723,0.017692278535989,0.0072587006052421,1530426169238.8845,1272016515008.7583,669060655138.4651,368584313010.412,206327088261.2632,116584820745.68465,18.99055205343734,3.8027914018593862,29053326310205.707,24147725401807.105,12701323282210.348,6997136179421.271,3916875143915.169,2213224595882.1626,8.029570940490132e-05,6.673792601061824e-05,3.51030980906244e-05,1.9338233678667332e-05,1.0825206896210515e-05,6.1167673918393415e-06,5.11347131152043e-05,4.250071050805594e-05,2.2354704424709732e-05,1.2315166509420933e-05,6.893816035164979e-06,3.895340711132057e-06
36,36,0.02,1220,2,100000.0,1.49333246877473,,2648.85,0.2118793299467963,1220.0,0.0624189422288963,0.0177245661810015,0.007107065799238,1570025834905.7612,1345433745162.1572,707676962022.2999,389857967102.1054,218235709845.20032,123313770029.03552,19.62436755320783,4.15935102410123,30820791088590.12,26411879003042.82,13892232420498.111,7653205884346.266,4284131554824.269,2420742296026.9165,8.375545088198489e-05,7.177423928483185e-05,3.77521195608407e-05,2.079757484788829e-05,1.1642120702893987e-05,6.578363348625533e-06,5.328642287361012e-05,4.566380367711528e-05,2.4018441619144105e-05,1.3231716341085371e-05,7.40688469093366e-06,4.185249407886787e-06
37,37,0.02,1240,2,100000.0,1.50355521895399,,2644.85,0.2230160372974842,1240.0,0.0622751244475807,0.0172681473539918,0.0070636469548282,1581183704439.163,1416151836839.025,744873564573.5974,410349508627.3711,229706518416.4088,129795333707.13586,20.055491706040563,4.472443422676182,31709623866774.137,28400015733993.76,14937961031738.45,8229295897724.175,4606616725356.468,2602962071997.538,8.573034141790207e-05,7.678246375228184e-05,4.0386366761042735e-05,2.224877689829899e-05,1.2454478372417369e-05,7.037384866744571e-06,5.4484497479020674e-05,4.87978221427054e-05,2.566688597742301e-05,1.413984137678393e-05,7.91523729243883e-06,4.47249330504796e-06
38,38,0.02,1260,2,100000.0,1.5138667440428,,2680.75,0.2380064552933166,1260.0,0.0619920128962462,0.0174632709670772,0.0070176372884143,1608923637782.8208,1511340991112.5608,794941560679.6777,437931877739.7025,245146648952.1161,138519756980.7103,20.436723740412365,4.863694261371383,32878573206870.555,30884458559708.277,16244738832980.418,8949197440923.344,5009605089212.523,2830670060118.145,8.864787742745069e-05,8.327130497992778e-05,4.379939506030848e-05,2.4129008057175924e-05,1.3506999075484346e-05,7.632110157215427e-06,5.625725147320646e-05,5.284519923888476e-05,2.7795742591791343e-05,1.531262466134613e-05,8.571740978905717e-06,4.843449757012743e-06
39,39,0.02,1280,2,100000.0,1.52426622902487,,2687.8,0.2508574845392953,1280.0,0.0634074942981555,0.0171738936152486,0.0074557963015032,1592945026824.5256,1592945026824.5256,837863998361.2465,461577771552.3035,258383209075.4742,145999056001.86993,20.30210091881908,5.096216741613378,32360976309244.95,32360976309244.95,17021363916988.684,9377038804568.611,5249103243861.779,2965998143618.986,8.915409508505365e-05,8.915409508505365e-05,4.689365001324082e-05,2.583362755220453e-05,1.4461215423244926e-05,8.171288714882084e-06,5.649161912144259e-05,5.649161912144259e-05,2.9713702026081603e-05,1.6369225068260523e-05,9.163207511037144e-06,5.177657059634579e-06
