Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight
0,1000000.0,150,1.8,17.15,2.43,0.81,0.02
1,1000000.0,150,5,17.15,2.43,0.81,0.005
2,1000000.0,150,10,17.15,2.43,0.81,0.0025
3,1000000.0,175,1.8,17.15,2.43,0.81,0.02
4,1000000.0,175,5,17.15,2.43,0.81,0.005
5,1000000.0,175,10,17.15,2.43,0.81,0.0025
6,1000000.0,200,1.8,17.15,2.43,0.81,0.02
7,1000000.0,200,5,17.15,2.43,0.81,0.005
8,1000000.0,200,10,17.15,2.43,0.81,0.0025
9,1000000.0,225,1.8,17.15,2.43,0.81,0.02
10,1000000.0,225,5,17.15,2.43,0.81,0.005
11,1000000.0,225,10,17.15,2.43,0.81,0.0025
12,1000000.0,250,1.8,17.15,2.43,0.81,0.02
13,1000000.0,250,5,17.15,2.43,0.81,0.005
14,1000000.0,250,10,17.15,2.43,0.81,0.0025
15,1000000.0,275,1.8,17.15,2.43,0.81,0.02
16,1000000.0,275,5,17.15,2.43,0.81,0.005
17,1000000.0,275,10,17.15,2.43,0.81,0.0025
18,1000000.0,300,1.8,17.15,2.43,0.81,0.02
19,1000000.0,300,5,17.15,2.43,0.81,0.005
20,1000000.0,300,10,17.15,2.43,0.81,0.0025
21,1000000.0,325,1.8,17.15,2.43,0.81,0.02
22,1000000.0,325,5,17.15,2.43,0.81,0.005
23,1000000.0,325,10,17.15,2.43,0.81,0.0025
24,1000000.0,350,1.8,17.15,2.43,0.81,0.02
25,1000000.0,350,5,17.15,2.43,0.81,0.005
26,1000000.0,350,10,17.15,2.43,0.81,0.0025
27,1000000.0,375,1.8,17.15,2.43,0.81,0.02
28,1000000.0,375,5,17.15,2.43,0.81,0.005
29,1000000.0,375,10,17.15,2.43,0.81,0.0025
30,1000000.0,400,1.8,17.15,2.43,0.81,0.02
31,1000000.0,400,5,17.15,2.43,0.81,0.005
32,1000000.0,400,10,17.15,2.43,0.81,0.0025
33,1000000.0,425,1.8,17.15,2.43,0.81,0.02
34,1000000.0,425,5,17.15,2.43,0.81,0.005
35,1000000.0,425,10,17.15,2.43,0.81,0.0025
36,1000000.0,450,1.8,17.15,2.43,0.81,0.02
37,1000000.0,450,5,17.15,2.43,0.81,0.005
38,1000000.0,450,10,17.15,2.43,0.81,0.0025
39,1000000.0,475,1.8,17.15,2.43,0.81,0.02
40,1000000.0,475,5,17.15,2.43,0.81,0.005
41,1000000.0,475,10,17.15,2.43,0.81,0.0025
42,1000000.0,500,1.8,17.15,2.43,0.81,0.02
43,1000000.0,500,5,17.15,2.43,0.81,0.005
44,1000000.0,500,10,17.15,2.43,0.81,0.0025
45,1000000.0,525,1.8,17.15,2.43,0.81,0.02
46,1000000.0,525,5,17.15,2.43,0.81,0.005
47,1000000.0,525,10,17.15,2.43,0.81,0.0025
48,1000000.0,550,1.8,17.15,2.43,0.81,0.02
49,1000000.0,550,5,17.15,2.43,0.81,0.005
50,1000000.0,550,10,17.15,2.43,0.81,0.0025
51,1000000.0,575,1.8,17.15,2.43,0.81,0.02
52,1000000.0,575,5,17.15,2.43,0.81,0.005
53,1000000.0,575,10,17.15,2.43,0.81,0.0025
54,1000000.0,600,1.8,17.15,2.43,0.81,0.02
55,1000000.0,600,5,17.15,2.43,0.81,0.005
56,1000000.0,600,10,17.15,2.43,0.81,0.0025
57,1000000.0,625,1.8,17.15,2.43,0.81,0.02
58,1000000.0,625,5,17.15,2.43,0.81,0.005
59,1000000.0,625,10,17.15,2.43,0.81,0.0025
60,1000000.0,650,1.8,17.15,2.43,0.81,0.02
61,1000000.0,650,5,17.15,2.43,0.81,0.005
62,1000000.0,650,10,17.15,2.43,0.81,0.0025
63,1000000.0,675,1.8,17.15,2.43,0.81,0.02
64,1000000.0,675,5,17.15,2.43,0.81,0.005
65,1000000.0,675,10,17.15,2.43,0.81,0.0025
66,1000000.0,700,1.8,17.15,2.43,0.81,0.02
67,1000000.0,700,5,17.15,2.43,0.81,0.005
68,1000000.0,700,10,17.15,2.43,0.81,0.0025
69,1000000.0,725,1.8,17.15,2.43,0.81,0.02
70,1000000.0,725,5,17.15,2.43,0.81,0.005
71,1000000.0,725,10,17.15,2.43,0.81,0.0025
72,1000000.0,750,1.8,17.15,2.43,0.81,0.02
73,1000000.0,750,5,17.15,2.43,0.81,0.005
74,1000000.0,750,10,17.15,2.43,0.81,0.0025
75,1000000.0,775,1.8,17.15,2.43,0.81,0.02
76,1000000.0,775,5,17.15,2.43,0.81,0.005
77,1000000.0,775,10,17.15,2.43,0.81,0.0025
78,1000000.0,800,1.8,17.15,2.43,0.81,0.02
79,1000000.0,800,5,17.15,2.43,0.81,0.005
80,1000000.0,800,10,17.15,2.43,0.81,0.0025
81,1000000.0,825,1.8,17.15,2.43,0.81,0.02
82,1000000.0,825,5,17.15,2.43,0.81,0.005
83,1000000.0,825,10,17.15,2.43,0.81,0.0025
84,1000000.0,850,1.8,17.15,2.43,0.81,0.02
85,1000000.0,850,5,17.15,2.43,0.81,0.005
86,1000000.0,850,10,17.15,2.43,0.81,0.0025
87,1000000.0,875,1.8,17.15,2.43,0.81,0.02
88,1000000.0,875,5,17.15,2.43,0.81,0.005
89,1000000.0,875,10,17.15,2.43,0.81,0.0025
90,1000000.0,900,1.8,17.15,2.43,0.81,0.02
91,1000000.0,900,5,17.15,2.43,0.81,0.005
92,1000000.0,900,10,17.15,2.43,0.81,0.0025
93,1000000.0,925,1.8,17.15,2.43,0.81,0.02
94,1000000.0,925,5,17.15,2.43,0.81,0.005
95,1000000.0,925,10,17.15,2.43,0.81,0.0025
96,1000000.0,950,1.8,17.15,2.43,0.81,0.02
97,1000000.0,950,5,17.15,2.43,0.81,0.005
98,1000000.0,950,10,17.15,2.43,0.81,0.0025
99,1000000.0,975,1.8,17.15,2.43,0.81,0.02
100,1000000.0,975,5,17.15,2.43,0.81,0.005
101,1000000.0,975,10,17.15,2.43,0.81,0.0025
102,1000000.0,1000,1.8,17.15,2.43,0.81,0.02
103,1000000.0,1000,5,17.15,2.43,0.81,0.005
104,1000000.0,1000,10,17.15,2.43,0.81,0.0025
105,1000000.0,1025,1.8,17.15,2.43,0.81,0.02
106,1000000.0,1025,5,17.15,2.43,0.81,0.005
107,1000000.0,1025,10,17.15,2.43,0.81,0.0025
108,1000000.0,1050,1.8,17.15,2.43,0.81,0.02
109,1000000.0,1050,5,17.15,2.43,0.81,0.005
110,1000000.0,1050,10,17.15,2.43,0.81,0.0025
111,1000000.0,1075,1.8,17.15,2.43,0.81,0.02
112,1000000.0,1075,5,17.15,2.43,0.81,0.005
113,1000000.0,1075,10,17.15,2.43,0.81,0.0025
114,1000000.0,1100,1.8,17.15,2.43,0.81,0.02
115,1000000.0,1100,5,17.15,2.43,0.81,0.005
116,1000000.0,1100,10,17.15,2.43,0.81,0.0025
117,1000000.0,1125,1.8,17.15,2.43,0.81,0.02
118,1000000.0,1125,5,17.15,2.43,0.81,0.005
119,1000000.0,1125,10,17.15,2.43,0.81,0.0025
120,1000000.0,1150,1.8,17.15,2.43,0.81,0.02
121,1000000.0,1150,5,17.15,2.43,0.81,0.005
122,1000000.0,1150,10,17.15,2.43,0.81,0.0025
123,1000000.0,1175,1.8,17.15,2.43,0.81,0.02
124,1000000.0,1175,5,17.15,2.43,0.81,0.005
125,1000000.0,1175,10,17.15,2.43,0.81,0.0025
126,1000000.0,1200,1.8,17.15,2.43,0.81,0.02
127,1000000.0,1200,5,17.15,2.43,0.81,0.005
128,1000000.0,1200,10,17.15,2.43,0.81,0.0025
129,1000000.0,1225,1.8,17.15,2.43,0.81,0.02
130,1000000.0,1225,5,17.15,2.43,0.81,0.005
131,1000000.0,1225,10,17.15,2.43,0.81,0.0025
132,1000000.0,1250,1.8,17.15,2.43,0.81,0.02
133,1000000.0,1250,5,17.15,2.43,0.81,0.005
134,1000000.0,1250,10,17.15,2.43,0.81,0.0025
135,1000000.0,1275,1.8,17.15,2.43,0.81,0.02
136,1000000.0,1275,5,17.15,2.43,0.81,0.005
137,1000000.0,1275,10,17.15,2.43,0.81,0.0025
138,1000000.0,1300,1.8,17.15,2.43,0.81,0.02
139,1000000.0,1300,5,17.15,2.43,0.81,0.005
140,1000000.0,1300,10,17.15,2.43,0.81,0.0025
141,1000000.0,1325,1.8,17.15,2.43,0.81,0.02
142,1000000.0,1325,5,17.15,2.43,0.81,0.005
143,1000000.0,1325,10,17.15,2.43,0.81,0.0025
144,1000000.0,1350,1.8,17.15,2.43,0.81,0.02
145,1000000.0,1350,5,17.15,2.43,0.81,0.005
146,1000000.0,1350,10,17.15,2.43,0.81,0.0025
147,1000000.0,1375,1.8,17.15,2.43,0.81,0.02
