,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,500000.0,150,1.8,17.15,2.43,0.81,0.02,,0.003,6863.0,1.3726,150.0,0.0028089613968518,0.0260480004898341,0.0009914842349751,-0.0046295230563455,-3.65695554277352e-06,31114986071667.465,20245850000000.0,16416296000000.0,14192684000000.0,12656744600000.0,1.0680104053271364,1.4659510823520274,33231128886149.773,21622778464692.406,17532774944930.248,15157934191519.965,13517534930368.045,0.0001898829505247,0.0001235527383823,0.0001001824238001,8.661256372020302e-05,7.723930851682709e-05,0.0001232608626151,8.02031834315776e-05,6.503254737909616e-05,5.622379096152627e-05,5.01392240286493e-05
1,1,500000.0,150,5.0,17.15,2.43,0.81,0.005,,0.003,509.0,0.1018,150.0,0.0009607167621936,0.0177079975074827,0.0006226405118305,-0.0052814112414655,1.5255737967337106e-06,2307668353559.484,1501550000000.0,1217528000000.0,1052612000000.0,938697800000.0,3.122668530472912,0.3178876564021424,7206083346428.437,4688842931931.6,3801936370569.624,3286958367198.1523,2931242079684.155,1.4082824102739608e-05,9.163389747426974e-06,7.430111279947567e-06,6.423691524636943e-06,5.7285163973575686e-06,9.141742542781754e-06,5.948334601001458e-06,4.823191988337453e-06,4.169883374532547e-06,3.71861649870064e-06
2,2,500000.0,150,10.0,17.15,2.43,0.81,0.0025,,0.003,66.0,0.0132,150.0,0.0005718513174001,0.0829372622630162,0.0007740794055243,-0.0086636308633417,6.032979574104575e-05,299226151935.02155,194700000000.0,157872000000.0,136488000000.00002,121717200000.00002,5.2461188926501805,0.0692487693829823,1569775968841.3298,1021419348398.99,828215281820.4692,716032275420.0378,638542902480.4806,1.82606363611162e-06,1.188180203006248e-06,9.6343289681049e-07,8.329344609548886e-07,7.427938747064824e-07,1.185373296313548e-06,7.712968244913482e-07,6.254040692146796e-07,5.406921467959688e-07,4.821781707548964e-07
3,3,500000.0,250,1.8,17.15,2.43,0.81,0.02,,0.005,3470.0,0.694,250.0,0.0048484125707375,0.0264041180472682,0.0011420842976995,-0.0022681704096756,5.203031434024797e-06,15438751928423.312,10236499999999.998,8300239999999.999,7175959999999.999,6399373999999.999,1.0312653733672263,0.7156981691168551,15921450271789.455,10556547994473.611,8559750102637.587,7400319068668.281,6599452817426.5205,0.00016280384587,0.0001079453556851,8.75272172199732e-05,7.567152391760224e-05,6.748231354392749e-05,9.119168297946434e-05,6.046367395156526e-05,4.902681630242173e-05,4.2386060248080325e-05,3.779901949202598e-05
4,4,500000.0,250,5.0,17.15,2.43,0.81,0.005,,0.005,563.0,0.1126,250.0,0.0014377116303023,0.0242257868344378,0.0005926759607804,-0.0015262466621707,-1.7678642570832044e-06,2504904131326.319,1660850000000.0,1346696000000.0,1164284000000.0,1038284600000.0,3.477748871620673,0.3915945229444878,8711427516238.069,5776019213431.195,4683470494416.074,4049087367246.005,3610893096071.1226,2.641457211090366e-05,1.7513900648630945e-05,1.4201101814076343e-05,1.2277541200463995e-05,1.0948859517357693e-05,1.479565346323874e-05,9.810100413467218e-06,7.954494979326639e-06,6.877046662728883e-06,6.132809214412285e-06
5,5,500000.0,250,10.0,17.15,2.43,0.81,0.0025,,0.005,90.0,0.018,250.0,0.000821241269382,0.0320645392603427,0.0007119147186463,-0.0020861245717297,1.1113505366081507e-05,400428724368.32806,265500000000.00003,215280000000.0,186120000000.0,165978000000.0,6.088344785402915,0.1095902061372525,2437948135933.451,1616455540524.474,1310698865401.5396,1133162731459.1904,1010531290791.605,4.222578134957957e-06,2.799735450047576e-06,2.270158371699593e-06,1.962662003626572e-06,1.750261734568725e-06,2.3652021522051272e-06,1.5682220909627882e-06,1.2715888954518606e-06,1.0993502658003546e-06,9.80378027170703e-07
6,6,500000.0,350,1.8,17.15,2.43,0.81,0.02,,0.007,5185.0,1.037,350.0,0.0060165519262227,0.0249129626361764,0.0009319546690612,-0.0017038081871985,-7.04341741488448e-06,22399807856410.76,15236297511251.129,12402520000000.0,10722580000000.0,9562177000000.0,1.163457090678626,1.2065050030337356,26061215280379.89,17726778375154.23,14429799836283.477,12475261731368.824,11125182632974.074,0.0003364834563565,0.000228875268999,0.0001863070801268,0.0001610715057284,0.0001436402663754,0.0001817325414086,0.0001236140544654,0.0001006232506064,8.699367987213708e-05,7.757918008713501e-05
7,7,500000.0,350,5.0,17.15,2.43,0.81,0.005,,0.007,963.0,0.1926,350.0,0.0023589086028437,0.0253788739366924,0.0005359382477558,-0.0014696884570096,4.843027927472028e-06,4160272895992.972,2829808004500.45,2303496000000.0,1991484000000.0,1775964600000.0,2.967474022334464,0.5715354967016176,12345501744681.312,8397381741549.213,6835564540551.348,5909677035894.728,5270128815085.617,6.249442014876543e-05,4.250856008602792e-05,3.460245287602493e-05,2.991549855669714e-05,2.667802825834665e-05,3.3752832666647504e-05,2.2958598736789395e-05,1.8688561298749767e-05,1.6157167544236837e-05,1.4408630747138091e-05
8,8,500000.0,350,10.0,17.15,2.43,0.81,0.0025,,0.007,151.0,0.0302,350.0,0.0008803733726949,0.0164593278108539,0.0003135676696614,-0.0012465845171702,-1.7168804813075425e-06,652337702279.2719,443718596759.676,361192000000.0,312268000000.0,278474200000.0,7.951171874464791,0.2401253906088367,5186849191015.933,3528082826732.52,2871899671681.6865,2482896538895.371,2214196226804.0835,9.799228912215555e-06,6.665412848380287e-06,5.42572210205583e-06,4.690799877529874e-06,4.183159155773981e-06,5.292500241603088e-06,3.599946427056281e-06,2.9303974622131e-06,2.533470715659151e-06,2.259297240724665e-06
9,9,500000.0,450,1.8,17.15,2.43,0.81,0.02,,0.009,7729.0,1.5457999999999998,450.0,0.0088171593573065,0.0243615614751489,0.0010956284936843,-0.0012008413144829,-1.6854583750587723e-06,32033606043753.1,22345996984443.85,18487768000000.0,15983571999999.998,14253821799999.998,1.020736910300022,1.5778551159417735,32697884058868.65,22809383919474.824,18871147186663.613,16315021898837.94,14549402024099.096,0.0006237893240509,0.0004351428414001,0.0003600116792402,0.0003112475554635,0.0002775641884844,0.0003426988755623,0.0002390598182867,0.0001977840801502,0.0001709939288255,0.0001524888798549
