,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,500000.0,150,1.8,17.15,2.43,0.81,0.02,,0.003,8588.0,1.7176,150.0,0.0028489466124312,0.1179986317555717,0.0197720395831226,0.0018689520157595,-4.218202354492141e-05,38935669588150.98,25334600000000.0,20542496000000.0,17759984000000.0,15837989600000.0,1.0530207856158456,1.8086685013737764,41000069378193.73,26677860395263.2,21631675276430.363,18701632304204.848,16677732251167.59,0.0002376096137413,0.0001546074482336,0.0001253630563304,0.0001083824416769,9.665323933301923e-05,0.0001542422101324,0.000100362077708,8.137833555175255e-05,7.035551752551182e-05,6.27416080370159e-05
1,1,500000.0,150,5.0,17.15,2.43,0.81,0.005,,0.003,1123.0,0.2246,150.0,0.0008750831462975,0.1144544960490369,0.0047550121654663,0.0039833693042318,1.097781605262812e-05,5091378312470.139,3312850000000.0005,2686216000000.0,2322364000000.0,2071036600000.0,3.4282456617897306,0.7699839756379736,17454495612256.072,11357263640660.111,9209008348630.162,7961634308096.646,7100022239357.754,3.10707494447477e-05,2.02170661814548e-05,1.6392956713911823e-05,1.417250605533848e-05,1.2638750322657269e-05,2.016930623878961e-05,1.3123732331875515e-05,1.064134499588008e-05,9.199958800785956e-06,8.204334632693162e-06
2,2,500000.0,150,10.0,17.15,2.43,0.81,0.0025,,0.003,255.0,0.051,150.0,0.0005327355054589,0.0804389177003612,0.0023130028870039,0.0023513842610926,6.629193070088986e-05,1156101041567.129,752250000000.0,609960000000.0,527340000000.00006,470271000000.00006,5.631312291482167,0.2871969268655905,6510366005572.308,4236154671267.46,3434875245312.463,2969616223790.206,2648242862627.6104,7.055245866794893e-06,4.590696238887776e-06,3.722354374040529e-06,3.2181558718711603e-06,2.869885425002318e-06,4.579851372120526e-06,2.980010458262027e-06,2.416333903783989e-06,2.0890378398935164e-06,1.8629611142802817e-06
3,3,500000.0,250,1.8,17.15,2.43,0.81,0.02,,0.005,5400.0,1.08,250.0,0.0048484125707375,0.0956521108512367,0.0197517357242254,0.0004729280743429,8.321786259245222e-05,24025723462099.684,15930000000000.0,12916800000000.0,11167200000000.0,9958680000000.0,1.0312653733672263,1.1137666032366047,24776896676559.96,16428057397739.918,13320648574709.793,11516346677466.49,10270041848444.73,0.0002533546880974,0.0001679841270028,0.0001362095023019,0.0001177597202175,0.0001050157040741,0.0001419121291323,9.409332545776729e-05,7.629533372711163e-05,6.596101594802127e-05,5.882268163024217e-05
4,4,500000.0,250,5.0,17.15,2.43,0.81,0.005,,0.005,1082.0,0.2164,250.0,0.0016530791284026,0.0725503342198553,0.0036812879414535,0.0003315557274162,-1.295494249381956e-05,4814043108517.011,3191900000000.0,2588144000000.0,2237576000000.0,1995424400000.0,3.0246585986670333,0.654536120751546,14560836882529.75,9654407781085.305,7828252004188.49,6767903488570.985,6035477569450.005,5.0764772689161214e-05,3.365904174390529e-05,2.7292348424210665e-05,2.359555875471056e-05,2.1042035520037337e-05,2.843498587428831e-05,1.885351447135263e-05,1.5287324276432368e-05,1.3216633195510929e-05,1.1786322504430004e-05
5,5,500000.0,250,10.0,17.15,2.43,0.81,0.0025,,0.005,287.0,0.0574,250.0,0.0004841366377945,0.0995634816749604,0.002437515587477,0.0041085440981585,-4.8561852741867805e-05,1276922709930.1128,846650000000.0,686504000000.0,593516000000.0,529285400000.0,10.327662915116292,0.5928078513276752,13187627316815.023,8743915807083.209,7089981901878.995,6129633182728.161,5466281197092.492,1.3465332497032591e-05,8.928045268485046e-06,7.239282807530926e-06,6.258711056009178e-06,5.5813901980136e-06,7.542366863143017e-06,5.000886001181335e-06,4.054955699940933e-06,3.505705847607797e-06,3.126316597755463e-06
6,6,500000.0,350,1.8,17.15,2.43,0.81,0.02,,0.007,8285.0,1.657,350.0,0.0068304188341699,0.08948074295445,0.0191896864080249,0.0007538519252443,5.016890247180184e-05,35792171280687.2,24345752146714.67,19817720000000.0,17133380000000.002,15279197000000.002,1.0248273451375702,1.698138910892954,36680795870295.85,24950192537894.9,20309741374279.727,17558756338633.145,15658538897343.93,0.0005376596790576,0.000365714870522,0.000297696076924,0.0002573726952671,0.0002295196927522,0.0002903865198786,0.0001975202393917,0.0001607837283075,0.000139005330326,0.0001239621035722
7,7,500000.0,350,5.0,17.15,2.43,0.81,0.005,,0.007,1737.0,0.3474,350.0,0.0023952483624611,0.100577477329792,0.0048751147548308,-0.0007792765029545,2.5572875775329493e-05,7504043634828.443,5104233129612.961,4154904000000.0,3592115999999.9995,3203375399999.9995,2.922452681611394,1.0152600615917982,21930212443533.297,14916879797207.115,12142510336637.906,10497789036859.191,9361713027937.969,0.0001127235802683,7.667431865984475e-05,6.241377014086739e-05,5.395973104151913e-05,4.812018181178413e-05,6.08812776136726e-05,4.141130426355469e-05,3.370927411830565e-05,2.91433022059599e-05,2.5989399385024785e-05
8,8,500000.0,350,10.0,17.15,2.43,0.81,0.0025,,0.007,395.0,0.079,350.0,0.0009400197287732,0.0791561557825362,0.0024175403126108,-0.0003590360006607,-4.85742526707954e-05,1706446307286.837,1160720832583.2583,944840000000.0,816860000000.0,728459000000.0,7.44665221987988,0.5882855253705105,12707312182263.35,8643484364616.944,7035894883431.307,6082872332331.079,5424580829441.478,2.563374450546453e-05,1.743601374245174e-05,1.419311410802684e-05,1.227063544122053e-05,1.0942701102852469e-05,1.384461983730609e-05,9.41707840190219e-06,7.665609255458108e-06,6.62729094493619e-06,5.910082186001607e-06
9,9,500000.0,450,1.8,17.15,2.43,0.81,0.02,,0.009,12158.0,2.4316,450.0,0.0088476819342417,0.089294147938924,0.0198549332734321,0.0001403666203655,-7.31127986817982e-05,50390035228354.29,35151071462914.79,29081936000000.0,25142744000000.0,22421783600000.0,1.0172155901274793,2.4734614289539785,51257529421354.88,35756217901762.06,29582598690289.586,25575591175384.137,22807787836384.64,0.0009812434469934,0.0006844956224276,0.0005663115533966,0.0004896038011807,0.0004366186315945,0.000539077879297,0.0003760498474227,0.0003111216000085,0.0002689797110441,0.0002398705914447
