,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,500,200000.0,17.15,2.43,0.81,1.1608960446595802,,0.05,16543.0,0.0047837927762323,500.0,0.0157644836819599,0.0165530577456679,0.0062758346469223,0.0001714053640218,3.220940009865228e-06,96567362109.46255,68495955735.7992,57214161603.73942,49464417306.242935,44111353189.63889,3.192546373261377,0.0152732060440213,308310432248.07947,218686906826.8794,182667544286.4962,157924950495.18146,140834232931.92154,2.0954261963303658e-06,1.4863015500908517e-06,1.2414966134174515e-06,1.073334028656894e-06,9.571772802945084e-07,1.1717292379664546e-06,8.311163551005552e-07,6.942253004783074e-07,6.001914387078343e-07,5.352384193737854e-07
1,1,0.02,510,200000.0,17.15,2.43,0.81,1.1645847270410128,,0.051,16642.0,0.0024550871677422,510.0,0.0161619045219935,0.0174349626175834,0.0062837140375108,0.0001890472313805,-1.757884453790854e-05,49284263859.931046,35077003794.16551,29362842526.19787,25385601314.455357,22638358773.75172,3.1630915799489623,0.0077654609089381,155886532037.8968,110948851570.414,92874912470.90054,80294865798.42068,71605315041.31888,1.091256333730317e-06,7.766779811798332e-07,6.501545396742821e-07,5.620901287819463e-07,5.012604523692772e-07,6.119820874126256e-07,4.3556495158663874e-07,3.6460996379333837e-07,3.1522299545343786e-07,2.811094043593956e-07
2,2,0.02,520,200000.0,17.15,2.43,0.81,1.1681172274392402,,0.052,16589.4,0.000503101181963,520.0,0.0167274991613339,0.0168579503097025,0.0064020951812843,0.0002007188220495,-8.332260907481534e-06,10043070717.588766,7172521971.807956,6017090136.278444,5202066221.498254,4639095998.881567,3.12773122628609,0.0015731924682447,31404583764.46365,22428405952.73425,18815381920.20744,16266810121.65091,14506407749.685017,2.2682684430915402e-07,1.6199433125109722e-07,1.3589843245308337e-07,1.1749078524789985e-07,1.0477587338209717e-07,1.27513892956488e-07,9.106738612717473e-08,7.639721048694963e-08,6.604909334741296e-08,5.8901227249177474e-08
3,3,0.02,530,200000.0,17.15,2.43,0.81,1.1728457270970696,,0.053,16684.0,3.548347664554064e-05,530.0,0.0159913853701254,0.0174021104535657,0.0063589473376562,0.0001520454902909,4.757829636601843e-06,704148795.5629647,504832819.4520634,424382380.6806661,366899148.5148902,327193138.14853024,3.320476776072355,0.0001178227548486,2338123508.7362285,1676295536.6539626,1409160147.990604,1218287285.1356893,1086443622.4599795,1.6212911346489407e-08,1.1623693455345428e-08,9.771335204069818e-09,8.447793144655677e-09,7.533568722134431e-09,9.143376485490746e-09,6.555257297275661e-09,5.510607849964305e-09,4.764187723129675e-09,4.248604931816125e-09
4,4,0.02,540,200000.0,17.15,2.43,0.81,1.1769739648369482,,0.054,16623.2,3.676541324846255e-05,540.0,0.0166287977067895,0.0173164816125412,0.0063283793924242,0.0001424099207313,-1.4404122098535577e-05,725164952.6356782,522007149.0552765,439487021.78167975,380154372.9891027,339013875.5640732,3.255289267946189,0.0001196963924251,2360904477.1798487,1699487834.933538,1430828770.220625,1237660697.6762946,1103720434.5525255,1.7021249934108302e-08,1.2252680054609732e-08,1.031574735286624e-08,8.923076842962955e-09,7.957416979590078e-09,9.630766721990183e-09,6.9326696794849775e-09,5.836736826204598e-09,5.0487521098415036e-09,4.502373617490184e-09
5,5,0.02,550,200000.0,17.15,2.43,0.81,1.1788947702347103,,0.055,16621.8,0.0011491216507803,550.0,0.0170931201331995,0.0169084264202258,0.0063911806649852,0.0001321901208087,-2.322422140575805e-06,22527151673.437984,16279841557.176804,13713344111.431438,11881917869.069256,10596050741.845997,3.2251070329165685,0.0037072261059249,72675721251.25851,52521030806.53112,44241153453.950096,38332717935.26472,34184331922.73461,5.362321886482206e-07,3.875223639278173e-07,3.264299292320079e-07,2.828349947047267e-07,2.5222644933967944e-07,3.057904137371687e-07,2.209875246329753e-07,1.8614910710168842e-07,1.6128876982960526e-07,1.4383401804630462e-07
6,6,0.02,560,200000.0,17.15,2.43,0.81,1.1830246093806902,,0.056,16449.2,0.0253895426961748,560.0,0.0166607158924079,0.0173155677437418,0.0063691009490171,0.0001781062380145,-5.3638477950591424e-06,494636108704.5216,358813645145.1291,302491894922.6641,262527871478.4488,234116973201.42905,3.361222731361784,0.0853419033380937,1662621004314.1797,1206080778484.3645,1016766405207.2906,882435280515.8893,786937690680.5624,1.1996736265736084e-05,8.70254434240049e-06,7.336535732124929e-06,6.3672618741495805e-06,5.678193592024496e-06,6.857440649267677e-06,4.974451384421591e-06,4.193628770348851e-06,3.639583252741165e-06,3.2457057227781703e-06
7,7,0.02,570,200000.0,17.15,2.43,0.81,1.1896419454232,,0.057,15035.8,0.3791668142292074,570.0,0.0168566832287296,0.0169072756391879,0.0064913573948677,0.0002101129095436,1.657844483085771e-05,7336816301962.167,5345294689566.843,4510198805603.896,3920584859130.005,3496297194007.522,3.3815056925560976,1.282151023409631,24809414160498.645,18075092016125.777,15251218717918.275,13257441582055.584,11822714586860.207,0.0001811825376279,0.0001320019496693,0.000111379272858,9.681876777713192e-05,8.63409920380013e-05,0.000103795356636,7.562091591144483e-05,6.380665322122949e-05,5.546527089229183e-05,4.946279138276818e-05
8,8,0.02,580,200000.0,17.15,2.43,0.81,1.190508908610878,,0.0579999999999999,13908.6,0.0643413623228847,580.0,0.0171915300149521,0.0172916058759013,0.0063430228741452,0.0001438851475166,-2.5586571379103885e-06,1236498917424.8289,904920401821.8512,764071920184.735,665289686418.6283,593291701979.3201,3.373845424181249,0.217072705437361,4171658099634.432,3052989752426.5864,2577799923335.281,2244531774222.314,2001627416837.907,3.108366369952745e-05,2.2748294437371948e-05,1.920758221021114e-05,1.6724350166410805e-05,1.4914432580703484e-05,1.7799290581767822e-05,1.3026247705046155e-05,1.099874649389994e-05,9.576785133205149e-06,8.540380629911475e-06
9,9,0.02,590,200000.0,17.15,2.43,0.81,1.1920445871133745,,0.059,14993.8,0.0506390898954454,590.0,0.0178381019530661,0.0174300836508661,0.0064594940856786,7.854627650102112e-05,5.727145896028835e-06,966484823466.2754,710554229401.3607,600214056654.1675,523608189518.9061,466943047925.9027,3.3121772084306165,0.1677373163585514,3201391867907.212,2353645371847.857,1988153722978.0413,1734403851147.4224,1546705794142.2036,2.4725787017397705e-05,1.817826013809336e-05,1.5355404005676113e-05,1.3395579796252689e-05,1.1945903414047006e-05,1.413706695452628e-05,1.039349245013714e-05,8.779513242158924e-06,7.658975964691242e-06,6.830117734082973e-06
