Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor
0,0.02,500,500000.0,17.15,2.43,0.81,1.132207708766776
1,0.02,510,500000.0,17.15,2.43,0.81,1.134734428137802
2,0.02,520,500000.0,17.15,2.43,0.81,1.1371251937425453
3,0.02,530,500000.0,17.15,2.43,0.81,1.1396961390385214
4,0.02,540,500000.0,17.15,2.43,0.81,1.1421032315621116
5,0.02,550,500000.0,17.15,2.43,0.81,1.1446849391252194
6,0.02,560,500000.0,17.15,2.43,0.81,1.1470719240942415
7,0.02,570,500000.0,17.15,2.43,0.81,1.1496258456588988
8,0.02,580,500000.0,17.15,2.43,0.81,1.1519513659104534
9,0.02,590,500000.0,17.15,2.43,0.81,1.1544339730283155
10,0.02,600,500000.0,17.15,2.43,0.81,1.1570811972818376
11,0.02,610,500000.0,17.15,2.43,0.81,1.1594574070393264
12,0.02,620,500000.0,17.15,2.43,0.81,1.161985984354807
13,0.02,630,500000.0,17.15,2.43,0.81,1.1642034075198844
14,0.02,640,500000.0,17.15,2.43,0.81,1.1665588848071584
15,0.02,650,500000.0,17.15,2.43,0.81,1.1690582049414966
16,0.02,660,500000.0,17.15,2.43,0.81,1.1711961460005302
17,0.02,670,500000.0,17.15,2.43,0.81,1.1739866608376612
18,0.02,680,500000.0,17.15,2.43,0.81,1.1763985939537458
19,0.02,690,500000.0,17.15,2.43,0.81,1.178948889451767
20,0.02,700,500000.0,17.15,2.43,0.81,1.1816434119664396
21,0.02,710,500000.0,17.15,2.43,0.81,1.1844885304175683
22,0.02,720,500000.0,17.15,2.43,0.81,1.1868845751170944
23,0.02,730,500000.0,17.15,2.43,0.81,1.1894102416047256
24,0.02,740,500000.0,17.15,2.43,0.81,1.1920706597760105
25,0.02,750,500000.0,17.15,2.43,0.81,1.1948713752184863
26,0.02,760,500000.0,17.15,2.43,0.81,1.1971449744787888
27,0.02,770,500000.0,17.15,2.43,0.81,1.2002248790949313
28,0.02,780,500000.0,17.15,2.43,0.81,1.2027528561911225
29,0.02,790,500000.0,17.15,2.43,0.81,1.205406795062256
30,0.02,800,500000.0,17.15,2.43,0.81,1.2081915211478749
31,0.02,810,500000.0,17.15,2.43,0.81,1.21111222038318
32,0.02,820,500000.0,17.15,2.43,0.81,1.2141744627673512
33,0.02,830,500000.0,17.15,2.43,0.81,1.216577539692153
34,0.02,840,500000.0,17.15,2.43,0.81,1.2199181257968412
35,0.02,850,500000.0,17.15,2.43,0.81,1.225131389594826
36,0.02,860,500000.0,17.15,2.43,0.81,1.2270854739722483
37,0.02,870,500000.0,17.15,2.43,0.81,1.2291293841506865
38,0.02,880,500000.0,17.15,2.43,0.81,1.2303568559527955
39,0.02,890,500000.0,17.15,2.43,0.81,1.2316484350560246
40,0.02,900,500000.0,17.15,2.43,0.81,1.2339391645767503
41,0.02,910,500000.0,17.15,2.43,0.81,1.2353751421474406
42,0.02,920,500000.0,17.15,2.43,0.81,1.2378459593338642
43,0.02,930,500000.0,17.15,2.43,0.81,1.2394325836814508
44,0.02,940,500000.0,17.15,2.43,0.81,1.2420927666865087
45,0.02,950,500000.0,17.15,2.43,0.81,1.2438372185643578
46,0.02,960,500000.0,17.15,2.43,0.81,1.2456553214920838
47,0.02,970,500000.0,17.15,2.43,0.81,1.248607695195856
48,0.02,980,500000.0,17.15,2.43,0.81,1.250595615161144
49,0.02,990,500000.0,17.15,2.43,0.81,1.25266275865464
50,0.02,1000,500000.0,17.15,2.43,0.81,1.2548110036432727
51,0.02,1010,500000.0,17.15,2.43,0.81,1.2581839125345742
