,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
124,124,0.02,748,2,100000.0,1.27768646892401,,0.748,2461.0,0.0219113294100011,748.0,0.0544535069362837,0.010769926592547,0.0064158526777797,-0.0002895981949703,-1.5652813530530212e-05,243637865809.03296,149435266576.20816,89420135322.21489,56136825948.423065,35956491561.811966,13.736489017598778,0.3009847358014705,3346728867956.986,2052715898166.0293,1228318706805.8015,771122893123.3677,493915951450.2132,7.936972185619656e-06,4.868141290055781e-06,2.913032933243056e-06,1.8287651004579047e-06,1.1713518851879083e-06,4.489324141274412e-06,2.753526622680981e-06,1.6476748016365225e-06,1.0343893265848494e-06,6.625421096509516e-07
125,125,0.02,750,2,100000.0,1.27848648389625,,0.75,2425.0,0.0218992898542546,750.0,0.0561011459227529,0.0088846893898675,0.0062734760247328,-0.0001630651759338,2.5807704665617827e-05,242964049298.03137,149353156806.0164,89371001895.21303,56105980606.60029,35936734650.8318,13.36871088217509,0.29276527458648,3248116129827.917,1996659172679.794,1194775085587.4248,750064633490.5618,480427815596.4137,7.9376442448923e-06,4.879373014250214e-06,2.9197538520755315e-06,1.8329844079925288e-06,1.1740544158921703e-06,4.48759171460662e-06,2.7585809133880494e-06,1.6506992239789778e-06,1.0362880205425486e-06,6.637582520336934e-07
126,126,0.02,752,2,100000.0,1.2792868307211,,0.752,2380.0,0.0217956705902409,752.0,0.0506906486433536,0.0091677170352192,0.0062279087125393,-0.0001011484890731,-2.0870647465704794e-05,241278340537.77405,148646473425.4436,88948131678.7735,55840508052.19743,35766695438.58547,14.835083395576158,0.3233405908687317,3579384303424.1016,2205182829724.751,1319552951335.2944,828398593805.6908,530601909615.5888,7.90417367415869e-06,4.869593927856017e-06,2.9139021729590035e-06,1.829310798118345e-06,1.171701412846294e-06,4.466698000001741e-06,2.751837997877778e-06,1.6466643503429928e-06,1.033754978088397e-06,6.621357997826149e-07
127,127,0.02,754,2,100000.0,1.28016843760962,,0.754,2479.0,0.023035681187724,754.0,0.0542773100050908,0.0079815628696239,0.0062074117516121,-0.0001560460481304,7.137703430795752e-05,254440673019.0085,157103345700.27777,94008614927.1017,59017415202.94892,37801552829.05511,13.891624325694844,0.3200030291463379,3534594242757.0264,2182420658778.025,1305932361946.205,819847760672.918,525124970829.1407,8.357227122440326e-06,5.160135469435713e-06,3.087758482517177e-06,1.938455582506495e-06,1.241610308701467e-06,4.721217571756203e-06,2.9150963464336897e-06,1.7443560395595142e-06,1.0950845805811015e-06,7.01418343767989e-07
128,128,0.02,756,2,100000.0,1.28096914587123,,0.7560000000000001,2475.0,0.0233615700251191,756.0,0.0605415984646242,0.0080265356349962,0.0061196156432748,-0.0001084609078491,3.020129722683053e-05,257467691470.58765,159325907571.3124,95338567272.51114,59852342404.35519,38336336411.22048,12.487281789260107,0.2917225079431947,3215071615023.509,1989547504172.5884,1190519554916.178,747393065350.465,478716635534.7825,8.479394301495529e-06,5.247210572419036e-06,3.139863100592681e-06,1.971166200372077e-06,1.2625619573811783e-06,4.788414627021944e-06,2.9631621036427097e-06,1.773117968470073e-06,1.113140954476924e-06,7.129837261110976e-07
129,129,0.02,758,2,100000.0,1.2817699952141,,0.758,2470.0,0.0236766996328694,758.0,0.0511960636554249,0.0094819692751294,0.0064734464153084,-0.0001025943642081,-1.167555907228078e-06,260363699965.2411,161475091496.16977,96624611201.7403,60659704459.411575,38853464097.5388,14.805825797501116,0.350553090224024,3854899585678.207,2390772075327.844,1430607161204.2417,898117017153.9493,575257621057.6233,8.597139300526264e-06,5.331864063013105e-06,3.190518657061068e-06,2.002967115753603e-06,1.2829309277719215e-06,4.853480508345107e-06,3.010082470269588e-06,1.801194510435511e-06,1.130767051148194e-06,7.242735093419932e-07
130,130,0.02,760,2,100000.0,1.28257035434233,,0.76,2397.0,0.023346253271562,760.0,0.049183438550699,0.0091597051767434,0.0062776980540728,-0.0002198967946781,-5.350308402630044e-06,256161063744.1314,159221447312.0531,95276059601.24467,59813100881.74195,38311201618.63331,15.452355963615272,0.3607546159688942,3958291940992.661,2460346480907.8584,1472239587769.0576,924253326112.3073,591998324804.9554,8.481310813099385e-06,5.271708990535402e-06,3.1545226378848944e-06,1.9803692718111003e-06,1.2684566647314656e-06,4.786214350065796e-06,2.974956321716369e-06,1.780175476381892e-06,1.1175715683632462e-06,7.15821601750229e-07
131,131,0.02,762,2,100000.0,1.28337129179016,,0.762,2445.0,0.024201501308393,762.0,0.0569467638460992,0.0098925719037787,0.0059846775018965,-0.0001972748331192,-2.705554732974089e-05,265005706688.1154,165054238923.2405,98766326839.552,62004246352.10296,39714663647.072975,13.38091839703717,0.3238383140933955,3546019735942.84,2208577302116.957,1321584159815.1472,829673760707.2793,531418673427.262,8.79756406184382e-06,5.479411212510334e-06,3.2788089674860227e-06,2.058394651972357e-06,1.31843310846473e-06,4.962570044477067e-06,3.0908512576237576e-06,1.8495255106103453e-06,1.1611086395941448e-06,7.437077586159218e-07
132,132,0.02,764,2,100000.0,1.28418710389317,,0.764,2387.0,0.0240059368607514,764.0,0.0497251299400431,0.0091824794757943,0.0061618589583364,-0.0001964906448474,-2.325487347042234e-05,262379802858.00235,163720489390.3248,97968228328.7266,61503210237.24518,39393742388.49311,15.36446462626049,0.3688383677172582,4031325199656.978,2515477667831.701,1505229378654.1309,944963898091.6156,605263761424.0209,8.732930998447662e-06,5.449198914337025e-06,3.26073031809522e-06,2.047045105356519e-06,1.3111635510890114e-06,4.924434938740163e-06,3.072762801707259e-06,1.838701611989344e-06,1.1543135334272722e-06,7.393553896776557e-07
133,133,0.02,766,2,100000.0,1.28505838495462,,0.7660000000000001,2403.0,0.0245396257906607,766.0,0.0510327281822355,0.0093261129632747,0.0065443904371842,-0.0003067930154495,-4.419018347090468e-05,267715793650.5724,167360247892.30664,100146212851.6867,62870521275.67296,40269525922.474365,15.00997550561374,0.3683391820347457,4018407505161.034,2512073221476.966,1503192201883.7974,943684984373.0186,604444597719.0177,8.93451482688408e-06,5.58533583631782e-06,3.3421928956030825e-06,2.0981862775141136e-06,1.3439202503515455e-06,5.035896158885141e-06,3.1481475859843426e-06,1.8838108941938564e-06,1.1826325682246167e-06,7.574941625513645e-07
134,134,0.02,768,2,100000.0,1.28585885107582,,0.7680000000000001,2475.0,0.0256575410196999,768.0,0.0552348544706546,0.0086391822408416,0.006510296889776,-0.0001732025282959,-3.185253980826486e-05,279293842047.63324,174984429754.3534,104708424901.39534,65734620092.471176,42104024813.32756,13.9042640260422,0.3567492245969156,3883375320678.02,2433029711750.9644,1455893585580.0127,913991513417.2976,585425477563.5386,9.346621813580987e-06,5.855887391531298e-06,3.504087455255019e-06,2.19982162714123e-06,1.4090192389300385e-06,5.265542309039913e-06,3.298991168368219e-06,1.974073747523564e-06,1.239298441841551e-06,7.937895171982769e-07
135,135,0.02,770,2,100000.0,1.28689382385114,,0.77,2514.0,0.0264459624482736,770.0,0.0548964524582515,0.0087729346179076,0.006374895356606,-0.0001893378913442,3.1983989501547783e-06,287239294472.8742,180361463897.2264,107925972751.40482,67754555792.47712,43397824377.61708,14.026407272593438,0.3709418400151986,4028935328968.931,2529823348903.655,1513813649102.026,950352994118.9388,608715559464.941,9.636133053353216e-06,6.050659144671326e-06,3.6206363591500993e-06,2.2729895496551226e-06,1.455884407097602e-06,5.427586858285559e-06,3.408055687458101e-06,2.039336548462832e-06,1.280269599892618e-06,8.200321676127191e-07
136,136,0.02,772,2,100000.0,1.28769614424958,,0.772,2526.0,0.0269229744379487,772.0,0.059405561486642,0.0096431941440504,0.006218511374561,-9.37428636135612e-05,5.730402622259234e-05,291773989455.9756,183614685666.81067,109872658681.26897,68976660510.02478,44180601052.67395,12.995416265421426,0.3498752599244448,3791724448403.085,2386149272684.714,1427840935751.6592,896380415926.4277,574145301536.0139,9.815488807449503e-06,6.176931313878733e-06,3.6961959958855e-06,2.3204249305216e-06,1.486267490626833e-06,5.525735775377861e-06,3.4773704104523867e-06,2.08081358431909e-06,1.3063083565365127e-06,8.367103876176492e-07
137,137,0.02,774,2,100000.0,1.28835108195056,,0.774,2442.0,0.0263667870681188,774.0,0.0519607904104759,0.0089855475373736,0.0065184736258683,0.0001436525651491,4.747125461968055e-06,285115224353.5993,179821487804.57028,107602858024.99286,67551708468.52039,43267897578.78297,14.895847308819068,0.392755634190843,4247032847390.906,2678593425181.549,1602835743132.83,1006239934796.9396,644511995707.1733,9.61668508518186e-06,6.065220205921959e-06,3.629349510317817e-06,2.2784595553624723e-06,1.459388029020225e-06,5.411862799114243e-06,3.413248880473696e-06,2.042444088154421e-06,1.282220473867098e-06,8.212817320905183e-07
138,138,0.02,776,2,100000.0,1.2891523913895,,0.7760000000000001,2470.0,0.0270128772183187,776.0,0.0580491450732552,0.0090343002683948,0.0063726945877761,-0.0002247095759724,2.509481747116875e-05,291455122650.3112,184227822628.9336,110239551927.95863,69206991433.33253,44328131515.261,13.36798326694951,0.3611076906466461,3896167202656.0767,2462754450210.1265,1473680485528.963,925157903436.7074,592577720351.1462,9.855563771749895e-06,6.229669384224649e-06,3.7277537766892656e-06,2.3402365047483213e-06,1.4989571055003884e-06,5.5447647012216935e-06,3.504827496620951e-06,2.097243550397375e-06,1.3166228806954363e-06,8.433169973541027e-07
139,139,0.02,778,2,100000.0,1.28995378710095,,0.7780000000000001,2428.0,0.0268927976872494,778.0,0.0536550596483493,0.0095901028406047,0.0067081733893904,-0.0002459105735131,3.235014905446043e-05,289519475236.5153,183408880227.041,109749507361.66484,68899347674.73299,44131081004.77628,14.500030474272974,0.3899463860035742,4198041213824.991,2659434352544.376,1591371201280.5862,999042640941.1572,639902019431.8652,9.816063807153104e-06,6.218418535182769e-06,3.7210214137948495e-06,2.3360100127768703e-06,1.4962499730549744e-06,5.520475778401754e-06,3.4971888506292343e-06,2.0926726831991065e-06,1.3137533482862313e-06,8.414790181646002e-07
140,140,0.02,780,2,100000.0,1.29084637328192,,0.78,2348.0,0.0263347796639772,780.0,0.0556465541424131,0.009340562432856,0.0062134667411793,-0.0002104204120507,-7.10220971923611e-05,282885257332.17084,179603197308.3247,107472235808.69109,67469705499.10967,43215373428.58664,14.017040444297578,0.3691356716416342,3965214093120.566,2517505280595.945,1506442675969.5093,945725590745.8668,605751637163.9218,9.61508162819777e-06,6.104593145259191e-06,3.6529097691792906e-06,2.2932503868261065e-06,1.4688617817258551e-06,5.40628065834636e-06,3.4324351185435098e-06,2.053924885451036e-06,1.2894279726845266e-06,8.258982447991056e-07
141,141,0.02,782,2,100000.0,1.29164824012589,,0.782,2426.0,0.0276176236058079,782.0,0.0583855081320052,0.0089442655053061,0.0063340712464637,-0.0001561131044004,-3.167418700504506e-05,296009938672.2197,188352192991.6102,112707521935.30225,70756351678.07997,45320520337.13085,13.393734593042446,0.3699031206667356,3964678555478.482,2522739282947.1367,1509574635440.948,947691795148.1766,607011021014.1132,1.0087720455750954e-05,6.418852956930581e-06,3.8409587855181386e-06,2.4113051723836e-06,1.544477668962329e-06,5.670258322782787e-06,3.6080058484377454e-06,2.1589841447909743e-06,1.3553828421843855e-06,8.681433427106075e-07
142,142,0.02,784,2,100000.0,1.29245061579877,,0.784,2439.0,0.028220260456199,784.0,0.0580323822616719,0.0076913486052387,0.0060186373740621,-0.0001718423852396,1.5611090622809807e-05,301801157989.3461,192462176311.27728,115166882921.74818,72300307288.78188,46309447408.62258,13.50969871381276,0.3812472163885729,4077242715915.871,2600106015770.0674,1555869890081.766,976755368387.5238,625626682093.6482,1.0311763020780333e-05,6.575933524600965e-06,3.934953770366062e-06,2.4703140307958465e-06,1.5822737410366835e-06,5.79466159708068e-06,3.695324396339456e-06,2.2112344371644167e-06,1.388184912525174e-06,8.891535680928222e-07
143,143,0.02,786,2,100000.0,1.29326685540874,,0.786,2467.0,0.029004096296753,786.0,0.0558864313758249,0.0087951402280077,0.0059612726237118,-0.0002184743523564,8.618766586369399e-07,309497391304.63293,197807936743.85583,118365716987.04922,74308494712.28133,47595722022.97176,14.064236714531102,0.4079204760085899,4352844573838.218,2782017646378.583,1664723462591.0554,1045092259534.0072,669397501130.096,1.0601309938462836e-05,6.775576481823728e-06,4.054417539930006e-06,2.545311868978357e-06,1.6303109980458562e-06,5.956308068327665e-06,3.806833410259636e-06,2.2779599922682665e-06,1.4300743690740745e-06,9.159844026739096e-07
144,144,0.02,788,2,100000.0,1.29414859932067,,0.7880000000000001,2530.0,0.0301913678205502,788.0,0.0562786309048988,0.0101375127672467,0.0063799458749595,-0.0001008258133155,-6.017120985209914e-05,321455883294.8713,205905128536.1527,123210972075.66556,77350284356.24974,49544034593.52296,14.001762077893904,0.4227323490295268,4500948796434.018,2883034620381.3726,1725170716389.499,1083040278213.6476,693703784757.4536,1.103975718126418e-05,7.071398408132302e-06,4.2314335635759415e-06,2.6564402817646564e-06,1.7014904380857932e-06,6.200930851672885e-06,3.971939947001341e-06,2.376757613447577e-06,1.49209826161546e-06,9.557116500042817e-07
145,145,0.02,790,2,100000.0,1.29519742122294,,0.79,2508.0,0.0303673993214749,790.0,0.0546273697716515,0.0075283507887712,0.0060371544515742,-0.0002685194463334,4.492398571959721e-05,322615472430.2766,207105663372.4593,123929356630.93938,77801277061.6189,49832902286.54044,14.461615181223042,0.4391616430417047,4665540813795.132,2995082405544.427,1792218665253.1973,1125132129472.8477,720664256231.4376,1.1109335072197022e-05,7.131729276411383e-06,4.267534776691327e-06,2.6791041651269737e-06,1.7160070003799234e-06,6.237900338181556e-06,4.004471570623709e-06,2.396224117260316e-06,1.504319085621399e-06,9.635392738113646e-07
146,146,0.02,792,2,100000.0,1.29600119569745,,0.792,2347.0,0.0288271701960956,792.0,0.0505477407864418,0.0097668415245107,0.0060993435356399,-5.892582902017566e-05,1.2358938420074364e-05,305575594614.94403,196601300737.3723,117643681570.26634,73855210042.39705,47305386291.79296,15.668356046734214,0.4516743664522315,4787867215619.461,3080419179204.219,1843283089491.557,1157189726850.6172,741197635348.112,1.0549978020693232e-05,6.787647437069057e-06,4.061640643794549e-06,2.549846441901895e-06,1.6332154610308392e-06,5.921757464799821e-06,3.8099417648125e-06,2.2798199915248995e-06,1.4312420529984789e-06,9.167323220025386e-07
147,147,0.02,794,2,100000.0,1.29690183422233,,0.794,2425.0,0.0301971686124188,794.0,0.0568340794329742,0.0102808165624143,0.00606696918524,-0.0001201481630169,3.1879322955913075e-05,319391158726.0332,205944689936.6964,123234645107.28122,77365145985.01703,49553553692.97929,13.970491084251355,0.421869274869432,4462051335370.757,2877148454609.5264,1721648510742.152,1080829082215.4847,692287480060.7379,1.1053992738255209e-05,7.127658499135862e-06,4.2650988760958144e-06,2.677574937651918e-06,1.7150275069035118e-06,6.203485366167912e-06,4.000032046466759e-06,2.39356756328898e-06,1.5026513347577473e-06,9.624710539958872e-07
148,148,0.02,796,2,100000.0,1.29770587029687,,0.796,2452.0,0.0309499299407147,796.0,0.0587572778754292,0.0104725990430008,0.0063892439555486,-7.411269664323572e-05,-3.229662008947847e-05,326628609667.1968,211078522195.6743,126306664088.05672,79293720508.11107,50788835032.71283,13.54725795309292,0.419286684537016,4424922030021.615,2859535188542.449,1711108959595.5625,1074212485783.835,688049449325.2433,1.13337857270502e-05,7.324278006711431e-06,4.382753452403131e-06,2.751436987271948e-06,1.7623372740488945e-06,6.358435005534367e-06,4.109037067551856e-06,2.4587947613899016e-06,1.543600141798806e-06,9.886993882481814e-07
149,149,0.02,798,2,100000.0,1.29851063884867,,0.7980000000000002,2533.0,0.0323891170481549,798.0,0.0580292479712625,0.0106054211385315,0.0059945440065508,-0.0001731983325267,6.873139052898932e-05,340955448411.2357,220893778268.41696,132179986673.52048,82980917877.37306,53150541076.02232,13.751686053129433,0.4454049691842895,4688712284655.281,3037661889836.855,1817697679241.0857,1141127531050.15,730909554431.4192,1.186020707082838e-05,7.683836592519287e-06,4.597908670684929e-06,2.886508702351088e-06,1.8488527636838928e-06,6.652410212164218e-06,4.309876944931469e-06,2.578974752531573e-06,1.619047614796836e-06,1.0370246432012522e-06
150,150,0.02,800,2,100000.0,1.29941365924252,,0.8,2538.0,0.0328456317975806,800.0,0.0488491713446137,0.0107290943378628,0.0061955207936014,-7.503006225751119e-05,-7.019358316848396e-05,344869259799.87067,224007208859.49985,134043023365.92651,84150508665.40155,53899681779.8298,16.376941061216392,0.5379109760673928,5647903541567.805,3668552856779.619,2195214693331.0305,1378127920684.6604,882711911726.5917,1.2026857897688944e-05,7.811954218750993e-06,4.674572605091321e-06,2.9346373472786e-06,1.8796798933974164e-06,6.744091985174399e-06,4.380573736166923e-06,2.6212788001902067e-06,1.6456055589530288e-06,1.054035410711132e-06
151,151,0.02,802,2,100000.0,1.30021834112426,,0.802,2605.0,0.034115659141062,802.0,0.0515091053398464,0.0088176394191631,0.0059322254810454,-0.0002359657576636,-2.6503904545390745e-05,357315289389.6663,232668795342.04333,139226004954.67432,87404318719.40103,55983796650.482864,15.570062704614454,0.5311829520355897,5563421461114.564,3622667732882.7217,2167757627257.2417,1360890723115.181,871671224290.4027,1.2491589777696764e-05,8.134001627660948e-06,4.8672816191326e-06,3.0556176202444795e-06,1.9571695998521435e-06,7.002738445283502e-06,4.559890848618823e-06,2.728579846512232e-06,1.7129677938653114e-06,1.097181947592887e-06
152,152,0.02,804,2,100000.0,1.30109146940227,,0.804,2604.0,0.0345313605676742,804.0,0.0591707023058916,0.0083598644681262,0.0060598264998141,-0.0001761087520658,-4.258083713483639e-05,360869707121.7479,235503879071.5384,140922482476.67865,88469345774.38144,56665962691.55346,13.587805597499996,0.469205414410735,4903427426397.071,3199980926281.2124,1914827296210.2087,1202104271720.303,769966085048.0161,1.2648241386669404e-05,8.254253131280095e-06,4.939238567265992e-06,3.100791278935425e-06,1.9861040158989203e-06,7.087875967309126e-06,4.625553909727535e-06,2.76787177501438e-06,1.7376347678477926e-06,1.1129815199212444e-06
153,153,0.02,806,2,100000.0,1.30192977717907,,0.806,2401.0,0.032250850260651,806.0,0.0578094304460137,0.0083300261099124,0.0065272262701891,-0.000107884759625,5.612337333069806e-05,336290560920.67474,219950798777.63983,131615719913.71674,82626678367.78786,52923645277.72829,13.942361891157123,0.4496530256315152,4688684700936.269,3066633634806.934,1835033997602.2136,1152011051667.942,737880615061.3167,1.181651335125758e-05,7.728589060781943e-06,4.624687970242098e-06,2.903320406704301e-06,1.8596209162380008e-06,6.619601043589313e-06,4.329549224160978e-06,2.5907463905866503e-06,1.6264376997507957e-06,1.041758105109702e-06
154,154,0.02,808,2,100000.0,1.30273523472302,,0.8080000000000002,2491.0,0.0338866270043813,808.0,0.0512693568718987,0.008990145477767,0.0062696826974713,-0.0001029172633698,6.1028185029482186e-05,352565675464.08777,231106796169.8808,138291324804.88025,86817538385.22499,55607954914.18977,15.759901221676408,0.5340498943248422,5556400219467.645,3642220279295.424,2179457618739.681,1368235829260.2456,876375876587.0659,1.2418669202680262e-05,8.140437518051424e-06,4.871132772898514e-06,3.058035325696151e-06,1.9587181769974176e-06,6.955217443002259e-06,4.5591449530680456e-06,2.7281335122391045e-06,1.712687590873949e-06,1.097002473311534e-06
155,155,0.02,810,2,100000.0,1.30364324447937,,0.81,2497.0,0.0344749742124965,810.0,0.058768822977413,0.0084244607227361,0.0056176842491072,1.1675359954146372e-05,-5.326406910800319e-05,357893102759.9679,235119324129.22635,140692369761.19833,88324883932.4161,56573432682.70681,13.78281815021737,0.475162300304273,4932775552557.695,3240606888075.142,1939137347541.7373,1217365813379.547,779741334799.312,1.2637989153868253e-05,8.302578186880795e-06,4.968155656988347e-06,3.118945060819442e-06,1.9977317895412587e-06,7.075866909452621e-06,4.648519439321667e-06,2.781614051594094e-06,1.7462619946542685e-06,1.1185073900186007e-06
156,156,0.02,812,2,100000.0,1.30444932808101,,0.812,2571.0,0.0360331932629714,812.0,0.0568577177589304,0.0083087813148326,0.0060103111184154,-0.0002847150449494,-7.3036880799664355e-06,373229257247.9222,245746378053.46512,147051461706.1864,92317041139.7328,59130470144.53611,14.281262632502726,0.5145994964762228,5330185044891.498,3509568565967.84,2100080545119.465,1318403909972.0828,844457773717.4817,1.3214512230436064e-05,8.700868046407577e-06,5.206487169705181e-06,3.2685665593689462e-06,2.09356663697285e-06,7.394672949029143e-06,4.8688950794303365e-06,2.913483991078476e-06,1.8290482688417184e-06,1.1715332588482671e-06
157,157,0.02,814,2,100000.0,1.30525570824403,,0.8140000000000001,2518.0,0.0358072589964697,814.0,0.065720851319952,0.007477724472291,0.0057948593838052,-0.0001803842168582,-2.1024143393519007e-05,369932181058.0522,244205506355.9238,146129423964.5931,91738197548.95554,58759712013.20689,12.38571904732584,0.4434986497851051,4581876061149.508,3024660791534.4165,1809917989773.0137,1136243540749.439,727781284297.3574,1.3130519318120024e-05,8.667926941707587e-06,5.186775637699218e-06,3.256191909773437e-06,2.08564048553404e-06,7.344873272904763e-06,4.84861439088568e-06,2.9013482887396566e-06,1.8214296289514829e-06,1.1666534040239591e-06
158,158,0.02,816,2,100000.0,1.30616741790999,,0.8160000000000001,2555.0,0.0367728779902697,816.0,0.0580834732135144,0.00924231677783,0.0062663958492612,-0.0002148042246569,-3.3448183505350966e-05,378925521120.7354,250791027893.64,150070115078.29102,94212113411.0712,60344292782.03273,14.048746654670412,0.516612846648406,5323428647214.175,3523299614142.129,2108297027172.1443,1323562113113.216,847761681350.0343,1.3482283118238649e-05,8.92321961206406e-06,5.339539477541558e-06,3.352095109400018e-06,2.147067944779637e-06,7.539402036172673e-06,4.989936757922106e-06,2.9859137696598407e-06,1.874518764486281e-06,1.2006578034824305e-06
159,159,0.02,818,2,100000.0,1.30697409968417,,0.8180000000000001,2550.0,0.0371395153173,818.0,0.0539842250295805,0.0091085482752431,0.0064300638791239,-0.0001406696845475,-3.9417157119592726e-05,381777996253.104,253291494463.98663,151566362009.90167,95151438242.92284,60945944635.68945,15.152574655869904,0.5627592785282135,5784919590193.579,3838018279562.416,2296620615673.639,1441789271589.283,923487976064.7982,1.3617568952521813e-05,9.034607611759637e-06,5.406192619294878e-06,3.393939105766596e-06,2.1738696614219296e-06,7.6123149600999185e-06,5.0504079635223205e-06,3.022098958817389e-06,1.8972353669419629e-06,1.2152081331583763e-06
160,160,0.02,820,2,100000.0,1.30778091275259,,0.82,2460.0,0.0362902400753243,820.0,0.0635212415641035,0.0082123990489937,0.0063948100899054,-0.0002431506804012,5.09780333008791e-07,372220846789.1443,247499437313.71225,148100469747.39877,92975595072.98103,59552283963.6073,12.90906757816569,0.4684731615602191,4805024065203.121,3194986961840.6943,1911838972327.2544,1200228239917.2812,768764458120.3196,1.3308649043989456e-05,8.849271012644234e-06,5.295289589824211e-06,3.32431559155345e-06,2.129274740725688e-06,7.437574367364911e-06,4.945438942447194e-06,2.959286851045014e-06,1.8578027229545027e-06,1.189950924421678e-06
161,161,0.02,822,2,100000.0,1.30869521201282,,0.8220000000000001,2592.0,0.0388022624832343,822.0,0.0501552158810909,0.0095752357176503,0.0062896023788822,-0.0001280428419787,1.2402035713805365e-06,397101882672.5621,264631430135.65823,158352033194.07935,99411396482.0464,63674512734.98756,16.38912295679905,0.6359350508397186,6508151581497.011,4337077046726.88,2595250942476.891,1629265600251.359,1043569418427.978,1.4233416197579592e-05,9.485246604049369e-06,5.67584917758438e-06,3.563226070318839e-06,2.282300539185486e-06,7.951009572653024e-06,5.298607551474248e-06,3.170618389672493e-06,1.9904739804805018e-06,1.2749288844529678e-06
162,162,0.02,824,2,100000.0,1.30950266291593,,0.8240000000000001,2533.0,0.0384709183694318,824.0,0.0597719739719195,0.0093240172837671,0.006010869944201,-0.0001159827089659,0.0001040298368041,392718010492.37103,262371663279.52505,156999817865.65128,98562492862.48431,63130777044.23762,13.78572506886102,0.5303495037875822,5413902522237.904,3616983615831.31,2164356324957.1228,1358755428703.7854,870303535715.4222,1.4110014437387313e-05,9.426784252125197e-06,5.6408660605458846e-06,3.5412641134816352e-06,2.268233571515754e-06,7.87939146063958e-06,5.264156437761982e-06,3.1500032877575736e-06,1.977532081165132e-06,1.2666394009336383e-06
163,163,0.02,826,2,100000.0,1.31031008129603,,0.8260000000000001,2601.0,0.0400216706792965,826.0,0.0519369567603007,0.0076424719882712,0.0061986870003122,-0.0001402916637641,-1.7166501194515067e-05,407489792908.5344,272947794032.8022,163328438042.20905,102535520280.35764,65675561584.72557,15.903896791876972,0.6365005199220205,6480675610160.652,4340933545868.179,2597558621801.7656,1630714332040.2163,1044497353192.0356,1.4677366001338923e-05,9.831300665675164e-06,5.882923462847559e-06,3.693224678219908e-06,2.3655666264476464e-06,8.192603851817204e-06,5.487629844117527e-06,3.283726890592907e-06,2.061482061675821e-06,1.3204106413778388e-06
164,164,0.02,828,2,100000.0,1.3112278617373,,0.8280000000000001,2519.0,0.0392284586997316,828.0,0.0574156519892312,0.0089335444590869,0.0063524856415676,-0.0002146101183859,9.427934623364312e-07,398376869866.1705,267538088332.1696,160091339953.6047,100503311188.7124,64373900726.259575,14.421154708045425,0.5657196718670001,5745054472446.924,3858208162132.941,2308701980889.227,1449373799323.2542,928345981533.747,1.4384399963585797e-05,9.66013631603633e-06,5.780500924595934e-06,3.628925108751478e-06,2.32438177340405e-06,8.025914690415617e-06,5.3899662249773874e-06,3.2252862410751782e-06,2.024793763693852e-06,1.2969112280334155e-06
165,165,0.02,830,2,100000.0,1.3120355962641,,0.83,2491.0,0.0392557306651236,830.0,0.0587286416042616,0.0085991879083955,0.0064607567771119,-0.0002829128818514,1.542601673397306e-05,397620779384.26526,267724083136.14307,160202636844.36948,100573181964.0467,64418654021.46786,14.132797512888011,0.5547932927106608,5619493961954.537,3783690256286.7065,2264111427552.2065,1421380415924.713,910415793338.1942,1.4393893435400045e-05,9.691626098412906e-06,5.799344004050304e-06,3.640754554858338e-06,2.331958713709029e-06,8.02724557089721e-06,5.404865821914751e-06,3.234201967629633e-06,2.030390943657712e-06,1.300496307003241e-06
166,166,0.02,832,2,100000.0,1.31284381804785,,0.8320000000000001,2557.0,0.040841222529072,832.0,0.0526085390406478,0.0088138367329712,0.0062611421808983,-0.0002300526661418,-1.6402776544458097e-05,412605436598.5408,278537137648.2713,166673029141.143,104635212119.48256,67020446170.20722,15.81492311271288,0.6459007941264714,6525323255693.251,4405043415942.534,2635921140830.13,1654797834552.0198,1059923203161.5396,1.4970129970411086e-05,1.010587060256794e-05,6.047222570246302e-06,3.796369572401624e-06,2.431632501292375e-06,8.34629500180721e-06,5.634324983539674e-06,3.371507369182612e-06,2.1165895319396844e-06,1.3557078149543414e-06
