,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,0.02,520,2,100000.0,1.18413280440169,,0.52,2586.0,3.970272912291867e-05,520.0,0.0387340667734861,0.0090491376453161,0.0061424600046764,-0.0001548610836847,1.4633476660926348e-05,526942590.7121471,270772612.6183053,162026837.5506311,101718392.01291764,65152178.490709536,13.424874879287024,0.0005330041708414,7074138348.877928,3635088445.138405,2175190021.203787,1365556685.695688,874659844.3507509,1.1901213119409661e-08,6.115509785069114e-09,3.6594421455816795e-09,2.297351329816286e-09,1.4714884981375975e-09,6.6904339315869505e-09,3.4379196275587707e-09,2.0572067448779103e-09,1.2914882823761835e-09,8.272179045196395e-10
11,11,0.02,522,2,100000.0,1.184814908884,,0.522,2544.0,2.1868472194316147e-05,522.0,0.0369931833492955,0.0080559377916523,0.006134996022338,-0.0002791248884299,4.686290940890598e-05,289960021.20874166,149142980.36523613,89245235.0250042,56027025.76183797,35886162.8708728,14.110707777462464,0.0003085796206735,4091541126.423372,2104513012.993669,1259313431.9687922,790580988.1656568,506379157.52530944,6.574538178271194e-09,3.3816600452187952e-09,2.023541736735762e-09,1.2703538175733947e-09,8.136809580944341e-10,3.6979574157041715e-09,1.902070457653903e-09,1.1381744190154808e-09,7.145314534471114e-10,4.5766827287537455e-10
12,12,0.02,524,2,100000.0,1.18564428721044,,0.524,2561.0,1.5616179123695942e-05,524.0,0.0412082573640191,0.0097168372990694,0.0061668001056117,-0.0002815776271269,6.807826874648574e-05,206846678.10220164,106502341.62360632,63729627.00380314,40008650.914909005,25626149.94198504,12.715898063127735,0.0001985737418724,2630241273.4441924,1354272919.5701845,810379440.5815134,508745926.6772452,325859510.4127086,4.708000100471046e-09,2.424080674946084e-09,1.4505385974274147e-09,9.106297198257867e-10,5.832721975933317e-10,2.6498041291516395e-09,1.3643455490211554e-09,8.164067720755624e-10,5.125298088844867e-10,3.2828314456652725e-10
13,13,0.02,526,2,100000.0,1.18623535979449,,0.526,2549.0,9.295413770604527e-06,526.0,0.041416134792712,0.0091106126592685,0.0063789650516294,-0.0001067836541367,1.1669475620035392e-05,122955338.54886948,63394721.91552287,37934583.59783708,23814850.0802888,15253773.997562028,12.70036430566573,0.0001180551412585,1561577592.8971076,805136063.3835117,481783031.4762627,302457271.90448046,193728486.80532885,2.8094531675398196e-09,1.4485300467053963e-09,8.667816892382292e-10,5.441545424720272e-10,3.4853926783629846e-10,1.5822050586267995e-09,8.157714084542428e-10,4.881470847363292e-10,3.0645254376242957e-10,1.9628751924830088e-10
14,14,0.02,528,2,100000.0,1.18691311580508,,0.528,2545.0,4.19078276934234e-06,528.0,0.0397299466433196,0.0093576749227679,0.0063686182512882,-3.7077366908797166e-05,-6.539672249878599e-05,55358028.09216827,28581138.48691476,17102584.48168609,10736785.455055077,6877074.524490779,13.2897233600685,5.5694343666701446e-05,735692879.103817,379835423.8069039,227288616.50380865,142688908.47408912,91394417.95705707,1.26970607391681e-09,6.555443968465205e-10,3.9226930843557917e-10,2.462616927743087e-10,1.5773436293623756e-10,7.155746451622313e-10,3.6944845645612935e-10,2.2107318926649034e-10,1.3878694214671604e-10,8.889514912676075e-11
15,15,0.02,530,2,100000.0,1.18740617352132,,0.53,2461.0,2.718661421042508e-06,530.0,0.0403666611193784,0.0085739798683948,0.0066745941180295,-0.0001739535731904,-2.319576271232833e-05,35863156.08541977,18541270.891509905,11094857.259274475,6965210.560710905,4461323.391930755,13.129646725861294,3.569506402551618e-05,470870569.8759842,243440336.6540204,145671556.28813154,91450754.03337245,58575600.06587204,8.257433285153293e-10,4.2690974281218444e-10,2.554572815860007e-10,1.6037283886874138e-10,1.027212445681517e-10,4.656833045986369e-10,2.4075851772920685e-10,1.440667904476383e-10,9.044330240795128e-11,5.793031196387513e-11
16,16,0.02,532,2,100000.0,1.18810554884438,,0.532,2537.0,1.4276275306465096e-06,532.0,0.0395285342750639,0.0088101685462736,0.0064716599799231,-0.000136724037556,2.8140889373221063e-05,18814795.907391448,9736419.759009195,5826147.952568406,3657581.733516358,2342736.777790922,13.45863209341422,1.9213913701400805e-05,253221416.03025708,131038891.4435535,78411981.81541671,49226046.90298887,31530032.38399872,4.3492254229827566e-10,2.250669343060944e-10,1.34677149399292e-10,8.454860494020731e-11,5.4154668503856425e-11,2.4540336073069886e-10,1.2699314635706328e-10,7.599106015882336e-11,4.7706223015659266e-11,3.055656204867168e-11
17,17,0.02,534,2,100000.0,1.18943277689967,,0.534,2573.0,1.471843327220898e-06,534.0,0.0388853980093699,0.0076664524217847,0.0066639033571561,-0.0002209949858479,-9.893318813989231e-06,19377941.395477854,10037971.491646525,6006592.618388484,3770862.604339941,2415294.899969493,13.732661290269563,2.0212325885067984e-05,266110705.68679088,137848062.53616363,82486501.93696243,51783978.91754417,33168426.77739656,4.4957445356721324e-10,2.3288415710315787e-10,1.3935487465366384e-10,8.748522148068776e-11,5.603561610062787e-11,2.53884483592549e-10,1.3151475466161414e-10,7.869673222493363e-11,4.940480959575594e-11,3.164453260992799e-11
18,18,0.02,536,2,100000.0,1.19165789569026,,0.536,2475.0,2.8964852091227424e-06,536.0,0.0490328369276085,0.0092041523686671,0.0061860536775068,-8.290993109877562e-05,-2.2890401069160308e-05,38083098.76826877,19754029.126217104,11820556.138429912,7420795.105772466,4753132.22817042,10.931449893289754,3.166278293018016e-05,416303485.96653473,215940179.58382863,129215817.13806522,81120049.86712155,51958626.78842563,8.870127637933951e-10,4.6010110883888045e-10,2.7531856674068487e-10,1.7284150159020704e-10,1.1070761284524968e-10,5.012069677928179e-10,2.599803419434917e-10,1.5556888203392808e-10,9.766416951015042e-11,6.255538726235629e-11
19,19,0.02,538,2,100000.0,1.1933953170949,,0.538,2558.0,4.523976911117966e-06,538.0,0.0419338954183103,0.0097299371670021,0.00617469297335,-5.904624319385e-05,-5.135319327465736e-05,59416046.89214961,30853522.53382453,18462349.77427242,11590428.84628423,7423846.111144583,12.829716739482375,5.804134230560194e-05,762291051.4060817,395841954.5242052,236866717.9491615,148701918.9869522,95245842.7234928,1.389360331524192e-09,7.214660439139273e-10,4.317159714388179e-10,2.71025807112534e-10,1.7359615514116642e-10,7.855136320160487e-10,4.079009596519572e-10,2.4408267101754207e-10,1.5323200273142438e-10,9.814743032094748e-11
