,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.17577026432641,,651.0,0.0090769848372752,500.0,0.0324750869417584,0.0003641624947052,0.000429935848226,-3.191853050049196e-06,-7.947188872240808e-06,195155174001.4188,138140853950.72217,114370008949.66872,15.396417595331172,0.1397530490611795,3004690554815.3613,2126874274400.9724,1760888418170.863,4.2346943627645455e-06,2.997534133982789e-06,2.481727859108524e-06,2.367974213261503e-06,1.6761737505911852e-06,1.387743027306741e-06
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.17662360156545,,669.0,0.0105933464656831,510.0,0.035605011592338,0.0003143070007445,0.0004279685662355,1.5517923778331485e-06,1.379029789362199e-07,226100852618.992,161018866278.38406,133476165467.60783,14.323826259046855,0.1517372542763337,3238629329936.801,2306406265000.272,1911889403881.8044,5.006344178814019e-06,3.5652933393861467e-06,2.955440531333253e-06,2.8075832104300144e-06,1.999434589870686e-06,1.657426041603332e-06
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.17747901516844,,731.0,0.0138138773685502,520.0,0.0407567419611041,0.0003810104455557,0.0003328159382127,-4.943257189522173e-07,-5.0461757829042616e-06,293775876346.60114,209970936001.9633,174054854843.73276,12.758625321333533,0.176246085580181,3748176334752.6943,2678940500818.752,2220700678310.281,6.635047869288967e-06,4.742279144420821e-06,3.931099817085681e-06,3.729985250831014e-06,2.665938756205048e-06,2.209922916327869e-06
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.17837189466193,,690.0,0.0141076015501784,530.0,0.0393318520192451,0.0004837267438337,0.0003893259750874,-7.275467703941347e-06,-1.174220175799883e-05,297670392708.76514,213615303707.8966,177755779532.24835,13.4750837499508,0.1901011123995902,4011133471631.3545,2878484107735.0825,2395274016234.837,6.853812316192973e-06,4.918457580404749e-06,4.092797876020449e-06,3.865251898846349e-06,2.7737960459084453e-06,2.3081599016807577e-06
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1791362468331,,729.0,0.0170552248097583,540.0,0.0466763285090792,0.0004085767616419,0.0004758861755673,2.538737687512641e-06,-2.4444362121868787e-06,358378527063.18787,257241847399.59195,214895832602.9553,11.569033324781795,0.1973124641857397,4146093122480.2354,2976039505094.313,2486137048740.3203,8.4119488372803e-06,6.038043843936283e-06,5.044087780633372e-06,4.759551574812546e-06,3.41637611475127e-06,2.8539873939091e-06
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.18000708146274,,706.0,0.0175081149461899,550.0,0.0437468051160294,0.0003466428502856,0.0004637444021278,-3.579604525856802e-06,3.97997630490625e-06,364797043925.8793,263040070919.5434,220602248321.99347,12.57234667860287,0.2201180907923285,4586354903565.674,3307030961964.7847,2773487943983.34,8.68356195725482e-06,6.261357626391987e-06,5.251175477186608e-06,4.951866112914856e-06,3.570585988053844e-06,2.994522066687754e-06
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.18089388467086,,731.0,0.0202213288647329,560.0,0.0541304439000214,0.0004323405294092,0.0003052247840573,-8.804464104077756e-07,9.09952769892798e-06,419773302081.7899,303319932970.99445,254788743695.6353,10.345379783589369,0.2091973268345205,4342714233047.5024,3137959902517.808,2635886318114.959,1.0181039167685743e-05,7.356618685853945e-06,6.179559696117314e-06,5.8195721147655725e-06,4.205108364482471e-06,3.532291026165275e-06
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.18169303123046,,508.0,0.0147701114454614,570.0,0.0388470124356672,0.0003759347541161,0.0003445720082177,9.488412749111886e-07,-2.084873879191663e-06,303998318002.0733,221551671681.9216,186103404212.8141,14.672943020880972,0.2167210036513175,4460549998488.076,3250815054769.764,2730684646006.6016,7.507232622893077e-06,5.471214275914759e-06,4.595819991768398e-06,4.300722893300078e-06,3.134334271036474e-06,2.6328407876706378e-06
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.18256256858225,,419.0,0.0134625416538402,580.0,0.0485104013973796,0.0004869586740026,0.0003104150060279,-1.890541378608668e-06,7.528748393023745e-06,275982103903.72424,201223918991.91867,169628024838.3866,11.956198738675658,0.1609608235410128,3299696882590.762,2405873166442.551,2028106376616.7607,6.937761759385385e-06,5.058457017715913e-06,4.264185276500286e-06,3.972737536220821e-06,2.896600195654445e-06,2.441780144213773e-06
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.18333929872482,,494.0,0.0166753362547694,590.0,0.0412235588496514,0.000498421763255,0.0003757691031181,-4.4540781801532176e-06,-5.328075268431584e-06,338977909627.9765,248462510196.06485,209774733811.2389,14.312204391469914,0.2386608207747488,4851521126788.817,3556046229543.7573,3002338866472.646,8.672144035334142e-06,6.356469299624003e-06,5.366711679181354e-06,4.958332803746586e-06,3.6343365741986775e-06,3.0684387227327155e-06
