,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2,25,3000,1000000.0,200,17.15,2.43,0.81,,0.001,4251.0,0.4251,200.0,0.000236835809062,0.0147250377888252,0.00269960591722,-0.0013453559297205,3.2375486306546416e-06,10172211488179.36,6631560000000.0,5356260000000.0,4.239980522587981,1.801868659185755,43116887967912.67,28109151083297.773,22703545105740.508,8.45459778116998e-05,5.511797756746265e-05,4.451836649679676e-05,5.016056514859666e-05,3.270112873718521e-05,2.641245013388036e-05
11,11,2,25,3000,1000000.0,205,17.15,2.43,0.81,,0.001025,4208.0,0.4207999999999999,205.0,0.0002269338628764,0.0149232202038947,0.0027367428162524,-0.001166522134626,-1.1013688282135263e-05,10057120000000.0,6564480000000.0,5302080000000.0,4.519370677873803,1.901390981785694,45443244464678.09,29661699315856.83,23957526370499.742,8.57848372353382e-05,5.599345024566008e-05,4.52254790445716e-05,5.041453517370675e-05,3.290655852342365e-05,2.6578374191996028e-05
12,12,2,25,3000,1000000.0,210,17.15,2.43,0.81,,0.00105,4254.0,0.4253999999999999,210.0,0.0002705829970608,0.0161185047701544,0.002608707159452,-0.001313723282962,-2.6846110470427853e-05,10167060000000.0,6636240000000.0,5360040000000.0,3.957302556358947,1.6841531503933382,40251260294400.78,26272789146136.08,21220329694956.062,8.901908618783452e-05,5.8104508139339686e-05,4.693056426638976e-05,5.182410390245891e-05,3.3826611752232595e-05,2.732149410757248e-05
13,13,2,25,3000,1000000.0,215,17.15,2.43,0.81,,0.001075,4255.5,0.42555,215.0,0.0002768479600092,0.0160305179298245,0.0026703381722378,-0.0012981375733465,-2.311706096216681e-05,10155140705140.262,6638580000000.0,5361930000000.0,3.886078402228855,1.653912141081355,39468242290261.91,25801029400869.14,20839292977625.062,9.1171667489965e-05,5.9600396088965085e-05,4.813878145647181e-05,5.274863432088834e-05,3.448263682380226e-05,2.7851360511532595e-05
14,14,2,25,3000,1000000.0,220,17.15,2.43,0.81,,0.0011,4441.5,0.44415,220.0,0.0002846646191869,0.0155586142768482,0.0026749024501754,-0.0012564959461357,-9.885787467171915e-06,10570770000000.0,6928740000000.0,5596290000000.0,3.864206445721494,1.7162925856810198,40847763539208.266,26774164336623.91,21625286579580.85,9.72890354952384e-05,6.37692837699882e-05,5.150595996806738e-05,5.5972942204336665e-05,3.668814699107781e-05,2.9632734108178235e-05
15,15,2,25,3000,1000000.0,225,17.15,2.43,0.81,,0.001125,4500.5,0.4500499999999999,225.0,0.0002718028552379,0.0146694615246935,0.0027503731628785,-0.001368872874968,1.851481785104699e-05,10711190000000.0,7020780000000.0,5670630000000.0,4.155773249969037,1.869817744506003,44501662319242.86,29169156814293.64,23559703580775.637,0.0001009647574529,6.617858051536354e-05,5.345193041625517e-05,5.779881663190669e-05,3.7884938632678335e-05,3.059937351100942e-05
16,16,2,25,3000,1000000.0,230,17.15,2.43,0.81,,0.00115,4623.5,0.46235,230.0,0.0002740593215406,0.0154412152375196,0.0028045410323636,-0.0012711767251888,-8.684645222949295e-06,11003930000000.0,7212660000000.0,5825610000000.0,4.213075104870326,1.9477685011383787,46356890327093.41,30385188617758.703,24541883114343.57,0.0001061467293144,6.957516711370194e-05,5.619532728414387e-05,6.053366119857852e-05,3.96775258276397e-05,3.204723239924745e-05
17,17,2,25,3000,1000000.0,235,17.15,2.43,0.81,,0.001175,4830.0,0.483,235.0,0.0002825200838145,0.0157557644293547,0.0029163307972853,-0.0011611075326229,4.962351781875845e-06,11495400000000.0,7534800000000.0,6085800000000.0,4.17293482174636,2.015503401628457,47968980958757.3,31441853065403.93,25395342860518.56,0.0001135145822293,7.440451608307837e-05,6.0095955297871e-05,6.438665374684239e-05,4.220301674162779e-05,3.4087051983622445e-05
18,18,2,25,3000,1000000.0,240,17.15,2.43,0.81,,0.0012,5042.5,0.5042500000000001,240.0,0.0002720921524996,0.0156945675512469,0.0029193650804133,-0.0011372548053531,1.6804661049593747e-05,11961416044642.75,7866300000000.0,6353550000000.0,4.410324538229193,2.223869877617644,52752866307056.81,34692370090835.24,28020760457982.312,0.0001207766863569,7.942752299095885e-05,6.415299933885138e-05,6.823709036717448e-05,4.487540789083358e-05,3.6245521757980966e-05
19,19,2,25,3000,1000000.0,245,17.15,2.43,0.81,,0.001225,5223.0,0.5223,245.0,0.0002799915336026,0.0135950638134053,0.0029063784154261,-0.0012621761741633,-5.4224874753689146e-08,12378510000000.0,8147880000000.0,6580980000000.0,4.375597784775849,2.285442419561039,54164985343596.64,35652901745152.22,28796574486469.1,0.0001277086988302,8.406142201483839e-05,6.789576393506177e-05,7.184444212285834e-05,4.729001253656498e-05,3.819577935645633e-05
