Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1638.92,198200000000000.0,4916.76,0.0,8194.59,0.0,11472.4,0.0,14750.3,0.0
1592.17,235900000000000.0,4776.5,0.0,7960.83,0.0,11145.2,0.0,14329.5,0.0
1544.04,276200000000000.0,4632.11,0.0,7720.19,0.0,10808.3,0.0,13896.3,0.0
1495.01,318800000000000.0,4485.03,0.0,7475.05,0.0,10465.1,0.0,13455.1,0.0
1445.52,363600000000000.0,4336.56,0.0,7227.6,0.0,10118.6,0.0,13009.7,0.0
1395.96,410400000000000.0,4187.87,0.0,6979.78,0.0,9771.69,0.0,12563.6,0.0
1346.66,458800000000000.0,4039.98,0.0,6733.3,0.0,9426.61,0.0,12119.9,0.0
1297.92,508900000000000.0,3893.76,0.0,6489.6,0.0,9085.44,0.0,11681.3,0.0
1249.98,560200000000000.0,3749.95,0.0,6249.92,0.0,8749.89,0.0,11249.9,0.0
1203.05,612800000000000.0,3609.16,0.0,6015.27,0.0,8421.38,0.0,10827.5,0.0
1157.29,666300000000000.0,3471.87,0.0,5786.45,0.0,8101.03,0.0,10415.6,0.0
1112.82,720700000000000.0,3338.46,0.0,5564.1,0.0,7789.74,0.0,10015.4,0.0
1069.74,775800000000000.0,3209.21,0.0,5348.68,0.0,7488.15,0.0,9627.62,0.0
1028.1,831400000000000.0,3084.31,0.0,5140.52,0.0,7196.73,0.0,9252.94,0.0
987.968,887400000000000.0,2963.9,0.0,4939.84,0.0,6915.77,0.0,8891.71,0.0
949.347,943700000000000.0,2848.04,0.0,4746.74,0.0,6645.43,0.0,8544.13,0.0
912.248,1000000000000000.0,2736.74,0.0,4561.24,0.0,6385.74,0.0,8210.23,0.0
876.66,1057000000000000.0,2629.98,0.0,4383.3,0.0,6136.62,0.0,7889.94,0.0
842.564,1113000000000000.0,2527.69,0.0,4212.82,0.0,5897.95,0.0,7583.08,0.0
809.929,1170000000000000.0,2429.79,0.0,4049.65,0.0,5669.5,0.0,7289.36,0.0
778.719,1226000000000000.0,2336.16,0.0,3893.6,0.0,5451.04,0.0,7008.48,0.0
748.893,1282000000000000.0,2246.68,0.0,3744.46,0.0,5242.25,0.0,6740.04,0.0
720.403,1337000000000000.0,2161.21,0.0,3602.02,0.0,5042.82,0.0,6483.63,0.0
693.203,1392000000000000.0,2079.61,0.0,3466.01,0.0,4852.42,0.0,6238.83,0.0
667.241,1447000000000000.0,2001.72,0.0,3336.21,0.0,4670.69,0.0,6005.17,0.0
642.467,1501000000000000.0,1927.4,0.0,3212.34,0.0,4497.27,0.0,5782.21,0.0
618.83,1555000000000000.0,1856.49,0.0,3094.15,0.0,4331.81,0.0,5569.47,0.0
596.28,1608000000000000.0,1788.84,0.0,2981.4,0.0,4173.96,0.0,5366.52,0.0
574.765,1661000000000000.0,1724.3,0.0,2873.83,0.0,4023.36,0.0,5172.89,0.0
554.239,1713000000000000.0,1662.72,0.0,2771.19,0.0,3879.67,0.0,4988.15,0.0
534.652,1764000000000000.0,1603.96,0.0,2673.26,0.0,3742.56,0.0,4811.87,0.0
515.96,1815000000000000.0,1547.88,0.0,2579.8,0.0,3611.72,0.0,4643.64,0.0
498.118,1865000000000000.0,1494.35,0.0,2490.59,0.0,3486.83,0.0,4483.06,0.0
481.084,1914000000000000.0,1443.25,0.0,2405.42,0.0,3367.59,0.0,4329.76,0.0
464.818,1962000000000000.0,1394.45,0.0,2324.09,0.0,3253.72,0.0,4183.36,0.0
449.279,2010000000000000.0,1347.84,0.0,2246.4,0.0,3144.95,0.0,4043.51,0.0
434.432,2057000000000000.0,1303.3,0.0,2172.16,0.0,3041.03,0.0,3909.89,0.0
420.242,2104000000000000.0,1260.73,0.0,2101.21,0.0,2941.69,0.0,3782.18,0.0
406.674,2149000000000000.0,1220.02,0.0,2033.37,0.0,2846.72,0.0,3660.07,0.0
393.697,2194000000000000.0,1181.09,0.0,1968.49,0.0,2755.88,0.0,3543.28,0.0
381.281,2238000000000000.0,1143.84,0.0,1906.41,0.0,2668.97,0.0,3431.53,0.0
369.398,2282000000000000.0,1108.19,0.0,1846.99,0.0,2585.78,0.0,3324.58,0.0
358.019,2325000000000000.0,1074.06,0.0,1790.1,0.0,2506.14,0.0,3222.18,0.0
347.121,2366000000000000.0,1041.36,0.0,1735.6,0.0,2429.85,0.0,3124.09,0.0
336.678,2408000000000000.0,1010.03,0.0,1683.39,0.0,2356.74,0.0,3030.1,0.0
326.667,2448000000000000.0,980.002,0.0,1633.34,0.0,2286.67,0.0,2940.01,0.0
317.068,2488000000000000.0,951.203,0.0,1585.34,0.0,2219.47,0.0,2853.61,0.0
307.859,2527000000000000.0,923.577,0.0,1539.29,0.0,2155.01,0.0,2770.73,0.0
299.021,2566000000000000.0,897.063,0.0,1495.11,0.0,2093.15,0.0,2691.19,0.0
290.536,2603000000000000.0,871.609,0.0,1452.68,0.0,2033.75,0.0,2614.83,0.0
282.387,2640000000000000.0,847.161,0.0,1411.94,0.0,1976.71,0.0,2541.48,0.0
