,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2000,250000.0,0.01715,0.00243,0.81,516895000000.0,2.0,711.7,0.2846799999999999,2000.0,0.1095555557504553,0.0545870735095422,0.0194502709321341,-0.0001743153126012,0.0158001915420466,1471496686.0,18.791438190030217,5.363600733308776,27724184010.4364,1.254149630419679e-07,7.759707888394952e-08
1,1,2250,250000.0,0.01715,0.00243,0.81,526873000000.0,2.25,1194.9,0.47796,2250.0,0.1715828476810429,0.0562580461471109,0.0186371702488707,-9.442680880233616e-05,0.0155459947205705,2518242190.8,13.451615184054788,6.428477801531317,33869913847.262096,2.4284609488366733e-07,1.4206328433618038e-07
2,2,2500,250000.0,0.01715,0.00243,0.81,535077000000.0,2.5,1630.3,0.6521199999999998,2500.0,0.2273695556508982,0.0543505439071054,0.0178022002412297,0.000129239689063,0.0156600312712139,3489344132.4,11.219890703010154,7.3113720020703665,39121469967.51807,3.753917639587289e-07,1.99288601998972e-07
3,3,2750,250000.0,0.01715,0.00243,0.81,541810000000.0,2.75,2092.35,0.8369399999999999,2750.0,0.2805330428584511,0.0538021995790345,0.0192702521059748,-4.805167745178476e-05,0.0157102765578048,4534624614.0,9.934147762231476,8.314614884446218,45049414905.41808,5.382683393285792e-07,2.6423703552199145e-07
4,4,3000,250000.0,0.01715,0.00243,0.81,547302000000.0,3.0,2447.8,0.9791200000000002,3000.0,0.3114699170981339,0.0555020087365475,0.0172797697101914,-8.412510866214834e-05,0.0155076889362497,5358743342.4,9.701295593035244,9.497575431705725,51980420289.23408,6.956193350743468e-07,3.1454300402662505e-07
5,5,3250,250000.0,0.01715,0.00243,0.81,551735000000.0,3.25,2812.25,1.1249,3250.0,0.4029465998510432,0.0566732160080627,0.017892665102314,0.0001430663493731,0.0155722162884909,6206467015.0,8.130094399610297,9.142600716822528,50442928064.96077,8.742229952038124e-07,3.638364099212118e-07
6,6,3500,250000.0,0.01715,0.00243,0.81,555253000000.0,3.5,3202.4,1.28096,3500.0,0.4743203473747371,0.0556925617226298,0.018283575990846,-0.0001957047774675,0.0155724512144411,7112568828.8,7.435491760172748,9.527471272626594,52901570065.39734,1.0795972834654772e-06,4.112333602456102e-07
7,7,3750,250000.0,0.01715,0.00243,0.81,557975000000.0,3.75,3636.45,1.4545799999999995,3750.0,0.5554907223725649,0.0573777203491886,0.0191379067527943,0.0001031339273892,0.0156137833796806,8116192755.0,6.818457069976016,9.916644552489592,55332397441.7538,1.3179793915960518e-06,4.567510864182246e-07
8,8,4000,250000.0,0.01715,0.00243,0.81,559997000000.0,4.0,4037.2,1.61488,4000.0,0.6457121129051302,0.0562017653189638,0.0172671360298383,8.749829402631479e-05,0.0155185852946053,9043279553.6,6.232847042056918,10.065154199410738,56364561562.07414,1.5590694476079503e-06,4.898134917211458e-07
9,9,4250,250000.0,0.01715,0.00243,0.81,561403000000.0,4.25,4430.55,1.7722200000000004,4250.0,0.7379100073212612,0.0568945423332196,0.0189263343677125,2.2783810190568824e-05,0.0156115012687092,9949296246.6,5.79086764471348,10.260301584844886,57601640906.366745,1.8051961760015232e-06,5.138502109310645e-07
