,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.17577026432641,,306.0,4.966715954575847e-05,500.0,0.0404770961909548,0.0004362255000045,0.0003955865588074,-2.265711559560334e-06,1.2876425801080449e-05,1604249253.3279986,869175292.0507733,576139050.7307982,12.352664767284656,0.0006135217718119,19816753229.527485,10736631006.709938,7116852553.019159,3.4810787386492334e-08,1.886033372333176e-08,1.2501706925179908e-08,1.9465642573724964e-08,1.0546400775237984e-08,6.990757085300606e-09
1,1,0.02,502,100000.0,17.15,2.43,0.81,1.17662360156545,,282.0,3.989358476187312e-05,502.0,0.0422262956894883,0.0004213949105941,0.0005784084933676,1.7543312203048337e-05,-5.383498447238602e-06,1288562787.8085015,698137733.3327795,462765583.2377282,11.88832673582036,0.0004742679703122,15318855441.087029,8299689480.465107,5501508455.622585,2.8073549858389352e-08,1.5210127632254293e-08,1.0082141744808558e-08,1.5706909189459387e-08,8.50993531936654e-09,5.640871411694393e-09
2,2,0.02,504,100000.0,17.15,2.43,0.81,1.17747901516844,,319.0,3.847849658686349e-05,504.0,0.0387491293244011,0.0003410894364391,0.0005761700999668,2.0566476004676223e-05,-2.4028009773727764e-06,1242855439.7556908,673373690.2701111,446350560.4076165,13.006743862051655,0.0005004799493021,16165502362.459845,8758399112.78784,5805567411.905084,2.718762354295056e-08,1.4730136594477855e-08,9.763976256911037e-09,1.521959718305134e-08,8.245911786482924e-09,5.46586152704011e-09
3,3,0.02,506,100000.0,17.15,2.43,0.81,1.17837189466193,,312.0,3.1349850215895504e-05,506.0,0.0359834584509144,0.000613288064576,0.0003748434306652,-1.144258014638518e-05,-1.1283155175732964e-05,1012600161.9734248,548622378.7781714,363658262.5043879,14.062016876177758,0.0004408421228015,14239200566.490631,7714737149.027432,5113768624.498183,2.2238659390959494e-08,1.2048809267547714e-08,7.986639285917341e-09,1.2457392697078294e-08,6.7493613683860735e-09,4.4738623927587675e-09
4,4,0.02,508,100000.0,17.15,2.43,0.81,1.1791362468331,,289.0,2.383580692157369e-05,508.0,0.0250211916657008,0.0005275415935932,0.0003473629901263,-9.73964615371522e-06,-9.819683702106828e-06,769896563.5668302,417126621.1275396,276495360.2902548,20.302790002458952,0.0004839333824678,15631048253.712145,8468834193.187694,5613627236.627271,1.697650357262543e-08,9.197796053280034e-09,6.096824812459907e-09,9.515628535677156e-09,5.155526296419512e-09,3.4173774307695046e-09
5,5,0.02,510,100000.0,17.15,2.43,0.81,1.18000708146274,,321.0,2.069595882065129e-05,510.0,0.0375374979075786,0.0002870789236055,0.0004267707046579,1.6941719251033148e-05,2.168462342934828e-05,668479469.9070369,362179279.3613977,240073122.31955504,13.586414343749674,0.0002811838717785,9082239058.447144,4920717756.124614,3261732912.6311727,1.4801528893238084e-08,8.0194041991228e-09,5.315719354847113e-09,8.300772484882281e-09,4.49732255372879e-09,2.9810823784716557e-09
6,6,0.02,512,100000.0,17.15,2.43,0.81,1.18089388467086,,314.0,1.5793465033929356e-05,512.0,0.0496961851711716,0.000491658647406,0.0003799411660518,-2.324336711051232e-05,1.479268372555901e-05,510128920.59591824,276385638.09376377,183204194.39358056,10.302601663215924,0.0001627137791265,5255655065.786051,2847491134.713805,1887479837.867437,1.13379391497461e-08,6.1428462885621284e-09,4.071829539846896e-09,6.362464567483179e-09,3.4471557254165832e-09,2.284971795133278e-09
7,7,0.02,514,100000.0,17.15,2.43,0.81,1.18169303123046,,294.0,1.1770253320040707e-05,514.0,0.0371031015079097,0.0003919238957139,0.0004043519326799,-4.48287987057636e-06,1.367828628824304e-05,380179182.2373149,205979433.1007124,136534938.5124722,13.85328932381634,0.0001630567246571,5266732206.425422,2853492681.499841,1891458006.022752,8.484608951872953e-09,4.596924354729928e-09,3.0471041437066954e-09,4.762744009880227e-09,2.5804340610806182e-09,1.7104591490591522e-09
8,8,0.02,516,100000.0,17.15,2.43,0.81,1.18256256858225,,332.0,9.884334256070792e-06,516.0,0.0292150623113229,0.0003984974235789,0.0002636884241421,-8.255456538152702e-06,1.3104766999577002e-05,319263996.47108656,172975849.48123884,114658277.3704212,17.662122178668508,0.0001745783192855,5638879712.922321,3055120587.496614,2025108503.712041,7.154712580615971e-09,3.876392265039611e-09,2.569494301397685e-09,4.017453752811611e-09,2.176639030161089e-09,1.442800728563922e-09
9,9,0.02,518,100000.0,17.15,2.43,0.81,1.18333929872482,,289.0,6.3897329994966535e-06,518.0,0.0468881948513626,0.0004409672036577,0.0003742822022945,1.2050694809651643e-05,1.8526400130316188e-05,206388375.8837419,111820327.49119145,74120902.79416117,11.047556888084085,7.059093881160742e-05,2280087323.61492,1235341429.20313,818854890.2146461,4.643437235305994e-09,2.515794167735446e-09,1.667612134041781e-09,2.608716230563614e-09,1.4133911465901936e-09,9.368764171683568e-10
10,10,0.02,520,100000.0,17.15,2.43,0.81,1.18413280440169,,323.0,4.959002902823947e-06,520.0,0.0228285390031715,0.0004330151625288,0.0004151022181993,7.92338378884305e-06,-1.174450508824568e-05,160175793.76121348,86782550.79941908,57524433.67275779,22.77850544565108,0.0001129586746269,3648565190.451285,1976776805.9720583,1310320625.6729074,3.6176355673708604e-09,1.9600192702473707e-09,1.2992127734211142e-09,2.0337045903816563e-09,1.1018523322501235e-09,7.30370688805796e-10
11,11,0.02,522,100000.0,17.15,2.43,0.81,1.184814908884,,306.0,2.630405853561612e-06,522.0,0.031081612524531,0.0002169084607821,0.0003203824977838,6.619744194073671e-07,-1.0110048190778992e-06,84962109.07004006,46032102.43732821,30512707.9013147,16.7944954460781,4.417633912897766e-05,1426895753.8659785,773085934.7571092,512445533.8961409,1.926426365465376e-09,1.043729454973501e-09,6.918435244395777e-10,1.0835502769646968e-09,5.870628435567242e-10,3.891387991576001e-10
12,12,0.02,524,100000.0,17.15,2.43,0.81,1.18564428721044,,315.0,1.920771739150418e-06,524.0,0.0364207385387089,0.0003946660017417,0.0003418023661469,-1.3426339013895532e-05,-1.852891103191613e-05,62040927.17455852,33613505.435132325,22280952.174144853,14.38740731309109,2.7634925366631425e-05,892608089.342195,483611193.9160499,320565134.2529245,1.4121024038240494e-09,7.650709618241756e-10,5.07132751837739e-10,7.94773725697998e-10,4.3060495974349746e-10,2.8542957331568965e-10
