,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,1000000.0,17.15,2.43,0.81,,1185.6,0.11856,500.0,0.0354721446773907,0.0004171804544604,0.0004042778016983,-3.708300041069128e-07,1.641869560252684e-06,3829488000000.0,2074800000000.0,1375296000000.0,14.277210261546248,1.6902004573628695,54593474772820.695,29578508003850.227,19606325305409.29,8.309649656409608e-05,4.502132166785392e-05,2.9842704648406024e-05,4.646624861674659e-05,2.5175212098856516e-05,1.66875691626706e-05
1,1,2.25,0.02,501,1000000.0,17.15,2.43,0.81,,1207.6,0.12076,501.0,0.0360096655892561,0.0004052981038123,0.0004303966923295,1.6993483880511603e-06,-7.709196356862086e-07,3900548000000.0,2113300000000.0,1400816000000.0,14.147659827146375,1.7071510803702918,55140979895960.42,29875143906480.105,19802952532295.383,8.479205778505659e-05,4.593996938818855e-05,3.0451636851599268e-05,4.743681391984889e-05,2.5701060173292737e-05,1.7036131314868333e-05
2,2,2.25,0.02,502,1000000.0,17.15,2.43,0.81,,1211.7,0.12117,502.0,0.0364608966844116,0.0004269698809625,0.000435527606428,-3.697106168945076e-06,-1.5176012167685662e-06,3913791000000.0,2120475000000.0,1405572000000.0,13.889636548375435,1.6830761393818878,54363359302034.98,29453832439183.043,19523683216829.9,8.526864799555603e-05,4.619818389852107e-05,3.0622796184162544e-05,4.770707365224586e-05,2.5847485724901006e-05,1.713319053764867e-05
3,3,2.25,0.02,503,1000000.0,17.15,2.43,0.81,,1182.3,0.11823,503.0,0.035338419062549,0.0004178186073722,0.0004247143628891,-2.4535265784019328e-06,-1.728880163015945e-06,3818829000000.0,2069025000000.0,1371468000000.0,14.467466218701013,1.7131883699333634,55335984348847.64,29980796473833.863,19872985091227.016,8.336547452206253e-05,4.516705275963141e-05,2.9939303543527095e-05,4.6656580705082255e-05,2.5278333199347976e-05,1.6755923720710658e-05
4,4,2.25,0.02,504,1000000.0,17.15,2.43,0.81,,1191.1,0.1191099999999999,504.0,0.0385407486534006,0.000391968853519,0.0004119211405648,-1.2963564099659989e-06,3.362931555754743e-06,3847253000000.0,2084425000000.0,1381676000000.0,13.156278186616992,1.5658476361210474,50576878646709.82,27402333632118.324,18163832579004.15,8.415915712534357e-05,4.559706655397872e-05,3.0224341258637323e-05,4.711218943757108e-05,2.5525180035835724e-05,1.6919547909468252e-05
5,5,2.25,0.02,505,1000000.0,17.15,2.43,0.81,,1182.3,0.1182299999999999,505.0,0.0361851996713539,0.0003807309317962,0.0004045418003482,3.453956945682933e-07,2.378208970575113e-06,3818829000000.0,2069025000000.0,1371468000000.0,14.001819837230476,1.656081267887414,53491424952763.48,28981422188029.742,19210542707494.004,8.371857629683492e-05,4.5358361770731e-05,3.00661140880274e-05,4.6872153208474425e-05,2.5395129447315863e-05,1.683334294793509e-05
6,6,2.25,0.02,506,1000000.0,17.15,2.43,0.81,,1178.4,0.11784,506.0,0.0374865145104649,0.0003971730618125,0.0003956069070175,-1.025667805337916e-06,-4.054508597996431e-06,3806232000000.0,2062200000000.0,1366944000000.0,13.554658792202048,1.5956019991931418,51537944573938.46,27923034985879.977,18508983190640.44,8.359222148059662e-05,4.528990327896102e-05,3.0020735887768443e-05,4.682571512508816e-05,2.5369969495016803e-05,1.6816665493839702e-05
7,7,2.25,0.02,507,1000000.0,17.15,2.43,0.81,,1187.3,0.1187299999999999,507.0,0.0361342406702192,0.000397490611075,0.0004155818694384,1.3901222590631209e-06,3.218651024268766e-06,3834979000000.0,2077775000000.0,1377268000000.0,14.076248262927209,1.6711799943615715,53979113817878.766,29245649901327.5,19385687934594.23,8.43900109646622e-05,4.572214216351667e-05,3.030724851981676e-05,4.728887160366012e-05,2.5620905667617712e-05,1.698300032824945e-05
8,8,2.25,0.02,508,1000000.0,17.15,2.43,0.81,,1184.1,0.1184099999999999,508.0,0.0363307102160774,0.0004103146336064,0.0004346097578215,1.2612627127215977e-06,1.94075784435454e-06,3824643000000.0,2072175000000.0,1373556000000.0,14.132151449159249,1.672200770400294,54012084883929.484,29263513482005.15,19397528936643.41,8.433479070579168e-05,4.569222406660539e-05,3.0287417095578436e-05,4.727113198293779e-05,2.561129441800035e-05,1.6976629442788803e-05
9,9,2.25,0.02,509,1000000.0,17.15,2.43,0.81,,1210.1,0.1210099999999999,509.0,0.0362140968615164,0.0004063286435477,0.0004097864647085,8.785092138747025e-07,3.752077605884801e-07,3908623000000.0,2117675000000.0,1403716000000.0,14.143057547543282,1.7116703610458592,55286952661781.27,29954231318302.54,19855376188131.973,8.637536445397668e-05,4.679779807877994e-05,3.102025472650555e-05,4.842173764705386e-05,2.6234687579673143e-05,1.7389850052811916e-05
