Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1389.57,23450000000000.0,4168.72,979400000.0,6947.86,43850.0,9727.01,1.986,12506.2,9.035e-05
1370.2,88190000000000.0,4110.61,52670000000.0,6851.01,33800000.0,9591.41,21950.0,12331.8,14.32
1339.42,189300000000000.0,4018.26,528900000000.0,6697.09,1593000000.0,9375.93,4862000.0,12054.8,14910.0
1298.76,319200000000000.0,3896.28,2591000000000.0,6493.8,22770000000.0,9091.32,203200000.0,11688.8,1822000.0
1250.1,469300000000000.0,3750.3,8443000000000.0,6250.49,165500000000.0,8750.69,3297000000.0,11250.9,66060000.0
1195.45,630700000000000.0,3586.34,21080000000000.0,5977.23,772700000000.0,8368.13,28840000000.0,10759.0,1083000000.0
1136.78,795600000000000.0,3410.34,43590000000000.0,5683.9,2637000000000.0,7957.46,162800000000.0,10231.0,10120000000.0
1075.91,957500000000000.0,3227.73,78280000000000.0,5379.54,7120000000000.0,7531.36,662100000000.0,9683.18,62070000000.0
1014.39,1111000000000000.0,3043.16,126100000000000.0,5071.94,16050000000000.0,7100.72,2090000000000.0,9129.49,274900000000.0
953.485,1254000000000000.0,2860.46,186500000000000.0,4767.43,31340000000000.0,6674.4,5402000000000.0,8581.37,940900000000.0
894.174,1384000000000000.0,2682.52,257500000000000.0,4470.87,54560000000000.0,6259.22,11880000000000.0,8047.56,2618000000000.0
837.158,1500000000000000.0,2511.47,336500000000000.0,4185.79,86570000000000.0,5860.11,22950000000000.0,7534.42,6156000000000.0
782.912,1603000000000000.0,2348.74,420400000000000.0,3914.56,127300000000000.0,5480.38,39820000000000.0,7046.21,12610000000000.0
731.717,1694000000000000.0,2195.15,506100000000000.0,3658.59,175900000000000.0,5122.02,63270000000000.0,6585.46,23070000000000.0
683.708,1773000000000000.0,2051.12,591300000000000.0,3418.54,230900000000000.0,4785.96,93490000000000.0,6153.37,38420000000000.0
638.906,1841000000000000.0,1916.72,673800000000000.0,3194.53,290400000000000.0,4472.34,130100000000000.0,5750.15,59180000000000.0
597.251,1899000000000000.0,1791.75,752500000000000.0,2986.25,352600000000000.0,4180.76,172100000000000.0,5375.26,85430000000000.0
558.628,1950000000000000.0,1675.88,825800000000000.0,2793.14,415800000000000.0,3910.4,218500000000000.0,5027.65,116800000000000.0
522.886,1993000000000000.0,1568.66,893600000000000.0,2614.43,478500000000000.0,3660.2,267800000000000.0,4705.98,152700000000000.0
489.855,2030000000000000.0,1469.56,955600000000000.0,2449.27,539400000000000.0,3428.98,318800000000000.0,4408.69,192100000000000.0
459.352,2063000000000000.0,1378.05,1012000000000000.0,2296.76,597600000000000.0,3215.46,370200000000000.0,4134.16,234000000000000.0
431.194,2091000000000000.0,1293.58,1063000000000000.0,2155.97,652900000000000.0,3018.36,421100000000000.0,3880.75,277400000000000.0
405.203,2115000000000000.0,1215.61,1108000000000000.0,2026.01,704500000000000.0,2836.42,470700000000000.0,3646.83,321400000000000.0
381.206,2136000000000000.0,1143.62,1149000000000000.0,1906.03,752200000000000.0,2668.44,518300000000000.0,3430.85,365200000000000.0
359.039,2153000000000000.0,1077.12,1185000000000000.0,1795.19,796200000000000.0,2513.27,563700000000000.0,3231.35,408100000000000.0
338.55,2169000000000000.0,1015.65,1218000000000000.0,1692.75,836600000000000.0,2369.85,606300000000000.0,3046.95,449700000000000.0
319.599,2183000000000000.0,958.796,1247000000000000.0,1597.99,873300000000000.0,2237.19,646100000000000.0,2876.39,489600000000000.0
302.053,2194000000000000.0,906.158,1273000000000000.0,1510.26,906800000000000.0,2114.37,683100000000000.0,2718.48,527300000000000.0
285.793,2205000000000000.0,857.38,1296000000000000.0,1428.97,937100000000000.0,2000.55,717300000000000.0,2572.14,562900000000000.0
270.71,2213000000000000.0,812.131,1316000000000000.0,1353.55,964600000000000.0,1894.97,748800000000000.0,2436.39,596300000000000.0
256.704,2221000000000000.0,770.112,1334000000000000.0,1283.52,989500000000000.0,1796.93,777800000000000.0,2310.34,627400000000000.0
243.683,2228000000000000.0,731.049,1350000000000000.0,1218.42,1012000000000000.0,1705.78,804300000000000.0,2193.15,656300000000000.0
