,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.03,300,500000.0,17.15,2.43,0.81,,0.2999999999999999,3454.05,0.6908100000000001,300.0,0.0289603666606069,0.0030612163542385,0.0019490784910128,4.6927367083487366e-05,-0.0039689190985526,21397210408789.297,13643497500000.0,10742095500000.0,9001254300000.0,7764704400000.0,10.386332071081029,7.177144490388078,222305512072952.84,141748603685164.56,111604596825534.64,93518192709756.66,80671104071962.0,0.0002734894028336,0.0001743849741414,0.0001373005745772,0.0001150499348386,9.92449169291442e-05,0.0001490689666834,9.505080500769826e-05,7.48374692592257e-05,6.270946781014219e-05,5.409473662210271e-05
1,1,0.03,310,500000.0,17.15,2.43,0.81,,0.3099999999999999,3648.75,0.7297499999999999,310.0,0.0296066947981415,0.0034479876711057,0.0020183415842797,-5.951371278117306e-06,-0.003817831419253,22567367146204.305,14412562500000.0,11347612500000.0,9508642500000.0,8202390000000.0,10.503113205065883,7.663421885123364,236989729740097.44,151352582231186.4,119166210313668.3,99854387163157.4,86136861988786.6,0.0002986659416293,0.0001907418584749,0.0001501790328752,0.0001258413375153,0.0001085538475573,0.0001623738498402,0.0001036994366257,8.164689820410981e-05,6.841537515109652e-05,5.90167932999482e-05
2,2,0.03,320,500000.0,17.15,2.43,0.81,,0.32,3853.55,0.77071,320.0,0.0315715084776087,0.003096016171282,0.0018790875766786,-1.2812537635568213e-06,-0.0037081102155665,23795152015437.52,15221522500000.0,11984540500000.0,10042351300000.0,8662780400000.0,10.171249549472098,7.84001873846687,242055296655937.8,154840370084720.7,121912291383159.84,102155444162223.31,88121810620367.62,0.0003255980928841,0.0002082818673979,0.0001639890145841,0.0001374133028959,0.0001185361108634,0.0001766686862632,0.0001130132045913,8.898001677952008e-05,7.456010409242101e-05,6.431738833452128e-05
3,3,0.03,330,500000.0,17.15,2.43,0.81,,0.33,4011.75,0.80235,330.0,0.0331802018898513,0.002917831294204,0.0018899660673345,-5.479224121954311e-05,-0.0036367408533203,24733272459723.543,15846412500000.0,12476542500000.0,10454620500000.0,9018414000000.0,9.960914969426636,7.992786418088895,246385946520808.16,157857531757255.7,124287828801282.3,104146007027698.31,89838919339319.19,0.0003494816071687,0.0002239101080286,0.0001762937812579,0.0001477239851955,0.0001274303602147,0.000189310844015,0.0001212899639491,9.549665516000888e-05,8.002066988648975e-05,6.902780733109321e-05
4,4,0.03,340,500000.0,17.15,2.43,0.81,,0.3399999999999999,4178.3,0.8356600000000001,340.0,0.0345010422206115,0.0030069341018246,0.0018683597590882,-1.2979813433852488e-05,-0.003507401952191,25716364125519.504,16504285000000.0,12994513000000.0,10888649800000.0,9392818400000.0,9.877154545548596,8.254928968454895,254034845730422.84,163034847126984.16,128364145459473.6,107561724458967.28,92785401605433.0,0.0003747062066422,0.000240479485961,0.0001893395446427,0.0001586555798517,0.0001368602239089,0.0002027368945454,0.0001301127745454,0.0001024432224902,8.584149125711495e-05,7.404899169071157e-05
5,5,0.03,350,500000.0,17.15,2.43,0.81,,0.3499999999999998,4429.25,0.8858499999999999,350.0,0.0361556427776491,0.0027720804805038,0.0018884940226557,1.917342051781053e-05,-0.0034155477634654,27213670784295.8,17495537500000.0,13774967500000.0,11542625500000.0,9956954000000.0,9.69709075721833,8.592126343881942,263953601241156.25,169694495291668.4,133607564647364.2,111955406260781.7,96575500105233.02,0.0004087959175518,0.0002628129208318,0.0002069235908321,0.0001733899928322,0.0001495704926657,0.0002207880346291,0.0001419435610147,0.0001117580948748,9.364681519102366e-05,8.078205700284769e-05
6,6,0.03,360,500000.0,17.15,2.43,0.81,,0.3600000000000001,4598.65,0.9197299999999998,360.0,0.0367822634135876,0.0027851127922098,0.0018085890837072,5.484632568565349e-07,-0.0033276319262578,28204110491462.8,18164667500000.0,14301801500000.0,11984081900000.0,10337765200000.0,9.818689357284894,9.032331816489968,276982249733984.9,178388553375676.84,140452759746418.95,117691283568864.28,101523409617347.23,0.000436136878509,0.0002808910206546,0.0002211572339838,0.0001853169619812,0.0001598589909953,0.0002352793367379,0.0001515300729926,0.0001193059562043,9.997148613136388e-05,8.623787445255474e-05
7,7,0.03,370,500000.0,17.15,2.43,0.81,,0.37,4806.2,0.96124,370.0,0.0381279883386695,0.002910519875621,0.0017777065360476,2.9026295077241568e-05,-0.0032740869079181,29419945926038.938,18984490000000.0,14947282000000.0,12524957200000.0,10804337600000.0,9.73329679736064,9.35860729140378,286431817710595.6,184832494005224.7,145526343381328.8,121942653006991.23,105190745955378.48,0.0004682030827814,0.0003021282488206,0.0002378781908436,0.0001993281560573,0.0001719453932528,0.0002521399878817,0.0001627042106255,0.0001281038215304,0.0001073435880734,9.259723176866842e-05
8,8,0.03,380,500000.0,17.15,2.43,0.81,,0.3799999999999999,5068.1,1.0136200000000002,380.0,0.0400882487491002,0.0029078463306892,0.0017597103234055,3.015729541601913e-05,-0.0031595519577232,30958667451696.46,20018995000000.0,15761791000000.0,13207468600000.0,11393088800000.0,9.4962729774676,9.625335571937502,293983507707619.9,190100377545765.6,149673968143628.2,125418122502345.66,108188771828577.5,0.0005063839766669,0.0003274462091365,0.0002578120785859,0.0002160316002556,0.0001863541969971,0.0002723963947426,0.0001761413689035,0.0001386834575417,0.0001162087107247,0.0001002445056443
9,9,0.03,390,500000.0,17.15,2.43,0.81,,0.3899999999999999,5387.9,1.07758,390.0,0.0428855924036099,0.0027637197775074,0.001838211789498,-2.285553957955677e-06,-0.0031092439240251,32846668362627.023,21282205000000.0,16756369000000.0,14040867400000.0,12111999200000.0,9.108369442523829,9.816812156781676,299234927608171.3,193882040096438.2,152651429037955.1,127913062402865.28,110340968642226.06,0.0005519788305515,0.0003576413442534,0.0002815859697792,0.0002359527450948,0.0002035386688308,0.0002964688054536,0.0001920897980918,0.0001512403220419,0.0001267306364119,0.0001093209787621
