,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.03,300,500000.0,17.15,2.43,0.81,,0.2999999999999999,500000.0,100.0,300.0,0.2949206329935793,0.0681633604631694,0.0589877041272933,-9.386045823892354e-06,7.525319175961989e-06,3097408898074623.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0245094465487532,102.45094465487534,3173324675901615.0,2023406156933787.2,1593112189383310.8,1334935808853025.8,1151548617920798.8,0.0395896705076192,0.0252435509245004,0.0198753021203029,0.0166543528377844,0.0143664563236145,0.0215788663573984,0.013759326733501,0.0108332926939715,0.0090776722702539,0.0078306244295975
1,1,0.03,310,500000.0,17.15,2.43,0.81,,0.3099999999999999,500000.0,100.0,310.0,0.3098351315838926,0.0671743377568474,0.057254084227613,-1.338133631149373e-05,3.036209100672204e-06,3092479225242112.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005325855064675,100.0532585506468,3094126234856529.0,1976051856375274.0,1555828170462557.2,1303693958914927.5,1124598626109269.6,0.0409271588392459,0.0261379730695465,0.0205795180370353,0.0172444450175287,0.0148754844203394,0.0222506132018225,0.0142102688079203,0.0111883382259828,0.0093751798768202,0.0080872618430898
2,2,0.03,320,500000.0,17.15,2.43,0.81,,0.32,500000.0,100.0,320.0,0.3198439741519934,0.066706039993445,0.0564456105133612,1.4694897574995254e-05,-6.327301468983239e-06,3087432629061192.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004881969293211,100.04881969293211,3088939904190185.0,1975964188935408.8,1555759146225094.2,1303636120598905.2,1124548733348557.0,0.042246512032314,0.0270246743130362,0.0212776549654539,0.0178294433569044,0.0153801184444823,0.0229228485764224,0.0146635186505108,0.0115452007602756,0.0096742100261343,0.0083452126395817
3,3,0.03,330,500000.0,17.15,2.43,0.81,,0.33,500000.0,100.0,330.0,0.3297065100865666,0.0662377019885597,0.0555935147541851,7.098494193203636e-06,3.700763792366664e-06,3082603908484271.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0008916759722148,100.08916759722148,3085352592321321.0,1976761060045124.8,1556386556136794.0,1304161853791795.8,1125002243792769.4,0.0435572514699086,0.0279067873158469,0.021972179380325,0.018411414619012,0.015882141236968,0.0235945465214755,0.0151168397768064,0.0119021194192071,0.0099732872046474,0.008603204004623
4,4,0.03,340,500000.0,17.15,2.43,0.81,,0.3399999999999999,500000.0,100.0,340.0,0.334487726168549,0.0658690390593907,0.0549756765618577,2.179017264545873e-05,1.538236630903739e-06,3077371673350346.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023765520893718,102.37655208937178,3150507014151089.0,2021936903765092.8,1591955384989731.5,1333966473724514.5,1150712445484538.5,0.0448395527657525,0.0287771923941666,0.0226574856571792,0.0189856616149868,0.0163775008866042,0.0242606914948074,0.0155700613342162,0.0122589596833956,0.0102722986929031,0.0088611387036247
5,5,0.03,350,500000.0,17.15,2.43,0.81,,0.3499999999999998,500000.0,100.0,350.0,0.3442320328495033,0.0644870066441031,0.0540660458193824,6.376708895853336e-06,-3.0906083940226457e-06,3072040501698458.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240020685888966,102.40020685888967,3145775828528093.0,2022404085463070.8,1592323216655734.2,1334274695371332.2,1150978325093919.5,0.046147306829819,0.0296678806605912,0.0233587617353008,0.0195732903801266,0.0168844039810148,0.0249238623501987,0.0160234307179307,0.0126159163374088,0.0105714077090955,0.009119157532635
6,6,0.03,360,500000.0,17.15,2.43,0.81,,0.3600000000000001,500000.0,100.0,360.0,0.359859657396106,0.0636615387836945,0.0537193734686862,-7.763154914953116e-06,-3.5132145819774213e-06,3066564153769345.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000390129199794,100.03901291997944,3067760509988773.0,1975770505169593.2,1555606650905680.2,1303508338347331.8,1124438505220569.0,0.0474200992148919,0.0305405956807698,0.0240458867258718,0.0201490613529332,0.0173810782507267,0.0255813485194523,0.016475495307612,0.0129718456725755,0.0108696558915537,0.0093764337851929
7,7,0.03,370,500000.0,17.15,2.43,0.81,,0.37,500000.0,100.0,370.0,0.3697369160918526,0.0632243267869968,0.0526411963981449,-2.4757971863351325e-05,1.294994048690446e-05,3060624394119984.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0007118466151377,100.07118466151374,3062803089235145.0,1976405897064896.0,1556106921486538.5,1303927536139523.5,1124800115595414.2,0.0487082396468605,0.0314310940889593,0.0247470133206744,0.0207365648597033,0.0178878732941723,0.0262307007492221,0.0169264918881394,0.0133269341195224,0.0111671994583522,0.0096331022188702
8,8,0.03,380,500000.0,17.15,2.43,0.81,,0.3799999999999999,500000.0,100.0,380.0,0.3798546282392464,0.0621650536596429,0.0522229651054811,-4.759906914285838e-06,7.207008420777472e-06,3054267620182758.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000382829029591,100.03828290295912,3055436882491903.5,1975756087333442.5,1555595299141014.5,1303498826225557.5,1124430299829260.4,0.0499579701137535,0.0323046318281563,0.0254347860722952,0.0213128786187786,0.018385015784733,0.026873620759529,0.0173774559404503,0.0136819969556455,0.0114647215647629,0.0098897521402865
9,9,0.03,390,500000.0,17.15,2.43,0.81,,0.3899999999999999,500000.0,100.0,390.0,0.3898315457888543,0.0618825249508189,0.0511702547299544,-9.41803873938434e-06,3.315463724273248e-06,3048188381616866.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004322642850796,100.04322642850796,3049506004588434.5,1975853721963032.0,1555672170963298.8,1303563240363459.0,1124485865056429.6,0.0512239305250275,0.0331893079171394,0.0261313285119755,0.0218965408688773,0.0188884972652479,0.0275124636178898,0.0178260359408987,0.0140351827281505,0.0117606708005018,0.0101450452645925
