,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,0.03,400,500000.0,17.15,2.43,0.81,,0.4000000000000001,500000.0,100.0,400.0,0.3998349909601188,0.0614682087761681,0.051070224929063,7.981965477180199e-06,2.2372698085584686e-06,3042299544171912.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004128116803006,100.04128116803004,3043555440958719.5,1975815303068593.2,1555641922162867.5,1303537893619431.5,1124464000328658.0,0.0524826603438838,0.0340706931300495,0.0268252799074565,0.022478031973901,0.0193901058623673,0.0282342744837396,0.0183291261415101,0.0144312866582521,0.0120925829682974,0.0104313609028137
11,11,0.03,410,500000.0,17.15,2.43,0.81,,0.41,500000.0,100.0,410.0,0.4032667865714543,0.0612716190550209,0.0499845287237512,-4.1974973036558586e-06,-6.719787554309504e-06,3036225105237735.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023978709972743,102.39787099727428,3109029866448191.0,2022357952196167.5,1592286894007615.5,1334244259094484.2,1150952070009363.5,0.0537451568702679,0.0349600840318682,0.0275255345162304,0.0230648048068476,0.0198962706085162,0.0290406127654229,0.0188903023404845,0.0148731241212422,0.0124628171896968,0.0107507340914959
12,12,0.03,420,500000.0,17.15,2.43,0.81,,0.42,500000.0,100.0,420.0,0.4130476555050538,0.0602514095072437,0.0495214644123483,3.848115612457088e-06,-9.895177279944131e-07,3029324270236698.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0241197177153238,102.41197177153236,3102390716502986.0,2022636442487764.0,1592506161047328.0,1334427992183066.5,1151110562712023.5,0.0549594198849045,0.0358313751152844,0.0282115383819074,0.0236396363418813,0.0203921344959897,0.029834977448754,0.0194512291207059,0.0153147652064291,0.0128328868578632,0.0110699653324929
13,13,0.03,430,500000.0,17.15,2.43,0.81,,0.4299999999999999,500000.0,100.0,430.0,0.4298609090573763,0.0602181040568764,0.0487821829841921,-4.124021298210348e-06,-2.858389605309949e-06,3022683902374845.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000323640680468,100.0323640680468,3023662165849848.5,1975639190343924.8,1555503261258127.8,1303421703806649.8,1124363772124846.4,0.0561862852191952,0.0367117161079019,0.0289046676191329,0.0242204385258715,0.0208931488128009,0.0306267322669581,0.0200112873793115,0.0157557224682681,0.0132023835216419,0.0113887022857449
14,14,0.03,440,500000.0,17.15,2.43,0.81,,0.4400000000000001,500000.0,100.0,440.0,0.4256743930318561,0.0597305558282891,0.0482535141127427,3.4047086830804343e-06,3.316219437171392e-06,3016013793103448.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0477228253224609,104.77228253224608,3159946492521857.0,2069252580011860.0,1629208993376426.2,1365182841395166.5,1177640455662446.0,0.0574043452181546,0.0375905382346395,0.0295966009898047,0.0248002386429039,0.021393298721891,0.0314123929770651,0.0205700240070406,0.0161956391549105,0.0135710082436323,0.0117066870804626
15,15,0.03,450,500000.0,17.15,2.43,0.81,,0.45,500000.0,100.0,450.0,0.442620263558385,0.0592678060994839,0.047584992509306,-1.0465879559435007e-05,-1.0518427268533678e-05,3009117241379311.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023887656974937,102.38876569749372,3080998001838748.5,2022178122525500.8,1592145306596027.5,1334125617038343.5,1150849726439829.5,0.0585964379853588,0.0384591080166875,0.03028046226124,0.0253732748079715,0.0218876138788641,0.0321918516962306,0.0211287570406901,0.0166355530117838,0.01393963059444,0.0120246698297396
16,16,0.03,460,500000.0,17.15,2.43,0.81,,0.4600000000000001,500000.0,100.0,460.0,0.4451666781772531,0.0584888456868825,0.047179379073774,9.426262132486855e-06,1.7797589242779678e-06,3002033444816053.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0472614969416756,104.72614969416756,3143914039287035.0,2068341456459808.8,1628491627744305.5,1364581730515003.2,1177121922562443.5,0.0598062482627561,0.0393457776171379,0.030978574275772,0.0259582522709522,0.022392229894513,0.0329794484387783,0.0216967638315496,0.0170827684850934,0.0143143712772197,0.012347930403373
17,17,0.03,470,500000.0,17.15,2.43,0.81,,0.4699999999999999,500000.0,100.0,470.0,0.4547298584761415,0.0583332732429297,0.046939903612117,-1.1026850808025214e-05,-1.756049941433038e-06,2994851885558272.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0475863969240784,104.75863969240784,3137366096113274.5,2068983133925055.2,1628996847216942.2,1365005075192074.0,1177487110142664.5,0.06099403141205,0.0402234289514265,0.0316695858326421,0.0265372799613715,0.0228917134893181,0.0337654687381493,0.0222671448559512,0.0175318532916476,0.0146906783530655,0.0126725421863743
18,18,0.03,480,500000.0,17.15,2.43,0.81,,0.4800000000000002,500000.0,100.0,480.0,0.4567680263663297,0.0584692567325488,0.0463598698259313,-1.969920634221481e-06,-1.60897358474718e-06,2986888743529946.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.070974651005623,107.09746510056227,3198882129694609.0,2115174935736106.0,1665365582313744.2,1395479970260326.8,1203775507730320.5,0.0621606022680745,0.0411020295768898,0.0323613448061082,0.0271169339436391,0.0233917373389488,0.0345346977786892,0.0228351418380264,0.0179790610420917,0.0150654125645309,0.012995797177692
19,19,0.03,490,500000.0,17.15,2.43,0.81,,0.4900000000000001,500000.0,100.0,490.0,0.4898299720158263,0.0574971096557808,0.0457014139931529,1.4614353927451182e-05,1.489099538715664e-05,2978884063464559.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0003472679539918,100.03472679539918,2979918534438456.5,1975685854209134.0,1555540001668457.2,1303452490144051.5,1124390329180286.8,0.0633042666370513,0.0419707259310946,0.0330453057330896,0.0276900536142867,0.0238861245298989,0.0352955876246715,0.0234009730065333,0.0184245635570425,0.0154387178873483,0.0133178195743511
20,20,0.03,500,500000.0,17.15,2.43,0.81,,0.5,500000.0,100.0,500.0,0.4919053907944641,0.0572527121315141,0.0452567791504857,-3.534228985754285e-06,5.943147824338886e-06,2970761466399522.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023703912607807,102.37039126078068,3041180136577699.0,2021815227400418.5,1591859584105140.0,1333886198127972.5,1150643197771175.0,0.0644628916412368,0.0428557500935085,0.0337421222255219,0.0282739455047299,0.0243898041038498,0.036046631006226,0.0239642586732414,0.0188680618920965,0.0158103438234095,0.0136383932904929
21,21,0.03,510,500000.0,17.15,2.43,0.81,,0.5099999999999999,500000.0,100.0,510.0,0.50163286397797,0.05675160175846,0.0448137705797293,2.931212315318689e-06,1.0279199861653588e-05,2962587392402453.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0239276929797447,102.39276929797448,3033475273953521.0,2022257193634995.5,1592207562583502.8,1334177783952607.2,1150894726909232.8,0.0655978603104832,0.0437306168403504,0.034430941360377,0.0288511360723931,0.0248877029511664,0.0367876128108066,0.0245243517499831,0.0193090465677083,0.0161798634583433,0.0139571500592309
22,22,0.03,520,500000.0,17.15,2.43,0.81,,0.5199999999999998,500000.0,100.0,520.0,0.5114339791839357,0.0567084158837856,0.0445082842667002,1.0025283677264924e-05,1.1731897203701242e-06,2954340394825008.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.024033775792563,102.40337757925629,3025344349489145.0,2022466707190311.2,1592372521357435.2,1334316009857709.2,1151013963990840.8,0.0667249815934887,0.0446061797340539,0.0351203086007361,0.0294287859207453,0.0253859979853551,0.0375103845682359,0.0250759897715355,0.0197433742251835,0.0165438048973725,0.0142710949383321
23,23,0.03,530,500000.0,17.15,2.43,0.81,,0.53,500000.0,100.0,530.0,0.5297852572055547,0.0563835876555509,0.0438787966150922,1.432030175151548e-05,4.5378329074829855e-08,2945818039138751.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004055247565211,100.04055247565216,2947012641281830.5,1975800911394129.2,1555630590996390.8,1303528398757747.8,1124455809826330.2,0.0678269806217046,0.0454740533692402,0.0358036217666677,0.0300013628051241,0.0258799169554562,0.0382514655415429,0.0256453872713178,0.0201916846617211,0.016919463095963,0.0145951469837778
24,24,0.03,540,500000.0,17.15,2.43,0.81,,0.5399999999999998,500000.0,100.0,540.0,0.531196007689363,0.0558855487382932,0.0435914608164953,1.1286754147603098e-05,6.429763442489589e-06,2936989749374663.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0238257153927963,102.38257153927964,3006965631254824.5,2022055787900772.5,1592048987435798.5,1334044907156813.5,1150780104101503.2,0.0689377449866026,0.0463576852379309,0.0364993420480923,0.0305843361341894,0.026382804155663,0.0390055573401577,0.0262295691577452,0.0206516354634399,0.0173048752468567,0.0149276130295218
25,25,0.03,550,500000.0,17.15,2.43,0.81,,0.55,500000.0,100.0,550.0,0.5409183573917786,0.0557769143349773,0.0432732267852239,2.0648923313367915e-06,-1.4449023755922325e-06,2928145210209509.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.024063007403916,102.40630074039164,2998605190082523.5,2022524439622735.2,1592417976513089.8,1334354098647302.8,1151046820322001.8,0.0697010317820982,0.0470125379334566,0.037014934929886,0.0310163731277437,0.0267554899428886,0.0397475343661953,0.0268092511599242,0.0211080433183201,0.0176873186133575,0.0152575181284835
26,26,0.03,560,500000.0,17.15,2.43,0.81,,0.5600000000000003,500000.0,100.0,560.0,0.5598074310164691,0.0552040887753893,0.0427975118154093,-1.1227735090623396e-05,3.772240632685329e-06,2919279548317856.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0003441593450906,100.03441593450904,2920284245655343.0,1975679714706552.8,1555535167781615.5,1303448439626652.8,1124386835103881.6,0.0708032151531567,0.0479009795441005,0.0377144421220638,0.0316025196688419,0.027261114434212,0.0404717445591282,0.0273806239454993,0.0215579089798742,0.0180642800004989,0.0155826943365777
27,27,0.03,570,500000.0,17.15,2.43,0.81,,0.5700000000000001,500000.0,100.0,570.0,0.5512504693371614,0.0557414739243278,0.0421977124856463,1.99799625585399e-05,1.3494471628033007e-05,2910280850497159.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0479882349668894,104.79882349668895,3049940091770456.5,2069776764059606.8,1629621705373513.5,1365528670161857.0,1177938776102784.0,0.0718693296930816,0.0487725870579083,0.0384006951266062,0.0321775599678251,0.0277571584066273,0.0411723050374922,0.0279407062844661,0.0219988852011872,0.0184337925512199,0.0159014449942985
28,28,0.03,580,500000.0,17.15,2.43,0.81,,0.58,500000.0,100.0,580.0,0.5704376887038822,0.0548045174484237,0.0420361539675795,3.964504308788662e-06,-1.0742986438096594e-05,2900959117542613.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240332649180703,102.40332649180704,2970678636531007.0,2022465698213188.8,1592371726947599.5,1334315344188246.0,1151013389767911.0,0.0729256098368193,0.0496484347389643,0.0390902865919441,0.0327553977037319,0.0282556155172637,0.0417590452941976,0.0284299471706804,0.0223840849875484,0.018756567677669,0.0161798787948581
29,29,0.03,590,500000.0,17.15,2.43,0.81,,0.59,500000.0,100.0,590.0,0.5803091539082262,0.0541342475706498,0.0418441161149135,1.8960900664709585e-06,1.5097652355420014e-05,2891622234419861.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023987004871303,102.3987004871303,2960983591042858.5,2022374334620823.2,1592299792574875.8,1334255067347307.5,1150961393475344.2,0.0739769872915463,0.0505268455061927,0.0397818960820909,0.0333349264276299,0.0287555313159294,0.0422966363699106,0.0288889246445199,0.022745457125179,0.0190593766135743,0.0164410892660457
30,30,0.03,600,500000.0,17.15,2.43,0.81,,0.5999999999999999,500000.0,100.0,600.0,0.5805630206303262,0.0542110751225512,0.0414545153976805,-7.047278995438852e-06,-1.212065957337691e-06,2881911036986994.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.04749881330601,104.749881330601,3018798391297370.5,2068810156279369.2,1628860654690845.2,1364890953737730.5,1177388666155955.0,0.0750225064371667,0.0514136100357608,0.0404800828382825,0.0339199665197956,0.0292602013570608,0.0428177224634618,0.0293433769398199,0.023103266400719,0.0193592000772585,0.0166997243951178
31,31,0.03,610,500000.0,17.15,2.43,0.81,,0.6099999999999999,500000.0,100.0,610.0,0.5900129326863848,0.0537714584431218,0.0409688772376325,1.863782295933445e-05,-2.036343158405925e-06,2872199839554128.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0479348975514449,104.79348975514448,3009878444610432.0,2069671422664103.2,1629538765692496.5,1365459171509532.2,1177878824847823.8,0.076035513833877,0.0522840151140803,0.0411653891151365,0.0344942135157704,0.0297555610066968,0.0433274074990137,0.0297930626665017,0.0234573227576759,0.0196558788123806,0.0169556468036192
32,32,0.03,620,500000.0,17.15,2.43,0.81,,0.6199999999999998,500000.0,100.0,620.0,0.6196521056097254,0.0536241075423943,0.0407115251218256,1.2669732203421128e-05,-1.0698352867044612e-05,2862268072289157.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005616757388898,100.05616757388898,2863875738823559.5,1976109309584306.8,1555873405773973.5,1303731863487773.5,1124631323530512.2,0.0770403537197603,0.0531587869318046,0.0418541335083323,0.0350713414542489,0.0302534058285309,0.0438227240160201,0.0302382158993304,0.0238078104928904,0.0199495672490265,0.0172089897067582
33,33,0.03,630,500000.0,17.15,2.43,0.81,,0.6300000000000002,500000.0,100.0,630.0,0.6195433761032297,0.0532105907824088,0.0406704534644942,2.9677693332572543e-06,-2.148829395042764e-06,2852227911646586.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0241267323479857,102.41267323479858,2921042851066338.5,2022650296387271.5,1592517068801117.8,1334437132249425.5,1151118447159136.0,0.0780371316136321,0.0540361218357015,0.0425448959263371,0.0356501603807184,0.0307527093383941,0.0443053518148921,0.0306788491470503,0.0241547394550192,0.0202402736398008,0.0174597602234352
34,34,0.03,640,500000.0,17.15,2.43,0.81,,0.6400000000000001,500000.0,100.0,640.0,0.6396228108810306,0.05315724725515,0.040127568039039,7.325468137493274e-06,4.559879879658995e-06,2842069223716381.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005900507933418,100.0590050793342,2843746188916568.0,1976165350316850.5,1555917528983646.8,1303768836183724.8,1124663217091716.6,0.0790342615285235,0.0549221902184079,0.0432425345770249,0.0362347411921951,0.0312569831926533,0.0448131708995273,0.0311413992973869,0.0245189245100945,0.0205454396377189,0.0177230039545635
35,35,0.03,650,500000.0,17.15,2.43,0.81,,0.6500000000000001,500000.0,100.0,650.0,0.6496086778187304,0.0528342366891691,0.0398052198796297,-4.033105915934519e-07,9.156347414642873e-06,2831372402200488.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0006032310938946,100.06032310938949,2833080374071891.5,1976191381410441.2,1555938024351005.8,1303786010115344.5,1124678031749537.2,0.0799818024254028,0.0557906334282993,0.0439262961929141,0.036807693851683,0.0317512263156497,0.0454137853402295,0.0316780039168448,0.0249414157421233,0.0208994628372904,0.0180283931152068
36,36,0.03,660,500000.0,17.15,2.43,0.81,,0.66,500000.0,100.0,660.0,0.6487774648711275,0.0538463665349695,0.039609903277405,1.9875070299182388e-06,-3.645861343873652e-06,2820675580684597.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0245593070427963,102.45593070427968,2889949418338748.5,2023504631409523.2,1593189722451549.0,1335000777076764.0,1151604661116103.5,0.0809263534540149,0.0566635699497521,0.0446135955806909,0.0373836109592542,0.0322480266448208,0.0459956001670544,0.0322055152148637,0.0253567474223356,0.0212474867468189,0.0183286071400033
37,37,0.03,670,500000.0,17.15,2.43,0.81,,0.67,500000.0,100.0,670.0,0.6696531082684032,0.052480223420516,0.0393215243794879,4.052859779531556e-06,4.487919706680107e-06,2809657810569165.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005182394843788,100.05182394843789,2811113886184195.0,1976023522981648.0,1555805862398208.8,1303675266048145.5,1124582501180441.8,0.0818557449087433,0.0575390695573774,0.0453029129932769,0.0379612190548166,0.0327462856620213,0.0465565932093523,0.0327261459536398,0.0257666617508405,0.0215909712291608,0.0186249053427297
38,38,0.03,680,500000.0,17.15,2.43,0.81,,0.6799999999999998,500000.0,100.0,680.0,0.6688498076181789,0.0522308886240423,0.0391988863265684,2.064031134702668e-06,6.349859047857217e-06,2798390819219306.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0239320322135992,102.39320322135993,2865361998451103.0,2022265763621857.2,1592214310092146.5,1334183437974319.8,1150899604208085.5,0.0827595679681112,0.0584086202736395,0.0459875465951946,0.0385349023881277,0.0332411590823142,0.0470958129493598,0.0332384704581523,0.0261700362341402,0.0219289756997329,0.0189164763518801
39,39,0.03,690,500000.0,17.15,2.43,0.81,,0.6899999999999997,500000.0,100.0,690.0,0.6784238082775107,0.0522155157697665,0.0386584256340586,5.516176391052896e-06,4.971691367283209e-06,2787123827869448.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0243408220682513,102.43408220682512,2854964713045802.0,2023073123584796.5,1592849978316130.5,1334716091154931.5,1151359084004714.5,0.083672403392149,0.0592915876385077,0.0466827436850022,0.0391174373128989,0.033743668104143,0.0476177462254223,0.033742687660598,0.0265670274998632,0.0222616314034224,0.0192034333825378
40,40,0.03,700,500000.0,17.15,2.43,0.81,,0.6999999999999997,500000.0,100.0,700.0,0.6994885150705613,0.0518416433573683,0.0385356534205016,1.4295484178546078e-06,-1.56503270718595e-06,2775457233770277.0,1974621889540764.5,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0007319115234707,100.07319115234704,2777488622902573.0,1976067138056216.8,1556138122418996.8,1303953680715082.2,1124822668552381.0,0.0845421784237541,0.0601482285779019,0.0473662810759124,0.0396902020848322,0.0342377491506917,0.048118941415006,0.0342346168636604,0.026959505262738,0.0225905050529566,0.0194871279198183
41,41,0.03,710,500000.0,17.15,2.43,0.81,,0.7100000000000003,500000.0,100.0,710.0,0.7097073509722236,0.0517421820062875,0.0379801245338208,1.3951517678884891e-05,-5.133054312893057e-06,2763697817590703.5,1971587295164879.5,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004124496250948,100.04124496250948,2764837703719443.0,1972400475605611.5,1555641359167022.5,1303537421861498.5,1124463593378606.6,0.0854086143194124,0.0609294322331476,0.0480553244357465,0.04026758054005,0.0347358100744561,0.0485802746314456,0.0346565574750414,0.0273337868456808,0.0229041313568632,0.0197576697199649
42,42,0.03,720,500000.0,17.15,2.43,0.81,,0.7200000000000002,500000.0,100.0,720.0,0.7196249654063195,0.0514626353514831,0.0377232947859249,-7.112700101685066e-07,-4.179392518072872e-06,2751938401411129.0,1968498688174132.5,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005216961003462,100.05216961003464,2753374076943540.0,1969525646263290.0,1555811237436038.8,1303679770018751.2,1124586386416789.4,0.0862525477449203,0.0616976117635805,0.0487375413906706,0.0408392388630507,0.0352289366708128,0.0490018394158665,0.0350516772318706,0.0276887957421576,0.0232016082649719,0.0200142806522091
43,43,0.03,730,500000.0,17.15,2.43,0.81,,0.7300000000000002,500000.0,100.0,730.0,0.7180586899052145,0.0511169677936736,0.0376379728308557,1.9327494032863025e-06,-2.5986348935409714e-06,2739790241332762.0,1965097658147896.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023900107182277,102.39001071822771,2805271521757572.5,2012063702801272.8,1592164666668440.5,1334141839658507.0,1150863720472879.2,0.0870932981104713,0.0624671310873821,0.0494308201112152,0.0414201663054105,0.0357300590385889,0.049401461625879,0.0354328937615583,0.0280383774163942,0.0234945374749592,0.02026696862767
