Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor
0,0.02,500,500000.0,17.15,2.43,0.81,1.1608960446595802
1,0.02,510,500000.0,17.15,2.43,0.81,1.1645847270410128
2,0.02,520,500000.0,17.15,2.43,0.81,1.1681172274392402
3,0.02,530,500000.0,17.15,2.43,0.81,1.1728457270970696
4,0.02,540,500000.0,17.15,2.43,0.81,1.1769739648369482
5,0.02,550,500000.0,17.15,2.43,0.81,1.1788947702347103
6,0.02,560,500000.0,17.15,2.43,0.81,1.1830246093806902
7,0.02,570,500000.0,17.15,2.43,0.81,1.1896419454232
8,0.02,580,500000.0,17.15,2.43,0.81,1.190508908610878
9,0.02,590,500000.0,17.15,2.43,0.81,1.1920445871133745
10,0.02,600,500000.0,17.15,2.43,0.81,1.1937004579368051
11,0.02,610,500000.0,17.15,2.43,0.81,1.1960764897163916
12,0.02,620,500000.0,17.15,2.43,0.81,1.198607556732719
13,0.02,630,500000.0,17.15,2.43,0.81,1.2012994108941464
14,0.02,640,500000.0,17.15,2.43,0.81,1.2041583707096004
15,0.02,650,500000.0,17.15,2.43,0.81,1.2071913574109248
16,0.02,660,500000.0,17.15,2.43,0.81,1.2097180783032273
17,0.02,670,500000.0,17.15,2.43,0.81,1.2123951833932685
18,0.02,680,500000.0,17.15,2.43,0.81,1.2152282360391085
19,0.02,690,500000.0,17.15,2.43,0.81,1.2182232968231954
20,0.02,700,500000.0,17.15,2.43,0.81,1.2213869551635184
21,0.02,710,500000.0,17.15,2.43,0.81,1.223941831892816
22,0.02,720,500000.0,17.15,2.43,0.81,1.2266374169211949
23,0.02,730,500000.0,17.15,2.43,0.81,1.229478621587225
24,0.02,740,500000.0,17.15,2.43,0.81,1.2324707631906469
25,0.02,750,500000.0,17.15,2.43,0.81,1.2347562230259803
26,0.02,760,500000.0,17.15,2.43,0.81,1.2380444696053936
27,0.02,770,500000.0,17.15,2.43,0.81,1.240594508554498
28,0.02,780,500000.0,17.15,2.43,0.81,1.2432735686752114
29,0.02,790,500000.0,17.15,2.43,0.81,1.2460858129743697
30,0.02,800,500000.0,17.15,2.43,0.81,1.2490357206608476
31,0.02,810,500000.0,17.15,2.43,0.81,1.2511385861979998
32,0.02,820,500000.0,17.15,2.43,0.81,1.2543539389756433
33,0.02,830,500000.0,17.15,2.43,0.81,1.2566873064569206
34,0.02,840,500000.0,17.15,2.43,0.81,1.2601856033545715
35,0.02,850,500000.0,17.15,2.43,0.81,1.262764156886772
36,0.02,860,500000.0,17.15,2.43,0.81,1.2654602043467365
37,0.02,870,500000.0,17.15,2.43,0.81,1.2682772400742597
38,0.02,880,500000.0,17.15,2.43,0.81,1.2712189973769052
39,0.02,890,500000.0,17.15,2.43,0.81,1.273117706303165
40,0.02,900,500000.0,17.15,2.43,0.81,1.27629455732646
41,0.02,910,500000.0,17.15,2.43,0.81,1.2796077230682912
42,0.02,920,500000.0,17.15,2.43,0.81,1.281815020120052
43,0.02,930,500000.0,17.15,2.43,0.81,1.2841168225857662
44,0.02,940,500000.0,17.15,2.43,0.81,1.2878064410377517
45,0.02,950,500000.0,17.15,2.43,0.81,1.2903273184414836
46,0.02,960,500000.0,17.15,2.43,0.81,1.2929505959884064
47,0.02,970,500000.0,17.15,2.43,0.81,1.2956789482995912
48,0.02,980,500000.0,17.15,2.43,0.81,1.2985152133703606
49,0.02,990,500000.0,17.15,2.43,0.81,1.3014623997885304
50,0.02,1000,500000.0,17.15,2.43,0.81,1.3030784300337173
51,0.02,1010,500000.0,17.15,2.43,0.81,1.306227946338567
52,0.02,1020,500000.0,17.15,2.43,0.81,1.309497373164899
53,0.02,1030,500000.0,17.15,2.43,0.81,1.3113648498030146
54,0.02,1040,500000.0,17.15,2.43,0.81,1.3148529848069055
55,0.02,1050,500000.0,17.15,2.43,0.81,1.3168912269425
56,0.02,1060,500000.0,17.15,2.43,0.81,1.3190065159908224
57,0.02,1070,500000.0,17.15,2.43,0.81,1.3228273082050117
58,0.02,1080,500000.0,17.15,2.43,0.81,1.325125563662994
59,0.02,1090,500000.0,17.15,2.43,0.81,1.327506224353894
60,0.02,1100,500000.0,17.15,2.43,0.81,1.3299710154832407
61,0.02,1110,500000.0,17.15,2.43,0.81,1.3325217561720653
62,0.02,1120,500000.0,17.15,2.43,0.81,1.3351603627416246
63,0.02,1130,500000.0,17.15,2.43,0.81,1.3378888522403134
64,0.02,1140,500000.0,17.15,2.43,0.81,1.3407093462251414
65,0.02,1150,500000.0,17.15,2.43,0.81,1.3436240748108517
66,0.02,1160,500000.0,17.15,2.43,0.81,1.346635381001531
67,0.02,1170,500000.0,17.15,2.43,0.81,1.349745725320319
68,0.02,1180,500000.0,17.15,2.43,0.81,1.3510128674021782
69,0.02,1190,500000.0,17.15,2.43,0.81,1.3542942215086209
70,0.02,1200,500000.0,17.15,2.43,0.81,1.3556821406148387
71,0.02,1210,500000.0,17.15,2.43,0.81,1.3591415205063846
72,0.02,1220,500000.0,17.15,2.43,0.81,1.3627116538175832
73,0.02,1230,500000.0,17.15,2.43,0.81,1.3642994265946342
74,0.02,1240,500000.0,17.15,2.43,0.81,1.368060425888088
75,0.02,1250,500000.0,17.15,2.43,0.81,1.3697809117111592
76,0.02,1260,500000.0,17.15,2.43,0.81,1.371557861674653
77,0.02,1270,500000.0,17.15,2.43,0.81,1.3756001957185624
78,0.02,1280,500000.0,17.15,2.43,0.81,1.3775173822042546
79,0.02,1290,500000.0,17.15,2.43,0.81,1.379493967137617
80,0.02,1300,500000.0,17.15,2.43,0.81,1.3815308090691876
81,0.02,1310,500000.0,17.15,2.43,0.81,1.385961926303437
82,0.02,1320,500000.0,17.15,2.43,0.81,1.3881502111197048
83,0.02,1330,500000.0,17.15,2.43,0.81,1.3904023170715278
84,0.02,1340,500000.0,17.15,2.43,0.81,1.392719296782896
85,0.02,1350,500000.0,17.15,2.43,0.81,1.3951022498612913
86,0.02,1360,500000.0,17.15,2.43,0.81,1.397552324180963
87,0.02,1370,500000.0,17.15,2.43,0.81,1.400070717244602
88,0.02,1380,500000.0,17.15,2.43,0.81,1.402658677626453
89,0.02,1390,500000.0,17.15,2.43,0.81,1.405317506500382
90,0.02,1400,500000.0,17.15,2.43,0.81,1.4080485592561638
91,0.02,1410,500000.0,17.15,2.43,0.81,1.4108532472080475
92,0.02,1420,500000.0,17.15,2.43,0.81,1.4137330393995524
93,0.02,1430,500000.0,17.15,2.43,0.81,1.4166894645090022
94,0.02,1440,500000.0,17.15,2.43,0.81,1.416960964851457
95,0.02,1450,500000.0,17.15,2.43,0.81,1.4200359308950157
96,0.02,1460,500000.0,17.15,2.43,0.81,1.4231914230394322
97,0.02,1470,500000.0,17.15,2.43,0.81,1.4264291957747344
98,0.02,1480,500000.0,17.15,2.43,0.81,1.4268520068151267
99,0.02,1490,500000.0,17.15,2.43,0.81,1.4302164716300223
