,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,100000.0,17.15,2.43,0.81,,62.9,0.0629,100.0,0.0046163890889659,0.0044558962562267,0.0783662898615345,3.800195541209644e-05,0.0009504908782218,1522180000000.0,981240000000.0,792540000000.0,21.751243234540983,1.3699804296060598,33153526396466.65,21371694701854.54,17261753413036.355,6.298458133853377e-06,4.060163094550111e-06,3.2793624994443204e-06,3.0306614104248794e-06,1.953649504240832e-06,1.5779476765022104e-06
1,1,2.25,0.02,105,100000.0,17.15,2.43,0.81,,68.2,0.0682,105.0,0.0050161923120181,0.0046001741787663,0.0790969371550869,-0.0001560715615628,0.0002243805764974,1650440000000.0,1063920000000.0,859320000000.0,21.13704795004381,1.4426069798056314,34911088911296.28,22504668884967.85,18176847945550.96,7.215886568901574e-06,4.651563242762999e-06,3.75703184992396e-06,3.661822147230348e-06,2.36051345028072e-06,1.9065685559959651e-06
2,2,2.25,0.02,110,100000.0,17.15,2.43,0.81,,76.8,0.0767999999999999,110.0,0.005213860383181,0.0046192980643711,0.0762232082567604,9.04872043609554e-05,0.0002585825336087,1858560000000.0,1198080000000.0,967680000000.0,21.23571856040309,1.6398515367493445,39684407189334.13,25581683973289.773,20662129363041.742,8.418088424527921e-06,5.4265363397783295e-06,4.382971659051728e-06,4.656049662926415e-06,3.001420443869921e-06,2.4242242046641667e-06
3,3,2.25,0.02,115,100000.0,17.15,2.43,0.81,,83.0,0.0829999999999999,115.0,0.0055975658639143,0.0044711823690235,0.0759779273176538,-1.9556010961940452e-05,0.0019756677773861,2008600000000.0,1294800000000.0,1045800000000.0,20.720079606149906,1.7091578377588668,41361619673764.57,26662862269038.32,21535388755761.72,9.438297413294564e-06,6.084191720966743e-06,4.914154851550063e-06,5.481268829410996e-06,3.53337990656246e-06,2.8538837706850634e-06
4,4,2.25,0.02,120,100000.0,17.15,2.43,0.81,,89.2,0.0891999999999999,120.0,0.0053869669500021,0.0043175835389572,0.0805063323471039,4.971677195082745e-06,-7.356406071064017e-05,2158640000000.0,1391520000000.0,1123920000000.0,34.97772184823985,3.300401381670155,79869713436417.73,51486261554054.414,41585057409043.95,1.0488470670812997e-05,6.761162911763751e-06,5.460939274886107e-06,6.468319724323919e-06,4.169660648737733e-06,3.367802831672784e-06
5,5,2.25,0.02,125,100000.0,17.15,2.43,0.81,,99.0,0.0989999999999999,125.0,0.0057092416023031,0.0039497656199177,0.0810968826005693,3.29832893542949e-05,-0.0011259684439165,2395800000000.0,1544400000000.0,1247400000000.0,23.17965590083667,2.328441147871817,56348275778497.98,36323681906800.36,29338358463184.902,1.2120546477459226e-05,7.813244836709252e-06,6.310697752726705e-06,7.545921838385367e-06,4.8643132511905655e-06,3.92886839519238e-06
6,6,2.25,0.02,130,100000.0,17.15,2.43,0.81,,98.9,0.0988999999999999,130.0,0.0062339176469961,0.0042462978742614,0.0794127982847491,2.0031393058437755e-05,-0.0006983772150087,2393380000000.0,1542840000000.0,1246140000000.0,21.50787700920166,2.150246530477612,52035966037558.2,33543845875450.75,27093106284017.92,1.2575188103662992e-05,8.106319604014161e-06,6.547411987857592e-06,7.944381561870369e-06,5.121171585337923e-06,4.136330895849861e-06
7,7,2.25,0.02,135,100000.0,17.15,2.43,0.81,,95.9,0.0958999999999999,135.0,0.0060980392572568,0.0044678176490836,0.0693583860043609,0.0001323178832726,0.0008360460942718,2320780000000.0,1496040000000.0,1208340000000.0,24.486611023755007,2.386818687470414,57761012236784.016,37234371524538.46,30073915462127.22,1.2677785494973772e-05,8.172456765354995e-06,6.600830464325186e-06,8.059397241625992e-06,5.195313924353946e-06,4.1962150927474175e-06
8,8,2.25,0.02,140,100000.0,17.15,2.43,0.81,,99.6,0.0996,140.0,0.0061857322031441,0.0040457669940872,0.0766635357448099,-8.624525939786855e-05,-0.0006825121424689,2409389704047.32,1553760000000.0,1254960000000.0,24.82097384387812,2.5454152692062624,61575274519582.375,39708478199617.695,32072232391998.902,1.3726594134225535e-05,8.851964821700507e-06,7.149663894450408e-06,8.772518328820904e-06,5.657195287126982e-06,4.56927311652564e-06
9,9,2.25,0.02,145,100000.0,17.15,2.43,0.81,,99.2,0.0991999999999999,145.0,0.0068507159676314,0.0044038818824314,0.0683529191067121,-6.719630502722459e-05,-0.0007599595145553,2390936922174.2266,1547520000000.0,1249920000000.0,22.7874106059229,2.2957704440630486,55333087898655.88,35814018927383.555,28926707595194.406,1.4114057252578564e-05,9.135241367910405e-06,7.378464181773789e-06,9.072318348400737e-06,5.872005221179166e-06,4.74277344787548e-06
