,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.1,500,100000.0,1.17577026432641,1481270000000.0,2857.0,0.0004637224667393,500.0,0.0929780953087574,0.0291218470032686,0.0088044626588768,6868981.783069528,,,,1.4905081857827355e-10,8.334686393481635e-11
1,1,0.1,520,100000.0,1.18413280440169,1492730000000.0,3483.0,5.347432541961552e-05,520.0,0.0928511783913202,0.0280484683746731,0.0087541708928638,798227.2978362268,,,,1.8028288767549865e-11,1.013485547134261e-11
2,2,0.1,540,100000.0,1.19462031821519,1503600000000.0,4106.0,3.147492800537541e-05,540.0,0.0503999999999678,0.0352670294143266,0.0092055240851967,473257.0174888247,,,,1.1108404989057688e-11,6.285229199803241e-12
3,3,0.1,560,100000.0,1.20514112000624,1513930000000.0,4465.0,0.0168812237849745,560.0,0.0522666666668101,0.0334101629132634,0.009398291190182,255569911.2478651,,,,6.198505868745098e-09,3.543120826158202e-09
4,4,0.1,580,100000.0,1.21534946177801,1523750000000.0,3258.0,0.0293536840278381,580.0,0.0541333333333113,0.0292959428105726,0.0097616889617628,447276760.3741833,,,,1.1243843568452176e-08,6.4385086927144954e-09
5,5,0.1,600,100000.0,1.21985929056978,1533090000000.0,4416.0,0.0148734886698866,600.0,0.0559999999998126,0.0364805951232307,0.0089275049077401,228023967.44916576,,,,5.9359672613865445e-09,3.387844672493232e-09
6,6,0.1,620,100000.0,1.22668718395639,1541970000000.0,5098.0,0.0179978033899087,620.0,0.0922614569546539,0.0383527743276112,0.0093252429812062,277520728.9313762,,,,7.469703948568193e-09,4.248978085046341e-09
7,7,0.1,640,100000.0,1.23422873606346,1550430000000.0,5739.0,0.0225797126184273,640.0,0.0933605120203845,0.030591963240853,0.0093223782631043,350082638.3498824,,,,9.735344433222468e-09,5.520032014145014e-09
8,8,0.1,660,100000.0,1.24231942993718,1558480000000.0,6448.0,0.0287752794671937,660.0,0.0907872612554269,0.0339945750039318,0.0092848692072056,448456975.4403215,,,,1.2866416808768076e-08,7.312804023167123e-09
9,9,0.1,680,100000.0,1.25043238280315,1566140000000.0,6742.0,0.0341363286019788,680.0,0.0933440488732671,0.030808220073488,0.0087505344225082,534622696.76703113,,,,1.5810923587409964e-08,8.997488968480355e-09
