,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.132207708766776,,0.05,86.7,0.0012088703308628,500.0,0.0301892004110016,0.0001878068589776,0.000132906091244,2.845460596620053e-06,2.277066150843239e-06,25990712113.553017,18397560733.52935,15231766168.872925,1.6711988329601724,0.0020165083365044,43354929234.84722,30688845315.63267,25408005039.956963,5.639754243497481e-07,3.992107671525465e-07,3.305158300840384e-07,3.153661509827532e-07,2.2323235664555413e-07,1.8481923266896238e-07
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.134734428137802,,0.051,118.05,0.0018692743651328,510.0,0.0287729453909377,0.0001417363738088,9.669860025248108e-05,-2.724527051922265e-07,-1.0629589141955e-06,39897168388.14949,28412970350.019794,23552857000.674305,2.10590713409514,0.0038804606467688,82823257374.91273,58983001830.887634,48893804149.28844,8.834064728086625e-07,6.291223897078247e-07,5.215093493630651e-07,4.954188310781214e-07,3.528150274054328e-07,2.924650885071352e-07
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.1371251937425453,,0.052,134.6,0.0025435675701871,520.0,0.0350933556411688,0.0001334850752389,9.455100281262236e-05,-2.2607168179831763e-06,-1.39925540465708e-06,54093341937.41793,38662227066.84578,32048951384.359,1.585043510424342,0.003979733106892,84635873760.1491,60491943224.75934,50144637146.83997,1.2217201685448628e-06,8.732021516265971e-07,7.238386256904688e-07,6.86807133737147e-07,4.90882840745827e-07,4.069160390393039e-07
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.1396961390385214,,0.053,136.35,0.0027877847411113,530.0,0.0313931099899775,0.0001520773926531,9.382094825537096e-05,3.8238983334157837e-07,-6.293225683793907e-07,58822258037.44945,42212241537.06044,35126087738.00299,4.326898303313142,0.0126406125781061,266716925398.04184,191402364556.5656,159271718484.13873,1.3543729120476986e-06,9.719299870843298e-07,8.087724498483886e-07,7.638073860981155e-07,5.481262186371256e-07,4.561124675277846e-07
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1421032315621116,,0.054,137.45,0.003215693621538,540.0,0.034161815886091,0.0001206268795625,0.0001030615902593,1.7670713412100515e-07,-3.936580788306775e-08,67570821049.15662,48501909362.2413,40517739631.38026,1.7946256050707436,0.0057543698279838,120915590743.1825,86792448747.08981,72505059832.59695,1.5860389131470197e-06,1.1384487329890837e-06,9.5104233943492e-07,8.97394189242777e-07,6.441438915947353e-07,5.381077740642054e-07
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.1446849391252194,,0.055,139.85,0.003468144299185,550.0,0.0304697190147521,0.0001591680574289,9.42865263643938e-05,5.776900876745076e-07,-7.190670878510772e-07,72261850698.34874,52105033878.32597,43698618169.732,2.119558592686989,0.0073120424401314,152352864681.24353,109855353813.3726,92131734745.6566,1.720107846631851e-06,1.2402986742930868e-06,1.0401938958704634e-06,9.80904356786321e-07,7.072895898432438e-07,5.93178344229862e-07
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.1470719240942415,,0.056,136.65,0.0037800883575454,560.0,0.0344484688201528,0.0001314728429027,8.628438675255055e-05,1.0265083457723625e-06,-1.5887239057611183e-06,78470617960.98032,56701325363.18247,47629113305.07329,1.7905915712797995,0.0067500455129566,140123772929.57968,101250682694.35023,85050573463.25421,1.9031997294996675e-06,1.3752146968836412e-06,1.1551803453822585e-06,1.0878858132458489e-06,7.860848946737751e-07,6.603113115259711e-07
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.1496258456588988,,0.057,121.55,0.0035340689885744,570.0,0.0371831045395708,0.0001275615987974,9.269594789130552e-05,4.6237817216695996e-07,-2.0572298904732345e-06,72738180222.74016,53011034828.617256,44529269256.0385,1.6520761635164878,0.0058818984997627,121061188819.68504,88228477496.44144,74111921097.01082,1.7962679632138847e-06,1.3091064866878722e-06,1.099649448817812e-06,1.029041078111465e-06,7.49957343788353e-07,6.299641687822164e-07
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.1519513659104534,,0.0579999999999999,103.5,0.0033254726996955,580.0,0.0357007388035938,0.0001734562069309,0.0001206027044691,-6.631842026371704e-07,-3.0033865580359624e-07,68172190343.76003,49705669727.12071,41900956016.16471,1.684706039017864,0.0056077645434425,114959173140.57324,83818968752.72171,70657833247.3767,1.7137430598959125e-06,1.2495233922042885e-06,1.0533250026677315e-06,9.813325417633768e-07,7.155086402153581e-07,6.031604890838316e-07
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.1544339730283155,,0.0589999999999999,123.05,0.0041536439800594,590.0,0.0375750852794322,0.0001519096712098,0.0001036907962457,-1.2388633399489405e-07,5.949265766039829e-07,84435691861.78647,61889295302.88621,52252593108.24484,1.698751997875157,0.0071130141093165,144594064976.6983,105983910228.81662,89481292525.70183,2.1601362824855595e-06,1.5833270188638331e-06,1.3367892148244245e-06,1.235066501014205e-06,9.052735130670996e-07,7.643145441948596e-07
10,10,0.02,600,100000.0,17.15,2.43,0.81,1.1570811972818376,,0.06,129.3,0.0044041095333502,600.0,0.0362167846293345,0.0001326245784041,8.66174322388963e-05,-1.3775026008035133e-06,-8.279180546934618e-08,88747891646.10136,65621232046.91962,55247577192.47379,2.001393210738693,0.008878573097798,178913498242.6202,132290739157.19194,111377714124.76038,2.3103035405511947e-06,1.7082655364691118e-06,1.4382163995921217e-06,1.318563461866259e-06,9.749612897256523e-07,8.208356873775013e-07
11,11,0.02,610,100000.0,17.15,2.43,0.81,1.1594574070393264,,0.0609999999999999,136.95,0.0049267770382932,610.0,0.0358323472001472,0.0001373673528147,9.669954537384074e-05,7.753351813160615e-07,-1.4990874265543728e-06,98535540765.86644,73261188754.78331,61629852067.41759,1.8917889199890736,0.0093139053448522,186278106897.04605,138497799313.80475,116509150731.12808,2.6085233937603253e-06,1.939437519053461e-06,1.6315220845424806e-06,1.4864179954000482e-06,1.105151993718315e-06,9.296921745680018e-07
12,12,0.02,620,100000.0,17.15,2.43,0.81,1.161985984354807,,0.062,141.0,0.0052005909392879,620.0,0.0421179620784584,0.0001391269441082,0.0001020805563156,1.2373364529969443e-06,3.102511112038608e-07,103477527354.18654,77026061357.69394,65007386741.100136,1.5602475513023732,0.0081614162323964,162389847864.5446,120878906805.21687,102017702904.95602,2.785184723468964e-06,2.0732212576758347e-06,1.749728516842316e-06,1.584291550817604e-06,1.1793066699792531e-06,9.952948837107136e-07
13,13,0.02,630,100000.0,17.15,2.43,0.81,1.1642034075198844,,0.0629999999999999,147.35,0.0057146870733416,630.0,0.0406862520437129,0.0001421959790616,9.603396927305886e-05,6.971366199920618e-07,8.83658848163276e-08,112695441124.10204,84303286709.68356,71433588416.77109,2.2634398144883026,0.0133672044740875,263605510760.2751,197193522029.02264,167090055926.09552,3.083354221220308e-06,2.30654312495926e-06,1.954427385746837e-06,1.7505652849653765e-06,1.3095330711731212e-06,1.1096203964914445e-06
14,14,0.02,640,100000.0,17.15,2.43,0.81,1.1665588848071584,,0.064,149.25,0.0058690754943809,640.0,0.0395641374820513,0.0001322917894849,8.710423635435659e-05,7.089552204628479e-07,1.3659731268878488e-06,114701522946.06944,86275409767.4014,73363443679.76309,1.737310378261764,0.010145732332472,198281816455.05536,149142265287.33978,126821654155.90115,3.189700689410185e-06,2.399207324767754e-06,2.0401422829657777e-06,1.8085903423199703e-06,1.3603731570188997e-06,1.156779895424234e-06
15,15,0.02,650,100000.0,17.15,2.43,0.81,1.1690582049414966,,0.0649999999999999,151.25,0.0059541077186991,650.0,0.0444601051218396,0.0001410133122161,9.8361453903308e-05,2.900164914665074e-06,-5.5227149122612406e-08,115509689742.76472,87525383464.8784,74233465522.30034,1.5263861461402477,0.0091275200014364,177073888027.86884,134174544021.1171,113798317622.43855,3.262966459673505e-06,2.472453966866007e-06,2.0969782597807374e-06,1.852717166635358e-06,1.4038630077082351e-06,1.1906673476336185e-06
16,16,0.02,660,100000.0,17.15,2.43,0.81,1.1711961460005302,,0.066,162.45,0.0063935574473639,660.0,0.0408980790998782,0.0001379080234474,9.417781961223832e-05,2.604966681633092e-07,-4.192145696901623e-07,123328397790.58516,93826051676.06868,79486088404.12605,1.756505899508058,0.0112347832025825,216713124626.7845,164871491030.32642,139673253614.05106,3.5383429341760424e-06,2.691908375825812e-06,2.2804888761110777e-06,2.011065615933906e-06,1.5299829543312534e-06,1.2961470528957411e-06
17,17,0.02,670,100000.0,17.15,2.43,0.81,1.1739866608376612,,0.0669999999999999,163.3,0.0064010885148325,670.0,0.0349999624779456,0.000134755233043,9.979281154314484e-05,-5.434143228154096e-07,-2.232940146546096e-07,122341024596.74796,93559022234.88255,79373497583.92482,2.7517350164747536,0.0171892679838435,328530476080.51685,251240254181.02213,213146922999.66025,3.5642474551863832e-06,2.7257210572623456e-06,2.312444151136092e-06,2.0272153048460867e-06,1.5502917554119533e-06,1.3152347679910924e-06
18,18,0.02,680,100000.0,17.15,2.43,0.81,1.1763985939537458,,0.068,166.4,0.0063312546183065,680.0,0.0374086759739099,0.0001299829563078,0.0001028361348658,-4.109317572116654e-07,8.238277507999749e-07,119886033427.21252,92164892625.64143,78507557267.00235,2.11775304579749,0.0135090465855688,255801749916.10928,196652938966.2664,167512177661.05475,3.545507748133123e-06,2.725683147307269e-06,2.3217813169718254e-06,2.017634622995173e-06,1.5510987649702102e-06,1.3212512014992212e-06
19,19,0.02,690,100000.0,17.15,2.43,0.81,1.178948889451767,,0.0689999999999999,169.9,0.006267533898079,690.0,0.0441861959408924,0.0001396351154108,0.0001009355928305,-1.5596135657755878e-07,-5.337501717472053e-07,117570428785.9766,90879241522.14713,77717420336.18095,1.727107902961592,0.010818106787654,202932999543.37543,156862548420.98468,134144524166.91104,3.529588547878819e-06,2.7282908927754423e-06,2.333159108304516e-06,2.00867962361914e-06,1.5526632210196798e-06,1.3277947545271747e-06
20,20,0.02,700,100000.0,17.15,2.43,0.81,1.1816434119664396,,0.07,176.3,0.0063138593755702,700.0,0.0422563992442291,0.0001305991852497,0.0001030273178457,7.112516453525619e-07,1.237522358957337e-07,117322223813.56624,91550960945.76917,78232882249.0585,1.7498600867411167,0.0110556220365164,205432222324.279,160306519529.48984,136986449257.8714,3.573708957945019e-06,2.7887000314644365e-06,2.383022951760564e-06,2.034050874815422e-06,1.5872466967371052e-06,1.3563471387219716e-06
21,21,0.02,710,100000.0,17.15,2.43,0.81,1.1844885304175683,,0.0709999999999999,175.3,0.006068213481981,710.0,0.0468554672595416,0.0001403297091678,0.0001011896527399,-1.1087303087623005e-08,-9.142292038672732e-07,111683957571.76172,87868845336.7309,74974418795.13985,1.618538683139232,0.0098413611156448,181127799895.6035,142504715818.1401,121592678304.66669,3.4514526143917533e-06,2.7154764440199677e-06,2.316990366290668e-06,1.9631803796454118e-06,1.5445583850870175e-06,1.3179001814952869e-06
22,22,0.02,720,100000.0,17.15,2.43,0.81,1.1868845751170944,,0.072,182.95,0.0059929973832289,720.0,0.0448890830317054,0.0001329928909716,0.00010127306403,1.982383269626984e-06,2.779406296809334e-07,109239191001.51884,86426223861.51714,73833016578.61777,1.7327498187401258,0.0103800334488111,189205231373.86865,149692555689.65863,127880780301.5845,3.4238261047716504e-06,2.708811358643131e-06,2.31410913279644e-06,1.9451457534917057e-06,1.5389312278247849e-06,1.3146928071206994e-06
23,23,0.02,730,100000.0,17.15,2.43,0.81,1.1894102416047256,,0.0729999999999999,185.0,0.0055502826672061,730.0,0.0464647443737703,0.000131835305954,0.000102123833869,-6.181204251163581e-07,6.439057440762268e-07,100187376585.37138,79714379285.53166,68182404129.78007,1.659951470829477,0.0092078808558119,166210170214.41763,132245608190.91689,113114140546.26176,3.1847872600682183e-06,2.5339853007976232e-06,2.16740331401244e-06,1.8064896958579184e-06,1.4373388115249754e-06,1.229404488841088e-06
24,24,0.02,740,100000.0,17.15,2.43,0.81,1.1920706597760105,,0.074,187.85,0.005139324255409,740.0,0.0493040195350317,0.0001514678517328,0.0001031721210651,-3.211083738568267e-06,9.181302620383389e-08,91859840161.2886,73508977022.66351,62952112503.1807,1.5669332461814007,0.0080426658924877,143753919122.14938,115036162909.86227,98515443456.69736,2.9600699057381496e-06,2.3687360037240778e-06,2.028554081915719e-06,1.6766630252136645e-06,1.341715635241443e-06,1.1490274662774169e-06
25,25,0.02,750,100000.0,17.15,2.43,0.81,1.1948713752184863,,0.0749999999999999,194.75,0.0048259168141053,750.0,0.0513678093274449,0.0001380503024465,0.0001014725459264,-2.33918489609364e-06,-1.1745644926184563e-06,85404097592.65344,68741593983.5906,58942367447.04439,1.5233703783992945,0.0073454074015347,129991443023.8212,104629862612.74234,89714704746.68066,2.7901549455779453e-06,2.2457903522971623e-06,1.9256492682687185e-06,1.5774297549680825e-06,1.2696701775463572e-06,1.0886766192729835e-06
