,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.132207708766776,,0.0025,4.335,6.044351654314374e-05,25.0,0.00150946002055,9.39034294888275e-06,6.645304562201499e-06,1.4227302983100268e-07,1.1385330754216198e-07,1299535605.677651,919878036.6764677,761588308.4436462,0.0835599416480086,0.0001008254168252,2167746461.742361,1534442265.7816336,1270400251.997848,2.8198771217487405e-08,1.996053835762733e-08,1.6525791504201922e-08,1.576830754913766e-08,1.1161617832277707e-08,9.240961633448116e-09
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.134734428137802,,0.00255,5.9025,9.346371825664124e-05,25.5,0.0014386472695468,7.086818690441431e-06,4.834930012624054e-06,-1.3622635259611324e-08,-5.3147945709775e-08,1994858419.4074745,1420648517.5009897,1177642850.0337152,0.105295356704757,0.0001940230323384,4141162868.745637,2949150091.5443816,2444690207.4644217,4.4170323640433126e-08,3.145611948539123e-08,2.6075467468153257e-08,2.4770941553906074e-08,1.764075137027164e-08,1.4623254425356756e-08
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.1371251937425453,,0.0026,6.73,0.0001271783785093,26.0,0.0017546677820584,6.674253761945161e-06,4.727550140631119e-06,-1.1303584089915881e-07,-6.9962770232854e-08,2704667096.8708963,1933111353.342289,1602447569.21795,0.0792521755212171,0.0001989866553446,4231793688.007455,3024597161.237967,2507231857.3419986,6.108600842724315e-08,4.3660107581329855e-08,3.619193128452344e-08,3.434035668685735e-08,2.4544142037291347e-08,2.0345801951965197e-08
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.1396961390385214,,0.00265,6.8175,0.0001393892370555,26.5,0.0015696554994988,7.6038696326571156e-06,4.691047412768549e-06,1.9119491667078917e-08,-3.1466128418969534e-08,2941112901.8724723,2110612076.853022,1756304386.9001496,0.216344915165657,0.0006320306289053,13335846269.902092,9570118227.82828,7963585924.206937,6.771864560238493e-08,4.85964993542165e-08,4.0438622492419435e-08,3.8190369304905783e-08,2.7406310931856283e-08,2.2805623376389233e-08
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1421032315621116,,0.0027,6.8725,0.0001607846810769,27.0,0.0017080907943045,6.031343978125992e-06,5.153079512965261e-06,8.835356706050256e-09,-1.9682903941533875e-09,3378541052.457831,2425095468.1120653,2025886981.5690129,0.0897312802535371,0.0002877184913991,6045779537.159124,4339622437.35449,3625252991.629848,7.930194565735097e-08,5.6922436649454186e-08,4.7552116971746014e-08,4.4869709462138854e-08,3.2207194579736766e-08,2.6905388703210276e-08
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.1446849391252194,,0.00275,6.9925,0.0001734072149592,27.5,0.0015234859507376,7.958402871445011e-06,4.71432631821969e-06,2.888450438372538e-08,-3.5953354392553864e-08,3613092534.917437,2605251693.916299,2184930908.4866,0.1059779296343494,0.0003656021220065,7617643234.062177,5492767690.66863,4606586737.28283,8.600539233159254e-08,6.201493371465435e-08,5.200969479352317e-08,4.9045217839316053e-08,3.5364479492162196e-08,2.96589172114931e-08
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.1470719240942415,,0.0028,6.8325000000000005,0.0001890044178772,28.0,0.0017224234410076,6.573642145137531e-06,4.314219337627527e-06,5.1325417288618114e-08,-7.943619528805592e-08,3923530898.049016,2835066268.1591234,2381455665.2536645,0.0895295785639899,0.0003375022756478,7006188646.478984,5062534134.717512,4252528673.162711,9.515998647498339e-08,6.876073484418206e-08,5.775901726911293e-08,5.439429066229245e-08,3.9304244733688766e-08,3.3015565576298565e-08
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.1496258456588988,,0.00285,6.0775,0.0001767034494287,28.5,0.0018591552269785,6.37807993987167e-06,4.634797394565276e-06,2.3118908608347997e-08,-1.0286149452366172e-07,3636909011.137008,2650551741.430863,2226463462.8019247,0.0826038081758243,0.0002940949249881,6053059440.984251,4411423874.822072,3705596054.850541,8.981339816069423e-08,6.545532433439361e-08,5.49824724408906e-08,5.145205390557326e-08,3.749786718941765e-08,3.149820843911082e-08
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.1519513659104534,,0.0028999999999999,5.175,0.0001662736349847,29.0,0.0017850369401796,8.672810346545157e-06,6.030135223459574e-06,-3.3159210131858526e-08,-1.501693279017981e-08,3408609517.1880016,2485283486.356036,2095047800.808236,0.0842353019508932,0.0002803882271721,5747958657.028662,4190948437.6360855,3532891662.3688345,8.568715299479562e-08,6.247616961021442e-08,5.2666250133386576e-08,4.9066627088168846e-08,3.5775432010767906e-08,3.0158024454191585e-08
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.1544339730283155,,0.0029499999999999,6.1525,0.0002076821990029,29.5,0.0018787542639716,7.595483560490575e-06,5.184539812287395e-06,-6.194316699744703e-09,2.9746328830199146e-08,4221784593.089324,3094464765.1443105,2612629655.412242,0.0849375998937578,0.0003556507054658,7229703248.834915,5299195511.440831,4474064626.285091,1.08006814124278e-07,7.916635094319167e-08,6.683946074122123e-08,6.175332505071026e-08,4.5263675653354986e-08,3.8215727209742985e-08
