,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2.25,0.02,510,100000.0,17.15,2.43,0.81,,0.51,100000.0,100.0,510.0,0.5061764761346694,0.0546156101992017,0.04400047075288,-0.000148484122262,7.997970878258808e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0075537367807534,100.75537367807534,3254398569801833.0,1763219039366318.2,1168762334665673.8,0.0715189328578896,0.0387486478332219,0.0256848179923071,0.0401081803303523,0.0217304382594788,0.0144041762177116
11,11,2.25,0.02,511,100000.0,17.15,2.43,0.81,,0.511,100000.0,100.0,511.0,0.5107547851264371,0.0565449103695716,0.0428479934115012,0.0001568283935962,3.955600519874703e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0004801029392258,100.0480102939226,3231550732493699.5,1750840180143645.2,1160556919409502.0,0.0716618105044037,0.0388260583228193,0.0257361300882688,0.0401966074561097,0.0217783476929387,0.0144359333278908
12,12,2.25,0.02,512,100000.0,17.15,2.43,0.81,,0.512,100000.0,100.0,512.0,0.5115872454218788,0.0640881540410872,0.0498824912370611,0.0001550560544316,0.0001036726028387,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0008068117057547,100.08068117057547,3232606001809588.0,1751411920485070.8,1160935901578675.5,0.0717888007817703,0.0388948611046743,0.0257817365036698,0.0402854253567193,0.0218264688465197,0.0144678307782645
13,13,2.25,0.02,513,100000.0,17.15,2.43,0.81,,0.513,100000.0,100.0,513.0,0.5126276337115314,0.0536834849841803,0.0514560907492911,0.0001539347300093,-1.5289352261583247e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0007263874672003,100.07263874672005,3232346231519056.5,1751271178067600.5,1160842609461952.5,0.0719449420527553,0.0389794577685206,0.0258378120065622,0.0403746366282703,0.0218748031267718,0.0144998695011744
14,14,2.25,0.02,514,100000.0,17.15,2.43,0.81,,0.514,100000.0,100.0,514.0,0.513654902607982,0.0571103585023596,0.0502286710813382,-8.542727148397951e-05,-6.117620137674869e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.000671846779357,100.0671846779357,3232170065097322.5,1751175731863874.5,1160779342264054.0,0.0720851856045151,0.0390554411169973,0.0258881781118382,0.0404642438898991,0.0219233519527317,0.0145320504372393
15,15,2.25,0.02,515,100000.0,17.15,2.43,0.81,,0.515,100000.0,100.0,515.0,0.5115377825553651,0.0568726892454963,0.0512433499429469,5.896319092327784e-05,-2.073512536393943e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.006768253612352,100.6768253612352,3251861459167897.0,1761844443821616.2,1167851174190328.5,0.0722307594462495,0.0391343123934788,0.0259404585008202,0.0405542497840454,0.0219721167560617,0.0145643745354466
16,16,2.25,0.02,516,100000.0,17.15,2.43,0.81,,0.516,100000.0,100.0,516.0,0.5026691924458646,0.0574990717253815,0.0429335162995077,-0.0001494404181599,-5.021534193709895e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0265200409224822,102.65200409224822,3315659732179617.0,1796410071614343.8,1190763247470079.2,0.0723843649482175,0.0392175351886627,0.0259956233250564,0.040644656976712,0.0220210989811907,0.0145968427532464
17,17,2.25,0.02,517,100000.0,17.15,2.43,0.81,,0.517,100000.0,100.0,517.0,0.5168779488656128,0.0577375446688021,0.043366578539516,-0.0002234961329615,-5.733992269038937e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0002361314400336,100.02361314400336,3230762704551308.5,1750413230020058.8,1160273912470439.0,0.0725112672499242,0.0392862903056865,0.0260411981454836,0.0407354681577277,0.0220703000854562,0.0146294560566452
18,18,2.25,0.02,518,100000.0,17.15,2.43,0.81,,0.518,100000.0,100.0,518.0,0.5177390166671785,0.062817285102385,0.0444000129586985,0.0001326636674064,4.343179367175387e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005040827992868,100.05040827992867,3231628187441696.5,1750882144898751.8,1160584736047172.5,0.0726702858424879,0.0393724458898928,0.0260983069898718,0.0408266860410147,0.0221197215392494,0.0146622154203025
19,19,2.25,0.02,519,100000.0,17.15,2.43,0.81,,0.519,100000.0,100.0,519.0,0.515554529542328,0.0604637862550858,0.0487931437760759,5.547739316637025e-05,-1.0262388775364916e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0066830378946154,100.66830378946152,3251586212399607.5,1761695316315577.0,1167752323957753.8,0.072797146743884,0.0394411785764077,0.026143866942076,0.0409183133648585,0.0221693648261617,0.0146951218276272
