Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,2.25,0.02,200,200000.0,17.15,2.43,0.81
1,2.25,0.02,210,200000.0,17.15,2.43,0.81
2,2.25,0.02,220,200000.0,17.15,2.43,0.81
3,2.25,0.02,230,200000.0,17.15,2.43,0.81
4,2.25,0.02,240,200000.0,17.15,2.43,0.81
5,2.25,0.02,250,200000.0,17.15,2.43,0.81
6,2.25,0.02,260,200000.0,17.15,2.43,0.81
7,2.25,0.02,270,200000.0,17.15,2.43,0.81
8,2.25,0.02,280,200000.0,17.15,2.43,0.81
9,2.25,0.02,290,200000.0,17.15,2.43,0.81
10,2.25,0.02,300,200000.0,17.15,2.43,0.81
11,2.25,0.02,310,200000.0,17.15,2.43,0.81
12,2.25,0.02,320,200000.0,17.15,2.43,0.81
13,2.25,0.02,330,200000.0,17.15,2.43,0.81
14,2.25,0.02,340,200000.0,17.15,2.43,0.81
15,2.25,0.02,350,200000.0,17.15,2.43,0.81
16,2.25,0.02,360,200000.0,17.15,2.43,0.81
17,2.25,0.02,370,200000.0,17.15,2.43,0.81
18,2.25,0.02,380,200000.0,17.15,2.43,0.81
19,2.25,0.02,390,200000.0,17.15,2.43,0.81
20,2.25,0.02,400,200000.0,17.15,2.43,0.81
21,2.25,0.02,410,200000.0,17.15,2.43,0.81
22,2.25,0.02,420,200000.0,17.15,2.43,0.81
23,2.25,0.02,430,200000.0,17.15,2.43,0.81
24,2.25,0.02,440,200000.0,17.15,2.43,0.81
25,2.25,0.02,450,200000.0,17.15,2.43,0.81
26,2.25,0.02,460,200000.0,17.15,2.43,0.81
27,2.25,0.02,470,200000.0,17.15,2.43,0.81
28,2.25,0.02,480,200000.0,17.15,2.43,0.81
29,2.25,0.02,490,200000.0,17.15,2.43,0.81
30,2.25,0.02,500,200000.0,17.15,2.43,0.81
31,2.25,0.02,510,200000.0,17.15,2.43,0.81
32,2.25,0.02,520,200000.0,17.15,2.43,0.81
33,2.25,0.02,530,200000.0,17.15,2.43,0.81
34,2.25,0.02,540,200000.0,17.15,2.43,0.81
35,2.25,0.02,550,200000.0,17.15,2.43,0.81
36,2.25,0.02,560,200000.0,17.15,2.43,0.81
37,2.25,0.02,570,200000.0,17.15,2.43,0.81
38,2.25,0.02,580,200000.0,17.15,2.43,0.81
39,2.25,0.02,590,200000.0,17.15,2.43,0.81
40,2.25,0.02,600,200000.0,17.15,2.43,0.81
41,2.25,0.02,610,200000.0,17.15,2.43,0.81
42,2.25,0.02,620,200000.0,17.15,2.43,0.81
43,2.25,0.02,630,200000.0,17.15,2.43,0.81
44,2.25,0.02,640,200000.0,17.15,2.43,0.81
45,2.25,0.02,650,200000.0,17.15,2.43,0.81
46,2.25,0.02,660,200000.0,17.15,2.43,0.81
47,2.25,0.02,670,200000.0,17.15,2.43,0.81
48,2.25,0.02,680,200000.0,17.15,2.43,0.81
49,2.25,0.02,690,200000.0,17.15,2.43,0.81
50,2.25,0.02,700,200000.0,17.15,2.43,0.81
51,2.25,0.02,710,200000.0,17.15,2.43,0.81
52,2.25,0.02,720,200000.0,17.15,2.43,0.81
53,2.25,0.02,730,200000.0,17.15,2.43,0.81
54,2.25,0.02,740,200000.0,17.15,2.43,0.81
55,2.25,0.02,750,200000.0,17.15,2.43,0.81
56,2.25,0.02,760,200000.0,17.15,2.43,0.81
57,2.25,0.02,770,200000.0,17.15,2.43,0.81
58,2.25,0.02,780,200000.0,17.15,2.43,0.81
59,2.25,0.02,790,200000.0,17.15,2.43,0.81
60,2.25,0.02,800,200000.0,17.15,2.43,0.81
61,2.25,0.02,810,200000.0,17.15,2.43,0.81
62,2.25,0.02,820,200000.0,17.15,2.43,0.81
63,2.25,0.02,830,200000.0,17.15,2.43,0.81
64,2.25,0.02,840,200000.0,17.15,2.43,0.81
65,2.25,0.02,850,200000.0,17.15,2.43,0.81
66,2.25,0.02,860,200000.0,17.15,2.43,0.81
67,2.25,0.02,870,200000.0,17.15,2.43,0.81
68,2.25,0.02,880,200000.0,17.15,2.43,0.81
69,2.25,0.02,890,200000.0,17.15,2.43,0.81
70,2.25,0.02,900,200000.0,17.15,2.43,0.81
71,2.25,0.02,910,200000.0,17.15,2.43,0.81
72,2.25,0.02,920,200000.0,17.15,2.43,0.81
73,2.25,0.02,930,200000.0,17.15,2.43,0.81
74,2.25,0.02,940,200000.0,17.15,2.43,0.81
75,2.25,0.02,950,200000.0,17.15,2.43,0.81
76,2.25,0.02,960,200000.0,17.15,2.43,0.81
77,2.25,0.02,970,200000.0,17.15,2.43,0.81
78,2.25,0.02,980,200000.0,17.15,2.43,0.81
79,2.25,0.02,990,200000.0,17.15,2.43,0.81
80,2.25,0.02,1000,200000.0,17.15,2.43,0.81
81,2.25,0.02,1010,200000.0,17.15,2.43,0.81
82,2.25,0.02,1020,200000.0,17.15,2.43,0.81
83,2.25,0.02,1030,200000.0,17.15,2.43,0.81
84,2.25,0.02,1040,200000.0,17.15,2.43,0.81
85,2.25,0.02,1050,200000.0,17.15,2.43,0.81
86,2.25,0.02,1060,200000.0,17.15,2.43,0.81
87,2.25,0.02,1070,200000.0,17.15,2.43,0.81
88,2.25,0.02,1080,200000.0,17.15,2.43,0.81
89,2.25,0.02,1090,200000.0,17.15,2.43,0.81
90,2.25,0.02,1100,200000.0,17.15,2.43,0.81
91,2.25,0.02,1110,200000.0,17.15,2.43,0.81
92,2.25,0.02,1120,200000.0,17.15,2.43,0.81
93,2.25,0.02,1130,200000.0,17.15,2.43,0.81
94,2.25,0.02,1140,200000.0,17.15,2.43,0.81
95,2.25,0.02,1150,200000.0,17.15,2.43,0.81
96,2.25,0.02,1160,200000.0,17.15,2.43,0.81
97,2.25,0.02,1170,200000.0,17.15,2.43,0.81
98,2.25,0.02,1180,200000.0,17.15,2.43,0.81
99,2.25,0.02,1190,200000.0,17.15,2.43,0.81
100,2.25,0.02,1200,200000.0,17.15,2.43,0.81
101,2.25,0.02,1210,200000.0,17.15,2.43,0.81
102,2.25,0.02,1220,200000.0,17.15,2.43,0.81
103,2.25,0.02,1230,200000.0,17.15,2.43,0.81
104,2.25,0.02,1240,200000.0,17.15,2.43,0.81
105,2.25,0.02,1250,200000.0,17.15,2.43,0.81
106,2.25,0.02,1260,200000.0,17.15,2.43,0.81
107,2.25,0.02,1270,200000.0,17.15,2.43,0.81
108,2.25,0.02,1280,200000.0,17.15,2.43,0.81
109,2.25,0.02,1290,200000.0,17.15,2.43,0.81
110,2.25,0.02,1300,200000.0,17.15,2.43,0.81
111,2.25,0.02,1310,200000.0,17.15,2.43,0.81
112,2.25,0.02,1320,200000.0,17.15,2.43,0.81
113,2.25,0.02,1330,200000.0,17.15,2.43,0.81
114,2.25,0.02,1340,200000.0,17.15,2.43,0.81
115,2.25,0.02,1350,200000.0,17.15,2.43,0.81
116,2.25,0.02,1360,200000.0,17.15,2.43,0.81
117,2.25,0.02,1370,200000.0,17.15,2.43,0.81
118,2.25,0.02,1380,200000.0,17.15,2.43,0.81
119,2.25,0.02,1390,200000.0,17.15,2.43,0.81
120,2.25,0.02,1400,200000.0,17.15,2.43,0.81
121,2.25,0.02,1410,200000.0,17.15,2.43,0.81
122,2.25,0.02,1420,200000.0,17.15,2.43,0.81
123,2.25,0.02,1430,200000.0,17.15,2.43,0.81
124,2.25,0.02,1440,200000.0,17.15,2.43,0.81
125,2.25,0.02,1450,200000.0,17.15,2.43,0.81
126,2.25,0.02,1460,200000.0,17.15,2.43,0.81
127,2.25,0.02,1470,200000.0,17.15,2.43,0.81
128,2.25,0.02,1480,200000.0,17.15,2.43,0.81
129,2.25,0.02,1490,200000.0,17.15,2.43,0.81
130,2.25,0.02,1500,200000.0,17.15,2.43,0.81
131,2.25,0.02,1510,200000.0,17.15,2.43,0.81
132,2.25,0.02,1520,200000.0,17.15,2.43,0.81
133,2.25,0.02,1530,200000.0,17.15,2.43,0.81
134,2.25,0.02,1540,200000.0,17.15,2.43,0.81
135,2.25,0.02,1550,200000.0,17.15,2.43,0.81
136,2.25,0.02,1560,200000.0,17.15,2.43,0.81
137,2.25,0.02,1570,200000.0,17.15,2.43,0.81
138,2.25,0.02,1580,200000.0,17.15,2.43,0.81
139,2.25,0.02,1590,200000.0,17.15,2.43,0.81
140,2.25,0.02,1600,200000.0,17.15,2.43,0.81
141,2.25,0.02,1610,200000.0,17.15,2.43,0.81
142,2.25,0.02,1620,200000.0,17.15,2.43,0.81
143,2.25,0.02,1630,200000.0,17.15,2.43,0.81
144,2.25,0.02,1640,200000.0,17.15,2.43,0.81
145,2.25,0.02,1650,200000.0,17.15,2.43,0.81
146,2.25,0.02,1660,200000.0,17.15,2.43,0.81
147,2.25,0.02,1670,200000.0,17.15,2.43,0.81
148,2.25,0.02,1680,200000.0,17.15,2.43,0.81
149,2.25,0.02,1690,200000.0,17.15,2.43,0.81
150,2.25,0.02,1700,200000.0,17.15,2.43,0.81
151,2.25,0.02,1710,200000.0,17.15,2.43,0.81
152,2.25,0.02,1720,200000.0,17.15,2.43,0.81
153,2.25,0.02,1730,200000.0,17.15,2.43,0.81
154,2.25,0.02,1740,200000.0,17.15,2.43,0.81
155,2.25,0.02,1750,200000.0,17.15,2.43,0.81
156,2.25,0.02,1760,200000.0,17.15,2.43,0.81
157,2.25,0.02,1770,200000.0,17.15,2.43,0.81
158,2.25,0.02,1780,200000.0,17.15,2.43,0.81
159,2.25,0.02,1790,200000.0,17.15,2.43,0.81
160,2.25,0.02,1800,200000.0,17.15,2.43,0.81
161,2.25,0.02,1810,200000.0,17.15,2.43,0.81
162,2.25,0.02,1820,200000.0,17.15,2.43,0.81
163,2.25,0.02,1830,200000.0,17.15,2.43,0.81
164,2.25,0.02,1840,200000.0,17.15,2.43,0.81
165,2.25,0.02,1850,200000.0,17.15,2.43,0.81
166,2.25,0.02,1860,200000.0,17.15,2.43,0.81
167,2.25,0.02,1870,200000.0,17.15,2.43,0.81
168,2.25,0.02,1880,200000.0,17.15,2.43,0.81
169,2.25,0.02,1890,200000.0,17.15,2.43,0.81
170,2.25,0.02,1900,200000.0,17.15,2.43,0.81
171,2.25,0.02,1910,200000.0,17.15,2.43,0.81
172,2.25,0.02,1920,200000.0,17.15,2.43,0.81
173,2.25,0.02,1930,200000.0,17.15,2.43,0.81
174,2.25,0.02,1940,200000.0,17.15,2.43,0.81
175,2.25,0.02,1950,200000.0,17.15,2.43,0.81
176,2.25,0.02,1960,200000.0,17.15,2.43,0.81
177,2.25,0.02,1970,200000.0,17.15,2.43,0.81
178,2.25,0.02,1980,200000.0,17.15,2.43,0.81
179,2.25,0.02,1990,200000.0,17.15,2.43,0.81
180,2.25,0.02,2000,200000.0,17.15,2.43,0.81
181,2.25,0.02,2010,200000.0,17.15,2.43,0.81
182,2.25,0.02,2020,200000.0,17.15,2.43,0.81
183,2.25,0.02,2030,200000.0,17.15,2.43,0.81
184,2.25,0.02,2040,200000.0,17.15,2.43,0.81
185,2.25,0.02,2050,200000.0,17.15,2.43,0.81
186,2.25,0.02,2060,200000.0,17.15,2.43,0.81
187,2.25,0.02,2070,200000.0,17.15,2.43,0.81
188,2.25,0.02,2080,200000.0,17.15,2.43,0.81
189,2.25,0.02,2090,200000.0,17.15,2.43,0.81
190,2.25,0.02,2100,200000.0,17.15,2.43,0.81
191,5.0,0.02,200,200000.0,17.15,2.43,0.81
192,5.0,0.02,210,200000.0,17.15,2.43,0.81
193,5.0,0.02,220,200000.0,17.15,2.43,0.81
194,5.0,0.02,230,200000.0,17.15,2.43,0.81
195,5.0,0.02,240,200000.0,17.15,2.43,0.81
196,5.0,0.02,250,200000.0,17.15,2.43,0.81
197,5.0,0.02,260,200000.0,17.15,2.43,0.81
198,5.0,0.02,270,200000.0,17.15,2.43,0.81
199,5.0,0.02,280,200000.0,17.15,2.43,0.81
200,5.0,0.02,290,200000.0,17.15,2.43,0.81
201,5.0,0.02,300,200000.0,17.15,2.43,0.81
202,5.0,0.02,310,200000.0,17.15,2.43,0.81
203,5.0,0.02,320,200000.0,17.15,2.43,0.81
204,5.0,0.02,330,200000.0,17.15,2.43,0.81
205,5.0,0.02,340,200000.0,17.15,2.43,0.81
206,5.0,0.02,350,200000.0,17.15,2.43,0.81
207,5.0,0.02,360,200000.0,17.15,2.43,0.81
208,5.0,0.02,370,200000.0,17.15,2.43,0.81
209,5.0,0.02,380,200000.0,17.15,2.43,0.81
210,5.0,0.02,390,200000.0,17.15,2.43,0.81
211,5.0,0.02,400,200000.0,17.15,2.43,0.81
212,5.0,0.02,410,200000.0,17.15,2.43,0.81
213,5.0,0.02,420,200000.0,17.15,2.43,0.81
214,5.0,0.02,430,200000.0,17.15,2.43,0.81
215,5.0,0.02,440,200000.0,17.15,2.43,0.81
216,5.0,0.02,450,200000.0,17.15,2.43,0.81
217,5.0,0.02,460,200000.0,17.15,2.43,0.81
218,5.0,0.02,470,200000.0,17.15,2.43,0.81
219,5.0,0.02,480,200000.0,17.15,2.43,0.81
220,5.0,0.02,490,200000.0,17.15,2.43,0.81
221,5.0,0.02,500,200000.0,17.15,2.43,0.81
222,5.0,0.02,510,200000.0,17.15,2.43,0.81
223,5.0,0.02,520,200000.0,17.15,2.43,0.81
224,5.0,0.02,530,200000.0,17.15,2.43,0.81
225,5.0,0.02,540,200000.0,17.15,2.43,0.81
226,5.0,0.02,550,200000.0,17.15,2.43,0.81
227,5.0,0.02,560,200000.0,17.15,2.43,0.81
228,5.0,0.02,570,200000.0,17.15,2.43,0.81
229,5.0,0.02,580,200000.0,17.15,2.43,0.81
230,5.0,0.02,590,200000.0,17.15,2.43,0.81
231,5.0,0.02,600,200000.0,17.15,2.43,0.81
232,5.0,0.02,610,200000.0,17.15,2.43,0.81
233,5.0,0.02,620,200000.0,17.15,2.43,0.81
234,5.0,0.02,630,200000.0,17.15,2.43,0.81
235,5.0,0.02,640,200000.0,17.15,2.43,0.81
236,5.0,0.02,650,200000.0,17.15,2.43,0.81
237,5.0,0.02,660,200000.0,17.15,2.43,0.81
238,5.0,0.02,670,200000.0,17.15,2.43,0.81
239,5.0,0.02,680,200000.0,17.15,2.43,0.81
240,5.0,0.02,690,200000.0,17.15,2.43,0.81
241,5.0,0.02,700,200000.0,17.15,2.43,0.81
242,5.0,0.02,710,200000.0,17.15,2.43,0.81
243,5.0,0.02,720,200000.0,17.15,2.43,0.81
244,5.0,0.02,730,200000.0,17.15,2.43,0.81
245,5.0,0.02,740,200000.0,17.15,2.43,0.81
246,5.0,0.02,750,200000.0,17.15,2.43,0.81
247,5.0,0.02,760,200000.0,17.15,2.43,0.81
248,5.0,0.02,770,200000.0,17.15,2.43,0.81
249,5.0,0.02,780,200000.0,17.15,2.43,0.81
250,5.0,0.02,790,200000.0,17.15,2.43,0.81
251,5.0,0.02,800,200000.0,17.15,2.43,0.81
252,5.0,0.02,810,200000.0,17.15,2.43,0.81
253,5.0,0.02,820,200000.0,17.15,2.43,0.81
254,5.0,0.02,830,200000.0,17.15,2.43,0.81
255,5.0,0.02,840,200000.0,17.15,2.43,0.81
256,5.0,0.02,850,200000.0,17.15,2.43,0.81
257,5.0,0.02,860,200000.0,17.15,2.43,0.81
258,5.0,0.02,870,200000.0,17.15,2.43,0.81
259,5.0,0.02,880,200000.0,17.15,2.43,0.81
260,5.0,0.02,890,200000.0,17.15,2.43,0.81
261,5.0,0.02,900,200000.0,17.15,2.43,0.81
262,5.0,0.02,910,200000.0,17.15,2.43,0.81
263,5.0,0.02,920,200000.0,17.15,2.43,0.81
264,5.0,0.02,930,200000.0,17.15,2.43,0.81
265,5.0,0.02,940,200000.0,17.15,2.43,0.81
266,5.0,0.02,950,200000.0,17.15,2.43,0.81
267,5.0,0.02,960,200000.0,17.15,2.43,0.81
268,5.0,0.02,970,200000.0,17.15,2.43,0.81
269,5.0,0.02,980,200000.0,17.15,2.43,0.81
270,5.0,0.02,990,200000.0,17.15,2.43,0.81
271,5.0,0.02,1000,200000.0,17.15,2.43,0.81
272,5.0,0.02,1010,200000.0,17.15,2.43,0.81
273,5.0,0.02,1020,200000.0,17.15,2.43,0.81
274,5.0,0.02,1030,200000.0,17.15,2.43,0.81
275,5.0,0.02,1040,200000.0,17.15,2.43,0.81
276,5.0,0.02,1050,200000.0,17.15,2.43,0.81
277,5.0,0.02,1060,200000.0,17.15,2.43,0.81
278,5.0,0.02,1070,200000.0,17.15,2.43,0.81
279,5.0,0.02,1080,200000.0,17.15,2.43,0.81
280,5.0,0.02,1090,200000.0,17.15,2.43,0.81
281,5.0,0.02,1100,200000.0,17.15,2.43,0.81
282,5.0,0.02,1110,200000.0,17.15,2.43,0.81
283,5.0,0.02,1120,200000.0,17.15,2.43,0.81
284,5.0,0.02,1130,200000.0,17.15,2.43,0.81
285,5.0,0.02,1140,200000.0,17.15,2.43,0.81
286,5.0,0.02,1150,200000.0,17.15,2.43,0.81
287,5.0,0.02,1160,200000.0,17.15,2.43,0.81
288,5.0,0.02,1170,200000.0,17.15,2.43,0.81
289,5.0,0.02,1180,200000.0,17.15,2.43,0.81
290,5.0,0.02,1190,200000.0,17.15,2.43,0.81
291,5.0,0.02,1200,200000.0,17.15,2.43,0.81
292,5.0,0.02,1210,200000.0,17.15,2.43,0.81
293,5.0,0.02,1220,200000.0,17.15,2.43,0.81
