,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.01,1200,1,100000.0,100,,30.49,0.03049,,0.00022338128234849816,0.004052180442890333,0.0002202526233418457
1,1,2.5,0.01,1200,1,100000.0,150,,36.66,0.03665999999999999,,0.00031218576953591533,0.0035509470521052156,0.0002154991213234256
2,2,2.5,0.01,1200,1,100000.0,200,,15.559999999999999,0.01556,,0.0003602862339550939,0.003028158333182948,0.00019967233366289887
3,3,2.5,0.01,1200,1,100000.0,250,,21.94,0.02194,,0.0005235482304522066,0.0024621131436968224,0.00020829954628127104
4,4,2.5,0.01,1200,1,100000.0,300,,22.98,0.02298,,0.0006870630842433913,0.002885187022868388,0.00021231274265198687
5,5,2.5,0.01,1200,1,100000.0,350,,28.33,0.02833,,0.0008413488049308171,0.002248241510233969,0.0002245874143623504
6,6,2.5,0.01,1200,1,100000.0,400,,34.09,0.034089999999999995,,0.001063477689082788,0.002379976679638432,0.00022521833487220303
7,7,2.5,0.01,1200,1,100000.0,450,,37.57,0.037570000000000006,,0.0011821794054321796,0.002169739617821696,0.0002270533844608256
8,8,2.5,0.01,1200,1,100000.0,500,,41.17,0.04117,,0.0010995706836985164,0.0019202190732906664,0.00022685258930169025
9,9,2.5,0.01,1200,1,100000.0,550,,44.93,0.04492999999999999,,0.0013786657600314812,0.0019010337889741368,0.0002322873373707044
10,10,2.5,0.01,1200,1,100000.0,600,,50.41,0.05041,,0.0015605171571451135,0.0020005052827413096,0.00022676978334383547
11,11,2.5,0.01,1200,1,100000.0,650,,53.94,0.05394,,0.0016898190657002488,0.0018226346018767985,0.00022718664736031384
12,12,2.5,0.01,1200,1,100000.0,700,,58.510000000000005,0.05850999999999999,,0.001937864495287158,0.001909044940623308,0.0002343694097625468
13,13,2.5,0.01,1200,1,100000.0,750,,62.42,0.06241999999999999,,0.002132244226421562,0.0018121356708741428,0.0002311628943577228
14,14,2.5,0.01,1200,1,100000.0,800,,65.8,0.0658,,0.0022209563272406288,0.001888495993884108,0.00022771353581590065
15,15,2.5,0.01,1200,1,100000.0,850,,69.12,0.06911999999999999,,0.0024550508675872606,0.0017032015601493645,0.0002297852906800592
16,16,2.5,0.01,1200,1,100000.0,900,,74.48,0.07447999999999999,,0.0026205696775525662,0.0016940394095526176,0.00023166731198613424
17,17,2.5,0.01,1200,1,100000.0,950,,78.21,0.07821,,0.0025675052471990515,0.0016353160395175576,0.0002348172322837505
18,18,2.5,0.01,1200,1,100000.0,1000,,81.09999999999998,0.08109999999999998,,0.002971823805719396,0.0016883107663458595,0.00023623377766373988
19,19,2.5,0.01,1200,1,100000.0,1050,,85.82,0.08582,,0.0029931993187005896,0.001690958619486686,0.00023521132370818613
20,20,2.5,0.01,1200,1,100000.0,1100,,86.37,0.08637,,0.003544062480341381,0.0015743605170837297,0.0002359078388713933
21,21,2.5,0.01,1200,1,100000.0,1150,,90.29,0.09029000000000001,,0.0035708195503070784,0.00164158229263491,0.00023132890050661675
22,22,2.5,0.01,1200,1,100000.0,1200,,88.17999999999998,0.08817999999999998,,0.003737326015184408,0.0016402593030750239,0.00023595346877039783
23,23,2.5,0.01,1200,1,100000.0,1250,,67.34,0.06734,,0.004010884392737353,0.0015130693693316227,0.0002380888423958384
24,24,2.5,0.01,1200,1,100000.0,1300,,35.05,0.03505,,0.003620243336333715,0.0014582981313105545,0.0002250632116873475
25,25,2.5,0.01,1200,1,100000.0,1350,,11.49,0.011489999999999997,,0.0032597486822623974,0.0012831246789865164,0.00020426758963568932
26,26,2.5,0.01,1200,1,100000.0,1400,,1.83,0.0018300000000000005,,0.005317650833570368,0.0016518243911061547,0.00016583320526996804
27,27,2.5,0.01,1200,1,100000.0,1450,,,,,,,
28,28,2.5,0.01,1200,1,100000.0,1500,,,,,,,
29,29,2.5,0.01,1200,1,100000.0,1550,,0.0,0.0,0.0,0.0,0.0,0.0
30,30,2.5,0.01,1200,1,100000.0,1600,,0.0,0.0,0.0,0.0,0.0,0.0
31,31,2.5,0.01,1200,1,100000.0,1650,,0.0,0.0,0.0,0.0,0.0,0.0
32,32,2.5,0.01,1200,1,100000.0,1700,,0.0,0.0,0.0,0.0,0.0,0.0
33,33,2.5,0.01,1200,1,100000.0,1750,,0.0,0.0,0.0,0.0,0.0,0.0
34,34,2.5,0.01,1200,1,100000.0,1800,,0.0,0.0,0.0,0.0,0.0,0.0
35,35,2.5,0.01,1200,1,100000.0,1850,,0.0,0.0,0.0,0.0,0.0,0.0
36,36,2.5,0.01,1200,1,100000.0,1900,,0.0,0.0,0.0,0.0,0.0,0.0
37,37,2.5,0.01,1200,1,100000.0,1950,,0.0,0.0,0.0,0.0,0.0,0.0
38,38,2.5,0.01,1200,1,100000.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0
