,Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,500000.0,150,17.15,2.43,0.81,,0.00045,1014.0,0.2027999999999999,150.0,8.957333596981698e-05,0.0115493386070135,0.0009399786337525,-5.7839834049354165e-05,-6.90385833669657e-06,4597201788819.875,2991300000000.0,2425488000000.0,2096952000000.0,1870018800000.0,5.023816464216917,1.0188299789431907,23095498036000.75,15027742189412.064,12185206548160.562,10534701982272.594,9394631235835.162,2.8054977682078507e-05,1.825476857345963e-05,1.4801832687361164e-05,1.2796902172852375e-05,1.1412014984126865e-05,1.8211644279726323e-05,1.184992393991253e-05,9.608480699752805e-06,8.306997528047157e-06,7.408010077961588e-06
1,1,500000.0,155,17.15,2.43,0.81,,0.0004649999999999,961.0,0.1922,155.0,0.0001083866133058,0.0110620521687961,0.0006008072182638,-5.200901583374249e-05,1.2824484030409023e-05,4353935522182.254,2834950000000.0,2298712000000.0,1987348000000.0,1772276200000.0,4.290197708161715,0.8245759995086815,18679244198750.184,12162495992753.057,9861928954123.832,8526115834919.768,7603415291469.553,2.7557733705999098e-05,1.794348969381726e-05,1.454943299919013e-05,1.2578690402309862e-05,1.1217418201131453e-05,1.7727461776608906e-05,1.1542768033093924e-05,9.359424113613784e-06,8.091676031334995e-06,7.2159907819090895e-06
2,2,500000.0,160,17.15,2.43,0.81,,0.0004799999999999,863.0,0.1726,160.0,0.0001114106543695,0.0115421311299521,0.0009493178312217,0.0001350358858598,1.590481593436511e-05,3907365961126.7607,2545850000000.0,2064296000000.0,1784684000000.0,1591544600000.0,4.3083850706742375,0.7436272631983735,16834437172579.23,10968502132176.008,8893782067852.547,7689105901471.181,6856986993952.201,2.5519989630749623e-05,1.6627586524480194e-05,1.3482436259849705e-05,1.165621997716103e-05,1.0394777989303857e-05,1.6364148662875502e-05,1.0662084966663316e-05,8.645324488223274e-06,7.474302274935504e-06,6.66542952390525e-06
3,3,500000.0,165,17.15,2.43,0.81,,0.000495,808.0,0.1616,165.0,9.851640717783994e-05,0.0111968148983802,0.0007587659947481,-0.0001306269350954,-3.810073894032743e-07,3656068899154.9297,2383600000000.0,1932736000000.0,1670944000000.0,1490113600000.0,5.024543770728823,0.8119662733497779,18370078212604.29,11976502531909.225,9711116629263.344,8395731266436.703,7487141006558.302,2.4566923862230893e-05,1.601657992045738e-05,1.2987003108384424e-05,1.1227893991696902e-05,1.001280565739237e-05,1.5685426039010883e-05,1.0226224542767294e-05,8.291908171626903e-06,7.16875673031958e-06,6.392950271786929e-06
4,4,500000.0,170,17.15,2.43,0.81,,0.0005099999999999,650.0,0.13,170.0,8.434754835207059e-05,0.0120113749183224,0.0007352205166504,-0.0001886709136373,1.3069498378181909e-05,2938787977780.717,1917500000000.0,1554800000000.0,1344200000000.0,1198730000000.0,6.04641166179764,0.7860335160336932,17769121900404.03,11593994361496.977,9400960851762.97,8127586555788.388,7248015051346.686,2.0380778944125616e-05,1.3298048011913064e-05,1.0782688421863063e-05,9.322157046995329e-06,8.313308523244092e-06,1.2923543644978042e-05,8.432352087529354e-06,6.837351251989903e-06,5.9112217345799e-06,5.271506345702249e-06
5,5,500000.0,175,17.15,2.43,0.81,,0.000525,704.0,0.1408,175.0,0.0001214806322309,0.0118293426597514,0.0007447028844659,3.977864737341917e-05,-3.115093818876936e-06,3180173209625.404,2076800000000.0,1683968000000.0002,1455872000000.0002,1298316800000.0002,4.321676553361575,0.6084920587133098,13743679995666.734,8975257866021.32,7277565022211.187,6291807887095.625,5610905273395.431,2.2840795568065763e-05,1.4916094536041478e-05,1.2094677332274993e-05,1.0456435084926704e-05,9.324834421480576e-06,1.4278378233507927e-05,9.324440513365047e-06,7.560698884057354e-06,6.5365908412335324e-06,5.8291976931348544e-06
6,6,500000.0,180,17.15,2.43,0.81,,0.0005399999999999,698.0,0.1396,180.0,0.0001059426187737,0.0109980002854882,0.0009161172860532,-0.0001835324047168,6.634271015016101e-06,3150472090300.174,2059100000000.0,1669616000000.0002,1443464000000.0,1287251600000.0,5.097098847002722,0.71155499904158,16058267658983.271,10495436235863.309,8510197788537.298,7357478690089.9375,6561248646162.409,2.3392088342182893e-05,1.5288708398238666e-05,1.23968103351142e-05,1.071764371781612e-05,9.557774924756524e-06,1.444806168306241e-05,9.443030428103002e-06,7.656857214922842e-06,6.619724381463392e-06,5.90333447983307e-06
7,7,500000.0,185,17.15,2.43,0.81,,0.0005549999999999,660.0,0.132,185.0,0.0001283001379306,0.0094401978445499,0.0009192907117336,-0.0003515881285096,-2.271193198031598e-05,2976146705403.8354,1947000000000.0,1578720000000.0,1364880000000.0,1217172000000.0,4.325794258304305,0.5710048420961683,12874198330107.188,8422321420918.483,6829217911470.174,5904190067274.381,5265235648968.768,2.2749489461976875e-05,1.4882752890522844e-05,1.20676423437731e-05,1.0433062026305506e-05,9.303990807017703e-06,1.3902322803888514e-05,9.094922118598345e-06,7.374594477182116e-06,6.375694556359789e-06,5.685713685125108e-06
8,8,500000.0,190,17.15,2.43,0.81,,0.00057,641.0,0.1281999999999999,190.0,0.0001507257119897,0.0125812914756522,0.0008702443698204,-0.0001645635637171,-2.0357096313797424e-05,2887490091807.0884,1890949999999.9995,1533271999999.9998,1325587999999.9998,1182132199999.9998,3.781703814667816,0.484814429040414,10919632295002.389,7151012828346.105,5798380571323.352,5012981196277.881,4470473850181.657,2.2702619489520988e-05,1.48674166694172e-05,1.205520700787998e-05,1.04223110753745e-05,9.294403329403116e-06,1.374366999755868e-05,9.000409336684181e-06,7.297959028253749e-06,6.309439494326402e-06,5.626628779224734e-06
9,9,500000.0,195,17.15,2.43,0.81,,0.000585,687.0,0.1374,195.0,0.0001460786994584,0.009555559605268,0.0008958623800986,0.0001746663925654,-2.820221564051886e-06,3092326671815.512,2026650000000.0,1643304000000.0,1420716000000.0,1266965400000.0,4.004690637092196,0.5502444935364678,12383811669450.053,8116106279662.899,6580924142696.155,5689528063167.077,5073804474899.77,2.501671092296992e-05,1.6395459656359926e-05,1.329421677898744e-05,1.1493495108255024e-05,1.0249663287545415e-05,1.4978973389048927e-05,9.816924161215242e-06,7.960027997839614e-06,6.88183022555699e-06,6.137075097665475e-06
