Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,500000.0,150,17.15,2.43,0.81
1,500000.0,155,17.15,2.43,0.81
2,500000.0,160,17.15,2.43,0.81
3,500000.0,165,17.15,2.43,0.81
4,500000.0,170,17.15,2.43,0.81
5,500000.0,175,17.15,2.43,0.81
6,500000.0,180,17.15,2.43,0.81
7,500000.0,185,17.15,2.43,0.81
8,500000.0,190,17.15,2.43,0.81
9,500000.0,195,17.15,2.43,0.81
10,500000.0,200,17.15,2.43,0.81
11,500000.0,205,17.15,2.43,0.81
12,500000.0,210,17.15,2.43,0.81
13,500000.0,215,17.15,2.43,0.81
14,500000.0,220,17.15,2.43,0.81
15,500000.0,225,17.15,2.43,0.81
16,500000.0,230,17.15,2.43,0.81
17,500000.0,235,17.15,2.43,0.81
18,500000.0,240,17.15,2.43,0.81
19,500000.0,245,17.15,2.43,0.81
20,500000.0,250,17.15,2.43,0.81
21,500000.0,255,17.15,2.43,0.81
22,500000.0,260,17.15,2.43,0.81
23,500000.0,265,17.15,2.43,0.81
24,500000.0,270,17.15,2.43,0.81
25,500000.0,275,17.15,2.43,0.81
26,500000.0,280,17.15,2.43,0.81
27,500000.0,285,17.15,2.43,0.81
28,500000.0,290,17.15,2.43,0.81
29,500000.0,295,17.15,2.43,0.81
30,500000.0,300,17.15,2.43,0.81
31,500000.0,305,17.15,2.43,0.81
32,500000.0,310,17.15,2.43,0.81
33,500000.0,315,17.15,2.43,0.81
34,500000.0,320,17.15,2.43,0.81
35,500000.0,325,17.15,2.43,0.81
36,500000.0,330,17.15,2.43,0.81
37,500000.0,335,17.15,2.43,0.81
38,500000.0,340,17.15,2.43,0.81
39,500000.0,345,17.15,2.43,0.81
40,500000.0,350,17.15,2.43,0.81
41,500000.0,355,17.15,2.43,0.81
42,500000.0,360,17.15,2.43,0.81
43,500000.0,365,17.15,2.43,0.81
44,500000.0,370,17.15,2.43,0.81
45,500000.0,375,17.15,2.43,0.81
46,500000.0,380,17.15,2.43,0.81
47,500000.0,385,17.15,2.43,0.81
48,500000.0,390,17.15,2.43,0.81
49,500000.0,395,17.15,2.43,0.81
50,500000.0,400,17.15,2.43,0.81
51,500000.0,405,17.15,2.43,0.81
52,500000.0,410,17.15,2.43,0.81
53,500000.0,415,17.15,2.43,0.81
54,500000.0,420,17.15,2.43,0.81
55,500000.0,425,17.15,2.43,0.81
56,500000.0,430,17.15,2.43,0.81
57,500000.0,435,17.15,2.43,0.81
58,500000.0,440,17.15,2.43,0.81
59,500000.0,445,17.15,2.43,0.81
60,500000.0,450,17.15,2.43,0.81
61,500000.0,455,17.15,2.43,0.81
62,500000.0,460,17.15,2.43,0.81
63,500000.0,465,17.15,2.43,0.81
64,500000.0,470,17.15,2.43,0.81
65,500000.0,475,17.15,2.43,0.81
66,500000.0,480,17.15,2.43,0.81
67,500000.0,485,17.15,2.43,0.81
68,500000.0,490,17.15,2.43,0.81
69,500000.0,495,17.15,2.43,0.81
70,500000.0,500,17.15,2.43,0.81
71,500000.0,505,17.15,2.43,0.81
72,500000.0,510,17.15,2.43,0.81
73,500000.0,515,17.15,2.43,0.81
74,500000.0,520,17.15,2.43,0.81
75,500000.0,525,17.15,2.43,0.81
76,500000.0,530,17.15,2.43,0.81
77,500000.0,535,17.15,2.43,0.81
78,500000.0,540,17.15,2.43,0.81
79,500000.0,545,17.15,2.43,0.81
80,500000.0,550,17.15,2.43,0.81
81,500000.0,555,17.15,2.43,0.81
82,500000.0,560,17.15,2.43,0.81
83,500000.0,565,17.15,2.43,0.81
84,500000.0,570,17.15,2.43,0.81
85,500000.0,575,17.15,2.43,0.81
86,500000.0,580,17.15,2.43,0.81
87,500000.0,585,17.15,2.43,0.81
88,500000.0,590,17.15,2.43,0.81
89,500000.0,595,17.15,2.43,0.81
90,500000.0,600,17.15,2.43,0.81
91,500000.0,605,17.15,2.43,0.81
92,500000.0,610,17.15,2.43,0.81
93,500000.0,615,17.15,2.43,0.81
94,500000.0,620,17.15,2.43,0.81
95,500000.0,625,17.15,2.43,0.81
96,500000.0,630,17.15,2.43,0.81
97,500000.0,635,17.15,2.43,0.81
98,500000.0,640,17.15,2.43,0.81
99,500000.0,645,17.15,2.43,0.81
100,500000.0,650,17.15,2.43,0.81
101,500000.0,655,17.15,2.43,0.81
102,500000.0,660,17.15,2.43,0.81
103,500000.0,665,17.15,2.43,0.81
104,500000.0,670,17.15,2.43,0.81
105,500000.0,675,17.15,2.43,0.81
106,500000.0,680,17.15,2.43,0.81
107,500000.0,685,17.15,2.43,0.81
108,500000.0,690,17.15,2.43,0.81
109,500000.0,695,17.15,2.43,0.81
110,500000.0,700,17.15,2.43,0.81
111,500000.0,705,17.15,2.43,0.81
112,500000.0,710,17.15,2.43,0.81
113,500000.0,715,17.15,2.43,0.81
114,500000.0,720,17.15,2.43,0.81
115,500000.0,725,17.15,2.43,0.81
116,500000.0,730,17.15,2.43,0.81
117,500000.0,735,17.15,2.43,0.81
118,500000.0,740,17.15,2.43,0.81
119,500000.0,745,17.15,2.43,0.81
120,500000.0,750,17.15,2.43,0.81
121,500000.0,755,17.15,2.43,0.81
122,500000.0,760,17.15,2.43,0.81
123,500000.0,765,17.15,2.43,0.81
124,500000.0,770,17.15,2.43,0.81
125,500000.0,775,17.15,2.43,0.81
126,500000.0,780,17.15,2.43,0.81
127,500000.0,785,17.15,2.43,0.81
128,500000.0,790,17.15,2.43,0.81
129,500000.0,795,17.15,2.43,0.81
130,500000.0,800,17.15,2.43,0.81
131,500000.0,805,17.15,2.43,0.81
132,500000.0,810,17.15,2.43,0.81
