"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"
5.20209e+2	2.39813e+14	1.56063e+3	6.37636e+12	2.60104e+3	1.85687e+11	3.64146e+3	5.49968e+9
5.19963e+2	2.40530e+14	1.55989e+3	6.43565e+12	2.59981e+3	1.88605e+11	3.63974e+3	5.62172e+9
5.19716e+2	2.41247e+14	1.55915e+3	6.49534e+12	2.59858e+3	1.91562e+11	3.63802e+3	5.74617e+9
5.19470e+2	2.41965e+14	1.55841e+3	6.55543e+12	2.59735e+3	1.94557e+11	3.63629e+3	5.87306e+9
5.19223e+2	2.42684e+14	1.55767e+3	6.61593e+12	2.59612e+3	1.97592e+11	3.63456e+3	6.00243e+9
5.18977e+2	2.43402e+14	1.55693e+3	6.67683e+12	2.59488e+3	2.00667e+11	3.63284e+3	6.13434e+9
5.18730e+2	2.44121e+14	1.55619e+3	6.73815e+12	2.59365e+3	2.03782e+11	3.63111e+3	6.26881e+9
5.18482e+2	2.44840e+14	1.55545e+3	6.79987e+12	2.59241e+3	2.06938e+11	3.62938e+3	6.40590e+9
5.18235e+2	2.45559e+14	1.55470e+3	6.86200e+12	2.59117e+3	2.10134e+11	3.62764e+3	6.54564e+9
5.17987e+2	2.46279e+14	1.55396e+3	6.92455e+12	2.58994e+3	2.13372e+11	3.62591e+3	6.68808e+9
5.17739e+2	2.46999e+14	1.55322e+3	6.98751e+12	2.58870e+3	2.16652e+11	3.62417e+3	6.83328e+9
5.17491e+2	2.47719e+14	1.55247e+3	7.05254e+12	2.58746e+3	2.19975e+11	3.62244e+3	6.98126e+9
5.17243e+2	2.48282e+14	1.55173e+3	7.11637e+12	2.58621e+3	2.23340e+11	3.62070e+3	7.13208e+9
5.16994e+2	2.49002e+14	1.55098e+3	7.17890e+12	2.58497e+3	2.26748e+11	3.61896e+3	7.28579e+9
5.16746e+2	2.49722e+14	1.55024e+3	7.24354e+12	2.58373e+3	2.30200e+11	3.61722e+3	7.44243e+9
5.16497e+2	2.50443e+14	1.54949e+3	7.30859e+12	2.58248e+3	2.33696e+11	3.61548e+3	7.60205e+9
5.16247e+2	2.51163e+14	1.54874e+3	7.37407e+12	2.58124e+3	2.37236e+11	3.61373e+3	7.76471e+9
5.15998e+2	2.51885e+14	1.54799e+3	7.43998e+12	2.57999e+3	2.40821e+11	3.61199e+3	7.93044e+9
5.15749e+2	2.52606e+14	1.54725e+3	7.50631e+12	2.57874e+3	2.44452e+11	3.61024e+3	8.09930e+9
5.15499e+2	2.53327e+14	1.54650e+3	7.57307e+12	2.57749e+3	2.48128e+11	3.60849e+3	8.27134e+9
5.15249e+2	2.54049e+14	1.54575e+3	7.64025e+12	2.57624e+3	2.51851e+11	3.60674e+3	8.44662e+9
5.14999e+2	2.54771e+14	1.54500e+3	7.70787e+12	2.57499e+3	2.55620e+11	3.60499e+3	8.62518e+9
5.14748e+2	2.55493e+14	1.54424e+3	7.77592e+12	2.57374e+3	2.59437e+11	3.60324e+3	8.80708e+9
5.14498e+2	2.56215e+14	1.54349e+3	7.84440e+12	2.57249e+3	2.63301e+11	3.60148e+3	8.99236e+9
