,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.17577026432641,,732.0,0.0001188116365604,500.0,0.0365866040070272,0.0003697236614769,0.0003607604054385,-1.3417689096873844e-05,1.879607098150485e-05,2554450186.0494995,1808171020.220522,1497026620.6615672,13.666204163249576,0.0016237040822048,34909637767.40333,24710834324.40493,20458671435.78056,5.5429305721343655e-08,3.9235709047541793e-08,3.248415125995024e-08,3.099519241843051e-08,2.1939988888113267e-08,1.8164624394056952e-08
1,1,0.02,502,100000.0,17.15,2.43,0.81,1.17662360156545,,746.0,0.0001055340930225,502.0,0.0372981857625518,0.0005067672369671,0.0003434027345477,-9.228326203070208e-07,-5.449983387314862e-06,2267423526.606924,1604857765.433808,1329729572.0840516,13.45909967835536,0.0014203938774552,30517479257.65063,21599940634.55627,17896962855.93607,4.9399709526412655e-08,3.4964578303672846e-08,2.8970438843391577e-08,2.7638711720853666e-08,1.95623802131819e-08,1.6208710846589208e-08
2,2,0.02,504,100000.0,17.15,2.43,0.81,1.17747901516844,,704.0,8.491806143307807e-05,504.0,0.0365928989850203,0.0003838789447191,0.0003824576148608,5.651965542142412e-07,-6.09676417799976e-06,1821478316.7162752,1290754533.7827866,1069967574.0567836,13.773164028526866,0.0011695903891023,25087519630.53827,17777773914.35504,14736838902.689049,3.984507383760084e-08,2.8235422421887805e-08,2.340567911288068e-08,2.2305221807238894e-08,1.5806153666779487e-08,1.3102469486935631e-08
3,3,0.02,506,100000.0,17.15,2.43,0.81,1.17837189466193,,680.0,6.832659662438763e-05,506.0,0.0376365578970308,0.0003658831849591,0.0003922318412285,-1.2775746123482514e-05,2.310365875586428e-06,1463176135.4727347,1038564268.6906918,860915117.4672841,13.44437505109677,0.0009186083909832,19671488731.10982,13962847542.945702,11574465726.389198,3.2134179834954955e-08,2.2808881426625112e-08,1.890736223522872e-08,1.8000549860721485e-08,1.27768130226444e-08,1.0591305531928912e-08
4,4,0.02,508,100000.0,17.15,2.43,0.81,1.1791362468331,,673.0,5.550691369625984e-05,508.0,0.0338796692960272,0.0004669923990739,0.0003847700140628,-1.831183384197416e-06,-1.6952439816711443e-06,1186685396.734894,843705088.1831495,699387112.572874,14.994243171658356,0.0008322841616699,17793449406.898872,12650719257.3836,10486780437.04167,2.6166851276643764e-08,1.8604008800125244e-08,1.5421744136945926e-08,1.4666979901465332e-08,1.042787381153792e-08,8.644158554301172e-09
5,5,0.02,510,100000.0,17.15,2.43,0.81,1.18000708146274,,708.0,4.564716151096922e-05,510.0,0.0425625572294734,0.0004805563627931,0.0003779388003465,-9.905966152042983e-06,1.5124179697875869e-05,974277785.6554688,693836854.9667323,575154235.0382122,11.98236274315864,0.0005469608474199,11674149840.325188,8313804880.783737,6891706677.491782,2.1572541033197163e-08,1.5362994255323535e-08,1.2735113659018193e-08,1.2097990439295945e-08,8.615645108003163e-09,7.141916339528936e-09
6,6,0.02,512,100000.0,17.15,2.43,0.81,1.18089388467086,,697.0,3.505746856257567e-05,512.0,0.0307931370047072,0.0004059247944275,0.0004293060762653,5.90019667449984e-06,-4.230198843115152e-06,747014253.7203248,532873522.15115017,441724103.8884534,16.62708154488232,0.000582903388547,12420666911.79725,8860131505.915829,7344582695.693385,1.6602866080950843e-08,1.1843452360244327e-08,9.817598667044641e-09,9.316961906704503e-09,6.646141331638479e-09,5.509301367016107e-09
7,7,0.02,514,100000.0,17.15,2.43,0.81,1.18169303123046,,695.0,2.7824238290572424e-05,514.0,0.0329292715794053,0.0003879966201911,0.0003150498587048,-2.294131303526398e-06,-1.188451842900573e-05,592656275.5891926,422928422.0167008,350585402.4612125,15.609212574306246,0.0004343144501956,9250897789.168331,6601579642.974585,5472362072.465775,1.3226544156510106e-08,9.438660618730217e-09,7.824152881315838e-09,7.424578352421171e-09,5.2982906552489115e-09,4.3920040957984405e-09
8,8,0.02,516,100000.0,17.15,2.43,0.81,1.18256256858225,,680.0,2.0245021970265475e-05,516.0,0.0229789162849556,0.0003807269356825,0.0004006468785404,4.37906383008962e-06,-2.1778565782006225e-06,431218967.9666546,307724333.9480352,255087276.82534492,22.455367067846748,0.0004546093996389,9683180212.309278,6910062874.511785,5728078435.450559,9.663625743000645e-09,6.896108511437077e-09,5.716511002901789e-09,5.426237472091775e-09,3.8722445810232385e-09,3.2098869553218954e-09
9,9,0.02,518,100000.0,17.15,2.43,0.81,1.18333929872482,,692.0,1.5299983514365686e-05,518.0,0.0425209504536496,0.0004394499763999,0.0003636330469184,1.7874251470966652e-06,-7.004159600879996e-06,325889648.8559891,232559749.4183584,192779792.28100765,12.182230041274602,0.0001863879187997,3970062670.4338617,2833096365.7556195,2348487776.876369,7.332041466090633e-09,5.232254942937916e-09,4.337263965856431e-09,4.119193305839014e-09,2.9395182276409863e-09,2.4367058992287123e-09
