,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
513,513,0.02,5630,100000.0,17.15,2.43,0.81,2.231746192339633,,0.5630000000000001,18181.0,10.74175398655971,5630.0,0.1827335668931482,0.016176237552068,0.006695981364831,0.000110266091909,-2.308395544525696e-05,34319903987058.28,692091209354.0421,15221065398.955109,340406183.83407724,66388084904.59441,276734487158.05524,3.08098840061065,33.095219434803674,105739226094197.77,2132324988184.401,46895925939.11681,1048787503.8889288,204540919529.8104,852615744982.905,0.0070013428198475,0.0001411882685079,3.10513388911547e-06,6.944367886102276e-08,1.354332872683686e-05,5.645449985521091e-05,0.0012363033269713,2.49311497204276e-05,5.483072971262751e-07,1.2262426426204418e-08,2.391493002712325e-06,9.96878567289222e-06
514,514,0.02,5640,100000.0,17.15,2.43,0.81,2.2301652025855385,,0.564,18553.0,11.027327023473491,5640.0,0.1857247507250576,0.0160815528511481,0.006082172489898,8.510952266160717e-06,-2.107381987350166e-05,35232309839997.81,710490680122.3972,15625722392.26194,349455993.373875,66097578025.703415,279302420000.9505,3.0367519557742284,33.48725690549513,106991785813056.95,2157583962421.0515,47451443035.0866,1061211171.3351408,200721949341.4945,848172170190.3615,0.0071871890464029,0.0001449360219905,3.1875577085298992e-06,7.128701748998769e-08,1.3483526653162849e-05,5.697609105905847e-05,0.0012655510996963,2.5520956918134205e-05,5.612788445288867e-07,1.2552524053013705e-08,2.374237253747496e-06,1.0032594694622766e-05
515,515,0.02,5650,100000.0,17.15,2.43,0.81,2.228588690674746,,0.565,18361.0,10.884239668564083,5650.0,0.1871882662271673,0.015576669334792,0.0063751450491604,-4.0612602244558114e-05,-1.2389043948387502e-05,34775145741062.25,701271561845.584,15422967610.355309,344921555.09679586,63211130475.56469,270951272547.5573,3.018351584678545,32.85246205163149,104963616254962.6,2116684129986.617,46551938727.16181,1041094522.416202,190793415840.24292,817826202864.588,0.0070932866734266,0.0001430423976115,3.145911491782638e-06,7.035563526788412e-08,1.289353818250478e-05,5.526749089767772e-05,0.0012455883698195,2.5118390819240325e-05,5.524252644864743e-07,1.2354521264344653e-08,2.2641184468290795e-06,9.705027734061542e-06
516,516,0.02,5660,100000.0,17.15,2.43,0.81,2.227016636432704,,0.5660000000000001,18327.0,10.75183896183622,5660.0,0.1859600918633077,0.0157944201916067,0.0065173321244412,5.0236832477741504e-05,-2.366007346972552e-05,34352125483066.72,692740984311.1075,15235355808.921925,340725776.7005898,60438096553.07207,262985801400.94232,3.0436638008118715,32.72498304029959,104556320813757.2,2108470657286.5024,46371300968.10452,1037054712.547094,183953246668.5582,800440363851.5481,0.0070063188720708,0.0001412886150007,3.1073407955319097e-06,6.949303444629937e-08,1.232670673261726e-05,5.363750736036314e-05,0.0012269580282403,2.474269350845808e-05,5.441626059519649e-07,1.2169733932687204e-08,2.158673058350016e-06,9.393088078382673e-06
517,517,0.02,5670,100000.0,17.15,2.43,0.81,2.225449019810519,,0.5670000000000001,18342.0,10.544461593660738,5670.0,0.1884403225458299,0.0146120942368426,0.0063573765574518,9.052518382727344e-05,-1.2754518212515917e-05,33689554791746.06,679379660479.5614,14941502078.217266,334153987.9031088,57306938265.19945,253333995131.27872,3.008910154365193,31.727337561479583,101368843508927.28,2044192359086.129,44957637324.61656,1005439327.3232878,172431428461.73785,762259230396.407,0.0068707756026264,0.0001385552651258,3.0472266131210483e-06,6.814863187706845e-08,1.1687394378693968e-05,5.166589596756373e-05,0.0011998623395931,2.419628498904159e-05,5.32145519625515e-07,1.1900982016183889e-08,2.041001653089516e-06,9.022556753144514e-06
518,518,0.02,5680,100000.0,17.15,2.43,0.81,2.2238858208837056,,0.5680000000000001,18518.0,10.33522474374034,5680.0,0.1869621479472698,0.0148778465591221,0.0063826737850116,0.0001379567887975,-1.1167680127171336e-05,33021043056250.383,665898530239.1901,14645013461.88006,327523272.1291313,54243329539.7713,243818448867.63788,3.038048108862104,31.398909987385164,100319517409695.58,2023031770487.226,44492255452.12478,995031457.5002356,164793844726.6861,740732177488.0188,0.0067336929302145,0.000135790871829,2.986429697062309e-06,6.678896055039137e-08,1.1061368473765415e-05,4.971976695585132e-05,0.0011727097211173,2.3648728429293024e-05,5.201031846082293e-07,1.1631665434181218e-08,1.926398259095007e-06,8.658971331940162e-06
519,519,0.02,5690,100000.0,17.15,2.43,0.81,2.249638276094136,,0.569,18394.0,10.000069384430358,5690.0,0.2062326821433089,0.0175282076864688,0.0060525046044902,9.446547680314164e-05,-9.757528839104793e-06,31950221683254.992,644304470438.8479,14170098317.737816,316902198.792598,50620323723.00844,231568785414.1308,2.759019540872808,27.59038684172727,88151285959318.62,1777648624212.4878,39095578154.72754,874339359.0143372,139662462317.08765,638902804013.7688,0.0065142756776454,0.0001313661289235,2.889116943731957e-06,6.461264357576973e-08,1.0320890630820136e-05,4.721416087437577e-05,0.0011314458922338,2.281660683462405e-05,5.018024504836611e-07,1.1222385078212577e-08,1.7926059452025765e-06,8.200492429249911e-06
520,520,0.02,5700,100000.0,17.15,2.43,0.81,2.2480551056091693,,0.57,18423.0,10.420804286404303,5700.0,0.2082105995832535,0.0171320397407068,0.0065746906490602,4.264630219554349e-05,1.5349324212738397e-05,33294469695061.75,671412420173.0293,14766279673.834898,330235287.8361524,50807680597.99178,236785892474.7454,2.7376127879218948,28.52812707489172,91147366004279.05,1838067227435.2727,40424356065.12157,904056347.0033188,139091756129.71347,648228087238.3618,0.0067878159855954,0.000136882311096,3.0104335685723823e-06,6.732578672410641e-08,1.0358272401173834e-05,4.827405514561936e-05,0.0011756978447277,2.370898658397852e-05,5.214284337963303e-07,1.16613035052969e-08,1.7941262053961058e-06,8.361408546050355e-06
521,521,0.02,5710,100000.0,17.15,2.43,0.81,2.246476367622929,,0.5710000000000001,18502.0,10.701197080327884,5710.0,0.18971236262405,0.017050663450494,0.0065320214696696,0.0002196098799824,2.0550841760792872e-05,34190324671647.6,689478127885.5256,15163596262.824614,339120935.4755907,50180097605.1001,238509588987.62704,3.0098196664786774,32.20867342723507,102906711600016.05,2075204828916.756,45639690246.3921,1020692860.9090794,151033044637.64984,717870851578.706,0.0069695476527878,0.000140547090851,3.0910325583725974e-06,6.91283145905629e-08,1.0228992700098851e-05,4.861913310447711e-05,0.0012039016278978,2.4277740809220047e-05,5.339369661130654e-07,1.1941046193453104e-08,1.766929731584251e-06,8.398343250877727e-06
522,522,0.02,5720,100000.0,17.15,2.43,0.81,2.244902042382723,,0.5720000000000001,18500.0,10.803231059458346,5720.0,0.1698901620447941,0.0155961158788496,0.0065259263353087,6.423158973667172e-05,8.454898649600965e-06,34516323234969.41,696052177160.9012,15308178411.252476,342354392.2742349,48644870686.39665,236091915322.3296,3.3668812432422284,36.37319602050217,116212361285504.42,2343525019600.955,51540818761.051575,1152666581.8897138,163781502693.9726,794893441379.8838,0.0070350376801403,0.0001418677551585,3.1200777442124792e-06,6.977788547219016e-08,9.914685753019148e-06,4.811971162056954e-05,0.0012119367856016,2.4439776868955075e-05,5.3750060256572e-07,1.2020743892242531e-08,1.7080181980666163e-06,8.28965689695437e-06
523,523,0.02,5730,100000.0,17.15,2.43,0.81,2.243332110257481,,0.5730000000000001,18333.0,10.70077289145055,5730.0,0.1708716478051428,0.0143593787422238,0.0063440114337595,0.0001644340649646,-4.847722104475232e-06,34188969388184.504,689450797396.1589,15162995187.185429,339107492.9300679,46188934045.16958,229205490391.51624,3.353394242756018,35.883910207229945,114649093112099.69,2312000334651.825,50847500763.64483,1137161114.4671168,154889705506.1091,768616371886.9805,0.0069670030746122,0.0001404957771822,3.089904024014252e-06,6.910307587933071e-08,9.412347060013152e-06,4.670732651062504e-05,0.0011970508521474,2.4139588858799023e-05,5.308986095439736e-07,1.1873095932567762e-08,1.6172029706652278e-06,8.025121332989608e-06
524,524,0.02,5740,100000.0,17.15,2.43,0.81,2.241766551736876,,0.574,18502.0,10.6998411198144,5740.0,0.1898598166962983,0.0155966731827507,0.006252103080939,3.073256790685026e-05,-2.1652028810537944e-06,34185992377807.004,689390763349.6417,15161674866.777002,339077965.0869183,44190498588.98868,224538614839.1981,3.023283230691073,32.34865022859367,103353937480356.78,2084223534228.29,45838037373.91723,1025128725.7441334,133600393339.96704,678843828885.9495,0.0069653497270629,0.000140462435967,3.0891707553202576e-06,6.908667694855255e-08,9.003754341366113e-06,4.57494391943006e-05,0.0011935741376317,2.406947783649859e-05,5.293566676132004e-07,1.183861171253516e-08,1.5428727550735005e-06,7.839570096719053e-06
