,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,50,2.25,1,100000.0,4558810000000.0,100000.0,100.0,4558810000000.0,0.04996523567179879,0.12685081307771784,0.07939527568226123
1,1,0.1,150,2.25,1,100000.0,6109030000000.0,100000.0,100.0,6109030000000.0,0.14934803899265603,0.12144795440779284,0.0869244699151109
2,2,0.1,250,2.25,1,100000.0,6817320000000.0,100000.0,100.0,6817320000000.0,0.24864296629317553,0.12059276383359448,0.08195424798832901
3,3,0.1,350,2.25,1,100000.0,7218160000000.0,100000.0,100.0,7218160000000.0,0.3494131875399944,0.138604781819588,0.08033922855825955
4,4,0.1,450,2.25,1,100000.0,7453040000000.0,100000.0,100.0,7453040000000.0,0.4497869232346829,0.1392055190858021,0.07856570946313852
5,5,0.1,550,2.25,1,100000.0,7583430000000.0,100000.0,100.0,7583430000000.0,0.5496941136120768,0.12108153964289436,0.07773218778386201
6,6,0.1,650,2.25,1,100000.0,7642310000000.0,100000.0,100.0,7642310000000.0,0.6491018992727504,0.12072571770895388,0.07864646004611994
7,7,0.1,750,2.25,1,100000.0,7649700000000.0,100000.0,100.0,7649700000000.0,0.7308853421379808,0.1345196415340864,0.09104626831356291
8,8,0.1,850,2.25,1,100000.0,7618740000000.0,100000.0,100.0,7618740000000.0,0.8494453399233634,0.124254357241224,0.07771091109880372
9,9,0.1,950,2.25,1,100000.0,7558600000000.0,100000.0,100.0,7558600000000.0,0.9484626845512591,0.13328360432234188,0.08246372499062436
10,10,0.1,1050,2.25,1,100000.0,7475920000000.0,100000.0,100.0,7475920000000.0,1.044340936736262,0.12023467928985145,0.08785930930590427
11,11,0.1,1150,2.25,1,100000.0,7375670000000.0,100000.0,100.0,7375670000000.0,1.1496798192781623,0.1250601229462655,0.07995540890225888
12,12,0.1,1250,2.25,1,100000.0,7261700000000.0,100000.0,100.0,7261700000000.0,1.2493580953569108,0.14075627472126134,0.083845561096759
13,13,0.1,1350,2.25,1,100000.0,7137010000000.0,100000.0,100.0,7137010000000.0,1.3465079269863052,0.14100481888104105,0.08262650018280188
14,14,0.1,1450,2.25,1,100000.0,7003980000000.0,100000.0,100.0,7003980000000.0,1.4479684101247583,0.12786608783423695,0.08323496378962848
15,15,0.1,1550,2.25,1,100000.0,6864560000000.0,100000.0,100.0,6864560000000.0,1.5486958450187556,0.1235322091524269,0.0927194166575016
16,16,0.1,1650,2.25,1,100000.0,6720320000000.0,100000.0,100.0,6720320000000.0,1.6487043789638847,0.12266900805928276,0.09149963653875628
17,17,0.1,1750,2.25,1,100000.0,6572580000000.0,100000.0,100.0,6572580000000.0,1.7476261228571275,0.12064720353789508,0.08251314290830497
18,18,0.1,1850,2.25,1,100000.0,6422410000000.0,100000.0,100.0,6422410000000.0,1.848120231997882,0.12261933045396624,0.082063697910432
19,19,0.1,1950,2.25,1,100000.0,6270710000000.0,100000.0,100.0,6270710000000.0,1.8697493797494644,0.13746802424524987,0.08942989865462132
20,20,0.1,2050,2.25,1,100000.0,6118240000000.0,100000.0,100.0,6118240000000.0,2.045095656048943,0.139187574266392,0.08158919839035492
21,21,0.1,2150,2.25,1,100000.0,5965630000000.0,100000.0,100.0,5965630000000.0,2.148674459506765,0.1215272404421824,0.07750286425778752
22,22,0.1,2250,2.25,1,100000.0,5813420000000.0,100000.0,100.0,5813420000000.0,2.242822640441773,0.12535233426933023,0.08817221512446319
23,23,0.1,2350,2.25,1,100000.0,5662060000000.0,100000.0,100.0,5662060000000.0,2.345977802689049,0.1241514026088546,0.09151785819571305
24,24,0.1,2450,2.25,1,100000.0,5511930000000.0,100000.0,100.0,5511930000000.0,2.4478805038452265,0.12478333081812965,0.07878469763852752
25,25,0.1,2550,2.25,1,100000.0,5363350000000.0,100000.0,100.0,5363350000000.0,2.547072824100724,0.12606551967732077,0.0788026077385652
