,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,679.0,0.679,24040266600.0,0.002848815416136574,0.093770223936219,0.04247648711463025
1,1,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,4943630000000.0,3255.0,3.2550000000000003,160915156500.00003,0.016014646250340547,0.0958625691273261,0.04251026127134032
2,2,0.1,250,2.25,1,100000.0,0.01715,0.00243,5.72,5711030000000.0,4794.0,4.794,273786778200.00003,0.03281457475398497,0.11305829356271967,0.04232147126774292
3,3,0.1,350,2.25,1,100000.0,0.01715,0.00243,5.72,6242890000000.0,5468.0,5.468,341361225200.0,0.05425914480321126,0.07503597353851385,0.043212442277936594
4,4,0.1,450,2.25,1,100000.0,0.01715,0.00243,5.72,6644880000000.0,6204.0,6.204,412248355200.0,0.07792557339337235,0.10842751554306898,0.04217175218596417
5,5,0.1,550,2.25,1,100000.0,0.01715,0.00243,5.72,6962770000000.0,6560.0,6.56,456757712000.00006,0.11025906409247455,0.08579347925507813,0.042021731226995325
6,6,0.1,650,2.25,1,100000.0,0.01715,0.00243,5.72,7221090000000.0,7047.0,7.047000000000001,508870212300.00006,0.13362116214761954,0.09649889747592147,0.04232583456133783
7,7,0.1,750,2.25,1,100000.0,0.01715,0.00243,5.72,7434690000000.0,7553.0,7.553,561542135700.0,0.16600849640406068,0.10322014969059368,0.04233752993050283
8,8,0.1,850,2.25,1,100000.0,0.01715,0.00243,5.72,7613330000000.0,7615.0,7.614999999999998,579755079500.0,0.2044340227826069,0.09645517155513267,0.044837008234443525
9,9,0.1,950,2.25,1,100000.0,0.01715,0.00243,5.72,7763820000000.0,8065.0,8.064999999999998,626152083000.0,0.24151549179975967,0.0987065045248476,0.04360834147570949
10,10,0.1,1050,2.25,1,100000.0,0.01715,0.00243,5.72,7891090000000.0,8514.0,8.513999999999998,671847402600.0,0.28627835985935235,0.1012287214407978,0.044369428340137504
11,11,0.1,1150,2.25,1,100000.0,0.01715,0.00243,5.72,7998900000000.0,8823.0,8.823,705742947000.0,0.31355290570354555,0.08712754517929146,0.04468699389705849
12,12,0.1,1250,2.25,1,100000.0,0.01715,0.00243,5.72,8090120000000.0,9147.0,9.147,740003276400.0,0.36077174654747063,0.08137918553645347,0.04344262431137867
13,13,0.1,1350,2.25,1,100000.0,0.01715,0.00243,5.72,8167050000000.0,9262.0,9.261999999999999,756432170999.9999,0.4117960403061716,0.103378372139088,0.04459263073751736
14,14,0.1,1450,2.25,1,100000.0,0.01715,0.00243,5.72,8231550000000.0,9649.0,9.649000000000001,794262259500.0001,0.46194195955604306,0.08787906000948,0.044784103518932944
15,15,0.1,1550,2.25,1,100000.0,0.01715,0.00243,5.72,8285110000000.0,9896.0,9.896,819894485600.0001,0.4919795442147006,0.0942885831147132,0.04469552937751968
16,16,0.1,1650,2.25,1,100000.0,0.01715,0.00243,5.72,8329020000000.0,10295.0,10.295,857472609000.0,0.5702181448198189,0.0990098469939171,0.04188910406928425
17,17,0.1,1750,2.25,1,100000.0,0.01715,0.00243,5.72,8364330000000.0,10473.0,10.473,875996280900.0001,0.6134159948046545,0.07877537990002637,0.04214687988202909
18,18,0.1,1850,2.25,1,100000.0,0.01715,0.00243,5.72,8391950000000.0,10677.0,10.677,896008501500.0,0.6661436472300011,0.10433451720520664,0.0440768040249339
19,19,0.1,1950,2.25,1,100000.0,0.01715,0.00243,5.72,8412650000000.0,11167.0,11.167,939440625500.0,0.7068947636098528,0.0971070779298075,0.04421946471302988
20,20,0.1,2050,2.25,1,100000.0,0.01715,0.00243,5.72,8427110000000.0,11195.0,11.195,943414964500.0,0.7276094973399267,0.09964329933334408,0.04385070909067598
21,21,0.1,2150,2.25,1,100000.0,0.01715,0.00243,5.72,8435920000000.0,11381.0,11.381,960092055200.0,0.8591263618000083,0.09848528465010867,0.044327856637251535
22,22,0.1,2250,2.25,1,100000.0,0.01715,0.00243,5.72,8439580000000.0,11900.0,11.899999999999999,1004310019999.9998,0.873442714990233,0.08767182622812533,0.04455969506843697
23,23,0.1,2350,2.25,1,100000.0,0.01715,0.00243,5.72,8438560000000.0,11960.0,11.96,1009251775999.9998,0.8846304348608099,0.1033236140047458,0.0445414741356906
24,24,0.1,2450,2.25,1,100000.0,0.01715,0.00243,5.72,8433260000000.0,12075.0,12.075,1018316145000.0,1.031564218054882,0.10952771431712166,0.04430453242208589
25,25,0.1,2550,2.25,1,100000.0,0.01715,0.00243,5.72,8424040000000.0,12405.0,12.405,1045002162000.0,1.0069138504400144,0.09911359565980413,0.04348591620768841
