,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,500,500000.0,17.15,2.43,0.81,1.1608960446595802,,0.0499999999999999,41208.8,0.0047665927523956,500.0,0.0149349595810746,0.0174130814640519,0.0064231565598199,0.0001773805345696,-2.4745336329272243e-06,96220156240.015,68249680003.03213,57008449318.65263,49286569059.77161,43952751769.840805,3.3478604464445363,0.0159579561818022,322133044890.9427,228491389863.9684,190857155934.3552,165005266919.8355,147148313952.39877,2.087892136597685e-06,1.4809575848971495e-06,1.2370328390980373e-06,1.0694748792870994e-06,9.537357700102847e-07,1.1675163107419942e-06,8.281280941562656e-07,6.917292283709236e-07,5.980334633240259e-07,5.333139811712613e-07
1,1,0.02,510,500000.0,17.15,2.43,0.81,1.1645847270410128,,0.051,41564.9,0.0024527208897606,510.0,0.0152119478915209,0.0175310663883724,0.0066090066721357,0.0001609777951761,-4.365691753989517e-06,49236762382.20522,35043195649.66014,29334541841.537365,25361134000.12511,22616539324.482944,3.3526546122369565,0.0082231015040351,165073366679.91055,117487381485.56364,98348293988.26112,85026869551.72409,75825218968.70868,1.0902045519977708e-06,7.759293983882144e-07,6.495279035237969e-07,5.61548371441142e-07,5.007773242803454e-07,6.11392242881794e-07,4.351451425598723e-07,3.642585430615005e-07,3.149191751886216e-07,2.808384636764294e-07
2,2,0.02,520,500000.0,17.15,2.43,0.81,1.1681172274392402,,0.052,41551.1,0.0005040425216551,520.0,0.0158424410568727,0.017372424641265,0.0064948127379482,0.0001534337590601,-2.2776525502761927e-06,10061862049.10612,7185942293.338867,6028348558.995969,5211799673.914574,4647776092.182426,3.2873363116971843,0.0016568455630786,33074494266.133057,23621016270.93107,19815872934.421387,17131783122.233868,15277772937.148792,2.272512541881946e-07,1.6229743468112085e-07,1.3615270851751872e-07,1.1771061923671773e-07,1.0497191682609034e-07,1.2775248092455008e-07,9.123777997296707e-08,7.654015534411836e-08,6.61726761085438e-08,5.9011435821748783e-08
3,3,0.02,530,500000.0,17.15,2.43,0.81,1.1728457270970696,,0.053,41558.7,3.535476290743299e-05,530.0,0.0158040059886388,0.0171019861007977,0.0064020073625023,0.0001510291796548,-8.115956763432323e-06,701594546.8751519,503001575.0122865,422842964.3728986,365568248.46285707,326006268.7694396,3.3536024856837026,0.000118565508988,2352863029.26986,1686862896.5007057,1418043487.49721,1225967362.936551,1093292558.378911,1.6154100186414514e-08,1.1581529350339585e-08,9.735890394278982e-09,8.417149387696042e-09,7.506241247963752e-09,9.110209550409117e-09,6.531478576847039e-09,5.490618519643049e-09,4.7469059776847095e-09,4.233193425554227e-09
4,4,0.02,540,500000.0,17.15,2.43,0.81,1.1769739648369482,,0.054,41663.5,3.685874668841906e-05,540.0,0.016311067699496,0.01740944504912,0.0063563722994014,0.0001462691291984,2.480221243551713e-06,727005871.4119201,523332327.2213415,440602712.6425961,381119440.7582532,339874503.2139121,3.3141322950315955,0.0001221561724655,2409421442.416748,1734412582.20942,1460232530.6758862,1263094823.294103,1126402066.3051183,1.7064460431919763e-08,1.2283784962106756e-08,1.0341935122867865e-08,8.945729150748041e-09,7.977617843234783e-09,9.655215585967517e-09,6.950269098397956e-09,5.851554087265393e-09,5.061568976572055e-09,4.5138034364575365e-09
5,5,0.02,550,500000.0,17.15,2.43,0.81,1.1788947702347103,,0.055,41463.4,0.0011466024294592,550.0,0.0167655032976426,0.0169752522135172,0.0062597208609959,0.0001593589860087,1.1028770493459257e-05,22477765361.06628,16244151233.244162,13683280324.150846,11855869120.609468,10572821002.04448,3.286439265113146,0.0037680231096191,73867573586.97894,53382354398.00665,44966690416.93062,38961358953.4626,34744941093.79872,5.350566059222619e-07,3.866727979998475e-07,3.257142963510194e-07,2.822149350717725e-07,2.516734928720322e-07,3.051200289005937e-07,2.2050305331232257e-07,1.8574101210218257e-07,1.6093517618916978e-07,1.4351869048745977e-07
6,6,0.02,560,500000.0,17.15,2.43,0.81,1.1830246093806902,,0.056,40851.1,0.0252216702972961,560.0,0.0170286476888463,0.0171874948502585,0.0064541020851827,0.000162075228623,5.038816132688537e-06,491365638214.6071,356441215358.5143,300491857322.5505,260792070874.0428,232569021811.36823,3.2934525988188263,0.083070115207445,1618362292993.8516,1173975096632.9824,989700242388.7596,858944991244.9825,765989532327.8513,1.19174153847047e-05,8.645004235727857e-06,7.2880274991272195e-06,6.325162355544877e-06,5.640650104495097e-06,6.812100131490863e-06,4.941560950080121e-06,4.165901034953626e-06,3.615518795225411e-06,3.2242455329568194e-06
7,7,0.02,570,500000.0,17.15,2.43,0.81,1.1896419454232,,0.057,37521.1,0.378476860649264,570.0,0.0170197613093477,0.0169529745723901,0.0064355753183169,0.0001784577728593,-2.099338819932475e-06,7323465812196.297,5335568086213.077,4501991790392.113,3913450739113.392,3489935132046.865,3.349068155039217,1.2675435227998322,24526761395058.82,17869163141268.6,15077462130235.088,13106400025750.268,11688018823737.254,0.0001808528475396,0.0001317617513863,0.000111176600775,9.664259082037654e-05,8.618388104010563e-05,0.0001036064846798,7.548331177602555e-05,6.369054699261958e-05,5.536434311913622e-05,4.937278606398018e-05
8,8,0.02,580,500000.0,17.15,2.43,0.81,1.190508908610878,,0.0579999999999999,34724.9,0.0642551334433642,580.0,0.0174810643586283,0.0171214325563896,0.0063506158217312,0.0001446124977443,-3.361647000601009e-06,1234841788754.7402,903707647390.0636,763047927792.097,664398079804.3866,592496585481.262,3.3205653794801684,0.2133602147502256,4100312225847.113,3000775928486.965,2533713043829.1787,2206144620517.333,1967394540211.8315,3.104200605667632e-05,2.271780767318917e-05,1.9181840630728064e-05,1.6701936559929783e-05,1.4894444585987674e-05,1.777543636377003e-05,1.300879021419718e-05,1.098400621560836e-05,9.56395053627354e-06,8.528934999514343e-06
9,9,0.02,590,500000.0,17.15,2.43,0.81,1.1920445871133745,,0.0589999999999999,37273.7,0.0503543129836563,590.0,0.017978430123594,0.017125458243371,0.0062712121154116,0.0001694965403857,-2.346518444589699e-06,961049643570.9402,706558315582.1072,596838658205.67,520663596251.00665,464317120022.2952,3.2869881109317896,0.165506262086097,3158810532043.775,2322339812198.3936,1961709524667.0063,1711334749970.244,1526133242695.9014,2.4586737652906583e-05,1.807603182406729e-05,1.526905046849684e-05,1.3320247639733328e-05,1.1878723741390812e-05,1.40575649279816e-05,1.0335043005473643e-05,8.730140264222787e-06,7.615904504931691e-06,6.791707489359296e-06
