sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
10	2	1	0.106632077800387	-0.00160298764364286	0	-0.000837514644325346	0.000426788220392667	0.99999955821042	2350.44356746131	2.42449064508423	9.22611e+13	7.17216e+13	9.39156e+10	-5.79858e+13
20	2	1	-0.0689666618348914	0.00500434992157428	0	0.000748454497605715	-0.000402463747514691	0.999999638919334	2350.28656191458	-1.8304654728413	9.2473e+13	7.61957e+13	-8.22308e+10	5.22587e+13
29	2	1	0.00187125333939875	0.0149746409358319	0	0.000686823256006412	0.000209331813966429	0.99999974222697	2350.29968739847	-1.34689128500236	9.14087e+13	8.93508e+13	2.9023e+10	-1.85517e+13
34	2	1	0.0773569501234288	-0.0128849446029292	0	-0.000649479634625989	-0.000447859452806048	0.999999688799009	2349.64980570485	1.90910532110365	9.25042e+13	7.66808e+13	-8.42164e+10	5.1726e+13
51	2	1	-0.0659559311496558	0.00390034032766286	0	0.00105442727918678	2.88062571942442e-05	0.999999443676501	2350.08553914483	-2.38555483056257	9.10878e+13	9.10539e+13	1.90782e+09	-1.22746e+12
54	2	1	0.0145632492909067	0.00327062668686595	0	-0.000407776788057934	-0.000370146788009385	0.999999848354712	2350.15421576602	0.979125127755196	9.25083e+13	7.76504e+13	-8.12386e+10	5.02456e+13
58	2	1	0.191657447776039	0.0200154883961962	0	-0.000642743899954887	-4.6986834522613e-05	0.999999792336237	2350.23618910692	2.5411825456838	9.14048e+13	8.93827e+13	-3.04912e+10	1.88224e+13
68	2	1	-0.0226312176936736	-0.011065557157921	0	0.000908460607002641	-0.000288552040558696	0.99999954571842	2349.88150829762	-1.85887824187967	9.20513e+13	8.49025e+13	-5.55168e+10	3.54499e+13
70	2	1	-0.00808908162830524	-0.0156605003519816	0	0.000878643387682759	0.000332536287995521	0.99999955870261	2349.40137635203	-1.78969050803198	9.24537e+13	7.91819e+13	7.4103e+10	-4.76196e+13
71	2	1	-0.0305327801101936	-0.00715046292995614	0	0.00093036442178512	-0.000370682164369644	0.999999498508262	2349.95893766711	-1.94437696505838	9.23319e+13	8.18734e+13	-6.66915e+10	4.25715e+13
92	2	1	-0.000553309238142924	0.0180074244245423	0	-0.000133889331293001	-0.000256315418058848	0.999999958188026	2350.52589859679	0.289531596625238	9.22642e+13	8.28053e+13	-6.49691e+10	4.05109e+13
96	2	1	0.0900532902606697	0.0136664610972353	0	-0.0007616878399602	-0.000245086226526827	0.999999679882137	2350.18206105058	2.2149801708706	9.20601e+13	8.4901e+13	-5.78154e+10	3.55121e+13
100	2	1	-0.0579289455138982	0.00516862830245185	0	0.000495813205850416	0.000248193200909089	0.999999846284689	2350.25497881458	-1.3516612467331	9.1913e+13	8.60152e+13	5.04089e+10	-3.20857e+13
121	2	1	0.0289673136562913	-0.0234734544638725	0	0.000143989832017025	0.000158562042604508	0.999999977062503	2349.48546090955	-0.145638379334741	9.1551e+13	8.84376e+13	3.73392e+10	-2.35253e+13
131	2	1	-0.00492623385043311	0.00683101587284457	0	0.000270296989368747	0.000222706580471903	0.999999938670657	2350.105232507	-0.606552123099846	9.17023e+13	8.7556e+13	4.27986e+10	-2.70842e+13
140	2	1	0.0271824311014333	-0.0185784260480277	0	0.000850929460792569	0.000197231095478981	0.999999618509401	2349.45387231646	-1.51054186360693	9.18887e+13	8.61458e+13	4.96188e+10	-3.18071e+13
143	2	1	0.00696471657409087	-0.000185467396349379	0	-0.00021830339533008	-6.65235087340642e-05	0.999999973959125	2349.97599461799	0.515977148266757	9.1146e+13	9.07451e+13	-1.20229e+10	7.49528e+12
