,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,100000.0,100.0,100.0,0.0998227603612022,0.1089578299730851,0.1052748876484178,4.4367728281586713e-05,1.4152077543163349e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0017794834116756,100.17794834116756,2424306349856255.0,1562775994122214.0,1262242149098711.2,0.0100134469536618,0.0064549492759143,0.0052136128766999,0.0048182216381953,0.0031059610560267,0.0025086608529446
1,1,2.25,0.02,105,1,100000.0,,100000.0,100.0,105.0,0.104901436288442,0.1062070603488917,0.1050161127198774,3.2673198335827095e-05,1.0901805194344384e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0009399369889294,100.09399369889292,2422274647513209.0,1561466301702729.5,1261184320606050.8,0.0105804788400316,0.0068204739629954,0.0055088443547271,0.0053692406850884,0.0034611634168338,0.0027955550674426
2,2,2.25,0.02,110,1,100000.0,,100000.0,100.0,110.0,0.1098354324215122,0.1066443254809369,0.1022039898341488,5.0273400651832726e-05,3.834564631107635e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0014993170613369,100.14993170613369,2423628347288435.0,1562338934615685.8,1261889139497284.5,0.010961052636104,0.007065802525753,0.0057069943477236,0.0060625646652687,0.0039080995362889,0.0031565419331563
3,3,2.25,0.02,115,1,100000.0,,100000.0,100.0,115.0,0.1147725882381692,0.1005702964440189,0.0968018470930474,-1.340785394732229e-05,-3.852202934794369e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0019892181737744,100.19892181737742,2424813907980533.0,1563103180351087.8,1262506414898955.5,0.0113714426666199,0.0073303514710442,0.0059206684958433,0.0066039383486879,0.004257084224774,0.0034384141815482
4,4,2.25,0.02,120,1,100000.0,,100000.0,100.0,120.0,0.119778654104651,0.1022829321699428,0.0970002697194234,-5.076247060688866e-05,0.0001482566727009,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001852599715204,100.1852599715204,2424483291310794.5,1562890055555718.5,1262334275641157.0,0.0117583751914942,0.0075797790490625,0.006122129231935,0.0072514795115739,0.0046745074537418,0.0037755637126376
5,5,2.25,0.02,125,1,100000.0,,100000.0,100.0,125.0,0.1247961289114655,0.1026433090068685,0.0927705096805892,1.1404784511249814e-06,5.802344693527968e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001634699679467,100.16346996794668,2423955973224309.0,1562550131499968.2,1262059721596128.2,0.0122429762398578,0.0078921665017265,0.0063744421744714,0.0076221432710963,0.0049134477284753,0.0039685539345376
6,6,2.25,0.02,130,1,100000.0,,100000.0,100.0,130.0,0.1256498068154377,0.0966846757641857,0.0894133936988385,-0.000108550777778,-2.187176049945592e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.048402060500771,104.84020605007709,2537132986411865.0,1635507214381202.5,1320986596230971.2,0.0127150536943002,0.0081964808938464,0.0066202345681067,0.008032741720799,0.0051781310266307,0.0041823365984326
7,7,2.25,0.02,135,1,100000.0,,100000.0,100.0,135.0,0.1347010916914939,0.1000566127094911,0.0905739795292999,-6.039012990626594e-05,-1.4707126759611756e-05,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.002224529544405,100.22245295444048,2425383361497460.0,1563470266089271.5,1262802907225950.0,0.013219797179326,0.0085218527271689,0.006883034895021,0.0084039595845943,0.0054174284925484,0.0043756153209044
8,8,2.25,0.02,140,1,100000.0,,100000.0,100.0,140.0,0.1397694839777102,0.0938148957704056,0.0895659617824357,5.243107370239571e-05,-8.132280541161025e-05,2419065967918995.5,1560000000000000.0,1260000000000000.0,1.0016504515337523,100.16504515337525,2423058519055996.0,1562574704392654.0,1262079568932528.0,0.0137817210182986,0.0088875148812253,0.0071783774040666,0.0088077493261253,0.0056799149469145,0.0045876236109694
9,9,2.25,0.02,145,1,100000.0,,100000.0,100.0,145.0,0.1444958560000628,0.09290634380965,0.0876012642094858,-4.870624214293006e-05,6.0689532160773206e-05,2410218671546599.5,1560000000000000.0,1260000000000000.0,1.0035006249922651,100.35006249922652,2418655943265039.5,1565460974987933.8,1264410787490254.0,0.014227880294938,0.0092089126692645,0.007437967925175,0.0091454822060491,0.005919360101995,0.0047810216208422
