,Simulation Number,ExitSlit.openingHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
10,10,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,131.0,0.0655,50.0,0.0010070726380178,0.027894417599083,0.0019949945658111,0.0188096023397743,9.65254677049079e-06,2614727250.0,49.648851644320125,3.251999782702968,129818205325.61116,5.3915796908186604e-09,1.527088796481781e-09
11,11,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,166.0,0.083,50.0,0.0005181945516739,0.0260231247697601,0.0018862314579103,0.0176195469084196,6.907018036109036e-05,3313318500.0,96.48885701033954,8.008575131858183,319698314976.2127,6.832078081495401e-09,1.9350896199692803e-09
12,12,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,170.0,0.0849999999999999,50.0,0.0001665431838091,0.0256070523830534,0.0017422613637717,0.0172354420638268,1.277080746167408e-05,3393157499.9999995,300.22243394419786,25.51890688525681,1018702003406.0092,6.996706469001313e-09,1.981718285510708e-09
13,13,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,174.0,0.087,50.0,0.0039210593701071,0.0235841969609804,0.0018200031529213,0.0178475683973507,-1.848856508312767e-05,3472996499.9999995,12.751655937980376,1.1093940666042923,44286456441.81006,7.161334856507226e-09,2.0283469510521367e-09
14,14,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,160.0,0.08,50.0,0.0006297459415165,0.041235927079606,0.0018662507076313,0.0190264118470511,2.797376465754858e-07,3193560000.0,79.39709762891148,6.351767810312918,253559395103.78653,6.585135500236531e-09,1.865146621657137e-09
15,15,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,141.0,0.0705,50.0,0.0009766932164367,0.0181389696450619,0.0018028335545151,0.0156177866612612,3.842462831840867e-05,2814324750.0000005,51.19314761129616,3.609116906596379,144074142352.87418,5.803150659583443e-09,1.6436604603353523e-09
16,16,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,162.0,0.0809999999999999,50.0,0.0004699875193026,0.0219232654555165,0.0017525568268627,0.0157175365727035,7.218172479079923e-05,3233479499.9999995,106.38580376388045,8.617250104874314,343996315561.5301,6.667449693989486e-09,1.8884609544278513e-09
17,17,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,148.0,0.074,50.0,0.0004614183413949,0.0366986869466875,0.0018035681773233,0.0191947891501156,1.5090762452898428e-05,2954043000.0,108.36153554027808,8.018753629980578,320104635532.00964,6.091250337718791e-09,1.725260625032852e-09
18,18,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,161.0,0.0805,50.0,0.0005288176689148,0.0276758179642939,0.0015190415447045,0.0155359981311746,-2.296076249892266e-05,3213519750.0,94.55054726631664,7.61131905493849,303840051013.61707,6.626292597113009e-09,1.876803788042494e-09
19,19,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,174.0,0.087,50.0,0.000550332185611,0.0233599810032566,0.0018593209037912,0.0153358649289521,2.291402787073848e-05,3472996499.9999995,90.85421733871848,7.904316908468508,315536378827.6086,7.161334856507226e-09,2.0283469510521367e-09
20,20,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,172.0,0.086,50.0,0.0003379478660718,0.0277424108172294,0.0017871336662697,0.0179291894769654,-6.43527686878939e-06,3433076999.9999995,147.95181452444604,12.723856049102356,507929971552.1416,7.079020662754269e-09,2.005032618281422e-09
21,21,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,147.0,0.0735,50.0,0.0104278270212674,0.0082466329854413,0.0018546036172882,0.0168758045897605,-8.583491206197592e-05,2934083250.0,4.79486281255199,0.3524224167225712,14068526664.356684,6.050093240842313e-09,1.7136034586474944e-09
22,22,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,172.0,0.086,50.0,0.0006866312816384,0.0259655118583255,0.0016778799614822,0.0184914511215396,-2.394723270303374e-05,3433076999.9999995,72.81928647452067,6.262458636808777,249994217552.08795,7.079020662754269e-09,2.005032618281422e-09
23,23,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,165.0,0.0825,50.0,0.0006672518780135,0.0212412876670201,0.0020376713372499,0.0196915693850292,-7.979663368840747e-06,3293358750.0,74.93422146499542,6.182073270862122,246785273936.1804,6.790920984618922e-09,1.9234324535839228e-09
24,24,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,158.0,0.079,50.0,0.0008495795894347,0.0217266470184716,0.0017524940182619,0.0187142570308008,2.275805257038585e-05,3153640500.0,58.85263796563827,4.649358399285424,185600062620.27448,6.5028213064835745e-09,1.8418322888864227e-09
25,25,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,177.0,0.0885,50.0,0.0011593639259075,0.0322266338717093,0.001404202902774,0.0168554793749328,6.160333012151773e-05,3532875750.0000005,43.12709657656492,3.816748047025996,152362673663.25424,7.284806147136664e-09,2.063318450208208e-09
26,26,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3991950000000.0,150.0,0.075,50.0,0.0006780256400276,0.0262608795774692,0.0011425337928045,0.0165061471221635,3.458420709803551e-05,2993962500.0,73.74352391446985,5.530764293585238,220785345217.776,6.173564531471747e-09,1.748574957803566e-09
27,27,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,194.0,0.097,50.0,0.0005124947862071,0.0244335460384036,0.001593289470066,0.0176882060471918,-1.7317848327911115e-06,3872191500.0,97.56196813246532,9.463510908849136,377778623725.8031,7.984476794036794e-09,2.261490278759279e-09
