Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,2.25,0.02,100,100000.0,17.15,2.43,0.81
1,2.25,0.02,105,100000.0,17.15,2.43,0.81
2,2.25,0.02,110,100000.0,17.15,2.43,0.81
3,2.25,0.02,115,100000.0,17.15,2.43,0.81
4,2.25,0.02,120,100000.0,17.15,2.43,0.81
5,2.25,0.02,125,100000.0,17.15,2.43,0.81
6,2.25,0.02,130,100000.0,17.15,2.43,0.81
7,2.25,0.02,135,100000.0,17.15,2.43,0.81
8,2.25,0.02,140,100000.0,17.15,2.43,0.81
9,2.25,0.02,145,100000.0,17.15,2.43,0.81
10,2.25,0.02,150,100000.0,17.15,2.43,0.81
11,2.25,0.02,155,100000.0,17.15,2.43,0.81
12,2.25,0.02,160,100000.0,17.15,2.43,0.81
13,2.25,0.02,165,100000.0,17.15,2.43,0.81
14,2.25,0.02,170,100000.0,17.15,2.43,0.81
15,2.25,0.02,175,100000.0,17.15,2.43,0.81
16,2.25,0.02,180,100000.0,17.15,2.43,0.81
17,2.25,0.02,185,100000.0,17.15,2.43,0.81
18,2.25,0.02,190,100000.0,17.15,2.43,0.81
19,2.25,0.02,195,100000.0,17.15,2.43,0.81
20,2.25,0.02,200,100000.0,17.15,2.43,0.81
21,2.25,0.02,205,100000.0,17.15,2.43,0.81
22,2.25,0.02,210,100000.0,17.15,2.43,0.81
23,2.25,0.02,215,100000.0,17.15,2.43,0.81
24,2.25,0.02,220,100000.0,17.15,2.43,0.81
25,2.25,0.02,225,100000.0,17.15,2.43,0.81
26,2.25,0.02,230,100000.0,17.15,2.43,0.81
27,2.25,0.02,235,100000.0,17.15,2.43,0.81
28,2.25,0.02,240,100000.0,17.15,2.43,0.81
29,2.25,0.02,245,100000.0,17.15,2.43,0.81
30,2.25,0.02,250,100000.0,17.15,2.43,0.81
31,2.25,0.02,255,100000.0,17.15,2.43,0.81
32,2.25,0.02,260,100000.0,17.15,2.43,0.81
33,2.25,0.02,265,100000.0,17.15,2.43,0.81
34,2.25,0.02,270,100000.0,17.15,2.43,0.81
35,2.25,0.02,275,100000.0,17.15,2.43,0.81
36,2.25,0.02,280,100000.0,17.15,2.43,0.81
37,2.25,0.02,285,100000.0,17.15,2.43,0.81
38,2.25,0.02,290,100000.0,17.15,2.43,0.81
39,2.25,0.02,295,100000.0,17.15,2.43,0.81
40,2.25,0.02,300,100000.0,17.15,2.43,0.81
41,2.25,0.02,305,100000.0,17.15,2.43,0.81
42,2.25,0.02,310,100000.0,17.15,2.43,0.81
43,2.25,0.02,315,100000.0,17.15,2.43,0.81
44,2.25,0.02,320,100000.0,17.15,2.43,0.81
45,2.25,0.02,325,100000.0,17.15,2.43,0.81
46,2.25,0.02,330,100000.0,17.15,2.43,0.81
47,2.25,0.02,335,100000.0,17.15,2.43,0.81
48,2.25,0.02,340,100000.0,17.15,2.43,0.81
49,2.25,0.02,345,100000.0,17.15,2.43,0.81
50,2.25,0.02,350,100000.0,17.15,2.43,0.81
51,2.25,0.02,355,100000.0,17.15,2.43,0.81
52,2.25,0.02,360,100000.0,17.15,2.43,0.81
53,2.25,0.02,365,100000.0,17.15,2.43,0.81
54,2.25,0.02,370,100000.0,17.15,2.43,0.81
55,2.25,0.02,375,100000.0,17.15,2.43,0.81
56,2.25,0.02,380,100000.0,17.15,2.43,0.81
57,2.25,0.02,385,100000.0,17.15,2.43,0.81
58,2.25,0.02,390,100000.0,17.15,2.43,0.81
59,2.25,0.02,395,100000.0,17.15,2.43,0.81
60,2.25,0.02,400,100000.0,17.15,2.43,0.81
61,2.25,0.02,405,100000.0,17.15,2.43,0.81
62,2.25,0.02,410,100000.0,17.15,2.43,0.81
63,2.25,0.02,415,100000.0,17.15,2.43,0.81
64,2.25,0.02,420,100000.0,17.15,2.43,0.81
65,2.25,0.02,425,100000.0,17.15,2.43,0.81
66,2.25,0.02,430,100000.0,17.15,2.43,0.81
67,2.25,0.02,435,100000.0,17.15,2.43,0.81
68,2.25,0.02,440,100000.0,17.15,2.43,0.81
69,2.25,0.02,445,100000.0,17.15,2.43,0.81
70,2.25,0.02,450,100000.0,17.15,2.43,0.81
71,2.25,0.02,455,100000.0,17.15,2.43,0.81
72,2.25,0.02,460,100000.0,17.15,2.43,0.81
73,2.25,0.02,465,100000.0,17.15,2.43,0.81
74,2.25,0.02,470,100000.0,17.15,2.43,0.81
75,2.25,0.02,475,100000.0,17.15,2.43,0.81
76,2.25,0.02,480,100000.0,17.15,2.43,0.81
77,2.25,0.02,485,100000.0,17.15,2.43,0.81
78,2.25,0.02,490,100000.0,17.15,2.43,0.81
79,2.25,0.02,495,100000.0,17.15,2.43,0.81
80,2.25,0.02,500,100000.0,17.15,2.43,0.81
81,2.25,0.02,505,100000.0,17.15,2.43,0.81
82,2.25,0.02,510,100000.0,17.15,2.43,0.81
83,2.25,0.02,515,100000.0,17.15,2.43,0.81
84,2.25,0.02,520,100000.0,17.15,2.43,0.81
85,2.25,0.02,525,100000.0,17.15,2.43,0.81
86,2.25,0.02,530,100000.0,17.15,2.43,0.81
87,2.25,0.02,535,100000.0,17.15,2.43,0.81
88,2.25,0.02,540,100000.0,17.15,2.43,0.81
89,2.25,0.02,545,100000.0,17.15,2.43,0.81
90,2.25,0.02,550,100000.0,17.15,2.43,0.81
