Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
91,2.25,0.02,555,100000.0,17.15,2.43,0.81
92,2.25,0.02,560,100000.0,17.15,2.43,0.81
93,2.25,0.02,565,100000.0,17.15,2.43,0.81
94,2.25,0.02,570,100000.0,17.15,2.43,0.81
95,2.25,0.02,575,100000.0,17.15,2.43,0.81
96,2.25,0.02,580,100000.0,17.15,2.43,0.81
97,2.25,0.02,585,100000.0,17.15,2.43,0.81
98,2.25,0.02,590,100000.0,17.15,2.43,0.81
99,2.25,0.02,595,100000.0,17.15,2.43,0.81
100,2.25,0.02,600,100000.0,17.15,2.43,0.81
101,2.25,0.02,605,100000.0,17.15,2.43,0.81
102,2.25,0.02,610,100000.0,17.15,2.43,0.81
103,2.25,0.02,615,100000.0,17.15,2.43,0.81
104,2.25,0.02,620,100000.0,17.15,2.43,0.81
105,2.25,0.02,625,100000.0,17.15,2.43,0.81
106,2.25,0.02,630,100000.0,17.15,2.43,0.81
107,2.25,0.02,635,100000.0,17.15,2.43,0.81
108,2.25,0.02,640,100000.0,17.15,2.43,0.81
109,2.25,0.02,645,100000.0,17.15,2.43,0.81
110,2.25,0.02,650,100000.0,17.15,2.43,0.81
111,2.25,0.02,655,100000.0,17.15,2.43,0.81
112,2.25,0.02,660,100000.0,17.15,2.43,0.81
113,2.25,0.02,665,100000.0,17.15,2.43,0.81
114,2.25,0.02,670,100000.0,17.15,2.43,0.81
115,2.25,0.02,675,100000.0,17.15,2.43,0.81
116,2.25,0.02,680,100000.0,17.15,2.43,0.81
117,2.25,0.02,685,100000.0,17.15,2.43,0.81
118,2.25,0.02,690,100000.0,17.15,2.43,0.81
119,2.25,0.02,695,100000.0,17.15,2.43,0.81
120,2.25,0.02,700,100000.0,17.15,2.43,0.81
121,2.25,0.02,705,100000.0,17.15,2.43,0.81
122,2.25,0.02,710,100000.0,17.15,2.43,0.81
123,2.25,0.02,715,100000.0,17.15,2.43,0.81
124,2.25,0.02,720,100000.0,17.15,2.43,0.81
125,2.25,0.02,725,100000.0,17.15,2.43,0.81
126,2.25,0.02,730,100000.0,17.15,2.43,0.81
127,2.25,0.02,735,100000.0,17.15,2.43,0.81
128,2.25,0.02,740,100000.0,17.15,2.43,0.81
129,2.25,0.02,745,100000.0,17.15,2.43,0.81
130,2.25,0.02,750,100000.0,17.15,2.43,0.81
131,2.25,0.02,755,100000.0,17.15,2.43,0.81
132,2.25,0.02,760,100000.0,17.15,2.43,0.81
133,2.25,0.02,765,100000.0,17.15,2.43,0.81
134,2.25,0.02,770,100000.0,17.15,2.43,0.81
135,2.25,0.02,775,100000.0,17.15,2.43,0.81
136,2.25,0.02,780,100000.0,17.15,2.43,0.81
137,2.25,0.02,785,100000.0,17.15,2.43,0.81
138,2.25,0.02,790,100000.0,17.15,2.43,0.81
139,2.25,0.02,795,100000.0,17.15,2.43,0.81
140,2.25,0.02,800,100000.0,17.15,2.43,0.81
141,2.25,0.02,805,100000.0,17.15,2.43,0.81
142,2.25,0.02,810,100000.0,17.15,2.43,0.81
143,2.25,0.02,815,100000.0,17.15,2.43,0.81
144,2.25,0.02,820,100000.0,17.15,2.43,0.81
145,2.25,0.02,825,100000.0,17.15,2.43,0.81
146,2.25,0.02,830,100000.0,17.15,2.43,0.81
147,2.25,0.02,835,100000.0,17.15,2.43,0.81
148,2.25,0.02,840,100000.0,17.15,2.43,0.81
149,2.25,0.02,845,100000.0,17.15,2.43,0.81
150,2.25,0.02,850,100000.0,17.15,2.43,0.81
151,2.25,0.02,855,100000.0,17.15,2.43,0.81
152,2.25,0.02,860,100000.0,17.15,2.43,0.81
153,2.25,0.02,865,100000.0,17.15,2.43,0.81
154,2.25,0.02,870,100000.0,17.15,2.43,0.81
155,2.25,0.02,875,100000.0,17.15,2.43,0.81
156,2.25,0.02,880,100000.0,17.15,2.43,0.81
157,2.25,0.02,885,100000.0,17.15,2.43,0.81
158,2.25,0.02,890,100000.0,17.15,2.43,0.81
159,2.25,0.02,895,100000.0,17.15,2.43,0.81
160,2.25,0.02,900,100000.0,17.15,2.43,0.81
161,2.25,0.02,905,100000.0,17.15,2.43,0.81
162,2.25,0.02,910,100000.0,17.15,2.43,0.81
163,2.25,0.02,915,100000.0,17.15,2.43,0.81
164,2.25,0.02,920,100000.0,17.15,2.43,0.81
165,2.25,0.02,925,100000.0,17.15,2.43,0.81
166,2.25,0.02,930,100000.0,17.15,2.43,0.81
167,2.25,0.02,935,100000.0,17.15,2.43,0.81
168,2.25,0.02,940,100000.0,17.15,2.43,0.81
169,2.25,0.02,945,100000.0,17.15,2.43,0.81
170,2.25,0.02,950,100000.0,17.15,2.43,0.81
171,2.25,0.02,955,100000.0,17.15,2.43,0.81
172,2.25,0.02,960,100000.0,17.15,2.43,0.81
173,2.25,0.02,965,100000.0,17.15,2.43,0.81
174,2.25,0.02,970,100000.0,17.15,2.43,0.81
175,2.25,0.02,975,100000.0,17.15,2.43,0.81
176,2.25,0.02,980,100000.0,17.15,2.43,0.81
177,2.25,0.02,985,100000.0,17.15,2.43,0.81
178,2.25,0.02,990,100000.0,17.15,2.43,0.81
179,2.25,0.02,995,100000.0,17.15,2.43,0.81
180,2.25,0.02,1000,100000.0,17.15,2.43,0.81
181,2.25,0.02,1005,100000.0,17.15,2.43,0.81
182,2.25,0.02,1010,100000.0,17.15,2.43,0.81
183,2.25,0.02,1015,100000.0,17.15,2.43,0.81
184,2.25,0.02,1020,100000.0,17.15,2.43,0.81
185,2.25,0.02,1025,100000.0,17.15,2.43,0.81
186,2.25,0.02,1030,100000.0,17.15,2.43,0.81
187,2.25,0.02,1035,100000.0,17.15,2.43,0.81
188,2.25,0.02,1040,100000.0,17.15,2.43,0.81
189,2.25,0.02,1045,100000.0,17.15,2.43,0.81
190,2.25,0.02,1050,100000.0,17.15,2.43,0.81
191,2.25,0.02,1055,100000.0,17.15,2.43,0.81
192,2.25,0.02,1060,100000.0,17.15,2.43,0.81
193,2.25,0.02,1065,100000.0,17.15,2.43,0.81
194,2.25,0.02,1070,100000.0,17.15,2.43,0.81
195,2.25,0.02,1075,100000.0,17.15,2.43,0.81
196,2.25,0.02,1080,100000.0,17.15,2.43,0.81
197,2.25,0.02,1085,100000.0,17.15,2.43,0.81
198,2.25,0.02,1090,100000.0,17.15,2.43,0.81
199,2.25,0.02,1095,100000.0,17.15,2.43,0.81
200,2.25,0.02,1100,100000.0,17.15,2.43,0.81
201,2.25,0.02,1105,100000.0,17.15,2.43,0.81
202,2.25,0.02,1110,100000.0,17.15,2.43,0.81
203,2.25,0.02,1115,100000.0,17.15,2.43,0.81
204,2.25,0.02,1120,100000.0,17.15,2.43,0.81
205,2.25,0.02,1125,100000.0,17.15,2.43,0.81
206,2.25,0.02,1130,100000.0,17.15,2.43,0.81
207,2.25,0.02,1135,100000.0,17.15,2.43,0.81
208,2.25,0.02,1140,100000.0,17.15,2.43,0.81
209,2.25,0.02,1145,100000.0,17.15,2.43,0.81
210,2.25,0.02,1150,100000.0,17.15,2.43,0.81
211,2.25,0.02,1155,100000.0,17.15,2.43,0.81
212,2.25,0.02,1160,100000.0,17.15,2.43,0.81
213,2.25,0.02,1165,100000.0,17.15,2.43,0.81
214,2.25,0.02,1170,100000.0,17.15,2.43,0.81
215,2.25,0.02,1175,100000.0,17.15,2.43,0.81
216,2.25,0.02,1180,100000.0,17.15,2.43,0.81
217,2.25,0.02,1185,100000.0,17.15,2.43,0.81
218,2.25,0.02,1190,100000.0,17.15,2.43,0.81
219,2.25,0.02,1195,100000.0,17.15,2.43,0.81
220,2.25,0.02,1200,100000.0,17.15,2.43,0.81
221,2.25,0.02,1205,100000.0,17.15,2.43,0.81
222,2.25,0.02,1210,100000.0,17.15,2.43,0.81
223,2.25,0.02,1215,100000.0,17.15,2.43,0.81
224,2.25,0.02,1220,100000.0,17.15,2.43,0.81
225,2.25,0.02,1225,100000.0,17.15,2.43,0.81
226,2.25,0.02,1230,100000.0,17.15,2.43,0.81
227,2.25,0.02,1235,100000.0,17.15,2.43,0.81
228,2.25,0.02,1240,100000.0,17.15,2.43,0.81
229,2.25,0.02,1245,100000.0,17.15,2.43,0.81
230,2.25,0.02,1250,100000.0,17.15,2.43,0.81
231,2.25,0.02,1255,100000.0,17.15,2.43,0.81
232,2.25,0.02,1260,100000.0,17.15,2.43,0.81
233,2.25,0.02,1265,100000.0,17.15,2.43,0.81
234,2.25,0.02,1270,100000.0,17.15,2.43,0.81
235,2.25,0.02,1275,100000.0,17.15,2.43,0.81
236,2.25,0.02,1280,100000.0,17.15,2.43,0.81
237,2.25,0.02,1285,100000.0,17.15,2.43,0.81
238,2.25,0.02,1290,100000.0,17.15,2.43,0.81
239,2.25,0.02,1295,100000.0,17.15,2.43,0.81
240,2.25,0.02,1300,100000.0,17.15,2.43,0.81
241,2.25,0.02,1305,100000.0,17.15,2.43,0.81
242,2.25,0.02,1310,100000.0,17.15,2.43,0.81
243,2.25,0.02,1315,100000.0,17.15,2.43,0.81
244,2.25,0.02,1320,100000.0,17.15,2.43,0.81
245,2.25,0.02,1325,100000.0,17.15,2.43,0.81
246,2.25,0.02,1330,100000.0,17.15,2.43,0.81
247,2.25,0.02,1335,100000.0,17.15,2.43,0.81
248,2.25,0.02,1340,100000.0,17.15,2.43,0.81
249,2.25,0.02,1345,100000.0,17.15,2.43,0.81
250,2.25,0.02,1350,100000.0,17.15,2.43,0.81
251,2.25,0.02,1355,100000.0,17.15,2.43,0.81
252,2.25,0.02,1360,100000.0,17.15,2.43,0.81
253,2.25,0.02,1365,100000.0,17.15,2.43,0.81
254,2.25,0.02,1370,100000.0,17.15,2.43,0.81
255,2.25,0.02,1375,100000.0,17.15,2.43,0.81
256,2.25,0.02,1380,100000.0,17.15,2.43,0.81
257,2.25,0.02,1385,100000.0,17.15,2.43,0.81
258,2.25,0.02,1390,100000.0,17.15,2.43,0.81
259,2.25,0.02,1395,100000.0,17.15,2.43,0.81
260,2.25,0.02,1400,100000.0,17.15,2.43,0.81
261,2.25,0.02,1405,100000.0,17.15,2.43,0.81
262,2.25,0.02,1410,100000.0,17.15,2.43,0.81
263,2.25,0.02,1415,100000.0,17.15,2.43,0.81
264,2.25,0.02,1420,100000.0,17.15,2.43,0.81
265,2.25,0.02,1425,100000.0,17.15,2.43,0.81
266,2.25,0.02,1430,100000.0,17.15,2.43,0.81
267,2.25,0.02,1435,100000.0,17.15,2.43,0.81
268,2.25,0.02,1440,100000.0,17.15,2.43,0.81
269,2.25,0.02,1445,100000.0,17.15,2.43,0.81
270,2.25,0.02,1450,100000.0,17.15,2.43,0.81
271,2.25,0.02,1455,100000.0,17.15,2.43,0.81
272,2.25,0.02,1460,100000.0,17.15,2.43,0.81
273,2.25,0.02,1465,100000.0,17.15,2.43,0.81
274,2.25,0.02,1470,100000.0,17.15,2.43,0.81
275,2.25,0.02,1475,100000.0,17.15,2.43,0.81
276,2.25,0.02,1480,100000.0,17.15,2.43,0.81
277,2.25,0.02,1485,100000.0,17.15,2.43,0.81
278,2.25,0.02,1490,100000.0,17.15,2.43,0.81
279,2.25,0.02,1495,100000.0,17.15,2.43,0.81
280,2.25,0.02,1500,100000.0,17.15,2.43,0.81
281,2.25,0.02,1505,100000.0,17.15,2.43,0.81
282,2.25,0.02,1510,100000.0,17.15,2.43,0.81
283,2.25,0.02,1515,100000.0,17.15,2.43,0.81
284,2.25,0.02,1520,100000.0,17.15,2.43,0.81
285,2.25,0.02,1525,100000.0,17.15,2.43,0.81
286,2.25,0.02,1530,100000.0,17.15,2.43,0.81
287,2.25,0.02,1535,100000.0,17.15,2.43,0.81
288,2.25,0.02,1540,100000.0,17.15,2.43,0.81
289,2.25,0.02,1545,100000.0,17.15,2.43,0.81
290,2.25,0.02,1550,100000.0,17.15,2.43,0.81
291,2.25,0.02,1555,100000.0,17.15,2.43,0.81
292,2.25,0.02,1560,100000.0,17.15,2.43,0.81
293,2.25,0.02,1565,100000.0,17.15,2.43,0.81
294,2.25,0.02,1570,100000.0,17.15,2.43,0.81
295,2.25,0.02,1575,100000.0,17.15,2.43,0.81
296,2.25,0.02,1580,100000.0,17.15,2.43,0.81
297,2.25,0.02,1585,100000.0,17.15,2.43,0.81
298,2.25,0.02,1590,100000.0,17.15,2.43,0.81
299,2.25,0.02,1595,100000.0,17.15,2.43,0.81
300,2.25,0.02,1600,100000.0,17.15,2.43,0.81
301,2.25,0.02,1605,100000.0,17.15,2.43,0.81
302,2.25,0.02,1610,100000.0,17.15,2.43,0.81
303,2.25,0.02,1615,100000.0,17.15,2.43,0.81
304,2.25,0.02,1620,100000.0,17.15,2.43,0.81
305,2.25,0.02,1625,100000.0,17.15,2.43,0.81
306,2.25,0.02,1630,100000.0,17.15,2.43,0.81
307,2.25,0.02,1635,100000.0,17.15,2.43,0.81
308,2.25,0.02,1640,100000.0,17.15,2.43,0.81
309,2.25,0.02,1645,100000.0,17.15,2.43,0.81
310,2.25,0.02,1650,100000.0,17.15,2.43,0.81
311,2.25,0.02,1655,100000.0,17.15,2.43,0.81
312,2.25,0.02,1660,100000.0,17.15,2.43,0.81
313,2.25,0.02,1665,100000.0,17.15,2.43,0.81
314,2.25,0.02,1670,100000.0,17.15,2.43,0.81
315,2.25,0.02,1675,100000.0,17.15,2.43,0.81
316,2.25,0.02,1680,100000.0,17.15,2.43,0.81
317,2.25,0.02,1685,100000.0,17.15,2.43,0.81
318,2.25,0.02,1690,100000.0,17.15,2.43,0.81
319,2.25,0.02,1695,100000.0,17.15,2.43,0.81
320,2.25,0.02,1700,100000.0,17.15,2.43,0.81
321,2.25,0.02,1705,100000.0,17.15,2.43,0.81
322,2.25,0.02,1710,100000.0,17.15,2.43,0.81
323,2.25,0.02,1715,100000.0,17.15,2.43,0.81
324,2.25,0.02,1720,100000.0,17.15,2.43,0.81
325,2.25,0.02,1725,100000.0,17.15,2.43,0.81
326,2.25,0.02,1730,100000.0,17.15,2.43,0.81
327,2.25,0.02,1735,100000.0,17.15,2.43,0.81
328,2.25,0.02,1740,100000.0,17.15,2.43,0.81
329,2.25,0.02,1745,100000.0,17.15,2.43,0.81
330,2.25,0.02,1750,100000.0,17.15,2.43,0.81
331,2.25,0.02,1755,100000.0,17.15,2.43,0.81
332,2.25,0.02,1760,100000.0,17.15,2.43,0.81
333,2.25,0.02,1765,100000.0,17.15,2.43,0.81
334,2.25,0.02,1770,100000.0,17.15,2.43,0.81
335,2.25,0.02,1775,100000.0,17.15,2.43,0.81
336,2.25,0.02,1780,100000.0,17.15,2.43,0.81
337,2.25,0.02,1785,100000.0,17.15,2.43,0.81
338,2.25,0.02,1790,100000.0,17.15,2.43,0.81
339,2.25,0.02,1795,100000.0,17.15,2.43,0.81
340,2.25,0.02,1800,100000.0,17.15,2.43,0.81
341,2.25,0.02,1805,100000.0,17.15,2.43,0.81
342,2.25,0.02,1810,100000.0,17.15,2.43,0.81
343,2.25,0.02,1815,100000.0,17.15,2.43,0.81
344,2.25,0.02,1820,100000.0,17.15,2.43,0.81
345,2.25,0.02,1825,100000.0,17.15,2.43,0.81
346,2.25,0.02,1830,100000.0,17.15,2.43,0.81
347,2.25,0.02,1835,100000.0,17.15,2.43,0.81
348,2.25,0.02,1840,100000.0,17.15,2.43,0.81
349,2.25,0.02,1845,100000.0,17.15,2.43,0.81
350,2.25,0.02,1850,100000.0,17.15,2.43,0.81
351,2.25,0.02,1855,100000.0,17.15,2.43,0.81
352,2.25,0.02,1860,100000.0,17.15,2.43,0.81
353,2.25,0.02,1865,100000.0,17.15,2.43,0.81
354,2.25,0.02,1870,100000.0,17.15,2.43,0.81
355,2.25,0.02,1875,100000.0,17.15,2.43,0.81
356,2.25,0.02,1880,100000.0,17.15,2.43,0.81
357,2.25,0.02,1885,100000.0,17.15,2.43,0.81
358,2.25,0.02,1890,100000.0,17.15,2.43,0.81
359,2.25,0.02,1895,100000.0,17.15,2.43,0.81
360,2.25,0.02,1900,100000.0,17.15,2.43,0.81
361,2.25,0.02,1905,100000.0,17.15,2.43,0.81
362,2.25,0.02,1910,100000.0,17.15,2.43,0.81
363,2.25,0.02,1915,100000.0,17.15,2.43,0.81
364,2.25,0.02,1920,100000.0,17.15,2.43,0.81
365,2.25,0.02,1925,100000.0,17.15,2.43,0.81
366,2.25,0.02,1930,100000.0,17.15,2.43,0.81
367,2.25,0.02,1935,100000.0,17.15,2.43,0.81
368,2.25,0.02,1940,100000.0,17.15,2.43,0.81
369,2.25,0.02,1945,100000.0,17.15,2.43,0.81
370,2.25,0.02,1950,100000.0,17.15,2.43,0.81
371,2.25,0.02,1955,100000.0,17.15,2.43,0.81
372,2.25,0.02,1960,100000.0,17.15,2.43,0.81
373,2.25,0.02,1965,100000.0,17.15,2.43,0.81
374,2.25,0.02,1970,100000.0,17.15,2.43,0.81
375,2.25,0.02,1975,100000.0,17.15,2.43,0.81
376,2.25,0.02,1980,100000.0,17.15,2.43,0.81
377,2.25,0.02,1985,100000.0,17.15,2.43,0.81
378,2.25,0.02,1990,100000.0,17.15,2.43,0.81
379,2.25,0.02,1995,100000.0,17.15,2.43,0.81
380,2.25,0.02,2000,100000.0,17.15,2.43,0.81
381,2.25,0.02,2005,100000.0,17.15,2.43,0.81
382,2.25,0.02,2010,100000.0,17.15,2.43,0.81
383,2.25,0.02,2015,100000.0,17.15,2.43,0.81
384,2.25,0.02,2020,100000.0,17.15,2.43,0.81
385,2.25,0.02,2025,100000.0,17.15,2.43,0.81
386,2.25,0.02,2030,100000.0,17.15,2.43,0.81
387,2.25,0.02,2035,100000.0,17.15,2.43,0.81
388,2.25,0.02,2040,100000.0,17.15,2.43,0.81
389,2.25,0.02,2045,100000.0,17.15,2.43,0.81
390,2.25,0.02,2050,100000.0,17.15,2.43,0.81
391,2.25,0.02,2055,100000.0,17.15,2.43,0.81
392,2.25,0.02,2060,100000.0,17.15,2.43,0.81
393,2.25,0.02,2065,100000.0,17.15,2.43,0.81
394,2.25,0.02,2070,100000.0,17.15,2.43,0.81
395,2.25,0.02,2075,100000.0,17.15,2.43,0.81
396,2.25,0.02,2080,100000.0,17.15,2.43,0.81
397,2.25,0.02,2085,100000.0,17.15,2.43,0.81
398,2.25,0.02,2090,100000.0,17.15,2.43,0.81
399,2.25,0.02,2095,100000.0,17.15,2.43,0.81
400,2.25,0.02,2100,100000.0,17.15,2.43,0.81
