,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,100000.0,17.15,2.43,0.81,,746.3,0.7463,100.0,0.0038314382603686,0.0044464578403702,0.0429901241422322,1.4016157889657363e-05,3.9177182930142886e-06,18060460000000.0,11642280000000.0,9403380000000.0,26.57928016770425,19.866589780147223,480771472679562.9,309918800570296.75,250319031229855.1,7.473035461517925e-05,4.8173286446148615e-05,3.890919289881234e-05,3.5958388085851944e-05,2.3179787361127705e-05,1.872213594552622e-05
1,1,2.25,0.02,105,100000.0,17.15,2.43,0.81,,774.0,0.7740000000000001,105.0,0.0038111104512153,0.0042197362304256,0.0421228078466796,3.358093858614153e-05,-0.0001380312563998,18730800000000.0,12074400000000.0,9752400000000.0,27.913554825722493,21.594580981837694,522588859760472.3,336875463316668.0,272091720371154.9,8.189290622184485e-05,5.2790468473585934e-05,4.263845530558864e-05,4.155792290258489e-05,2.678940484629439e-05,2.1637596222007003e-05
2,2,2.25,0.02,110,100000.0,17.15,2.43,0.81,,786.2,0.7862,110.0,0.0043043545995771,0.0043586705682921,0.0398984281612406,-8.292678207297054e-06,-0.0003474469857126,19026040000000.0,12264720000000.0,9906120000000.0,27.69054919093496,21.70515668894972,525264791872583.1,338600444347615.6,273484974280766.44,8.617579582505015e-05,5.555133945747034e-05,4.486838956180298e-05,4.766388339834308e-05,3.07254785543038e-05,2.481673267847614e-05
3,3,2.25,0.02,115,100000.0,17.15,2.43,0.81,,823.9,0.8238999999999999,115.0,0.0046817030739801,0.0045317439397725,0.0339855847579958,1.0026158964269975e-05,-5.7756399493340014e-05,19938380000000.0,12852840000000.0,10381140000000.0,24.880183145644583,20.51456240905895,496452410299226.7,320027173581319.6,258483486354142.75,9.368931613028008e-05,6.0394765769933736e-05,4.878038773725417e-05,5.440984805483999e-05,3.507411692791338e-05,2.832909444177619e-05
4,4,2.25,0.02,120,100000.0,17.15,2.43,0.81,,841.7,0.8417,120.0,0.0051275009038163,0.0043322868386376,0.0389451478265495,-2.0046722326592173e-05,-0.0004933884830001,20369140000000.0,13130520000000.0,10605420000000.0,23.71758779534716,20.001201926519077,484029086621761.6,312018750053697.6,252015144274140.3,9.897024398676952e-05,6.379900025595905e-05,5.15299617451977e-05,6.103570304891753e-05,3.934532923814518e-05,3.177891976927111e-05
5,5,2.25,0.02,125,100000.0,17.15,2.43,0.81,,849.0,0.849,125.0,0.0054236279774002,0.0042846906824328,0.0365525741312273,-2.393402675518807e-06,0.0002529345421189,20545800000000.0,13244400000000.0,10697400000000.0,23.12714342353956,19.66315824902312,475848429626359.5,306745268684760.6,247755793937691.25,0.0001039428682763,6.700449359965815e-05,5.411901406126236e-05,6.471199637160783e-05,4.171517121475547e-05,3.3693022904225565e-05
6,6,2.25,0.02,130,100000.0,17.15,2.43,0.81,,840.2,0.8402,130.0,0.0053838063351349,0.0042297230066031,0.0372376581122297,4.62768298737099e-06,0.0003698501927316,20332840000000.0,13107120000000.0,10586520000000.0,24.803688115661743,20.851624120091373,504609303706211.2,325285336273425.4,262730463913151.25,0.0001068318811394,6.886683247009804e-05,5.562321084123305e-05,6.749109593815452e-05,4.35066568857525e-05,3.5139992100030875e-05
7,7,2.25,0.02,135,100000.0,17.15,2.43,0.81,,816.5,0.8165000000000001,135.0,0.005887283924639,0.0044877743700803,0.0364920560100311,-1.506154908984135e-05,-8.552948680126999e-05,19759300000000.0,12737400000000.0,10287900000000.0,23.08097923161132,18.86226250073116,456466752517694.0,294251295011406.0,237664507509212.5,0.0001079396439691,6.958092751733421e-05,5.619997991784688e-05,6.861833000821296e-05,4.423330364165795e-05,3.5726899095185255e-05
8,8,2.25,0.02,140,100000.0,17.15,2.43,0.81,,802.4,0.8024000000000001,140.0,0.0061416585323143,0.0044368075553737,0.0367349566145842,2.8197265829695897e-05,0.0001068411533755,19410585326582.02,12517440000000.0,10110240000000.0,23.048085252872607,18.52085661339837,448031739301794.6,288925363169014.6,233362793328819.44,0.0001105845294507,7.131341940695268e-05,5.759930029023101e-05,7.067338059283027e-05,4.5575637534043085e-05,3.681109185441942e-05
9,9,2.25,0.02,145,100000.0,17.15,2.43,0.81,,750.4,0.7504,145.0,0.0069106529140526,0.004365541112003,0.0334539933308846,6.102504803535226e-06,9.622973704012948e-05,18086280911285.684,11706240000000.0,9455040000000.0,21.263723526060343,15.939446373649764,384175512638864.0,248655363428936.38,200837024307987.03,0.0001067660137331,6.910368067016097e-05,5.581451131051464e-05,6.862769847419266e-05,4.441887820537144e-05,3.5876786242800006e-05
