,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2.25,0.02,150,100000.0,17.15,2.43,0.81,,715.4,0.7154,150.0,0.0067381345131678,0.0044552078836666,0.0353345261891071,1.5929910092437944e-05,-0.0002577924134903,17241140000000.0,11160240000000.0,9014040000000.0,22.814276698192067,16.285504606562778,392480661018163.0,254053871862379.4,205197358042691.03,0.0001052161336684,6.81067089306546e-05,5.500926490552872e-05,6.830013627432338e-05,4.421087659250808e-05,3.5708784940102694e-05
11,11,2.25,0.02,155,100000.0,17.15,2.43,0.81,,673.3,0.6733,155.0,0.0069209028619183,0.0042433548727352,0.0353031727098086,-5.712748736481206e-06,-0.000191695942064,16226530000000.0,10503480000000.0,8483580000000.0,22.808021967674392,15.345033023834931,369815295874421.9,239382515171824.9,193347416100320.16,0.0001027039537985,6.648056760409028e-05,5.369584306484213e-05,6.606785720102279e-05,4.276591586456246e-05,3.454170127522353e-05
12,12,2.25,0.02,160,100000.0,17.15,2.43,0.81,,616.4,0.6164000000000001,160.0,0.0075817827164172,0.0042176943893005,0.0333447581542252,2.383928936570609e-05,2.9472412265381083e-05,14855240000000.0,9615840000000.0,7766640000000.0,21.564948234375308,13.325648464092245,321148127984623.06,207880116039839.0,167903170647562.28,9.702330790968814e-05,6.280346902038912e-05,5.072587882416044e-05,6.221412537273429e-05,4.027138405869937e-05,3.252688712433411e-05
13,13,2.25,0.02,165,100000.0,17.15,2.43,0.81,,589.2,0.5892,165.0,0.0075378885963004,0.0040886944443572,0.0311885241627484,-2.741159097222885e-05,-3.869804310590259e-05,14199720000000.0,9191520000000.0,7423920000000.0,22.31806676656472,13.130446096347864,316443750921983.6,204834959103026.7,165443620813983.1,9.541489772952785e-05,6.17623404390344e-05,4.988496727768164e-05,6.0920257243003686e-05,3.943385946020156e-05,3.185042494862433e-05
14,14,2.25,0.02,170,100000.0,17.15,2.43,0.81,,534.3,0.5343,170.0,0.0083728089791321,0.0041495659192436,0.0324718412484711,-3.218931072013396e-06,-0.0001434899915707,12855163019367.21,8335080000000.0,6732180000000.0,20.83755657380856,11.161425631231552,268541916560032.16,174118239847212.2,140633962953517.56,8.915179923468813e-05,5.7804586191987655e-05,4.668831961660541e-05,5.653155709094721e-05,3.6654148233493695e-05,2.960527357320645e-05
15,15,2.25,0.02,175,100000.0,17.15,2.43,0.81,,510.9,0.5109,175.0,0.0093971718634321,0.0041352011114022,0.0314361248731731,-8.020369841293107e-06,-0.000198275311866,12261600000000.0,7970040000000.0,6437340000000.0,18.814599551938777,9.630899637996432,231141591311914.4,150242034352744.34,121349335438755.05,8.806586323340051e-05,5.724281110171033e-05,4.623457819753527e-05,5.505227263033362e-05,3.578397720971685e-05,2.8902443130925148e-05
16,16,2.25,0.02,180,100000.0,17.15,2.43,0.81,,480.0,0.48,180.0,0.0077307902009749,0.0042407950030443,0.0305542044076803,-5.4119112837821485e-05,-8.465794838771997e-05,11520000000000.0,7488000000000.0,6048000000000.0,23.55820986366202,11.337041687614263,272089000502742.4,176857850326782.56,142846725263939.78,8.553538961085397e-05,5.559800324705508e-05,4.4906079545698336e-05,5.28307078489372e-05,3.4339960101809176e-05,2.7736121620692023e-05
17,17,2.25,0.02,185,100000.0,17.15,2.43,0.81,,456.0,0.4559999999999999,185.0,0.0089951209843945,0.0043751036180549,0.0269000906796562,1.8696136394358053e-05,-8.400941734160367e-05,10944000000000.0,7113600000000.0,5745600000000.0,21.46466970036744,9.782492387245506,234779817293892.16,152606881241029.88,123259404079293.34,8.365528897477247e-05,5.4375937833602105e-05,4.391902671175555e-05,5.11221508299642e-05,3.322939803947673e-05,2.6839129185731203e-05
18,18,2.25,0.02,190,100000.0,17.15,2.43,0.81,,436.1,0.4361,190.0,0.0092545637199492,0.0041433755651277,0.0305713745268698,-8.60994697945032e-06,-0.0004892377433507,10466400000000.0,6803160000000.0,5494860000000.0,20.875021546456537,9.139326888821168,219343845331708.0,142573499465610.2,115155518799146.7,8.229108640037453e-05,5.348920616024345e-05,4.320282036019663e-05,4.981722641078364e-05,3.238119716700937e-05,2.615404386566141e-05
19,19,2.25,0.02,195,100000.0,17.15,2.43,0.81,,421.4,0.4213999999999999,195.0,0.0097603149785129,0.0038808427673864,0.0280085727486408,-1.6768380329948226e-05,1.840463852115108e-05,10113600000000.0,6573840000000.0,5309640000000.0,20.33087992743992,8.559916721789346,205438001322944.4,133534700859913.84,107854950694545.78,8.181833112800027e-05,5.318191523320017e-05,4.2954623842200136e-05,4.898943783922555e-05,3.184313459549661e-05,2.5719454865593412e-05
20,20,2.25,0.02,200,100000.0,17.15,2.43,0.81,,415.3,0.4153,200.0,0.0104864430400567,0.0044005329158293,0.0297115405458567,-1.971876303456985e-05,0.0001632091969455,9937707435993.62,6478680000000.0,5232780000000.0,19.72775351809116,8.196671624634726,196138031674766.28,127868077344301.7,103278062470397.52,8.259690563443644e-05,5.384732082749293e-05,4.349206682220582e-05,4.900419361611901e-05,3.194725656211013e-05,2.580355337708895e-05
21,21,2.25,0.02,205,100000.0,17.15,2.43,0.81,,407.8,0.4077999999999999,205.0,0.0089611206598731,0.0038631988261641,0.0296584819649855,2.343844511755056e-05,-8.596642926391143e-05,9746420000000.0,6361680000000.0,5138280000000.0,23.814794633725302,9.697644736453942,231773709201249.2,151283257888681.47,122190323679319.62,8.313464026751643e-05,5.426361456791868e-05,4.382830407408817e-05,4.885705191026049e-05,3.1889958569040325e-05,2.575727422884026e-05
22,22,2.25,0.02,210,100000.0,17.15,2.43,0.81,,400.8,0.4008,210.0,0.0109792744039281,0.0046356811566515,0.0285740334772155,2.315419482026301e-05,-0.0001722985565004,9579120000000.0,6252480000000.0,5050080000000.0,20.09177995569041,8.041487692931954,192191555861073.7,125447208009738.5,101322744930942.62,8.38712970006678e-05,5.474444490420156e-05,4.421666703800896e-05,4.882722342290911e-05,3.187048892876076e-05,2.574154875015292e-05
23,23,2.25,0.02,215,100000.0,17.15,2.43,0.81,,389.5,0.3894999999999999,215.0,0.0111253876304004,0.0041957982053719,0.0292473997818274,6.705218159532139e-06,-0.0001637529111552,9294859134419.3,6076200000000.0,4907700000000.0,19.920291720206578,7.771795970802605,185462769627876.03,121240017144520.62,97924629232112.84,8.34481599984523e-05,5.455141411503208e-05,4.4060757554449e-05,4.828009180586538e-05,3.1561478187923827e-05,2.549196315178462e-05
24,24,2.25,0.02,220,100000.0,17.15,2.43,0.81,,391.5,0.3915,220.0,0.0110585601270457,0.0040999068451279,0.027376920526343,1.0300614746446944e-05,1.8103572358778387e-05,9317700000000.0,6107400000000.0,4932900000000.0,20.364619799293195,7.976338437837666,189836854820536.44,124430879630267.58,100501864316754.58,8.575629268577245e-05,5.6210006970506304e-05,4.540039024540894e-05,4.933785179105663e-05,3.233909613195309e-05,2.612003918350057e-05
25,25,2.25,0.02,225,100000.0,17.15,2.43,0.81,,396.6,0.3965999999999999,225.0,0.0119363836752455,0.0040733561675561,0.0286323373493655,-3.085337994759268e-06,-7.7533507852e-05,9439080000000.0,6186960000000.0,4997160000000.0,19.79293539528408,7.848624592229932,186797265295072.4,122438543638786.92,98892669862097.16,8.897372026626069e-05,5.831890908208684e-05,4.7103734258608606e-05,5.093436435110365e-05,3.33855497427402e-05,2.696525171529016e-05
26,26,2.25,0.02,230,100000.0,17.15,2.43,0.81,,408.7,0.4086999999999999,230.0,0.0122429418037739,0.004240907884676,0.0271018875104558,2.111488893178092e-05,-2.561160909228729e-05,9727060000000.0,6375720000000.0,5149620000000.0,19.81197272081045,8.086910105369288,192468460507789.03,126155797643760.88,101895067327653.05,9.382971400633698e-05,6.150182934869683e-05,4.967455447394745e-05,5.350947838619887e-05,3.507343961448328e-05,2.83285473809288e-05
27,27,2.25,0.02,235,100000.0,17.15,2.43,0.81,,407.8,0.4077999999999999,235.0,0.0109322551161226,0.004443879659096,0.0267953869065823,-5.868717713865357e-05,-4.8286819339530045e-05,9705640000000.0,6361680000000.0,5138280000000.0,23.599604116731765,9.621943759691012,229002261480646.1,150102322651179.8,121236491372106.77,9.58410903377056e-05,6.282021047345623e-05,5.073940076702235e-05,5.436206500613318e-05,3.563227790317974e-05,2.8779916767952863e-05
28,28,2.25,0.02,240,100000.0,17.15,2.43,0.81,,412.9,0.4129,240.0,0.0128962335079733,0.0042239397899679,0.0283748268680811,-1.3606104384925898e-05,0.0001420772429277,9794484253511.14,6441240000000.0,5202540000000.0,19.4214832731966,8.039068442498666,190696365398284.1,125409467702979.16,101292262375483.16,9.889676509035602e-05,6.503842189978564e-05,5.253103307290378e-05,5.5875249603582245e-05,3.674577276772471e-05,2.9679278004700733e-05
29,29,2.25,0.02,245,100000.0,17.15,2.43,0.81,,429.6,0.4295999999999999,245.0,0.0132190638048598,0.0037540777702095,0.0251694240535174,-3.645382855711613e-05,-0.0002771176184929,10181520000000.0,6701760000000.0,5412960000000.0,19.09749684345671,8.191920806613805,194148523116747.12,127793964583175.31,103218202163333.9,0.0001050424220131,6.914184740106179e-05,5.584533828547299e-05,5.909318846636022e-05,3.889678228165483e-05,3.141663184287506e-05
30,30,2.25,0.02,250,100000.0,17.15,2.43,0.81,,417.6,0.4176,250.0,0.0133103711229068,0.0044240314226498,0.0270473344903826,4.885637488853895e-05,0.0001308066091531,9897120000000.0,6514560000000.0,5261760000000.0,19.13892048808196,7.98122261505785,189154975976871.03,124507072794902.42,100563404949728.9,0.0001043665450748,6.86969663783877e-05,5.548601130562083e-05,5.845906674542232e-05,3.8479385705847614e-05,3.107950383933845e-05
31,31,2.25,0.02,255,100000.0,17.15,2.43,0.81,,427.8,0.4277999999999999,255.0,0.0138250154848918,0.0042641189497233,0.0262317566861408,-2.2784210677486823e-05,0.0001060174843973,10119944166169.746,6673680000000.0,5390280000000.0,18.93007062432563,8.132748322285513,192386533284338.62,126870873827653.95,102472628860797.44,0.000108999427102,7.188056423221555e-05,5.805737880294333e-05,6.076821880384275e-05,4.0074099205265e-05,3.2367541665790967e-05
32,32,2.25,0.02,260,100000.0,17.15,2.43,0.81,,436.2,0.4362,260.0,0.0133659966830804,0.0041907879207398,0.0241578844633332,-1.5251331750495378e-05,-6.323314095119367e-05,10294320000000.0,6804720000000.0,5496120000000.0,20.21149669663685,8.836008208781658,208529793727247.1,137841728056993.88,111333703430648.88,0.0001131202689131,7.47744150442925e-05,6.039471984346703e-05,6.285955045888365e-05,4.155122826943158e-05,3.356060744838704e-05
33,33,2.25,0.02,265,100000.0,17.15,2.43,0.81,,446.3,0.4463,265.0,0.0139794990900724,0.004056209788448,0.0263469203087912,-1.2701872221995106e-05,0.0001143834937515,10532680000000.0,6962280000000.0,5623380000000.0,19.06264121500638,8.511792260983793,200878297359217.56,132783959271347.16,107248582488395.78,0.0001181441514583,7.809528655727146e-05,6.307696221933464e-05,6.533717936788562e-05,4.318898297199219e-05,3.488340932353215e-05
34,34,2.25,0.02,270,100000.0,17.15,2.43,0.81,,446.5,0.4465,270.0,0.0146765831378444,0.0039198781204516,0.0238771024742074,-2.3490619110461967e-05,-0.0003206488612944,10533097917785.477,6965400000000.0,5625900000000.0,19.23880202544224,8.567171544051268,202102702691953.88,133647876087199.8,107946361455046.0,0.0001205238704525,7.970086044991527e-05,6.437377190185464e-05,6.639497436247094e-05,4.390612885535448e-05,3.546264253701708e-05
35,35,2.25,0.02,275,100000.0,17.15,2.43,0.81,,448.2,0.4482,275.0,0.0159444412908214,0.0044507973315338,0.0244327890644105,1.252250815893932e-05,0.0003162129476194,10533548060983.896,6991920000000.0,5647320000000.0,17.423816808388942,7.818079692036692,183739665731081.38,121962043195772.4,98507804119662.31,0.0001229281187322,8.159677697872555e-05,6.590508909820139e-05,6.746544160238193e-05,4.478196403695579e-05,3.617004787600276e-05
36,36,2.25,0.02,280,100000.0,17.15,2.43,0.81,,453.8,0.4537999999999999,280.0,0.0155744914831415,0.0043558796969751,0.0214491317612477,-1.366766625008897e-05,-0.000416625581786,10664300000000.0,7079280000000.0,5717880000000.0,18.305380623879323,8.301794631153065,195092173832097.0,129507996245987.8,104602612352528.6,0.0001268220646301,8.418826418003072e-05,6.799821337617866e-05,6.941909361940347e-05,4.608246214734868e-05,3.722045019593548e-05
37,37,2.25,0.02,285,100000.0,17.15,2.43,0.81,,463.1,0.4630999999999999,285.0,0.0163234828707572,0.0042745940163587,0.0255289270963594,8.134415178580956e-06,1.2178243339951948e-05,10882850000000.0,7224360000000.0,5835060000000.0,17.78055834742657,8.243150506392398,193714036900221.3,128593147899721.4,103863696380544.22,0.0001318166764453,8.75038362786304e-05,7.067617545581687e-05,7.206588858538201e-05,4.783948348646636e-05,3.863958281599205e-05
38,38,2.25,0.02,290,100000.0,17.15,2.43,0.81,,460.3,0.4602999999999999,290.0,0.0164198017233899,0.0043114214610652,0.0242675812528212,-3.500573205714325e-05,-0.0003695663318417,10787808614888.926,7180680000000.0,5799780000000.0,18.079741651553935,8.30233403723718,194577429177911.8,129516410980900.05,104609408869188.48,0.0001331232889373,8.861074315753877e-05,7.157021562724285e-05,7.26926586045358e-05,4.838635337560561e-05,3.908128541875839e-05
39,39,2.25,0.02,295,100000.0,17.15,2.43,0.81,,455.2,0.4551999999999999,295.0,0.0173718662379769,0.0042115641032093,0.021521416004013,8.877330659360976e-06,0.0001601548358288,10651680000000.0,7101120000000.0,5735520000000.0,17.260215204555024,7.877721663741317,184338686931546.8,122892457954364.56,99259292963140.6,0.0001338053605681,8.920357371211367e-05,7.204904030593795e-05,7.297120660953203e-05,4.864747107302135e-05,3.929218817436341e-05
40,40,2.25,0.02,300,100000.0,17.15,2.43,0.81,,469.5,0.4694999999999999,300.0,0.0178512431262276,0.0042459407832342,0.0224682441069776,3.078770604132912e-05,-3.2118267421820006e-05,10967298013351.668,7324200000000.0,5915700000000.0,17.2163196078971,8.091167301624427,189005842540578.4,126222209905341.05,101948708000467.78,0.0001401790105843,9.361459021834288e-05,7.561178440712308e-05,7.640639835411749e-05,5.102585360076356e-05,4.121318944677056e-05
41,41,2.25,0.02,305,100000.0,17.15,2.43,0.81,,461.5,0.4615,305.0,0.0192175998241622,0.0040533443123733,0.0230518917401578,-3.027438142998595e-05,-2.969793839015687e-05,10752950000000.0,7199400000000.0,5814900000000.0,16.296323163861253,7.51018468134302,174987303075292.38,117158881028951.1,94628326984922.05,0.0001398876046507,9.365865375760644e-05,7.564737418883597e-05,7.612088219366211e-05,5.096505417258064e-05,4.116408221631513e-05
42,42,2.25,0.02,310,100000.0,17.15,2.43,0.81,,480.2,0.4802,310.0,0.0206156573149825,0.0043860879507424,0.0224413064920968,-4.416524867705596e-05,0.0001096805633555,11188660000000.0,7491120000000.0,6050520000000.0,15.292654227660377,7.371630054157187,171758980261862.44,114997428844852.1,92882538682380.56,0.0001480753892477,9.914060395984232e-05,8.007510319835606e-05,8.050322339262072e-05,5.389915385943705e-05,4.353393196339146e-05
43,43,2.25,0.02,315,100000.0,17.15,2.43,0.81,,467.3,0.4673,315.0,0.0190852596283604,0.0042097919791712,0.0250714094889519,-1.6296470684156e-05,0.0002214634817479,10885336974045.111,7289880000000.0,5887980000000.0,16.813623887767154,7.839112316911359,182605134061561.3,122290152143817.16,98772815193083.1,0.0001465329812312,9.813273137664814e-05,7.926105226576402e-05,7.955024243653066e-05,5.327457686573709e-05,4.302946593001842e-05
44,44,2.25,0.02,320,100000.0,17.15,2.43,0.81,,464.0,0.4639999999999999,320.0,0.0193891808891521,0.0039790063451708,0.0226413001730244,9.840668703745128e-06,8.015661345145001e-05,10767415069276.8,7238400000000.0,5846400000000.0,16.965618939572092,7.853209945270509,182238730833836.53,122510075146219.95,98950445310408.44,0.0001473346255394,9.904577344173504e-05,7.999850931834717e-05,7.994338819550964e-05,5.3741981468282256e-05,4.340698503207412e-05
45,45,2.25,0.02,325,100000.0,17.15,2.43,0.81,,486.4,0.4864,325.0,0.0203064019339648,0.0043841208996048,0.0227925666941014,-3.7149484829900046e-06,-0.0003418916054793,11284480000000.0,7587840000000.0,6128640000000.0,16.320120372841835,7.929293659177614,183959612892920.62,123696981083170.78,99909100105637.94,0.0001568871097549,0.0001054930565593,8.52059302979608e-05,8.505771905162115e-05,5.7193983500228014e-05,4.619514051941493e-05
46,46,2.25,0.02,330,100000.0,17.15,2.43,0.81,,504.0,0.5040000000000001,330.0,0.0223474516125065,0.0041448295135428,0.0228359689280786,1.4401299218811967e-05,0.000217700277944,11656859798408.473,7862400000000.0,6350400000000.0,15.28143609395558,7.6701975025422175,177401620859598.16,119655081039658.6,96644488532031.95,0.0001647116491973,0.0001110958605529,8.973127198508857e-05,8.922272499909844e-05,6.017956509426019e-05,4.860657180690246e-05
47,47,2.25,0.02,335,100000.0,17.15,2.43,0.81,,475.3,0.4752999999999999,335.0,0.0203081750005253,0.0039746757187885,0.022734383761607,-2.619739375688235e-05,-0.0002531978531112,10979430000000.0,7414680000000.0,5988780000000.0,17.107517198474678,8.123692769801828,187657302982422.2,126729607208908.5,102358528899503.05,0.000157566761507,0.0001064087220566,8.594550627659358e-05,8.527878211227401e-05,5.759086584205519e-05,4.6515699333967645e-05
48,48,2.25,0.02,340,100000.0,17.15,2.43,0.81,,475.9,0.4758999999999999,340.0,0.0213708105637351,0.0042164339014721,0.0222418344713868,-4.351799348219419e-05,-0.0002881202628568,10970325184941.656,7424040000000.0,5996340000000.0,16.096397114405242,7.649126807999968,176325716462732.6,119326378204799.52,96378997780799.62,0.00015984564986,0.0001081736847705,8.73710530839683e-05,8.648538530928571e-05,5.852797880894944e-05,4.727259826876687e-05
49,49,2.25,0.02,345,100000.0,17.15,2.43,0.81,,483.5,0.4835,345.0,0.0205917587443138,0.0041637182624749,0.0219547676868798,-1.2110382299586032e-05,-0.0002715756194944,11120500000000.0,7542600000000.0,6092100000000.0,16.85431787836706,8.147112306787163,187383583056104.72,127094951985879.7,102653615065518.22,0.0001645518879753,0.0001116091066267,9.014581689084578e-05,8.892736192688611e-05,6.0315949828670585e-05,4.87167287077724e-05
50,50,2.25,0.02,350,100000.0,17.15,2.43,0.81,,497.4,0.4974,350.0,0.0227236321970735,0.0042793170950596,0.0220171502507981,-1.0081099976378991e-05,-5.671805828692567e-05,11440200000000.0,7759440000000.0,6267240000000.0,15.528253603461156,7.728447198913289,177754285575005.62,120563776303047.3,97378434706307.42,0.0001718513864978,0.0001165600708419,9.414467260318009e-05,9.28158238477328e-05,6.295334139237527e-05,5.084692958614928e-05
51,51,2.25,0.02,355,100000.0,17.15,2.43,0.81,,492.2,0.4922000000000001,355.0,0.0221719245825908,0.0046894437735911,0.0228077938617359,2.3245281274952465e-05,-0.0001625239711111,11313869513529.16,7678320000000.0,6201720000000.0,16.596159690105935,8.175113808035825,187915828692336.0,127531775405358.84,103006433981251.38,0.0001723944662136,0.0001169979798896,9.449836837240313e-05,9.30677123005541e-05,6.31617393021075e-05,5.101525097477913e-05
52,52,2.25,0.02,360,100000.0,17.15,2.43,0.81,,504.7,0.5047,360.0,0.0222431685750563,0.0044150524992459,0.0230058122722789,-3.9134043537804535e-05,-1.4859130124099146e-05,11557630000000.0,7873320000000.0,6359220000000.0,16.482376797767824,8.315627500615829,190427869764102.53,129723789009606.95,104776906507759.48,0.0001787224834723,0.0001217498140684,9.833638828607905e-05,9.641401459851756e-05,6.567941605839416e-05,5.304875912408759e-05
53,53,2.25,0.02,365,100000.0,17.15,2.43,0.81,,506.0,0.506,365.0,0.0235657976756328,0.0041471244694427,0.0224411025803606,-3.091152051951343e-05,5.470918806436389e-06,11587400000000.0,7893600000000.0,6375600000000.0,15.8313641153116,7.977440495599114,182683387349219.7,124448071731346.16,100515750244548.84,0.0001817799052422,0.0001238325992043,0.0001000186378188,9.796750029591004e-05,6.673768579110231e-05,5.390351544665957e-05
54,54,2.25,0.02,370,100000.0,17.15,2.43,0.81,,502.3,0.5023,370.0,0.0241446484730658,0.0038384117027572,0.0221048516099728,5.3304523665391286e-05,-6.571194852958175e-05,11462941790395.1,7828631387290.396,6328980000000.0,15.720631166815332,7.886930111965898,179986901808439.94,122922294692219.77,99375319410770.31,0.0001824267351646,0.0001245885821375,0.0001007224130972,9.824171707814108e-05,6.709431173276195e-05,5.4241736015289546e-05
55,55,2.25,0.02,375,100000.0,17.15,2.43,0.81,,520.7,0.5206999999999999,375.0,0.0245676202272476,0.0039172145089914,0.0212404873748179,1.7252126755963337e-05,6.940938176064318e-05,11871960000000.0,8100049914140.005,6560820000000.0,15.818289875558657,8.206962783691354,187118751468162.9,127668154775090.0,103407731074511.08,0.0001915676979435,0.0001307036003557,0.0001058663593898,0.0001030847378154,7.033308077956363e-05,5.696788142436635e-05
56,56,2.25,0.02,380,100000.0,17.15,2.43,0.81,,520.9,0.5208999999999999,380.0,0.0260836788487608,0.0040405063286308,0.0228231863476729,5.864089322469651e-06,-1.900843762079284e-05,11847329553200.334,8087799285955.9,6563340000000.0,14.797448816590684,7.699190944517125,175110102539278.38,119542159768676.78,97009805900915.78,0.0001937841110698,0.0001322903180925,0.0001073550796268,0.0001042412391507,7.116221556805277e-05,5.774893755554187e-05
57,57,2.25,0.02,385,100000.0,17.15,2.43,0.81,,531.9,0.5319,385.0,0.0231623281138296,0.0045508169570198,0.0224992344411664,3.4639171744577766e-05,2.549278342070664e-05,12074130000000.0,8244450000000.0,6701940000000.0,17.106438348872494,9.089884219616891,206340371785303.47,140893205404061.8,114532541167172.84,0.0002002264984744,0.0001367185342006,0.0001111389374792,0.0001075905117488,7.346488687702164e-05,5.9719843525836944e-05
58,58,2.25,0.02,390,100000.0,17.15,2.43,0.81,,536.0,0.536,390.0,0.0271241426348353,0.0039889495098985,0.0215172376254999,2.237267330851795e-05,-0.0001439390347363,12149520312683.855,8308000000000.0,6753600000000.0,14.50599678156089,7.773838318436811,176209713726433.12,120494493935770.58,97950362812303.8,0.0002041692003559,0.0001396135545192,0.000113492308835,0.0001096596383587,7.498668688455046e-05,6.095691966098941e-05
