,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,0.00045,2725.5,0.2725499999999999,150.0,0.0001048449001785,0.002082550828259,0.0243158684515019,-0.0009083868360301,-0.0002329185619982,6568455000000.0,4251780000000.0,3434130000000.0,4.29205466236936,1.1697993000557965,28192163131344.703,18248869080870.43,14739471180703.035,4.008478785484029e-05,2.5946999607282512e-05,2.0957191990497417e-05,2.6020690720669325e-05,1.6843268682258982e-05,1.3604178551055332e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,0.0004649999999999,2513.5,0.2513499999999999,155.0,0.0001082205017581,0.0020692390057783,0.0227755142690614,-0.0008586208621274,-0.000235586010128,6057535000000.0,3921060000000.001,3167010000000.0,4.296783243286374,1.0799972721994853,26027934260007.6,16847957446311.973,13607965629713.514,3.834047049945761e-05,2.481789791666136e-05,2.0045225240380325e-05,2.4663828765003823e-05,1.596496799726389e-05,1.2894781843943912e-05
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,0.0004799999999999,2331.5,0.23315,160.0,0.0001110226989453,0.0021192998011633,0.0227422283650512,-0.0008721120004784,3.694902140239464e-05,5618915000000.0,3637140000000.0,2937690000000.0,4.323559275139887,1.008032172598453,24293575359622.72,15725301892535.867,12701205374740.508,3.6698546786416966e-05,2.375507592813712e-05,1.918679209580306e-05,2.3532159848560997e-05,1.5232435420645292e-05,1.2303120916675045e-05
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,0.000495,2168.0,0.2167999999999999,165.0,0.0001068568583093,0.0019579203738687,0.0210577498616325,-0.0008216981275137,-0.0001520052835185,5224880000000.0,3382080000000.0,2731680000000.0,4.661051381878966,1.0106256376631475,24356077867681.863,15765759947545.104,12733883034555.664,3.510853670699755e-05,2.2725857785442394e-05,1.8355500519011165e-05,2.241600775676035e-05,1.45099469296872e-05,1.1719572520131968e-05
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,0.0005099999999999,2042.5,0.2042499999999999,170.0,0.0001099659366161,0.0019583445435236,0.0220825322003134,-0.0008074485673271,0.0001214127689489,4914218691195.495,3186300000000.0,2573550000000.0,4.663649571336148,0.9527066690837708,22921953098839.992,14862224037706.828,12004104030455.516,3.408058205817902e-05,2.2097298764202656e-05,1.7847818232625223e-05,2.161065045073174e-05,1.401199658748098e-05,1.1317381859119253e-05
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,0.000525,1941.0,0.1940999999999999,175.0,0.0001135685096329,0.0016057004608626,0.0222193414978257,-0.0007811649359466,-0.0001862882361151,4658400000000.0,3027960000000.0,2445660000000.0,4.650354516622627,0.9022397677944876,21653754427067.69,14074940377594.004,11368221074210.545,3.3457788321791026e-05,2.174756240916417e-05,1.7565338868940292e-05,2.0915337869539545e-05,1.3594969615200703e-05,1.098055238150826e-05
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,0.0005399999999999,1869.0,0.1869,180.0,0.0001167758625797,0.0019409533578897,0.0229712374982119,-0.0008189608728559,0.0002433053882589,4485600000000.0,2915640000000.0,2354940000000.0,4.65062090092934,0.8696913907179449,20872593377230.68,13567185695199.94,10958111523046.104,3.330534232972627e-05,2.164847251432207e-05,1.748530472310629e-05,2.057095686867992e-05,1.3371121964641946e-05,1.0799752356056955e-05
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,0.0005549999999999,1823.5,0.18235,185.0,0.0001290001702471,0.0018853230918128,0.0210448397463575,-0.0007949460051819,0.0001435187487444,4376400000000.0,2844660000000.0,2297610000000.0,4.302339260085057,0.7845402335179918,18828965604431.805,12238827642880.672,9885206942326.695,3.345294286085474e-05,2.1744412859555575e-05,1.756279500194874e-05,2.044325483299117e-05,1.3288115641444256e-05,1.0732708787320362e-05
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,0.00057,1796.5,0.17965,190.0,0.0001325258166246,0.0019479672819008,0.0210238505390274,-0.0007513625613424,6.810105325491554e-05,4311600000000.0,2802540000000.0,2263590000000.0,4.301052364011834,0.7726748120779097,18544195489869.83,12053727068415.39,9735702632181.662,3.389954980928063e-05,2.203470737603241e-05,1.7797263649872333e-05,2.0522047064199225e-05,1.3339330591729495e-05,1.0774074708704593e-05
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,0.000585,1837.5,0.18375,195.0,0.0001362612205468,0.0021400129538144,0.0236586664357023,-0.0007706841798688,-0.0001088148929154,4410000000000.0,2866500000000.0,2315250000000.0,4.29323157021699,0.7889053968027822,18933729523266.77,12306924190123.402,9940207999715.057,3.567659787558151e-05,2.3189788619127986e-05,1.8730213884680293e-05,2.1361673476406494e-05,1.388508775966422e-05,1.1214878575113407e-05
