sep=	
Dipole_RN	Dipole_RS	Dipole_RO	Dipole_OX	Dipole_OY	Dipole_OZ	Dipole_DX	Dipole_DY	Dipole_DZ	Dipole_EN	Dipole_PL	Dipole_S0	Dipole_S1	Dipole_S2	Dipole_S3
0	2	0	0.00721088964120089	0.00401829569147576	-2.35270807204823	0.000540851443521311	-0.000203264984836385	0.999999833081517	2500.33009332889	0	3.56764e+13	2.16312e+13	0	-2.83695e+13
1	2	0	0.00112484284469866	0.00207532266563286	0.450300172096381	-0.000103517253589621	-2.38637042922362e-05	0.999999994357351	2500.65683804518	0	5.55308e+13	5.53638e+13	0	-3.89748e+12
2	2	0	0.0150249662314135	0.00173328940676393	-2.59728044444883	0.000597073787559087	-0.000163208201824503	0.999999808432969	2500.21370995192	0	4.48134e+13	3.27694e+13	0	-3.05498e+13
3	2	0	0.00449522769900618	-0.00322464767748828	4.33844795066998	-0.000997342815597	-0.000168826661289793	0.999999488402302	2500.30284374989	0	4.42577e+13	3.19627e+13	0	-3.05989e+13
4	2	0	0.00097750090228578	0.00247691054434878	-0.04752932224613	1.0926278468668e-05	9.71166763879107e-05	0.999999995224484	2500.47891020529	0	5.14884e+13	4.45862e+13	0	2.56969e+13
5	2	0	0.0100297872847881	0.00473778641888532	-2.1008752794829	0.000482958645094395	-0.000283349113112517	0.999999843232101	2500.36137322738	0	1.95157e+13	8.70778e+12	0	-1.74633e+13
6	2	0	0.0167851542962247	-0.00298943756203911	-3.91903102851283	0.000900922831231566	5.63792518142013e-06	0.999999594153051	2500.94344079222	0	5.55793e+13	5.55299e+13	0	-1.04826e+12
7	2	0	-0.0189864526443116	-0.000727045384743894	2.61120224631358	-0.000600278873332625	-0.000238120841732308	0.999999791481848	2500.27201592593	0	2.63897e+13	1.34879e+13	0	-2.26734e+13
8	2	0	0.0199070270668718	0.00352564452892402	-3.80138300895529	0.000873876813485865	-0.000108846933083771	0.999999612245755	2500.76882903326	0	5.00092e+13	4.15531e+13	0	-2.77621e+13
9	2	0	-0.00943974673314261	-0.00105703922913004	2.57051134459785	-0.000590923313539764	-0.000216184456084518	0.99999980203694	2500.93911414491	0	3.47139e+13	2.07008e+13	0	-2.78559e+13
10	2	0	-0.00954198255992601	-0.000568394362678104	3.58092958116123	-0.000823203696476687	0.000282755222414872	0.999999621192507	2500.40647782536	0	1.90424e+13	8.40683e+12	0	1.70852e+13
11	2	0	-0.0149995256957773	0.0020235026280658	1.1998130738848	-0.000275820037197128	-7.75530789184842e-05	0.999999958954413	2499.22949959881	0	5.33801e+13	4.90504e+13	0	-2.09919e+13
12	2	0	0.0079450768101498	-0.00086767404075557	0.818462876286342	-0.000188152038267079	-3.33395864916154e-05	0.999999981743641	2499.26866081318	0	5.51109e+13	5.3981e+13	0	-1.09371e+13
13	2	0	-0.0367011969281299	-0.00269201002050622	-1.17052406903211	0.000269088245566785	0.000242084936887937	0.999999934493198	2500.3287881125	0	2.98568e+13	1.62442e+13	0	2.50461e+13
14	2	0	-0.0311313351965038	0.000866899042880015	-2.39443838149049	0.000550449450492419	-0.000194570274008112	0.999999829573891	2499.99610282351	0	3.94166e+13	2.57363e+13	0	-2.98432e+13
15	2	0	-0.000479818581902518	0.00128493875015151	-4.25014433095356	0.000977044297442155	-0.000190669532519785	0.999999504514662	2500.55571183961	0	3.92044e+13	2.54974e+13	0	-2.97669e+13
16	2	0	-0.00503530246312066	-0.0037703521728015	-1.61424837814583	0.000371091984850497	4.25029645685667e-05	0.999999930242116	2500.98960391323	0	5.47092e+13	5.27521e+13	0	1.44317e+13
17	2	0	-0.0370171848018097	0.00222937370538407	2.20223826340783	-0.000506265906229543	-0.000164026818459566	0.999999858395008	2499.8138908092	0	4.39379e+13	3.14961e+13	0	-3.06274e+13
18	2	0	-0.00800593824948599	-0.000625578195797694	2.0150474082577	-0.000463230091503924	-5.09024883263268e-05	0.999999891413404	2499.84136921775	0	5.45184e+13	5.21748e+13	0	-1.57609e+13
19	2	0	0.00197771161800453	0.00205052719900445	0.531675530275683	-0.000122224203341621	-1.28829853135318e-05	0.999999992447636	2500.43252359009	0	5.54615e+13	5.51306e+13	0	-5.62216e+12
20	2	0	-0.0105583369012258	-0.00417233757028531	0.704763421570219	-0.000162014970720327	-2.89740878480663e-05	0.999999986455826	2500.42382273629	0	5.5157e+13	5.41342e+13	0	-1.0484e+13
21	2	0	-0.013135575388504	-0.00113146087078869	2.97910979133365	-0.000684854729151367	-0.000106345954714779	0.99999975983224	2499.23096326238	0	5.12012e+13	4.39283e+13	0	-2.62905e+13
22	2	0	-0.0103490166543405	-0.00111697081845166	-2.02300661985362	0.000465060045156532	-0.000131788701724215	0.999999883175439	2499.82101012449	0	4.71361e+13	3.63851e+13	0	-2.99306e+13
23	2	0	-0.016360113533991	0.000149203968075037	-4.17579498971568	0.000959956038176733	-4.69691486976466e-05	0.999999538139045	2500.40518529546	0	5.45539e+13	5.22905e+13	0	-1.54386e+13
24	2	0	-0.00921089933596934	0.000661517602658429	1.64303363982335	-0.000377709655050165	-5.1741934774262e-05	0.999999927329092	2499.88368315561	0	5.41368e+13	5.10864e+13	0	-1.78294e+13
25	2	0	-0.0082568454969606	-0.00128308397399849	0.0652449768343616	-1.49988735797728e-05	0.000135436174172754	0.999999990716038	2500.6191230127	0	4.78727e+13	3.75918e+13	0	2.9633e+13
26	2	0	0.00124026536292985	-0.000753027904533735	1.95387779770938	-0.000449167135888492	-4.96623335475684e-05	0.999999897891263	2501.24978008477	0	5.47194e+13	5.27875e+13	0	-1.43126e+13
27	2	0	0.0176165321411838	-0.00036218360912278	0.276283033057738	-6.35130835490644e-05	-3.62752195476361e-05	0.999999997325098	2500.36205952665	0	5.5143e+13	5.40934e+13	0	-1.04567e+13
28	2	0	0.00878977071571559	0.00236421248718747	2.41719975119781	-0.000555676894696711	3.86664995604516e-05	0.999999844864033	2499.09064530589	0	5.48732e+13	5.32459e+13	0	1.30476e+13
29	2	0	0.00538554159889783	-0.000981594163668367	2.35187064105464	-0.000540659168985858	2.02726903147439e-05	0.99999985363833	2499.07789095012	0	5.55352e+13	5.53658e+13	0	3.14982e+12
30	2	0	0.00632884081680739	0.00248470420012598	1.74068138744637	-0.000400156018473605	-0.00020110469789574	0.999999899716026	2501.12855143786	0	3.57176e+13	2.16991e+13	0	-2.83631e+13
31	2	0	-0.0304476724380055	0.000978231128703125	2.20961382107203	-0.000507960689951992	2.90877447680648e-05	0.999999870564912	2500.08713065671	0	5.5387e+13	5.48817e+13	0	6.95526e+12
32	2	0	0.000213153143200311	0.00065904399053625	-3.52219804908817	0.000809700389512598	0.000124996301691876	0.999999664380546	2501.1331170076	0	4.93055e+13	4.01601e+13	0	2.85927e+13
33	2	0	-0.0220320125103363	0.000324731480315009	2.46457752120415	-0.000566572321367543	9.19286005485945e-05	0.999999835272455	2500.21689848412	0	5.22666e+13	4.6323e+13	0	2.4165e+13
34	2	0	0.00372717650506642	-0.00325465213896686	-3.51745400644115	0.000808609144509913	0.00019083953931204	0.999999654865701	2498.75424390895	0	3.72334e+13	2.32685e+13	0	2.9062e+13
35	2	0	0.0237440612159099	0.000357635122465443	-3.96029830153428	0.000910408039677897	-0.000189247745093679	0.999999567671153	2499.20606945489	0	3.98232e+13	2.62223e+13	0	-2.99543e+13
36	2	0	0.00937141902826845	-0.00131524143219734	4.30061394994812	-0.000988644226227372	-0.000304297311645068	0.999999464992727	2500.00264496481	0	1.52288e+13	6.18887e+12	0	-1.39144e+13
37	2	0	0.00618793196241557	-0.0033514530141388	-0.0971274863618205	2.23281259764845e-05	6.00253852223157e-05	0.999999997949204	2499.22826730326	0	5.43287e+13	5.1618e+13	0	1.6909e+13
38	2	0	0.0303953657924927	-0.000404955023696216	-2.12304816896466	0.000488053581753236	2.9436454175846e-05	0.999999880468591	2498.82905595259	0	5.53681e+13	5.48062e+13	0	7.67673e+12
39	2	0	0.00302120498319732	-0.000766536792626594	4.15561141832728	-0.000955311868718813	5.78698136495449e-05	0.999999542015054	2500.87241618057	0	5.45817e+13	5.23821e+13	0	1.5184e+13
40	2	0	0.00676501577820309	0.00225011649413796	-0.276048567250693	6.34593404796926e-05	-0.000213725506828519	0.99999997514716	2500.41070946248	0	3.26219e+13	1.86846e+13	0	-2.67361e+13
41	2	0	-0.000137721678633164	0.00369509326277148	4.23844685190719	-0.000974355164841859	-5.79287999815106e-05	0.99999952363802	2499.1990217938	0	5.40883e+13	5.09378e+13	0	-1.81533e+13
42	2	0	0.0134692353539604	-0.00285918376361243	-0.104882577053894	2.41108621685874e-05	-0.000187069153436448	0.999999982211899	2500.03708257686	0	3.77309e+13	2.3827e+13	0	-2.92466e+13
43	2	0	-0.0228335772356436	-0.00124378574955071	3.87044185178161	-0.000889761065615708	1.92274181360311e-05	0.999999603977698	2498.99338753398	0	5.54784e+13	5.51736e+13	0	5.60452e+12
44	2	0	-0.0421582510066376	-0.000474750565962011	0.668682782949796	-0.000153721667962841	1.19186928010086e-05	0.999999988113797	2500.24648559879	0	5.55575e+13	5.54504e+13	0	3.22946e+12
45	2	0	-0.0385377116681011	-0.00246337213914891	-1.01251976055949	0.000232765206754254	-0.000326558936924143	0.999999919589806	2500.59884881168	0	1.02951e+13	3.71382e+12	0	-9.60121e+12
46	2	0	-0.00400818270301526	-0.00491332181918081	-0.627449127469608	0.000144241309203904	0.000113632674545772	0.99999998314103	2500.17987741245	0	5.05648e+13	4.26324e+13	0	2.715e+13
47	2	0	0.00351907699253713	-0.000240418557779417	2.14122156040855	-0.000492234365793209	0.000269214645843341	0.999999842614389	2498.93997869668	0	2.19652e+13	1.02726e+13	0	1.94144e+13
48	2	0	-0.00388087278822388	-0.00389735749371812	3.96278315917673	-0.000910985058674603	-0.000150726890369715	0.999999573693723	2498.92201549505	0	4.57901e+13	3.41976e+13	0	-3.04481e+13
49	2	0	-0.00885261991512929	0.00115353620562169	-0.356048047053361	8.18502917471959e-05	-8.70791050858514e-05	0.99999999285888	2501.10500981045	0	5.22968e+13	4.64078e+13	0	-2.40538e+13
50	2	0	0.00611050095415556	0.000521576851805909	2.4215939254584	-0.00055668738721898	-0.000108256836364003	0.999999839189792	2499.70262360103	0	5.01749e+13	4.18442e+13	0	-2.76526e+13
51	2	0	-0.00234866581895603	-0.0022901801598414	-2.59747765383604	0.000597121513963459	7.58055643221089e-05	0.999999818849691	2499.89912983364	0	5.32518e+13	4.87215e+13	0	2.14405e+13
52	2	0	-0.00653108998573596	-0.000412793756871513	2.90126629119738	-0.000666958619923281	-5.99129925983874e-05	0.999999775788291	2500.47717393943	0	5.46363e+13	5.25334e+13	0	-1.49162e+13
53	2	0	0.0118487349461293	0.00345142045948802	3.73627785076258	-0.000858911736692683	0.000359136390074392	0.999999566645747	2500.3639261317	0	7.19943e+12	2.36263e+12	0	6.8003e+12
54	2	0	0.0210860919601018	0.000886744352909344	-2.26072178132214	0.000519703565836916	7.35400426493375e-05	0.999999862250023	2500.48963904099	0	5.40004e+13	5.07142e+13	0	1.84646e+13
55	2	0	0.015309404863477	0.000204025278096513	2.51027510142185	-0.00057707258863255	-0.000265170465787704	0.999999798335905	2500.82503252588	0	2.34387e+13	1.12855e+13	0	-2.05421e+13
56	2	0	-0.0523790904289047	-2.16434699066159e-05	-1.19709049688293	0.000275196520145727	7.60607485969527e-05	0.999999959240818	2500.52729995705	0	5.37052e+13	4.99106e+13	0	1.97627e+13
57	2	0	-0.0310590665369273	0.00264463628369281	-1.16719509943783	0.000268322618207102	5.95521495042044e-05	0.999999962228256	2500.92684020606	0	5.43764e+13	5.17646e+13	0	1.66416e+13
58	2	0	-0.00736633353115252	0.00655577095334091	-4.19479990534656	0.000964323001934871	-4.50273298137906e-06	0.999999535030329	2499.04071238693	0	5.56003e+13	5.55861e+13	0	-1.74796e+11
59	2	0	0.0137463364148775	0.00295251936871245	-0.655699966129994	0.000150735143182309	0.000205029444758164	0.999999967620921	2499.33229227526	0	3.51634e+13	2.11285e+13	0	2.81009e+13
