sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
88	2	1	0.0862147342960249	-0.000983331148833505	0	-0.000812798031852567	-0.00011714655453034	0.999999662817965	1500.00965033324	2.33247592546059	3.3162e+13	3.30285e+13	5.16726e+09	2.68247e+12
95	2	1	-0.0434648273612627	0.00937841235870518	0	0.000233799249335797	-0.000655017929572049	0.999999758144682	1500.06457119559	-0.567887091541252	3.16436e+13	2.63117e+13	3.40879e+10	1.75341e+13
98	2	1	0.136737996007547	-0.00897629723142535	0	-0.000771799652900704	-0.000530103697628029	0.999999561657587	1499.90401900752	2.61987187723025	3.23802e+13	2.84841e+13	2.96436e+10	1.53787e+13
141	2	1	0.116664381367622	-0.0213063250148338	0	-0.000418371094940472	0.00036531737335762	0.99999984575441	1499.9009699014	1.4604352708418	3.26669e+13	2.98006e+13	-2.59037e+10	-1.3346e+13
163	2	1	0.0203546363524074	0.0194692676483719	0	0.000774555359840934	0.000810532457937683	0.999999371550367	1500.00600960271	-1.60031607087967	3.10871e+13	2.45223e+13	-3.75405e+10	-1.90927e+13
164	2	1	-0.056915784408893	0.00796414040478055	0	0.000681277385502163	-0.000285392178812523	0.999999727206177	1500.06802912847	-1.59038132708383	3.26481e+13	3.10913e+13	1.94567e+10	9.95719e+12
245	2	1	-0.0199556089118447	0.00961046510882027	0	-7.40346998598669e-06	-8.98399822189012e-05	0.999999995936983	1500.08988629946	-0.0713955280948539	3.29653e+13	3.2513e+13	1.03424e+10	5.32563e+12
278	2	1	0.0937030979976086	-0.00471865728980973	0	-0.000565864848834287	7.24165190601583e-05	0.999999837276397	1499.94462992295	1.7531296041484	3.31167e+13	3.29365e+13	-6.47455e+09	-3.34811e+12
322	2	1	0.0464803289130757	0.0237287989462971	0	-0.000403074557933472	-0.000264302487793772	0.999999883837541	1500.10355027785	1.21250529471058	3.27819e+13	3.06123e+13	2.26468e+10	1.17145e+13
348	2	1	0.111591699781156	-0.0197579272982018	0	-0.000679229046112708	-0.00083080920928463	0.999999424201815	1499.81151710659	2.31782193674121	3.0451e+13	2.27493e+13	3.89591e+10	2.02257e+13
389	2	1	-0.00953241950010786	-0.00229297052384858	0	0.000698091543958909	0.000497035125723313	0.999999632812073	1499.96301259475	-1.5699682890056	3.23106e+13	2.87557e+13	-2.88286e+10	-1.47141e+13
395	2	1	-0.0162795967856135	0.00318656822853214	0	0.0010805867276965	-0.000492718409006662	0.999999294780199	1500.06053152371	-2.02964075480463	3.18512e+13	2.74059e+13	3.17103e+10	1.6191e+13
399	2	1	-0.0172114012487113	0.00375879734077733	0	0.000476214400172821	-0.000830443793902763	0.999999541791371	1500.06973308562	-0.861157783647741	3.00831e+13	2.22403e+13	3.94551e+10	2.02509e+13
454	2	1	-0.0343868071032037	-0.00152305533012309	0	0.000674323822688118	-0.000270715342724021	0.999999736000258	1500.00805898089	-1.44944111053974	3.26861e+13	3.13544e+13	1.7972e+10	9.19857e+12
472	2	1	-0.0140257535482621	0.00785598763274109	0	-0.000214529797819052	0.000416431407385925	0.999999890280919	1500.03807227611	0.24246673402763	3.25401e+13	2.92704e+13	-2.75602e+10	-1.41749e+13
481	2	1	0.0461000325768803	0.0230648334745278	0	-5.74437150838242e-06	0.000995250020752077	0.999999504722077	1500.13066828631	-0.0366901871298069	2.72158e+13	1.70016e+13	-4.14106e+10	-2.12448e+13
503	2	1	0.00729485822648912	-0.00100961010240058	0	0.0010500164680331	0.000117946488495571	0.999999441776866	1499.9581994405	-1.9899672273873	3.27986e+13	3.25873e+13	-7.1756e+09	-3.65601e+12
530	2	1	-0.0407828800123198	0.0114618206449355	0	0.00046713127246888	0.000236840319923232	0.99999986284751	1500.06998871214	-1.23562665163513	3.2831e+13	3.20249e+13	-1.39227e+10	-7.11664e+12
616	2	1	-0.00208062175694512	0.0131594606102035	0	0.000241111735228517	0.00029068616470761	0.99999992868334	1500.04117121099	-0.567405009697723	3.28363e+13	3.15223e+13	-1.79198e+10	-9.1865e+12
647	2	1	0.0324538565462485	-0.000629746153979427	0	-0.000431353626551042	0.000232848817001832	0.999999879857732	1500.00785578582	1.04722315455979	3.2999e+13	3.18614e+13	-1.65236e+10	-8.5327e+12
654	2	1	-0.000615572391331365	-0.0134094292401286	0	0.000535956763036294	0.00016295167060712	0.999999843098539	1499.94017125856	-1.12558891400204	3.28695e+13	3.25044e+13	-9.30787e+09	-4.75921e+12
