,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,1000000.0,150,20,17.15,2.43,0.81,0.001,,0.0003,16552.0,0.0006531857114655,150.0,0.0001299310822275,0.1065823332795504,0.0009930786518035,0.0041038719188976,-1.0314570626375093e-07,14806836889.453732,9634489244.117529,7812101109.128515,6753940256.554253,6023025445.424252,2.308916353276357,0.0015081513863151,34187752716.859413,22245232948.148155,18037490580.32895,15594285334.49844,13906663933.211807,9.036050570719845e-08,5.879563115530087e-08,4.7674288041857516e-08,4.1216733975987184e-08,3.675623829715452e-08,5.8656734841278975e-08,3.8166671595192084e-08,3.0947348629050664e-08,2.675548368096855e-08,2.3859991781645164e-08
1,1,1000000.0,155,20,17.15,2.43,0.81,0.001,,0.00031,14964.0,0.0005671445250785,155.0,0.0001239684920051,0.0996073440787922,0.0009973892322128,0.0039930416316418,5.968507256664686e-07,12847610270.295774,8365381744.90917,6783048519.93991,5864274389.312597,5229639665.749659,2.5006354143166947,0.0014182214137753,32127183099.66804,20918765853.18697,16961928108.753635,14664409418.437508,13077419656.422848,8.131747031701899e-08,5.294772081504957e-08,4.2932524810033415e-08,3.71172497103466e-08,3.310040228037776e-08,5.231026477702227e-08,3.4060445859632465e-08,2.7617825930929096e-08,2.3876949843294888e-08,2.1292974323503117e-08
2,2,1000000.0,160,20,17.15,2.43,0.81,0.001,,0.00032,13611.5,0.0004930035821995,160.0,0.0001332962959139,0.1039194917163117,0.0009933660521375,0.0038920191755613,-1.6610706716866588e-07,11160749801.855326,7271802837.443924,5896322843.107074,5097657039.943741,4545986031.462402,2.4044942060744203,0.0011854190450719,26835840245.570686,17484930914.811165,14177611779.060444,12257232926.043892,10930749014.60839,7.289366341631464e-08,4.749397288471805e-08,3.8510367166184946e-08,3.3294079974778614e-08,2.9690977896270182e-08,4.67415058542539e-08,3.045449642109728e-08,2.4693950996360912e-08,2.134911816909464e-08,1.9038705864334784e-08
3,3,1000000.0,165,20,17.15,2.43,0.81,0.001,,0.00033,12426.5,0.0004318798840969,165.0,0.0001429225295481,0.1009676198089781,0.0009915771876624,0.0036891557216479,1.936571612713369e-07,9770932007.53542,6370228290.430939,5165283413.800273,4465638001.563112,3982364411.258555,2.3089432614656538,0.000997187054922,22560548132.05786,14708509060.10082,11926357176.86819,10310914147.894403,9195061833.436588,6.5655694494062e-08,4.2804694799985614e-08,3.4708077953073085e-08,3.000681655809161e-08,2.6759463779706256e-08,4.1919678092452274e-08,2.732983088044781e-08,2.2160323886790227e-08,1.9158674664666464e-08,1.708531325753283e-08
4,4,1000000.0,170,20,17.15,2.43,0.81,0.001,,0.00034,11272.5,0.0003755350549557,170.0,0.0001472655222868,0.097817751932781,0.0009861884841858,0.0035289086978615,-4.047847213470278e-07,8489368497.994829,5539142060.598059,4491399257.271376,3883032468.2429786,3462808741.747437,2.308754977491902,0.000867018019313,19599862551.3567,12788515784.867138,10369535510.983795,8964966319.696693,7994773156.085417,5.887459185249415e-08,3.841448608429729e-08,3.1148288377504785e-08,2.692920583807688e-08,2.401491363954612e-08,3.733264363800399e-08,2.4358798496899972e-08,1.9751269832062615e-08,1.7075930607318353e-08,1.5227964809485738e-08
5,5,1000000.0,175,20,17.15,2.43,0.81,0.001,,0.00035,10583.5,0.0003390118440464,175.0,0.0001456642004313,0.0947832639266886,0.0009958301051103,0.0039091425326682,-1.54868542355313e-06,7657076592.204784,5000424699.686102,4054581654.7963247,3505382467.440969,3126028213.952919,2.406647967898955,0.0008160195755103,18430991424.48735,12036288738.777248,9759594123.10345,8437642410.776728,7524516505.780678,5.499503000724042e-08,3.5914294848264025e-08,2.912101467018561e-08,2.517652940549492e-08,2.2451912731921534e-08,3.437883050380078e-08,2.2450964297854562e-08,1.8204307322192577e-08,1.5738506497614652e-08,1.4035277409526568e-08
6,6,1000000.0,180,20,17.15,2.43,0.81,0.001,,0.00036,10127.5,0.0003153307674617,180.0,0.0001558370038309,0.1006121318767692,0.000996148547739,0.0039034629368417,-3.1011382908623367e-06,7116337980.668276,4651128820.061345,3771355978.842962,3260520135.5548687,2907665006.76513,2.310107183912113,0.0007284545465695,16439654140.54245,10744704561.901287,8712316376.972164,7532220011.529446,6717079373.918087,5.2838432446091925e-08,3.4534385048109265e-08,2.8002118316975382e-08,2.4209189247284734e-08,2.1589258612109532e-08,3.2635518473175475e-08,2.13300718628848e-08,1.7295434541023882e-08,1.495274190252399e-08,1.3334548654078698e-08
7,7,1000000.0,185,20,17.15,2.43,0.81,0.001,,0.00037,9771.0,0.0002985570201166,185.0,0.0001540352704409,0.0995873715482468,0.0009951492048987,0.0033995104612457,2.8085646867011477e-06,6731435543.903946,4403716046.720421,3570741960.594999,3087079588.006044,2752994282.4955254,2.4060387869066586,0.0007183277929298,16195824957.03267,10595334945.715937,8591200403.44153,7427509378.895103,6623700578.606552,5.145469532532341e-08,3.3661745107021146e-08,2.7294540439320195e-08,2.359745385807449e-08,2.104372553436217e-08,3.1444212644155674e-08,2.057085489334567e-08,1.6679825391485706e-08,1.4420517938792826e-08,1.2859922235358671e-08
8,8,1000000.0,190,20,17.15,2.43,0.81,0.001,,0.0003799999999999,9514.0,0.0002874574279248,190.0,0.0001582346128259,0.0961443692778251,0.0009847415468478,0.0041441333523751,2.548656011109301e-06,6474496684.473131,4239997061.892052,3437990837.981623,2972309804.74331,2650644942.895364,2.405391484846004,0.0006915353759688,15575675087.707972,10200146795.540628,8270763096.587519,7150475787.517973,6376647701.808823,5.0905121728666684e-08,3.3336578437427673e-08,2.7030879871975252e-08,2.3369506511389983e-08,2.0840446764170887e-08,3.081684889037931e-08,2.018123649137562e-08,1.636390430080355e-08,1.4147388835310093e-08,1.2616351300811836e-08
9,9,1000000.0,195,20,17.15,2.43,0.81,0.001,,0.00039,9510.5,0.0002867416245937,195.0,0.0001623989220433,0.0944594558501817,0.0009932018338343,0.0039674271657635,3.4472470861703296e-06,6453411744.18394,4229438962.757381,3429429830.1409006,2964908398.2990727,2644044520.378699,2.4053872232896056,0.0006895860473321,15519834983.095108,10171394198.150295,8247449126.093391,7130319729.415189,6358672942.450431,5.2207658894060213e-08,3.4215871454333725e-08,2.7743852379242795e-08,2.3985905819512585e-08,2.1390139029180414e-08,3.12597901333479e-08,2.0487050818778813e-08,1.6611873070684376e-08,1.4361769862113417e-08,1.2807531905081992e-08
10,10,1000000.0,200,20,17.15,2.43,0.81,0.001,,0.0004,9381.0,0.0002849713672723,200.0,0.0001599083559966,0.0875107066350912,0.0009852376567136,0.0032783409033454,2.7930691886843764e-06,6408899421.117844,4203327667.268272,3408257552.5782056,2946603937.596877,2627720977.619033,2.501432781865337,0.0007128356556906,16031407172.007988,10514325921.437351,8525514442.060389,7370720679.841507,6573057581.123649,5.3267342001776016e-08,3.493580998636637e-08,2.832761270758927e-08,2.4490594932815475e-08,2.1840210432832837e-08,3.160315899028982e-08,2.0727183222637233e-08,1.6806583819846865e-08,1.4530106747258914e-08,1.29576512878602e-08
11,11,1000000.0,205,20,17.15,2.43,0.81,0.001,,0.00041,9292.0,0.0002867051830476,205.0,0.0001570535635692,0.0905451558169826,0.0009930140256501,0.0040311916347646,3.979694374133212e-06,6442061985.483145,4228901449.9532223,3428993989.250206,2964531592.7129707,2643708492.882621,2.6156197536656345,0.0007496565316185,16844250226.569803,11057433841.374874,8965892118.158882,7751448536.936691,6912582878.055438,5.4949253751037204e-08,3.607152172476046e-08,2.9248501683263398e-08,2.528674811078123e-08,2.2550203513492623e-08,3.2292899016650816e-08,2.119872298379717e-08,1.7188930636353506e-08,1.4860664112031372e-08,1.3252435568379236e-08
12,12,1000000.0,210,20,17.15,2.43,0.81,0.001,,0.00042,9152.0,0.0002891718582387,210.0,0.0001818178866983,0.0896886339553206,0.0009943946589459,0.003241383035897,9.010706546720364e-07,6491555367.932018,4265284909.021553,3458495424.5354424,2990037014.1886683,2666453704.819508,2.310003769846455,0.000667988000472,14995515526.957993,9852823006.962624,7989136485.645624,6906995924.880917,6159517352.352701,5.6837702029007424e-08,3.7345286142882963e-08,3.028133032331392e-08,2.6179678557112525e-08,2.3346500577866017e-08,3.30891171957551e-08,2.17412475483299e-08,1.7628835300205125e-08,1.5240983027100417e-08,1.3591596179196612e-08
