Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight
0,1000000.0,150,20,17.15,2.43,0.81,0.001
1,1000000.0,175,20,17.15,2.43,0.81,0.001
2,1000000.0,200,20,17.15,2.43,0.81,0.001
3,1000000.0,225,20,17.15,2.43,0.81,0.001
4,1000000.0,250,20,17.15,2.43,0.81,0.001
5,1000000.0,275,20,17.15,2.43,0.81,0.001
6,1000000.0,300,20,17.15,2.43,0.81,0.001
7,1000000.0,325,20,17.15,2.43,0.81,0.001
8,1000000.0,350,20,17.15,2.43,0.81,0.001
9,1000000.0,375,20,17.15,2.43,0.81,0.001
10,1000000.0,400,20,17.15,2.43,0.81,0.001
11,1000000.0,425,20,17.15,2.43,0.81,0.001
12,1000000.0,450,20,17.15,2.43,0.81,0.001
13,1000000.0,475,20,17.15,2.43,0.81,0.001
14,1000000.0,500,20,17.15,2.43,0.81,0.001
15,1000000.0,525,20,17.15,2.43,0.81,0.001
16,1000000.0,550,20,17.15,2.43,0.81,0.001
17,1000000.0,575,20,17.15,2.43,0.81,0.001
18,1000000.0,600,20,17.15,2.43,0.81,0.001
19,1000000.0,625,20,17.15,2.43,0.81,0.001
20,1000000.0,650,20,17.15,2.43,0.81,0.001
21,1000000.0,675,20,17.15,2.43,0.81,0.001
22,1000000.0,700,20,17.15,2.43,0.81,0.001
23,1000000.0,725,20,17.15,2.43,0.81,0.001
24,1000000.0,750,20,17.15,2.43,0.81,0.001
25,1000000.0,775,20,17.15,2.43,0.81,0.001
26,1000000.0,800,20,17.15,2.43,0.81,0.001
27,1000000.0,825,20,17.15,2.43,0.81,0.001
28,1000000.0,850,20,17.15,2.43,0.81,0.001
29,1000000.0,875,20,17.15,2.43,0.81,0.001
30,1000000.0,900,20,17.15,2.43,0.81,0.001
31,1000000.0,925,20,17.15,2.43,0.81,0.001
32,1000000.0,950,20,17.15,2.43,0.81,0.001
33,1000000.0,975,20,17.15,2.43,0.81,0.001
34,1000000.0,1000,20,17.15,2.43,0.81,0.001
35,1000000.0,1025,20,17.15,2.43,0.81,0.001
36,1000000.0,1050,20,17.15,2.43,0.81,0.001
37,1000000.0,1075,20,17.15,2.43,0.81,0.001
38,1000000.0,1100,20,17.15,2.43,0.81,0.001
39,1000000.0,1125,20,17.15,2.43,0.81,0.001
40,1000000.0,1150,20,17.15,2.43,0.81,0.001
41,1000000.0,1175,20,17.15,2.43,0.81,0.001
42,1000000.0,1200,20,17.15,2.43,0.81,0.001
43,1000000.0,1225,20,17.15,2.43,0.81,0.001
44,1000000.0,1250,20,17.15,2.43,0.81,0.001
45,1000000.0,1275,20,17.15,2.43,0.81,0.001
46,1000000.0,1300,20,17.15,2.43,0.81,0.001
47,1000000.0,1325,20,17.15,2.43,0.81,0.001
48,1000000.0,1350,20,17.15,2.43,0.81,0.001
49,1000000.0,1375,20,17.15,2.43,0.81,0.001
50,1000000.0,1400,20,17.15,2.43,0.81,0.001
51,1000000.0,1425,20,17.15,2.43,0.81,0.001
52,1000000.0,1450,20,17.15,2.43,0.81,0.001
53,1000000.0,1475,20,17.15,2.43,0.81,0.001
54,1000000.0,1500,20,17.15,2.43,0.81,0.001
55,1000000.0,1525,20,17.15,2.43,0.81,0.001
56,1000000.0,1550,20,17.15,2.43,0.81,0.001
57,1000000.0,1575,20,17.15,2.43,0.81,0.001
58,1000000.0,1600,20,17.15,2.43,0.81,0.001
59,1000000.0,1625,20,17.15,2.43,0.81,0.001
60,1000000.0,1650,20,17.15,2.43,0.81,0.001
61,1000000.0,1675,20,17.15,2.43,0.81,0.001
62,1000000.0,1700,20,17.15,2.43,0.81,0.001
63,1000000.0,1725,20,17.15,2.43,0.81,0.001
64,1000000.0,1750,20,17.15,2.43,0.81,0.001
65,1000000.0,1775,20,17.15,2.43,0.81,0.001
66,1000000.0,1800,20,17.15,2.43,0.81,0.001
67,1000000.0,1825,20,17.15,2.43,0.81,0.001
68,1000000.0,1850,20,17.15,2.43,0.81,0.001
69,1000000.0,1875,20,17.15,2.43,0.81,0.001
70,1000000.0,1900,20,17.15,2.43,0.81,0.001
71,1000000.0,1925,20,17.15,2.43,0.81,0.001
72,1000000.0,1950,20,17.15,2.43,0.81,0.001
73,1000000.0,1975,20,17.15,2.43,0.81,0.001
74,1000000.0,2000,20,17.15,2.43,0.81,0.001
75,1000000.0,2025,20,17.15,2.43,0.81,0.001
76,1000000.0,2050,20,17.15,2.43,0.81,0.001
77,1000000.0,2075,20,17.15,2.43,0.81,0.001
78,1000000.0,2100,20,17.15,2.43,0.81,0.001
