,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,1000000.0,150,20,17.15,2.43,0.81,0.001,,0.0003,1733.0,6.838876498126365e-05,150.0,0.0001294876347514,0.0267189600372911,3.854386436700589e-05,-0.0042286952394999,-1.880870841822054e-07,1550280831.8887937,1008734283.4736388,817929629.1759133,707139829.9062662,630612801.8922322,2.330871830945351,0.0001596625207516,3619333461.573045,2355022181.0869584,1909563748.189832,1650910464.5721457,1472248103.85104,9.460775519005251e-09,6.155922474150336e-09,4.9915140875144415e-09,4.315405992048438e-09,3.848390585365441e-09,6.1413799830797755e-09,3.996063428858619e-09,3.240197871806717e-09,2.8013081935185167e-09,2.4981492120342593e-09
1,1,1000000.0,155,20,17.15,2.43,0.81,0.001,,0.00031,1590.0,6.026194833433272e-05,155.0,0.0001236308595906,0.0243442752308798,4.028467472387832e-05,-0.0040056547422125,1.0550399897638002e-07,1365122983.812502,888863737.9314075,720732902.0786192,623108545.7770002,555675425.590882,2.507482315424712,0.0001510979320544,3422844191.9878864,2228694497.8028708,1807131267.371006,1562352617.442826,1393274031.4739163,8.640388786692075e-09,5.6259607121043036e-09,4.561795940119829e-09,3.943893814451423e-09,3.5170836424619514e-09,5.558227813115838e-09,3.619093084523898e-09,2.934532426502089e-09,2.537045592812007e-09,2.262485242874228e-09
2,2,1000000.0,160,20,17.15,2.43,0.81,0.001,,0.00032,1506.0,5.4546772566769255e-05,160.0,0.0001223087346601,0.0302203947167728,4.42478690963366e-05,-0.0035932627723869,-2.2665123548789666e-07,1234844741.6959276,804564895.3598464,652379399.89856,564013628.340394,502975789.8381792,2.62160601271306,0.0001430597835119,3238626468.719481,2110131806.802114,1710995010.8036125,1479238161.5141602,1319154263.764223,8.065081519668652e-09,5.254815645915981e-09,4.260853906790177e-09,3.683714832459067e-09,3.285061360745169e-09,5.171561386805742e-09,3.369538376385593e-09,2.732181625869267e-09,2.3621035126662393e-09,2.106475482620444e-09
3,3,1000000.0,165,20,17.15,2.43,0.81,0.001,,0.00033,1352.5,4.700579754888424e-05,165.0,0.0001425153296423,0.0267769300036386,4.2655868095161257e-05,-0.0032178489304215,-3.890345044024721e-07,1063468035.2626772,693335513.8460424,562189338.6846554,486039946.655463,433440459.1982615,2.315546591028669,0.0001088452349434,2462535137.981673,1605467215.415401,1301789009.9232674,1125459729.314932,1003661911.4132484,7.1459644150178124e-09,4.6588620864266325e-09,3.7776264782144086e-09,3.265941286349246e-09,2.9124994778942353e-09,4.562536886495931e-09,2.9745782212051395e-09,2.411929188177184e-09,2.0852297496448233e-09,1.859565137473396e-09
4,4,1000000.0,170,20,17.15,2.43,0.81,0.001,,0.00034,1196.0,3.9843861231061216e-05,170.0,0.0001355813580516,0.0273563617042426,4.279911304176192e-05,-0.002787182699286,1.192484614846393e-07,900712772.109276,587696953.1581528,476532580.3234921,411985525.1291729,367400244.4116154,2.6748918973875018,0.0001068899060918,2416359776.6837277,1576626114.855018,1278403276.8587132,1105241628.9898908,985631824.0730932,6.246530215620581e-09,4.075735227928105e-09,3.3047995475267877e-09,2.857159475035701e-09,2.5479562397779688e-09,3.960952920031293e-09,2.584442049438222e-09,2.095588265171603e-09,1.8117376807587262e-09,1.6156705178216847e-09
5,5,1000000.0,175,20,17.15,2.43,0.81,0.001,,0.00035,1170.5,3.749358562445754e-05,175.0,0.0001390028213279,0.0282667346227846,4.164716576955386e-05,-0.0026065653810075,-9.117786572262364e-08,846847276.5319319,553030387.9607487,448423284.0685121,387683675.3568909,345728353.0431229,2.534871457549058,9.51376586138545e-05,2148822678.6249704,1403280464.5549488,1137846397.022182,983723390.0676728,877264350.0787241,6.082267928707413e-09,3.972001901062318e-09,3.220687643166462e-09,2.784440654710804e-09,2.483107086759025e-09,3.802184636906393e-09,2.483002193096684e-09,2.013336015555006e-09,1.7406266221437095e-09,1.552255133731832e-09
6,6,1000000.0,180,20,17.15,2.43,0.81,0.001,,0.00036,1134.5,3.5323895895867326e-05,180.0,0.000119509204822,0.026628192073496,4.0330188714143855e-05,-0.0029032736653477,-9.78804611473415e-07,797184442.2679,521027464.464043,422473794.9145732,365249083.5632681,325721644.0557926,3.0417836530701026,0.0001071447116718,2418025958.061709,1580384497.1597495,1281450751.595295,1107876318.6869023,987981386.3261052,5.9190522448868195e-09,3.868601316917299e-09,3.1368455423953157e-09,2.711955092672873e-09,2.418465948697927e-09,3.6558870113865764e-09,2.3894314024628787e-09,1.937464377861426e-09,1.675031911963808e-09,1.493759116075268e-09
7,7,1000000.0,185,20,17.15,2.43,0.81,0.001,,0.00037,1043.0,3.186930426585346e-05,185.0,0.0001656228804875,0.0277374367053636,4.171952478701317e-05,-0.0030090639020004,-4.023410746402693e-07,718543370.4116073,470072237.92133856,381156879.0196074,329528606.10892475,293866854.63543475,2.2364587249378465,7.125849342937169e-05,1606634321.6050408,1051062778.0832324,852251581.4152855,736812822.0597032,657074567.9122365,5.492503042095212e-09,3.593204395315019e-09,2.913540648675772e-09,2.5188971828852406e-09,2.2463008629965967e-09,3.3564951169639083e-09,2.195824547514024e-09,1.780478751746965e-09,1.539310225172543e-09,1.3727252984831743e-09
8,8,1000000.0,190,20,17.15,2.43,0.81,0.001,,0.0003799999999999,1058.0,3.196657123654911e-05,190.0,0.0001385606453396,0.0286637527079865,3.462151686699499e-05,-0.0031476695423074,4.975030399477409e-07,719993429.9109285,471506925.7390994,382320191.9891274,330534346.58591783,294763753.3722193,2.765722855236348,8.846429878482903e-05,1992510032.916192,1304848407.076228,1058033013.4665552,914720849.435132,815729299.0949085,5.660880679937917e-09,3.7071788928735004e-09,3.005956580255393e-09,2.59879523744488e-09,2.317552309910952e-09,3.4269735259639807e-09,2.2442451343152623e-09,1.8197404614515621e-09,1.573253877208123e-09,1.4029955514251551e-09
9,9,1000000.0,195,20,17.15,2.43,0.81,0.001,,0.00039,1098.5,3.3119780728268994e-05,195.0,0.0001547532677931,0.0241448061906857,4.229833099092712e-05,-0.0029818152008089,1.0245303868451963e-07,745394332.6834612,488516765.7419677,396112577.5100972,342458532.7303014,305397498.0953684,2.520177926081529,8.346262596893814e-05,1878411240.0546527,1231073733.0418377,998213006.5885,863003552.5188203,769608874.0595784,6.030189085234756e-09,3.95206716708749e-09,3.2045236148045e-09,2.7704660683176035e-09,2.4706448371331356e-09,3.6106281963600933e-09,2.366334611684824e-09,1.9187364037796947e-09,1.658840670157361e-09,1.4793200985997123e-09
