,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,2,100000.0,0.01715,0.00243,0.81,1.17577026432641,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.02,520,2,100000.0,0.01715,0.00243,0.81,1.18413280440169,,,,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.02,540,2,100000.0,0.01715,0.00243,0.81,1.19462031821519,,5.95,4.5610282910858183e-08,540.0,0.0337822186655328,0.0198828599653844,0.005739029785283,0.0001481228387301,7.947410694074636e-05,656788.0739163577,289625.2964839494,152338.34492226632,83922.92055597906,46978.59139818392,26545.18465411946,19.7033206324029,8.148131859156515e-07,11733309.877185382,5174063.730564388,2721476.040958277,1499256.262084799,839257.581493121,474221.2742029092,1.541629103728681e-11,6.7981561171368926e-12,3.575723060037359e-12,1.969859410319982e-12,1.102693039472599e-12,6.230750960903421e-13,8.722667446466546e-12,3.846454047573791e-12,2.023174254944324e-12,1.114563062604059e-12,6.239130187403156e-13,3.52541142628023e-13
3,3,0.02,560,2,100000.0,0.01715,0.00243,0.81,1.20514112000624,,6.5,2.457512981015332e-05,560.0,0.0367577148177801,0.0212133104520646,0.0054746814049853,-0.0024570151806037,-7.866682908033997e-05,353881869.26620764,156052074.29447353,82080933.56591207,45218238.850682095,25312383.70445791,14302725.549509227,16.10630897372333,0.000384065897688,5530548926.708909,2438818450.3195543,1282780098.2783165,706681251.7461385,395587874.6187623,223526352.4544851,8.582930724429703e-09,3.784834034731155e-09,1.9907630985830003e-09,1.0967078147882394e-09,6.139179615390689e-10,3.4689345011236705e-10,4.906079181523246e-09,2.1634446390744863e-09,1.137937810158864e-09,6.268878954168592e-10,3.509209414561767e-10,1.9828736691989777e-10
4,4,0.02,580,2,100000.0,0.01715,0.00243,0.81,1.21534946177801,,6.75,6.0815643704084494e-05,580.0,0.032045332947,0.0208004606239653,0.0054179506306588,0.0005539199244732,4.390297190868871e-05,875745269.338817,386179337.5209366,203124249.9716422,111900784.4155155,62640113.01520704,35394704.63577718,23.72030292918105,0.0012590173412189,18129849713.55421,7994760116.740921,4205117919.671602,2316591907.8430386,1296787861.455614,732748092.5894828,2.2014876887455708e-08,9.70794918300998e-09,5.1062283891737555e-09,2.813012046730451e-09,1.5746752218110675e-09,8.897679408680014e-10,1.2606274299886524e-08,5.559016791963848e-09,2.923955289001457e-09,1.610801716096611e-09,9.016987867279939e-10,5.095035862870802e-10
5,5,0.02,600,2,100000.0,0.01715,0.00243,0.81,1.21985929056978,,6.25,2.1050567071284373e-05,600.0,0.0372926609491851,0.0205485862167549,0.0054070287480279,0.0005058678528868,-2.8300587222174996e-05,303128165.8264949,133671100.90265577,70308894.01808979,38733043.41116324,21682084.083422903,12251430.035487505,17.081501489783353,0.0003446851041388,4963465499.599634,2188750411.281783,1151248247.823804,634220591.6155088,355025657.26302946,200606730.60881856,7.891095346156379e-09,3.479753850562014e-09,1.830295726122381e-09,1.008306627564426e-09,5.644325143431299e-10,3.1893177024048677e-10,4.503698243505382e-09,1.9860058226568854e-09,1.044607787035276e-09,5.754725533367986e-10,3.22139527139621e-10,1.8202447067500915e-10
6,6,0.02,620,2,100000.0,0.01715,0.00243,0.81,1.22668718395639,,9.0,3.177328962518221e-05,620.0,0.0383617154023529,0.0198644283757086,0.0065092242049664,0.0012958360103579,8.717432622377514e-05,457535370.602624,201760389.11990705,106122787.3481086,58462852.91033527,32726488.313937675,18492054.56185605,17.009539801251556,0.000523182817819,7533832576.59494,3322210893.151241,1747430611.515771,962656384.7871312,538878302.353666,304492399.9707122,1.2314949508673024e-08,5.430550651394007e-09,2.856384122150548e-09,1.573576881663775e-09,8.808609718009178e-10,4.97729209308868e-10,7.0050902875252275e-09,3.0890502309573046e-09,1.624791775023212e-09,8.950948700726674e-10,5.010585413993735e-10,2.8312239912081117e-10
7,7,0.02,640,2,100000.0,0.01715,0.00243,0.81,1.23422873606346,,8.5,3.3442682916297625e-05,640.0,0.0396217308843629,0.0202806828674655,0.0063073972440309,-0.0006827984760089,-0.0002048843483196,474886097.4114263,212361036.51849,111698560.94043408,61534536.56598763,34445963.40378656,19463641.457285214,17.43012395806943,0.0005759118732768,8177948600.53273,3657040395.308651,1923545656.7450223,1059677846.8295937,593189229.4752614,335180710.24718666,1.3205966872965966e-08,5.905485186150273e-09,3.106192208148332e-09,1.7111957074829142e-09,9.578975971235874e-10,5.412586422581824e-10,7.487907635578242e-09,3.3484657384451992e-09,1.7612402466782626e-09,9.702640879904194e-10,5.43136962298985e-10,3.0689874957088275e-10
8,8,0.02,660,2,100000.0,0.01715,0.00243,0.81,1.24231942993718,,7.9,3.525507254820577e-05,660.0,0.0380684357855387,0.0211864823523959,0.0054749185433127,-0.0016412878288504,-0.0001563961803136,497096522.9297015,223869710.68110663,117751942.31100726,64869333.488698624,36312724.72465195,20518452.22305576,18.765944467538304,0.0006444249501408,9086391796.986015,4092098433.39441,2152379333.470446,1185741908.259168,663757698.6450776,375055320.9819759,1.4261905619648465e-08,6.422914942182109e-09,3.378352111320984e-09,1.861128109230721e-09,1.0418271481019795e-09,5.886829128110214e-10,8.10594918099665e-09,3.6505515815126743e-09,1.9201326428743834e-09,1.057797623619421e-09,5.921367132217408e-10,3.3458598747092547e-10
9,9,0.02,680,2,100000.0,0.01715,0.00243,0.81,1.25043238280315,,8.2,4.15185248496331e-05,680.0,0.0403771166126217,0.0193693564639642,0.00615148226197,0.0009496842083042,0.0001193198636672,577107495.4099001,263642632.79517025,138671872.99777454,76394085.72332492,42764080.59512209,24163781.46248646,17.648022701656195,0.000719420683019,9999947493.965496,4568321337.1712885,2402865081.283796,1323734056.7551448,741003303.5096734,418702837.5171164,1.70673683830218e-08,7.796963254114275e-09,4.1010798848412085e-09,2.259277541349648e-09,1.2647042758642051e-09,7.146193092747258e-10,9.712491360688738e-09,4.437001448947732e-09,2.333792888107941e-09,1.2856823096163507e-09,7.19702597230892e-10,4.06666904454737e-10
10,10,0.02,700,2,100000.0,0.01715,0.00243,0.81,1.25848494585637,,9.35,5.497973510732973e-05,700.0,0.0429701798858456,0.0213914489220178,0.0061362911010639,0.0002249767835532,0.0001341447763782,753222370.9704171,349121317.9315437,183632315.2584813,101162712.59748667,56629127.1605496,31998205.8324659,18.263945494152967,0.0009790873046571,13413496073.804071,6217204384.573421,3270151597.5551534,1801520640.569306,1008459923.7969484,569828811.3105088,2.2943628640546684e-08,1.0634455610764337e-08,5.593556179520139e-09,3.0814800509931317e-09,1.724958941588546e-09,9.746855378684795e-10,1.3058844034848278e-08,6.052821870166902e-09,3.1836889836783392e-09,1.7538885419066295e-09,9.817963033499067e-10,5.54762571407423e-10
11,11,0.02,720,2,100000.0,0.01715,0.00243,0.81,1.266694990595,,8.6,5.907524038508902e-05,720.0,0.0438918381331096,0.0183558258981284,0.0052810510492399,0.0002286094820784,-0.0001013303711429,797515745.1987016,375127776.4453152,197311302.88619733,108698442.3085638,60847497.5966417,34381789.9041218,19.16016890085226,0.0010404634408398,14046256451.339252,6606942849.333648,3475147892.4054146,1914452731.1454976,1071677344.065143,605549722.5688478,2.4996113595712783e-08,1.1757431209835273e-08,6.184223659976349e-09,3.406877704897149e-09,1.907110889154383e-09,1.0776102305707283e-09,1.4200804225055633e-08,6.679637542896538e-09,3.51338415642117e-09,1.935517020303879e-09,1.083468766800541e-09,6.122124488135092e-10
12,12,0.02,740,2,100000.0,0.01715,0.00243,0.81,1.27448555561608,,7.75,6.437552975946357e-05,740.0,0.0370833750242119,0.017911490507866,0.0061401498313954,0.0007074353262727,-0.0006467052607316,856194545.8009183,408784613.9726189,215014269.3966216,118450974.7574203,66306795.65225157,37466558.32001012,41.7781025928235,0.0016798587792167,22342121763.583904,10667103248.0269,5610728322.584228,3090940153.758976,1730254542.59334,977677809.5041978,2.7589811870263663e-08,1.317257935159205e-08,6.928569296742903e-09,3.816936379043994e-09,2.1366546034865844e-09,1.2073135720671763e-09,1.5627609789146726e-08,7.461302418126442e-09,3.9245275711090275e-09,2.162015188874434e-09,1.2102585024677536e-09,6.838548043070221e-10
13,13,0.02,760,2,100000.0,0.01715,0.00243,0.81,1.28257035434233,,8.3,8.084017611762681e-05,760.0,0.042933908601336,0.0173194528135293,0.0059437935379216,-0.000486386152696,-0.0004631338009583,1067090324.752748,513335118.3469659,270006188.2328923,148745924.05644366,83265381.40116142,47048982.50046208,19.69988699946205,0.0016110929085853,21266426393.32748,10230439969.517384,5381050314.675285,2964410951.7971635,1659425695.8429773,937656072.7967112,3.5330602463921725e-08,1.6996161033780518e-08,8.939713047689279e-09,4.924871858607268e-09,2.756857616502981e-09,1.5577583813638203e-09,1.9937936509544888e-08,9.591355820879548e-09,5.0449021168090835e-09,2.77922751345171e-09,1.5557632276387295e-09,8.790817461026609e-10
14,14,0.02,780,2,100000.0,0.01715,0.00243,0.81,1.29084637328192,,9.85,0.0001104759709071,780.0,0.0501008746761022,0.0194021677427466,0.0062199968054061,0.0004745032342823,0.0003509954974742,1436187621.7939882,701522415.2609098,368989742.8301479,203275786.46930292,113790250.03444676,64297015.068007804,16.050641308446096,0.0017640025742197,22932033464.857536,11201416346.295803,5891768597.89417,3245764736.564452,1816922651.446406,1026649498.19593,4.8815061439350603e-08,2.3844280010759715e-08,1.2541715785187e-08,6.909208696031164e-09,3.867654867887008e-09,2.185412750592465e-09,2.7447288821927225e-08,1.3406944924556763e-08,7.051841897325918e-09,3.884847033257389e-09,2.174669806660387e-09,1.228794007258588e-09
15,15,0.02,800,2,100000.0,0.01715,0.00243,0.81,1.29941365924252,,10.4,0.0001345920294305,800.0,0.047288782751558,0.017305947967105,0.0062676740449135,9.1398611846575e-05,-0.0002180784242056,1722777976.711557,854659386.884249,449537378.2981719,247649334.15228635,138629790.3135081,78332561.12860362,17.704570400031795,0.0023540495283205,30131833962.503838,14948214504.835882,7862525424.59084,4331451132.109924,2424671014.17023,1370056825.482596,6.007959632935004e-08,2.9805112241513496e-08,1.5677019667189772e-08,8.636441972344067e-09,4.834530017127384e-09,2.731744145600134e-09,3.368979059402887e-08,1.6713294552506502e-08,8.790929733129409e-09,4.842907397891649e-09,2.7109753368632596e-09,1.53183266607225e-09
16,16,0.02,820,2,100000.0,0.01715,0.00243,0.81,1.30778091275259,,10.2,0.0001504717271415,820.0,0.0502518410937766,0.0201356623258034,0.0068800176355657,-0.0002291473547241,-2.6022930707863465e-05,1895943761.98402,955495467.3490891,502575568.6529068,276867977.9405235,154985878.9558365,87574545.1964047,17.48666259669965,0.0025899439448801,32633293705.49048,16446144049.989248,8650412775.899857,4765496858.579562,2667642263.226602,1507347375.9202745,6.77889224986909e-08,3.416346491005454e-08,1.7969444535367273e-08,9.899334714094545e-09,5.541475410607272e-09,3.131202610653818e-09,3.7884021939496063e-08,1.9092344390142853e-08,1.0042272482374352e-08,5.5322698705295825e-09,3.096868460133408e-09,1.7498810133957703e-09
17,17,0.02,840,2,100000.0,0.01715,0.00243,0.81,1.31630553599908,,10.45,0.0001762346874169,840.0,0.0481501702527895,0.0176531799849314,0.0068498871767944,-0.0005083208569682,0.0001550446194515,2185310123.9708424,1119090265.097972,588623855.9727914,324271824.84728634,181521728.0395136,102568588.076696,18.177814706518816,0.0031674573814651,39276471530.16847,20113354372.30401,10579307654.09376,5828121581.895966,3262481102.9091554,1843460196.0127456,8.006733780329815e-08,4.1002225407334135e-08,2.156652485992063e-08,1.1880959803070049e-08,6.650754672370734e-09,3.757999242058025e-09,4.455888123064652e-08,2.2818459339887525e-08,1.2002150266964462e-08,6.611963021321739e-09,3.701261908674669e-09,2.091392651309377e-09
18,18,0.02,860,2,100000.0,0.01715,0.00243,0.81,1.32489377407417,,10.65,0.0002055435141913,860.0,0.047256095937081,0.0182813526901721,0.0064498633942593,-0.0001633652910771,7.489193026478045e-05,2487076521.71625,1305201315.115553,686515337.3993616,378200066.1122232,211709819.6171684,119626325.25940974,19.46070612848593,0.0039251760849587,47494630628.00121,24924868139.488243,13110088123.762318,7222323996.324152,4042931367.5075407,2284452481.4460087,9.331047059423688e-08,4.896871803912432e-08,2.5756774527665386e-08,1.4189360817636021e-08,7.942957414220165e-09,4.488156519491393e-09,5.1682733920374286e-08,2.7122757057386488e-08,1.4266143082152894e-08,7.859192596156086e-09,4.399439333717809e-09,2.4858967885667614e-09
19,19,0.02,880,2,100000.0,0.01715,0.00243,0.81,1.33329262758449,,10.8,0.0002344587654999,880.0,0.0531560053205171,0.0181841049464927,0.0062361279809767,-0.0007235583159593,-9.464840099590797e-05,2790059309.450137,1488813160.9250731,783092276.7700386,431404128.52002126,241492528.46501184,136455001.52100676,17.826481383959308,0.004211485798417,50116681001.16351,26742934819.9486,14066362566.71312,7749133869.087468,4337830372.369615,2451084734.678752,1.0714365739752357e-07,5.717329617430879e-08,3.0072253420817526e-08,1.6566750387516242e-08,9.273778749533552e-09,5.240135176920899e-09,5.9017023816779044e-08,3.1492277414835875e-08,1.6564441978827062e-08,9.125321329653228e-09,5.108196179099362e-09,2.8863788118794453e-09
