,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
20,20,0.02,900,2,100000.0,0.01715,0.00243,0.81,1.3422067252821,,11.4,0.0002748689065805,900.0,0.0534937294309635,0.0188913691836543,0.0070146245069304,0.0001245987603367,-0.0003095783316297,3215966206.993162,1745417556.786887,918062147.9792446,505758788.1083263,283114973.7780305,159973703.6299163,17.47285565476009,0.0047711529861057,55822489937.43773,30296821461.77177,15935650973.593344,8778921494.434654,4914287575.688965,2776811037.9135704,1.2632465506311974e-07,6.85608170641718e-08,3.606191007784786e-08,1.9866441480011992e-08,1.1120888437180624e-08,6.283841815960315e-09,6.916443084974993e-08,3.7537960332983947e-08,1.9744375986167928e-08,1.0877141261841014e-08,6.088834510704481e-09,3.440487073038843e-09
21,21,0.02,920,2,100000.0,0.01715,0.00243,0.81,1.35104631264484,,11.6,0.000309459379772,920.0,0.0483496543365283,0.0180698219086844,0.0065584287019017,-0.0004628962612312,-0.0003050694571228,3558782867.3793387,1965067061.55294,1033594328.4388688,569405258.7806945,318743161.16528,180105359.0273718,20.71957488181001,0.0060675356345245,69776659797.03291,38528851279.23122,20265569019.31217,11164265567.525265,6249561703.560337,3531305739.293317,1.429338322546017e-07,7.892433346232354e-08,4.151295649829301e-08,2.286941316073628e-08,1.2801899758455632e-08,7.233694814972014e-09,7.773408183172987e-08,4.2922732141868206e-08,2.2576681158085017e-08,1.2437453093076778e-08,6.9622699379723255e-09,3.934020489223197e-09
22,22,0.02,940,2,100000.0,0.01715,0.00243,0.81,1.36010248136541,,12.35,0.000361599296034,940.0,0.0514817264635281,0.0198638752560595,0.0067127150886132,0.0001858506106094,-0.0001572321896446,4049912115.581336,2296155529.816203,1207741648.753719,665342704.7026479,372447274.9150692,210450790.29181585,18.748682755507183,0.0067319666534334,75398026518.45464,42747988249.30238,22484768622.46772,12386818642.317545,6933925653.03645,3918004592.2982655,1.6621986362703302e-07,9.424072625282676e-08,4.9569137903061635e-08,2.7307549024441136e-08,1.5286291029986077e-08,8.63749648490475e-09,8.975252399727266e-08,5.088647565916799e-08,2.676548483490096e-08,1.4745057513837652e-08,8.254026760463468e-09,4.663925800572562e-09
23,23,0.02,960,2,100000.0,0.01715,0.00243,0.81,1.36926953155921,,13.45,0.0004332726440471,960.0,0.0578552072678609,0.0190007177905975,0.0064253824601554,0.0005697192146919,-0.0001004996427009,4765999084.518861,2751281289.6995244,1447130631.1175451,797221665.0467912,446270823.36858433,252164678.83545247,17.15476082482588,0.0074441412109036,81885553319.94072,47270296689.23851,24863431644.41836,13697219828.062807,7667465447.230812,4332490184.7459545,1.998233318351313e-07,1.1535255974118945e-07,6.067362984812168e-08,3.34249936887856e-08,1.871073016274411e-08,1.05724708298224e-08,1.0705996312695258e-07,6.180279689601354e-08,3.2507297894911054e-08,1.7908212013962983e-08,1.0024705638251016e-08,5.664445321807856e-09
24,24,0.02,980,2,100000.0,0.01715,0.00243,0.81,1.37836355581004,,12.65,0.0004455934044155,980.0,0.0553708364366852,0.0184648041242662,0.007114055461731,2.526689435116007e-05,-0.0002509749978823,4767849427.246619,2829518118.0388823,1488281970.7480102,819891864.124652,458961206.54803896,259335361.36986285,18.331028772862236,0.0081941268062796,87677156827.19235,52032705219.87583,27368383532.97406,15077193323.554577,8439950610.46805,4768981801.254762,2.0408797169887026e-07,1.2111762806428285e-07,6.370596499759128e-08,3.5095501675319743e-08,1.9645851481293122e-08,1.1100859769041352e-08,1.0845905989883097e-07,6.4365890687624e-08,3.3855444865616404e-08,1.8650903758303647e-08,1.0440451560354756e-08,5.8993619496373475e-09
25,25,0.02,1000,2,100000.0,0.01715,0.00243,0.81,1.38719560853008,,14.05,0.0005417578832808,1000.0,0.0552068375208937,0.0191641476561102,0.0071722854941906,0.0001695925289949,-0.0001697015001237,5688457774.449253,3440162558.833596,1809471330.1581428,996834505.2368214,558010619.7793076,315303088.06947285,19.1208058861972,0.0103932857468376,109129500341.79604,65997364492.41953,34713574394.43799,19123645774.181404,10705084319.242851,6048892304.659552,2.484639246638572e-07,1.5026151634433265e-07,7.903519127402692e-08,4.3540344893475924e-08,2.4373127847978362e-08,1.3772000395653792e-08,1.309205305088241e-07,7.91757494029555e-08,4.164519732375927e-08,2.2942264393927263e-08,1.2842680611817978e-08,7.256737976774817e-09
26,26,0.02,1020,2,100000.0,0.01715,0.00243,0.81,1.39664356222928,,12.85,0.0005378673990924,1020.0,0.059287377215903,0.0161321659975189,0.0066069853250236,0.0005481577439073,0.0001556932848508,5486247470.743063,3415457984.2371035,1796477112.9688072,989676014.3301214,554003421.065231,313038826.2718102,18.034763316757843,0.0097235822886871,99180539344.60928,61744747533.16362,32476764844.2152,17891391411.18442,10015289757.3478,5659124892.015942,2.444960190124089e-07,1.5221075693419576e-07,8.006046112759276e-08,4.4105164214003175e-08,2.4689303880664825e-08,1.3950655202472744e-08,1.2768365557090977e-07,7.948933459561538e-08,4.1810138196748885e-08,2.3033130024556263e-08,1.289354561157226e-08,7.285479170810731e-09
27,27,0.02,1040,2,100000.0,0.01715,0.00243,0.81,1.40604835471862,,13.1,0.0005902035280547,1040.0,0.0573885900390453,0.0182500086497742,0.006213907265592,0.0009551280012562,-7.581194840622038e-05,5884329174.706041,3747792403.147781,1971279783.702927,1085974491.6207745,607909633.8964115,343498453.3278753,18.919461692189216,0.0109178343743588,108850808712.35864,69328248277.17928,36465566810.35887,20088815248.820454,11245369405.58971,6354179605.8769045,2.673785265087033e-07,1.7029625309230353e-07,8.95731472957943e-08,4.9345685935407646e-08,2.7622856800798837e-08,1.5608255007830024e-08,1.384336319082033e-07,8.816986585928696e-08,4.637596094016037e-08,2.5548433571824882e-08,1.4301568792923711e-08,8.081080618914173e-09
28,28,0.02,1060,2,100000.0,0.01715,0.00243,0.81,1.4155721082738,,13.7,0.0006678452565356,1060.0,0.0614855458035623,0.0185113674177595,0.006615709764433,-0.0008153072351261,0.0003963816070123,6484777440.961354,4240817379.001504,2230603156.8291373,1228835272.0256324,687880614.2317399,388685939.30375993,17.976304893008397,0.0120659420748799,117160297547.08524,76618732175.48827,40300246530.09936,22201333417.779285,12427920337.126448,7022378287.580188,3.003619686553412e-07,1.9642621019170098e-07,1.0331709323468999e-07,5.691720106342202e-08,3.1861259290937325e-08,1.8003158162451972e-08,1.541158163893918e-07,1.0078634748430873e-07,5.301203159017183e-08,2.9204232971831188e-08,1.6348021717927244e-08,9.237425863916172e-09
29,29,0.02,1080,2,100000.0,0.01715,0.00243,0.81,1.42522230999383,,14.2,0.0007458926330497,1080.0,0.0580324165255739,0.018414997998613,0.0067100044054093,0.0009769468058164,-0.0001654000381634,7033767529.659619,4736418219.866235,2491281394.386334,1372442444.811633,768269412.0412946,434109512.4349839,19.59095828526465,0.0144978771160414,136714981204.2712,92061519686.86342,48422909567.57855,26676093893.516327,14932813429.522726,8437764481.536143,3.3198576212826e-07,2.235535089622959e-07,1.1758562518646746e-07,6.477770968356291e-08,3.626143531199445e-08,2.0489471215126963e-08,1.6874427295683184e-07,1.1362949451493975e-07,5.97673246739998e-08,3.2925711796454986e-08,1.8431240842580772e-08,1.0414545796487393e-08
30,30,0.02,1100,2,100000.0,0.01715,0.00243,0.81,1.43421228863291,,13.25,0.0007449778357944,1100.0,0.0628732840658066,0.0178700205223813,0.0068721270600549,-0.000442243778475,-9.163274780886163e-05,6809097419.161494,4730609257.294913,2488225971.553545,1370759217.861833,767327170.8683085,433577100.432384,18.29021551742558,0.0134554453663112,122982770648.0854,85442078076.07684,44941187523.47978,24758019474.012814,13859108727.300655,7831069203.193186,3.2736910246755866e-07,2.274391466815095e-07,1.1962940943562864e-07,6.59036267549571e-08,3.689170410739446e-08,2.084560368010056e-08,1.6478978456292245e-07,1.1448743238233667e-07,6.021858648141803e-08,3.3174311115511736e-08,1.8570402417922333e-08,1.0493178841971645e-08
31,31,0.02,1120,2,100000.0,0.01715,0.00243,0.81,1.44409865044327,,15.3,0.0009161358590103,1120.0,0.0629135894567728,0.0174466423071303,0.00705986478255,-0.0003160730363923,0.0003785304459984,8107802352.241911,5817462704.715948,3059893769.094688,1685689980.5791092,943619934.7806972,533191069.9440444,18.522778605120983,0.0165087864014863,146102759653.1547,104830793649.4387,55139346580.9646,30376166978.734997,17004049993.530996,9608113685.665089,3.9692501440569036e-07,2.84799304121597e-07,1.4979994893954861e-07,8.252452276909267e-08,4.619579263704645e-08,2.6102865354136917e-08,2.483795002953764e-07,1.7821579964696498e-07,9.373870406627767e-08,5.1640483677230796e-08,2.89074446671455e-08,1.6334109510950177e-08
32,32,0.02,1140,2,100000.0,0.01715,0.00243,0.81,1.45381420065885,,13.55,0.0008570015079035,1140.0,0.0583213961158456,0.0174609711932403,0.0065515990467464,0.0001721054874653,-0.0002427230619439,7335932907.654543,5441959575.187656,2862385036.3979177,1576882774.542565,882711553.1406753,498774877.5998767,20.435671157439845,0.017105273145044,146421138121.57733,108618484471.02992,57131612304.44724,31473702586.88111,17618431339.39541,9955268970.41566,3.655907921927847e-07,2.712034498159092e-07,1.426487436826987e-07,7.858493663957055e-08,4.3990480836281346e-08,2.4856757132733733e-08,2.284277051354525e-07,1.6945279528155645e-07,8.912950177014154e-08,4.9101282412293546e-08,2.748604395905562e-08,1.553094911084502e-08
33,33,0.02,1160,2,100000.0,0.01715,0.00243,0.81,1.46375114566509,,14.1,0.0009519067928421,1160.0,0.0646114550598641,0.0171663861486205,0.0068607355612006,5.945699681516104e-05,-7.971234615622844e-05,7862750108.876831,6044608134.54817,3179368688.093053,1751508498.8297057,980463996.627498,554009753.4341786,19.130645770231894,0.0180065072935086,148733750244.3819,114341321313.78027,60141734360.31907,33131973420.056023,18546702512.313965,10479787244.822067,3.9871953068137713e-07,3.065216731025115e-07,1.612255729389588e-07,8.88188785052947e-08,4.971926351111604e-08,2.809379744026168e-08,2.542004412642479e-07,1.954204360808686e-07,1.0278807189135446e-07,5.662576415571625e-08,3.1698117978471594e-08,1.7910975401427637e-08
34,34,0.02,1180,2,100000.0,0.01715,0.00243,0.81,1.47374179461199,,13.65,0.0009772948422254,1180.0,0.060058721080568,0.0173872308737116,0.0065927651741404,0.0002834878627043,-0.0001014231776014,7837904634.648471,6205822248.131895,3264164773.033154,1798222509.694912,1006613687.4922605,568785598.1752383,20.896722810318277,0.0195339998990489,156662679190.37265,124040899358.9609,65243559662.82352,35942559814.25009,20120019896.020428,11368787941.246494,4.0437164286515e-07,3.201695676051998e-07,1.6840415051990037e-07,9.277354399898702e-08,5.193301647769384e-08,2.934467533011439e-08,2.576706993700659e-07,2.0401607743141122e-07,1.073092438773092e-07,5.9116469680912864e-08,3.309237161485883e-08,1.8698796388201783e-08
35,35,0.02,1200,2,100000.0,0.01715,0.00243,0.81,1.48319437300648,,16.15,0.0012232497511672,1200.0,0.0652377746884025,0.0196263213002088,0.0068325444722353,0.0002002739778112,4.1006414657584656e-05,9345628098.917828,7767635919.912069,4085654168.898632,2250779542.14775,1259947243.7022724,711931355.1793424,18.831569660500467,0.0228487529725095,174564472709.97357,145089581375.43616,76314834928.18216,42041705469.417725,23534215561.68492,13297974230.000605,4.903299833210406e-07,4.0753866414772353e-07,2.1435891940998374e-07,1.1808994362705693e-07,6.61046967042764e-08,3.7352362603775625e-08,3.122568218741445e-07,2.5953282969905977e-07,1.3651018129052906e-07,7.520321364508189e-08,4.20974511165404e-08,2.3787103446433512e-08
36,36,0.02,1220,2,100000.0,0.01715,0.00243,0.81,1.49333246877473,,15.8,0.0012638289873564,1220.0,0.0609263813681344,0.01901277686979,0.0069243979458362,0.0004922578110619,0.0002205055820855,9364972796.311996,8025314069.714058,4221188817.770859,2325445336.736042,1301743856.9772413,735548470.641509,20.943218540592817,0.0261672475232448,193899304147.2452,166162021772.60544,87398606727.63814,48147735442.77071,26952264948.942303,15229338058.52856,4.995889249807885e-07,4.281227629727405e-07,2.2518583123290601e-07,1.240544699007626e-07,6.944353478140514e-08,3.9238968196871634e-08,3.178456618544047e-07,2.723778613732079e-07,1.432664656671676e-07,7.892523857113424e-08,4.418097593927623e-08,2.4964396113260943e-08
