Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1450.44,1387000000000000.0,4351.33,125600000000000.0,7252.21,12690000000000.0,10153.1,1310000000000.0,13054.0,136400000000.0
1397.71,1519000000000000.0,4193.13,168100000000000.0,6988.56,20850000000000.0,9783.98,2647000000000.0,12579.4,339100000000.0
1345.27,1645000000000000.0,4035.8,217500000000000.0,6726.34,32370000000000.0,9416.87,4941000000000.0,12107.4,761100000000.0
1293.46,1765000000000000.0,3880.39,273200000000000.0,6467.32,47850000000000.0,9054.24,8604000000000.0,11641.2,1562000000000.0
1242.59,1877000000000000.0,3727.77,334400000000000.0,6212.96,67740000000000.0,8698.14,14100000000000.0,11183.3,2967000000000.0
1192.89,1982000000000000.0,3578.66,400300000000000.0,5964.44,92330000000000.0,8350.21,21920000000000.0,10736.0,5263000000000.0
1144.54,2080000000000000.0,3433.62,469800000000000.0,5722.69,121700000000000.0,8011.77,32520000000000.0,10300.9,8789000000000.0
1097.69,2171000000000000.0,3293.06,541900000000000.0,5488.43,155900000000000.0,7683.81,46280000000000.0,9879.18,13910000000000.0
1052.43,2255000000000000.0,3157.3,615400000000000.0,5262.16,194500000000000.0,7367.03,63510000000000.0,9471.89,21010000000000.0
1008.84,2332000000000000.0,3026.53,689600000000000.0,5044.22,237100000000000.0,7061.91,84370000000000.0,9079.6,30430000000000.0
966.962,2402000000000000.0,2900.89,763600000000000.0,4834.81,283300000000000.0,6768.73,108900000000000.0,8702.66,42470000000000.0
926.801,2467000000000000.0,2780.4,836800000000000.0,4634.0,332400000000000.0,6487.6,137000000000000.0,8341.21,57340000000000.0
888.356,2526000000000000.0,2665.07,908200000000000.0,4441.78,383800000000000.0,6218.49,168500000000000.0,7995.2,75170000000000.0
851.608,2580000000000000.0,2554.82,977500000000000.0,4258.04,436800000000000.0,5961.25,203100000000000.0,7664.47,95990000000000.0
816.524,2629000000000000.0,2449.57,1044000000000000.0,4082.62,490900000000000.0,5715.67,240400000000000.0,7348.71,119700000000000.0
783.061,2673000000000000.0,2349.18,1108000000000000.0,3915.31,545500000000000.0,5481.43,280000000000000.0,7047.55,146200000000000.0
751.171,2714000000000000.0,2253.51,1169000000000000.0,3755.86,600000000000000.0,5258.2,321500000000000.0,6760.54,175300000000000.0
720.798,2751000000000000.0,2162.4,1227000000000000.0,3603.99,654100000000000.0,5045.59,364300000000000.0,6487.19,206700000000000.0
