Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1779.27,92420000000000.0,5337.81,0.0,8896.36,0.0,12454.9,0.0,16013.4,0.0
1752.42,111800000000000.0,5257.27,0.0,8762.11,0.0,12267.0,0.0,15771.8,0.0
1723.86,132900000000000.0,5171.58,0.0,8619.3,0.0,12067.0,0.0,15514.7,0.0
1693.79,155500000000000.0,5081.37,0.0,8468.94,0.0,11856.5,0.0,15244.1,0.0
1662.41,179700000000000.0,4987.24,0.0,8312.06,0.0,11636.9,0.0,14961.7,0.0
1629.93,205300000000000.0,4889.8,0.0,8149.66,0.0,11409.5,0.0,14669.4,0.0
1596.54,232300000000000.0,4789.63,0.0,7982.71,0.0,11175.8,0.0,14368.9,0.0
1562.43,260600000000000.0,4687.29,0.0,7812.15,0.0,10937.0,0.0,14061.9,0.0
1527.77,290200000000000.0,4583.32,0.0,7638.86,0.0,10694.4,0.0,13749.9,0.0
1492.74,320900000000000.0,4478.21,0.0,7463.68,0.0,10449.1,0.0,13434.6,0.0
1457.47,352600000000000.0,4372.42,0.0,7287.37,0.0,10202.3,0.0,13117.3,0.0
1422.13,385400000000000.0,4266.39,0.0,7110.66,0.0,9954.92,0.0,12799.2,0.0
1386.84,419200000000000.0,4160.51,0.0,6934.18,0.0,9707.86,0.0,12481.5,0.0
1351.71,453800000000000.0,4055.12,0.0,6758.54,0.0,9461.95,0.0,12165.4,0.0
1316.85,489200000000000.0,3950.55,0.0,6584.24,0.0,9217.94,0.0,11851.6,0.0
1282.35,525300000000000.0,3847.06,0.0,6411.77,0.0,8976.47,0.0,11541.2,0.0
1248.3,562100000000000.0,3744.91,0.0,6241.51,0.0,8738.11,0.0,11234.7,0.0
1214.77,599400000000000.0,3644.3,0.0,6073.83,0.0,8503.36,0.0,10932.9,0.0
1181.8,637300000000000.0,3545.41,0.0,5909.02,0.0,8272.63,0.0,10636.2,0.0
1149.47,675700000000000.0,3448.4,0.0,5747.34,0.0,8046.27,0.0,10345.2,0.0
1117.8,714500000000000.0,3353.39,0.0,5588.99,0.0,7824.59,0.0,10060.2,0.0
1086.83,753700000000000.0,3260.49,0.0,5434.14,0.0,7607.8,0.0,9781.46,0.0
1056.59,793100000000000.0,3169.76,0.0,5282.93,0.0,7396.1,0.0,9509.28,0.0
1027.09,832800000000000.0,3081.27,0.0,5135.45,0.0,7189.63,0.0,9243.81,0.0
998.354,872700000000000.0,2995.06,0.0,4991.77,0.0,6988.48,0.0,8985.18,0.0
970.386,912700000000000.0,2911.16,0.0,4851.93,0.0,6792.71,0.0,8733.48,0.0
943.192,952900000000000.0,2829.58,0.0,4715.96,0.0,6602.34,0.0,8488.73,0.0
916.77,993100000000000.0,2750.31,0.0,4583.85,0.0,6417.39,0.0,8250.93,0.0
891.117,1033000000000000.0,2673.35,0.0,4455.59,0.0,6237.82,0.0,8020.06,0.0
866.227,1074000000000000.0,2598.68,0.0,4331.14,0.0,6063.59,0.0,7796.05,0.0
842.091,1114000000000000.0,2526.27,0.0,4210.45,0.0,5894.64,0.0,7578.82,0.0
818.697,1154000000000000.0,2456.09,0.0,4093.49,0.0,5730.88,0.0,7368.27,0.0
796.033,1194000000000000.0,2388.1,0.0,3980.16,0.0,5572.23,0.0,7164.29,0.0
774.083,1234000000000000.0,2322.25,0.0,3870.42,0.0,5418.58,0.0,6966.75,0.0
752.833,1274000000000000.0,2258.5,0.0,3764.17,0.0,5269.83,0.0,6775.5,0.0
732.266,1314000000000000.0,2196.8,0.0,3661.33,0.0,5125.86,0.0,6590.39,0.0
712.363,1353000000000000.0,2137.09,0.0,3561.82,0.0,4986.54,0.0,6411.27,0.0
693.109,1393000000000000.0,2079.33,0.0,3465.54,0.0,4851.76,0.0,6237.98,0.0
674.483,1432000000000000.0,2023.45,0.0,3372.42,0.0,4721.38,0.0,6070.35,0.0
656.469,1470000000000000.0,1969.41,0.0,3282.34,0.0,4595.28,0.0,5908.22,0.0
639.047,1509000000000000.0,1917.14,0.0,3195.23,0.0,4473.33,0.0,5751.42,0.0
622.198,1547000000000000.0,1866.59,0.0,3110.99,0.0,4355.39,0.0,5599.78,0.0
605.906,1585000000000000.0,1817.72,0.0,3029.53,0.0,4241.34,0.0,5453.15,0.0
590.15,1623000000000000.0,1770.45,0.0,2950.75,0.0,4131.05,0.0,5311.35,0.0
574.914,1660000000000000.0,1724.74,0.0,2874.57,0.0,4024.4,0.0,5174.23,0.0
560.18,1698000000000000.0,1680.54,0.0,2800.9,0.0,3921.26,0.0,5041.62,0.0
545.931,1734000000000000.0,1637.79,0.0,2729.66,0.0,3821.52,0.0,4913.38,0.0
532.15,1771000000000000.0,1596.45,0.0,2660.75,0.0,3725.05,0.0,4789.35,0.0
518.819,1807000000000000.0,1556.46,0.0,2594.1,0.0,3631.74,0.0,4669.37,0.0
505.925,1843000000000000.0,1517.77,0.0,2529.62,0.0,3541.47,0.0,4553.32,0.0
493.45,1878000000000000.0,1480.35,0.0,2467.25,0.0,3454.15,0.0,4441.05,0.0
