,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.cFactor,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,36,2.25,100000.0,17.15,2.43,0.81,,0.036,51.0,0.051,36.0,0.0009759657356375,0.033056197830407,0.0053685355719974,0.0038598167374454,-0.0004800379802346,752250000000.0,493119000000.00006,405552000000.0,356643000000.0,323646000000.0,299217000000.0,36.88654087479991,1.881213584614796,27747900373068.227,18189454149640.457,14959410424856.852,13155326597211.262,11938181407965.49,11037080100935.004,1.107798114799666e-06,7.26189828610032e-07,5.972346175516572e-07,5.25208963850445e-07,4.7661605671313083e-07,4.4064078234099253e-07,2.191735075597109e-07,1.4367380641320986e-07,1.1816052421117433e-07,1.0391053141458025e-07,9.429661552365597e-08,8.71790487357847e-08
1,1,0.02,36,5.0,100000.0,17.15,2.43,0.81,,0.036,45.0,0.045,36.0,0.0005544617085136,0.0392665662357996,0.0061483495417973,0.0041699644271645,-0.0001536581516781,663750000000.0,435105000000.0,357840000000.0,314685000000.0,285570000000.0,264015000000.0,64.92783802240001,2.921752711008,43095852487368.01,28250426962736.355,23233777557935.617,20431816708078.945,18541442704056.77,17141923155483.938,9.774689248232348e-07,6.407557311264988e-07,5.269717213691093e-07,4.634196739856868e-07,4.205435794527625e-07,3.888006903008758e-07,1.9338838902327442e-07,1.2677100565871458e-07,1.0425928606868325e-07,9.168576301286493e-08,8.320289605028468e-08,7.69226900609865e-08
2,2,0.02,46,2.25,100000.0,17.15,2.43,0.81,,0.046,81.0,0.0809999999999999,46.0,0.001590159237037,0.028468517964126,0.0063291407285695,0.0011818009875467,-0.000184482661258,1193939999999.9998,783188999999.9999,644111999999.9999,566432999999.9999,514025999999.9999,475227000000.0,28.927920505440383,2.34316156094067,34538201408265.484,22656029132735.344,18632820732600.21,16385728795658.11,14869703265729.496,13747328878038.914,2.246918319266321e-06,1.4739113452500716e-06,1.212177372781939e-06,1.0659904889165115e-06,9.673638842648624e-07,8.943466607283246e-07,6.132393295964479e-07,4.0226669456364017e-07,3.308330494539318e-07,2.909350496518291e-07,2.640174210053636e-07,2.440892229811642e-07
3,3,0.02,46,5.0,100000.0,17.15,2.43,0.81,,0.046,55.0,0.055,46.0,0.0008176981100153,0.0377738380524589,0.0056023569932839,0.0008899111640719,-4.495772241355224e-05,810700000000.0,531795000000.00006,437360000000.0,384615000000.0,349030000000.0,322685000000.0,56.25548039866999,3.09405142192685,45606317959201.76,29916383198610.71,24603896907162.31,21636701593534.457,19634850323547.79,18152799692444.824,1.5256852785141687e-06,1.00080399986116e-06,8.230834012716872e-07,7.238207023507179e-07,6.568520201798449e-07,6.072724239513316e-07,4.163970756519093e-07,2.731440518642002e-07,2.2463972493785493e-07,1.975484905043285e-07,1.7927108833697532e-07,1.6573959585140789e-07
4,4,0.02,56,2.25,100000.0,17.15,2.43,0.81,,0.056,127.0,0.127,56.0,0.0009038275889281,0.0276194648737908,0.0056367665328914,0.0028806663011261,-3.545984346154133e-05,1869440000000.0,1227963000000.0,1009904000000.0,888111000000.0,805942000000.0,745109000000.0,61.95871943498685,7.86875736824333,115828108460541.84,76083014993544.77,62572358592270.97,55026220276125.6,49935134258872.17,46165999479483.62,4.364501322994932e-06,2.866872506252582e-06,2.3577795190526978e-06,2.073434629871166e-06,1.8815981926444183e-06,1.7395739987779396e-06,1.243554197953308e-06,8.168427676637593e-07,6.717896047639068e-07,5.907727246119215e-07,5.361137866991639e-07,4.956475869152214e-07
5,5,0.02,56,5.0,100000.0,17.15,2.43,0.81,,0.056,95.0,0.095,56.0,0.0008634248243985,0.0340333253885748,0.0056926363429926,0.0007130718583596,0.0002450676904567,1398400000000.0,918555000000.0,755440000000.0,664335000000.0,602870000000.0,557365000000.0,64.857991590652,6.16150920111194,90697415440367.77,59575632465551.35,48996321167242.15,43087433843375.805,39100937390256.375,36149574482923.75,3.264784454208808e-06,2.1445109298739785e-06,1.763693341023671e-06,1.5509944081713445e-06,1.4074947110332264e-06,1.3012561408181437e-06,9.302177071304274e-07,6.110241175437569e-07,5.025197830911113e-07,4.419166050246657e-07,4.010299979245715e-07,3.70760005960205e-07
6,6,0.02,66,2.25,100000.0,17.15,2.43,0.81,,0.066,153.0,0.153,66.0,0.0017044988521206,0.0246742217322743,0.0055285802095063,0.0023807004071513,-0.0003236254726891,2249100000000.0,1479357000000.0,1216656000000.0,1069929000000.0,970938000000.0,897650999999.9999,38.72105863719777,5.924321971491259,87087532980921.52,57282269142348.98,47110208317298.49,41428783546638.375,37595747231083.52,34757997006739.21,6.257028467282212e-06,4.115592397969503e-06,3.38475444706314e-06,2.976557828007109e-06,2.701163445807681e-06,2.497277960377193e-06,1.9849489487475256e-06,1.30561029832924e-06,1.0737628598938995e-06,9.442685713327512e-07,8.56903811479714e-07,7.922241824695056e-07
7,7,0.02,66,5.0,100000.0,17.15,2.43,0.81,,0.066,161.0,0.161,66.0,0.0011124735781038,0.0282393644610587,0.0052925311540526,0.0007683233391039,-9.661321413179291e-06,2366700000000.0,1556709000000.0,1280272000000.0,1125873000000.0,1021706000000.0,944587000000.0,59.3272517199857,9.551687526917698,140409806645690.16,92355266697767.22,75955019214049.55,66794950875735.46,60615009045819.72,56039750720426.13,6.584193354460367e-06,4.330786771719543e-06,3.56173507174618e-06,3.13219483862186e-06,2.8424007501636388e-06,2.627854585756393e-06,2.0887371290741936e-06,1.373877503470638e-06,1.1299073231563256e-06,9.93642091402438e-07,9.01709239530941e-07,8.336476691345777e-07
8,8,0.02,76,2.25,100000.0,17.15,2.43,0.81,,0.076,202.0,0.202,76.0,0.0018360150109231,0.0277725145470772,0.0062625436147603,0.0004801333480319,2.087785099515785e-06,2965521636552.33,1953138000000.0,1606304000000.0,1412586000000.0,1281892000000.0,1185134000000.0,41.393997079462,8.361587410051325,122754793962528.52,80848188667786.25,66491343084728.125,58472580758488.91,53062633704185.695,49057433334771.12,9.593667018435673e-06,6.318536132765378e-06,5.196504222541141e-06,4.569813132322711e-06,4.147009028702977e-06,3.833990225559466e-06,3.596331049410753e-06,2.368598747217426e-06,1.947988130920775e-06,1.7130635059769843e-06,1.5545689988459806e-06,1.4372291705372469e-06
9,9,0.02,76,5.0,100000.0,17.15,2.43,0.81,,0.076,164.0,0.164,76.0,0.0009328836474082,0.0175843760644576,0.004548879062608,0.0023186469484213,0.0001328684467988,2407651229676.149,1585716000000.0,1304128000000.0,1146852000000.0,1040744000000.0,962188000000.0,81.46782314294077,13.360722995442288,196146104569140.4,129184830642931.48,106244469259757.06,93431535907127.9,84787148129076.75,78387361814259.89,7.788917777343814e-06,5.129900622641199e-06,4.218944022261124e-06,3.710145315351112e-06,3.366878617362813e-06,3.1127445395631305e-06,2.919793525264176e-06,1.923020765067613e-06,1.5815349181733024e-06,1.3908040345555714e-06,1.2621253257957466e-06,1.1668593265747945e-06
