Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,PG.cFactor
0,0.02,500,500000.0,1.17577026432641
1,0.02,502,500000.0,1.17662360156545
2,0.02,504,500000.0,1.17747901516844
3,0.02,506,500000.0,1.17837189466193
4,0.02,508,500000.0,1.1791362468331
5,0.02,510,500000.0,1.18000708146274
6,0.02,512,500000.0,1.18089388467086
7,0.02,514,500000.0,1.18169303123046
8,0.02,516,500000.0,1.18256256858225
9,0.02,518,500000.0,1.18333929872482
10,0.02,520,500000.0,1.18413280440169
11,0.02,522,500000.0,1.184814908884
12,0.02,524,500000.0,1.18564428721044
13,0.02,526,500000.0,1.18623535979449
14,0.02,528,500000.0,1.18691311580508
15,0.02,530,500000.0,1.18740617352132
16,0.02,532,500000.0,1.18810554884438
17,0.02,534,500000.0,1.18943277689967
18,0.02,536,500000.0,1.19165789569026
19,0.02,538,500000.0,1.1933953170949
20,0.02,540,500000.0,1.19462031821519
21,0.02,542,500000.0,1.19557065892945
22,0.02,544,500000.0,1.19668353378915
23,0.02,546,500000.0,1.19757869607337
24,0.02,548,500000.0,1.19860065465315
25,0.02,550,500000.0,1.19963845879841
26,0.02,552,500000.0,1.20065872263705
27,0.02,554,500000.0,1.20181115118366
28,0.02,556,500000.0,1.20295231364558
29,0.02,558,500000.0,1.20410472404016
30,0.02,560,500000.0,1.20514112000624
31,0.02,562,500000.0,1.20653239223348
32,0.02,564,500000.0,1.20811897847302
33,0.02,566,500000.0,1.2098506842126
34,0.02,568,500000.0,1.21147483348648
35,0.02,570,500000.0,1.21322571296527
36,0.02,572,500000.0,1.22040172983306
37,0.02,574,500000.0,1.22372713714585
38,0.02,576,500000.0,1.22027554950736
39,0.02,578,500000.0,1.21702969464689
40,0.02,580,500000.0,1.21534946177801
41,0.02,582,500000.0,1.21559007975785
42,0.02,584,500000.0,1.21587072513883
43,0.02,586,500000.0,1.21614745395122
44,0.02,588,500000.0,1.21641984515278
45,0.02,590,500000.0,1.21696884226858
46,0.02,592,500000.0,1.21747564218327
47,0.02,594,500000.0,1.21811891168984
48,0.02,596,500000.0,1.21860384648691
49,0.02,598,500000.0,1.21910049382016
50,0.02,600,500000.0,1.21985929056978
51,0.02,602,500000.0,1.22050059246538
52,0.02,604,500000.0,1.22113579614298
53,0.02,606,500000.0,1.22175151083902
54,0.02,608,500000.0,1.22238215795596
55,0.02,610,500000.0,1.22318836533182
56,0.02,612,500000.0,1.22388822314828
57,0.02,614,500000.0,1.2245971197151
58,0.02,616,500000.0,1.2252878876884
59,0.02,618,500000.0,1.225923815419
60,0.02,620,500000.0,1.22668718395639
61,0.02,622,500000.0,1.22741865002142
62,0.02,624,500000.0,1.22816432589286
63,0.02,626,500000.0,1.22887045718098
64,0.02,628,500000.0,1.22959507691401
65,0.02,630,500000.0,1.23040421769492
66,0.02,632,500000.0,1.23117903184959
67,0.02,634,500000.0,1.2319261619573
68,0.02,636,500000.0,1.23270341452702
69,0.02,638,500000.0,1.23347773841695
70,0.02,640,500000.0,1.23422873606346
71,0.02,642,500000.0,1.23521015912391
72,0.02,644,500000.0,1.23598529338285
73,0.02,646,500000.0,1.23678336528058
74,0.02,648,500000.0,1.2375610899281
75,0.02,650,500000.0,1.23833604842222
76,0.02,652,500000.0,1.23915559600907
77,0.02,654,500000.0,1.23991243430684
78,0.02,656,500000.0,1.24074079328274
79,0.02,658,500000.0,1.24155651007879
80,0.02,660,500000.0,1.24231942993718
81,0.02,662,500000.0,1.24314995045508
82,0.02,664,500000.0,1.24399008048548
83,0.02,666,500000.0,1.24478593786844
84,0.02,668,500000.0,1.24561914540455
85,0.02,670,500000.0,1.24636834168605
86,0.02,672,500000.0,1.24722718437682
87,0.02,674,500000.0,1.24809630082086
88,0.02,676,500000.0,1.24884567323607
89,0.02,678,500000.0,1.24968323318255
90,0.02,680,500000.0,1.25043238280315
91,0.02,682,500000.0,1.2512710931248
92,0.02,684,500000.0,1.25210187482514
93,0.02,686,500000.0,1.2528606408531
94,0.02,688,500000.0,1.2537017293449
95,0.02,690,500000.0,1.25445082841514
96,0.02,692,500000.0,1.25529326238378
97,0.02,694,500000.0,1.25608149875268
98,0.02,696,500000.0,1.25688263441476
99,0.02,698,500000.0,1.25768349177669
100,0.02,700,500000.0,1.25848494585637
101,0.02,702,500000.0,1.25928548443795
102,0.02,704,500000.0,1.2600864681475
103,0.02,706,500000.0,1.26088685337121
104,0.02,708,500000.0,1.26168753417693
105,0.02,710,500000.0,1.26248794694978
106,0.02,712,500000.0,1.2634870605769
107,0.02,714,500000.0,1.2642888534796
108,0.02,716,500000.0,1.26509115522965
109,0.02,718,500000.0,1.26589288992069
110,0.02,720,500000.0,1.266694990595
111,0.02,722,500000.0,1.26742532522346
112,0.02,724,500000.0,1.26822702873633
113,0.02,726,500000.0,1.26902888811467
114,0.02,728,500000.0,1.26983031425198
115,0.02,730,500000.0,1.27055805381929
116,0.02,732,500000.0,1.27135901229813
117,0.02,734,500000.0,1.272159837589
118,0.02,736,500000.0,1.27296098866863
119,0.02,738,500000.0,1.27368491854199
120,0.02,740,500000.0,1.27448555561608
121,0.02,742,500000.0,1.27528577565715
122,0.02,744,500000.0,1.276086046278
123,0.02,746,500000.0,1.27688630008345
124,0.02,748,500000.0,1.27768646892401
125,0.02,750,500000.0,1.27848648389625
126,0.02,752,500000.0,1.2792868307211
127,0.02,754,500000.0,1.28016843760962
128,0.02,756,500000.0,1.28096914587123
129,0.02,758,500000.0,1.2817699952141
130,0.02,760,500000.0,1.28257035434233
131,0.02,762,500000.0,1.28337129179016
132,0.02,764,500000.0,1.28418710389317
133,0.02,766,500000.0,1.28505838495462
134,0.02,768,500000.0,1.28585885107582
135,0.02,770,500000.0,1.28689382385114
136,0.02,772,500000.0,1.28769614424958
137,0.02,774,500000.0,1.28835108195056
138,0.02,776,500000.0,1.2891523913895
139,0.02,778,500000.0,1.28995378710095
140,0.02,780,500000.0,1.29084637328192
141,0.02,782,500000.0,1.29164824012589
142,0.02,784,500000.0,1.29245061579877
143,0.02,786,500000.0,1.29326685540874
144,0.02,788,500000.0,1.29414859932067
145,0.02,790,500000.0,1.29519742122294
146,0.02,792,500000.0,1.29600119569745
147,0.02,794,500000.0,1.29690183422233
148,0.02,796,500000.0,1.29770587029687
149,0.02,798,500000.0,1.29851063884867
150,0.02,800,500000.0,1.29941365924252
151,0.02,802,500000.0,1.30021834112426
152,0.02,804,500000.0,1.30109146940227
153,0.02,806,500000.0,1.30192977717907
154,0.02,808,500000.0,1.30273523472302
155,0.02,810,500000.0,1.30364324447937
156,0.02,812,500000.0,1.30444932808101
157,0.02,814,500000.0,1.30525570824403
158,0.02,816,500000.0,1.30616741790999
159,0.02,818,500000.0,1.30697409968417
160,0.02,820,500000.0,1.30778091275259
161,0.02,822,500000.0,1.30869521201282
162,0.02,824,500000.0,1.30950266291593
163,0.02,826,500000.0,1.31031008129603
164,0.02,828,500000.0,1.3112278617373
165,0.02,830,500000.0,1.3120355962641
166,0.02,832,500000.0,1.31284381804785
167,0.02,834,500000.0,1.31376464441493
168,0.02,836,500000.0,1.31457355675456
169,0.02,838,500000.0,1.315382107129
170,0.02,840,500000.0,1.31630553599908
171,0.02,842,500000.0,1.31711516242917
172,0.02,844,500000.0,1.31795480027411
173,0.02,846,500000.0,1.31885197962638
174,0.02,848,500000.0,1.31966185534058
175,0.02,850,500000.0,1.32059219216227
176,0.02,852,500000.0,1.32140264665985
177,0.02,854,500000.0,1.32221884773407
