,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaXs,SU.electronSigmaY,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,17.15,5.72,2.43,,471.4,0.4713999999999999,100.0,0.0384447636518757,0.0042741772789657,0.0107456867587989,-0.0006596392810579,5.7039960274261455e-05,11407880000000.0,7353840000000.0,5939640000000.0,2.643638286223021,1.2450072227343676,30129174790171.688,19422112674656.137,15687091006453.031,4.720338893956251e-05,3.0428630886660127e-05,2.457697110076395e-05,2.271309680245292e-05,1.464150041811014e-05,1.182582726078127e-05
1,1,2.25,0.02,105,1,100000.0,17.15,5.72,2.43,,484.5,0.4845,105.0,0.0414112962497227,0.0049806232057135,0.0095295758444336,-0.0006435094390796,-3.4768512315811115e-05,11724900000000.0,7558200000000.0,6104700000000.0,2.595936903674201,1.2590249415504025,30468403585519.74,19640789088186.28,15863714263535.068,5.126241997995327e-05,3.304519635071368e-05,2.6690350898653355e-05,2.6013971119253717e-05,1.6769336754560247e-05,1.3544464301760196e-05
2,2,2.25,0.02,110,1,100000.0,17.15,5.72,2.43,,509.1,0.5091,110.0,0.0449124974319218,0.0044928750248139,0.009748953347679,-0.0005985259581596,-5.137409395671549e-06,12320220000000.0,7941960000000.0,6414660000000.0,2.461358310403537,1.2520162639767176,30298793588236.555,19531453718036.79,15775404926106.645,5.580271897040579e-05,3.597200065860868e-05,2.9054308224260862e-05,3.0864516710883303e-05,1.989613473924709e-05,1.606995498169957e-05
3,3,2.25,0.02,115,1,100000.0,17.15,5.72,2.43,,561.5,0.5615,115.0,0.0469623863526094,0.0047731212115417,0.0100171661339374,-0.0005844478958584,9.290456182098412e-05,13588300000000.0,8759400000000.0,7074900000000.0,2.4832766039297907,1.3945465703101372,33748027001505.312,21754926496838.137,17571286785907.729,6.385065057307106e-05,4.115992350991358e-05,3.324455360416096e-05,3.7081113827882815e-05,2.390352792210628e-05,1.930669562939353e-05
4,4,2.25,0.02,120,1,100000.0,17.15,5.72,2.43,,559.6,0.5596,120.0,0.0498796278147565,0.0044555201184768,0.0101424899049019,-0.0005281043316915,0.0001506078990982,13542320000000.0,8729760000000.0,7050960000000.0,2.426576442923749,1.3593609980747805,32896536153409.7,21206031569966.586,17127948575742.234,6.579986757160262e-05,4.241644355855375e-05,3.42594351819088e-05,4.057927934676754e-05,2.615854371113941e-05,2.11280545359203e-05
5,5,2.25,0.02,125,1,100000.0,17.15,5.72,2.43,,586.0,0.5860000000000001,125.0,0.0532541820120868,0.004448771175727,0.0098920065014012,-0.0005022842538764,3.463906853557188e-05,14181200000000.0,9141600000000.0,7383600000000.0,2.36799453116372,1.3875459765260652,33578612631930.773,21645717233806.617,17483079304228.418,7.174384076556673e-05,4.62480957001174e-05,3.735423114240251e-05,4.466575956862449e-05,2.8792803688865372e-05,2.3255726056391265e-05
6,6,2.25,0.02,130,1,100000.0,17.15,5.72,2.43,,571.0,0.571,130.0,0.0545316308384257,0.0040189873643273,0.0103981908930127,-0.0005473923637176,4.069561959281903e-05,13818200000000.0,8907600000000.0,7194600000000.0,2.398425794428125,1.3694918861905652,33141703645811.688,21364073424572.82,17255597766001.123,7.260295659445467e-05,4.680190590386335e-05,3.780153938388963e-05,4.586695522576319e-05,2.9567128162062218e-05,2.3881141977050255e-05
7,7,2.25,0.02,135,1,100000.0,17.15,5.72,2.43,,572.6,0.5726,135.0,0.0598871260629749,0.0042645094343508,0.009968011501295,-0.0004141011559832,7.767671729907335e-05,13856920000000.0,8932560000000.0,7214760000000.0,2.2852742795658125,1.3123149539558925,31758021885732.6,20472113281711.93,16535168419844.246,7.569655864882149e-05,4.879612871576923e-05,3.941225780889054e-05,4.8121072581387314e-05,3.1020195548332326e-05,2.505477332749918e-05
8,8,2.25,0.02,140,1,100000.0,17.15,5.72,2.43,,561.3,0.5613,140.0,0.0560610473326505,0.0047635024927609,0.0095341769222957,-0.0005246732631264,7.746662791448378e-05,13578217277929.322,8756280000000.0,7072380000000.0,2.5848114740506385,1.4477668968632922,35022436296816.8,22585163591067.355,18241862900477.48,7.735680007571077e-05,4.9885621028318215e-05,4.0292232369026256e-05,4.94378969675419e-05,3.188136259703188e-05,2.5750331328371903e-05
9,9,2.25,0.02,145,1,100000.0,17.15,5.72,2.43,,541.8,0.5418,145.0,0.0605801100325663,0.0044711233138734,0.0095653499297826,-0.0004676038475808,-4.396237275583238e-05,13058564762439.477,8452080000000.0,6826680000000.0,2.4438316427316678,1.3209287343678162,31837270993557.3,20606488256137.93,16643702053034.488,7.708665543797444e-05,4.9893888842075176e-05,4.029891021859918e-05,4.955022259237417e-05,3.20710930326096e-05,2.5903575141723136e-05
10,10,2.25,0.02,150,1,100000.0,17.15,5.72,2.43,,539.4,0.5394,150.0,0.0633615200915101,0.0043118070487797,0.008924548330371,-0.0004606894247336,1.863350237829933e-05,12999540000000.0,8414640000000.0,6796440000000.0,2.461700520643781,1.331888250366423,32098506833830.8,20777456705716.2,16781791954616.932,7.93312587374825e-05,5.135135420351564e-05,4.147609377976263e-05,5.149719528427458e-05,3.3334284084426694e-05,2.692384483742156e-05
11,11,2.25,0.02,155,1,100000.0,17.15,5.72,2.43,,500.5,0.5005000000000001,155.0,0.0668556778900466,0.0042460420062048,0.0095321702289642,-0.0004747640741587,4.495997056428771e-05,12062050000000.0,7807800000000.0,6306300000000.0,2.3647837300130314,1.182982314838158,28509873787599.613,18454524111475.27,14905577166960.793,7.634535701204906e-05,4.941857134389897e-05,3.991499993161071e-05,4.911178156707545e-05,3.1790198856696144e-05,2.5676699076562276e-05
12,12,2.25,0.02,160,1,100000.0,17.15,5.72,2.43,,466.3,0.4662999999999999,160.0,0.068854701796502,0.0043835071782205,0.0097205165531658,-0.0003998983621606,-0.0001086788986286,11237830000000.0,7274280000000.0,5875380000000.0,2.432393167024522,1.1277755381030787,27179390468284.203,17593298394408.03,14209971780098.793,7.339709357283392e-05,4.751015185627425e-05,3.837358419160612e-05,4.706431969712199e-05,3.046487084129059e-05,2.460624183335009e-05
13,13,2.25,0.02,165,1,100000.0,17.15,5.72,2.43,,437.3,0.4373,165.0,0.0749721674755505,0.0044233872258036,0.0085593925521279,-0.0004285448456536,0.0002781677082002,10538930000000.0,6821880000000.0,5509980000000.0,2.234453333567971,0.9750913810440892,23499702283162.555,15211425544287.797,12286151401155.527,7.081625047034146e-05,4.583956461980608e-05,3.702426373138184e-05,4.521457653150969e-05,2.9267526717491755e-05,2.3639156194897184e-05
